text,start,stop
"ANA RITA PIRES:
In lecture, you've",00:00:06.454,00:00:07.870
"learned about Gram-Schmidt
orthogonalization,",00:00:07.870,00:00:10.260
"and that's what today's
problem is about.",00:00:10.260,00:00:12.600
"We have a matrix A, and its
columns are a, b, and c.",00:00:12.600,00:00:17.790
"And I want you to find
orthonormal vectors",00:00:17.790,00:00:21.000
"q_1, q_2, and q_3 from
those three columns.",00:00:21.000,00:00:24.360
"Then I want you to write A
as a-- it's QR decomposition",00:00:24.360,00:00:28.890
"where Q is an orthogonal matrix,
and R is an upper triangular",00:00:28.890,00:00:32.240
matrix.,00:00:32.240,00:00:33.270
"Remember, an orthogonal matrix
is a matrix whose columns",00:00:33.270,00:00:36.730
are orthonormal vectors.,00:00:36.730,00:00:39.480
"Work on it for a
little while, hit",00:00:39.480,00:00:41.169
"pause, and when you're
ready I'll come back",00:00:41.169,00:00:42.960
and we'll do it together.,00:00:42.960,00:00:44.001
"Did you manage to
solve that all right?",00:00:52.170,00:00:55.160
"Well let's start
solving it together.",00:00:55.160,00:00:58.490
"So Gram-Schmidt
orthogonalization,",00:00:58.490,00:01:00.850
"as you should
remember from lecture,",00:01:00.850,00:01:04.250
consists of the following.,00:01:04.250,00:01:06.210
"At each step, you find
your orthonormal vector",00:01:06.210,00:01:10.540
"by taking the vector that
you started with, a, b, or c",00:01:10.540,00:01:15.000
"in this case, and
making it orthonormal",00:01:15.000,00:01:18.420
to the previous ones.,00:01:18.420,00:01:22.430
Let's actually do it.,00:01:22.430,00:01:25.780
We want to find q_1.,00:01:25.780,00:01:27.920
"Well, to find q_1,
start with a, and make",00:01:27.920,00:01:30.780
"it orthonormal to
the previous one.",00:01:30.780,00:01:32.890
"There's no previous one,
so that's very easy.",00:01:32.890,00:01:35.020
"The direction of a
is fine and you just",00:01:35.020,00:01:37.390
"need to ensure that your
vector has length 1.",00:01:37.390,00:01:40.950
"Well, a is the vector [1, 0, 0].",00:01:40.950,00:01:44.790
"So you should divide
it by its length,",00:01:44.790,00:01:46.520
"but its length is 1, so
this is simply [1, 0, 0].",00:01:46.520,00:01:54.240
q_1 is done.,00:01:54.240,00:01:55.280
Now let's do q_2.,00:01:55.280,00:01:56.360
"So with q_2, I will
start with my vector b.",00:01:59.000,00:02:03.560
"And then I want to
make it, well first",00:02:03.560,00:02:05.520
"of all, orthogonal to what I
already have, which is q_1.",00:02:05.520,00:02:09.210
"For that, I'm going to subtract
off from b the projection of b",00:02:09.210,00:02:14.070
onto q_1.,00:02:14.070,00:02:16.290
Minus b dot q_1 times q_1.,00:02:16.290,00:02:21.970
"Usually, when you're doing the
projection of a vector onto",00:02:21.970,00:02:25.010
"another vector, you have
to divide it by the length",00:02:25.010,00:02:27.630
"of, in this case, q1_.",00:02:27.630,00:02:29.600
"But because q_1 has length
1, you don't need to do that.",00:02:29.600,00:02:34.700
So what will it be here?,00:02:34.700,00:02:36.260
"Well b dot q_1 is going
to be-- b is [2, 0, 3],",00:02:36.260,00:02:46.770
"minus, b dot q_1 will
be 2, and [1, 0, 0].",00:02:46.770,00:02:53.360
"So this will be [0, 0, 3].",00:02:53.360,00:02:59.870
"This vector is
orthogonal to this one,",00:02:59.870,00:03:02.320
"and you can check by
doing your dot product.",00:03:02.320,00:03:04.440
"It should be 0, and it is.",00:03:04.440,00:03:07.250
"We need it also to be length
1, because we want these two",00:03:07.250,00:03:11.780
vectors to be orthonormal.,00:03:11.780,00:03:13.920
So this is not actually q_2.,00:03:13.920,00:03:15.810
