text,start,stop
 ,00:00:00.000,00:00:01.140
Hey guys.,00:00:01.140,00:00:02.290
Welcome back.,00:00:02.290,00:00:03.570
"Today, we're going to be working
on a problem that asks",00:00:03.570,00:00:07.430
"you to find the PMF of a
function of a random variable.",00:00:07.430,00:00:12.860
So let's just jump right in.,00:00:12.860,00:00:16.410
"The problem statement gives
you the PMF for a random",00:00:16.410,00:00:21.060
variable called x.,00:00:21.060,00:00:23.180
"So we're told that there's this
random variable x that",00:00:23.180,00:00:26.340
"takes on values minus 3, minus
2, minus 1, 1, 2, and 3.",00:00:26.340,00:00:32.100
"And for each of those values,
the probability mass lying",00:00:32.100,00:00:35.440
"over that value is given
by this formula, x",00:00:35.440,00:00:39.030
squared over a.,00:00:39.030,00:00:41.010
"Now I didn't write it here to
save room, but we're also told",00:00:41.010,00:00:44.360
"that a is a real number that
is greater than 0.",00:00:44.360,00:00:47.980
"And we're told that the
probability of x taking on any",00:00:47.980,00:00:52.160
value outside of the set is 0.,00:00:52.160,00:00:56.430
"Now we're asked to do two
things in the problem.",00:00:56.430,00:00:58.930
"First is to find the value
of the parameter a.",00:00:58.930,00:01:03.040
"And that's sort of a natural
question to ask, because if",00:01:03.040,00:01:06.350
"you think about it, the PMF
isn't fully specified.",00:01:06.350,00:01:11.260
"And in fact, if you plug in the
wrong number for a, you",00:01:11.260,00:01:16.000
"actually won't get
a valid PMF.",00:01:16.000,00:01:18.800
"So we'll explore that idea
in the first part.",00:01:18.800,00:01:22.330
"And then the second part, you're
given a new random",00:01:22.330,00:01:24.600
variable called z.,00:01:24.600,00:01:25.905
"And z happens to be
a function of x.",00:01:25.905,00:01:28.550
"In fact, it's equal
to x squared.",00:01:28.550,00:01:30.990
"And then you're asked
to compute that PMF.",00:01:30.990,00:01:34.370
"So this problem is a good
practice problem.",00:01:34.370,00:01:38.810
"I think, at this point, you
guys are sort of newly",00:01:38.810,00:01:41.730
"acquainted with the
idea of a PMF, or",00:01:41.730,00:01:45.360
probability mass function.,00:01:45.360,00:01:47.340
"So this problem will hopefully
help you get more familiar",00:01:47.340,00:01:50.110
"with that concept and how
to manipulate PMFs.",00:01:50.110,00:01:55.570
"And by the way, just to make
sure we're all on the same",00:01:55.570,00:01:58.060
"page, what does a PMF
really tell you?",00:01:58.060,00:02:02.360
"So p sub X, where this is
a capital X, because the",00:02:02.360,00:02:08.389
"convention in this class
is to use capital",00:02:08.389,00:02:10.520
letters for random variables.,00:02:10.520,00:02:12.350
"So p X of k, this is defined
to be the probability that",00:02:12.350,00:02:17.700
"your random variable X takes
on a value of k.",00:02:17.700,00:02:22.740
