text,start,stop
"Let us now conclude with a fun
problem, which is also a",00:00:00.900,00:00:04.100
little bit of a puzzle.,00:00:04.100,00:00:05.970
"We are told that the
king comes from a",00:00:05.970,00:00:08.210
family of two children.,00:00:08.210,00:00:10.460
"What is the probability that
his sibling is female?",00:00:10.460,00:00:13.980
"Well, the problem is too loosely
stated, so we need to",00:00:13.980,00:00:17.220
"start by making some
assumptions.",00:00:17.220,00:00:19.370
"First, let's assume that we're
dealing with an anachronistic",00:00:19.370,00:00:22.800
"kingdom where boys
have precedence.",00:00:22.800,00:00:25.840
"In other words, if the royal
family has two children, one",00:00:29.930,00:00:34.640
"of which is a boy and one is a
girl, it is always the boy who",00:00:34.640,00:00:38.960
"becomes king, even if the
girl was born first.",00:00:38.960,00:00:43.830
"Let us also assume that when
a child is born, it has 50%",00:00:43.830,00:00:48.380
"probability of being
a boy and 50%",00:00:48.380,00:00:51.820
probability of being a girl.,00:00:51.820,00:00:53.320
"And in addition, let's assume
that different children are",00:00:58.890,00:01:03.790
"independent as far as their
gender is concerned.",00:01:03.790,00:01:07.195
"Given these assumptions,
perhaps we",00:01:10.070,00:01:12.850
can argue as follows.,00:01:12.850,00:01:15.240
"The king's sibling is
a child which is",00:01:15.240,00:01:18.620
independent from the king.,00:01:18.620,00:01:20.600
"Its gender is independent from
the king's gender, so it's",00:01:20.600,00:01:24.710
"going to be a girl with
probability 1/2.",00:01:24.710,00:01:29.160
"And so this is one possible
answer to this problem.",00:01:29.160,00:01:34.750
Is this a correct answer?,00:01:34.750,00:01:36.770
"Well, let's see.",00:01:36.770,00:01:37.640
"We have to make a more precise
model, so let's",00:01:37.640,00:01:40.710
go ahead with it.,00:01:40.710,00:01:42.180
"We have two children, so there
are four possible outcomes--",00:01:42.180,00:01:47.460
"boy, boy; boy, girl; girl,
boy; and girl, girl.",00:01:47.460,00:01:53.240
"Each one of these outcomes has
probability 1/4 according to",00:01:55.780,00:02:01.290
our assumptions.,00:02:01.290,00:02:02.920
"For example, the probability of
a boy followed by a boy is",00:02:02.920,00:02:05.750
"1/2 times 1/2, where we're
also using independence.",00:02:05.750,00:02:10.960
"So each one of these four
outcomes has the same",00:02:10.960,00:02:15.150
"probability, 1/4.",00:02:15.150,00:02:16.460
"Now, we know that there is a
king, so there must be at",00:02:19.660,00:02:23.740
least one boy.,00:02:23.740,00:02:25.720
"Given this information, one
of the outcomes becomes",00:02:25.720,00:02:30.560
"impossible, namely the
outcome girl, girl.",00:02:30.560,00:02:35.050
"And we're restricted to a
smaller universe with only",00:02:35.050,00:02:39.150
