text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.330
Commons license.,00:00:02.330,00:00:03.610
"Your support will help MIT
OpenCourseWare continue to",00:00:03.610,00:00:06.710
"offer high quality educational
resources for free.",00:00:06.710,00:00:10.010
"To make a donation or to view
additional materials from",00:00:10.010,00:00:12.850
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:12.850,00:00:16.880
ocw.mit.edu.,00:00:16.880,00:00:22.180
PROF.,00:00:22.180,00:00:22.240
"JERISON: So, we're ready to
begin Lecture 10, and what I'm",00:00:22.240,00:00:25.940
"going to begin with is
by finishing up some",00:00:25.940,00:00:29.060
things from last time.,00:00:29.060,00:00:33.880
"We'll talk about approximations,
and I want to",00:00:33.880,00:00:42.810
"fill in a number of comments and
get you a little bit more",00:00:42.810,00:00:50.420
"oriented in the point of view
that I'm trying to express",00:00:50.420,00:00:54.350
about approximations.,00:00:54.350,00:00:55.980
"So, first of all, I want to
remind you of the actual",00:00:55.980,00:00:59.740
"applied example that I
wrote down last time.",00:00:59.740,00:01:03.800
"So that was this
business here.",00:01:03.800,00:01:08.730
"There was something from
special relativity.",00:01:08.730,00:01:11.590
"And the approximation that
we used was the linear",00:01:11.590,00:01:15.990
"approximation, with a - 1/2
power that comes out to be t(",00:01:15.990,00:01:20.360
1 1/2 v^2 / C^2).,00:01:20.360,00:01:23.730
"I want to reiterate why
this is a useful way",00:01:27.340,00:01:30.290
of thinking of things.,00:01:30.290,00:01:31.930
"And why this is that this
comes up in real life.",00:01:31.930,00:01:34.830
"Why this is maybe more important
than everything that",00:01:34.830,00:01:37.200
"I've taught you about
technically so far.",00:01:37.200,00:01:39.820
"So, first of all, what this is
telling us is the change in t",00:01:39.820,00:01:46.750
"/ t, if you do the arithmetic
here and subtract t that's",00:01:46.750,00:01:51.440
"using the change in
t is t' - t here.",00:01:51.440,00:01:55.970
"If you work that out, this is
approximately the same as 1/2",00:01:55.970,00:02:01.440
(v^2 / C^2).,00:02:01.440,00:02:04.140
So what is this saying?,00:02:04.140,00:02:06.270
"This is saying that if you have
this satellite, which is",00:02:06.270,00:02:08.670
"going at speed v, and little c
is the speed of light, then",00:02:08.670,00:02:13.280
"the change in the watch down
here on earth, relative to the",00:02:13.280,00:02:18.220
"time on the satellite, is going
to be proportional to",00:02:18.220,00:02:22.270
this ratio here.,00:02:22.270,00:02:24.050
"So, physically, this
makes sense.",00:02:24.050,00:02:25.710
This is time divided by time.,00:02:25.710,00:02:28.120
"And this is velocity squared
divided by velocity squared.",00:02:28.120,00:02:30.670
"So, in each case, the
units divide out.",00:02:30.670,00:02:32.620
"So this is a dimensionless
quantity.",00:02:32.620,00:02:34.880
"And this is a dimensionless
quantity.",00:02:34.880,00:02:36.960
"And the only point here that
we're trying to make is just",00:02:36.960,00:02:41.560
this notion of proportionality.,00:02:41.560,00:02:43.440
So I want to write this down.,00:02:43.440,00:02:45.470
"Just, in summary.",00:02:45.470,00:02:48.010
"So the error fraction, if you
like, which is sort of the",00:02:48.010,00:02:51.100
"number of significant digits
that we have in our",00:02:51.100,00:02:55.030
"measurement, is proportional,
in this",00:02:55.030,00:03:00.390
"case, to this quantity.",00:03:00.390,00:03:04.860
"It happens to be proportional
to this quantity here.",00:03:04.860,00:03:09.030
"And the factor is, happens
to be, 1/2.",00:03:09.030,00:03:16.980
"So these proportionality
factors are what",00:03:16.980,00:03:20.450
we're looking for.,00:03:20.450,00:03:21.350
Their rates of change.,00:03:21.350,00:03:22.590
"Their rates of change of
something with respect to",00:03:22.590,00:03:24.380
something else.,00:03:24.380,00:03:25.550
"Now, on your homework,
you have something",00:03:25.550,00:03:28.800
rather similar to this.,00:03:28.800,00:03:30.740
"So in Problem, on Part 2b, Part
II, Problem 1, there's",00:03:30.740,00:03:38.880
"the speed of a pitch, right?",00:03:38.880,00:03:41.580
"And the speed of the pitch is
changing depending on how high",00:03:41.580,00:03:44.640
the mound is.,00:03:44.640,00:03:45.600
"And the point here is that
that's approximately",00:03:45.600,00:03:48.390
"proportional to the change in
the height of the mound.",00:03:48.390,00:03:52.320
"In that problem, we had this
delta h, that was the x",00:03:52.320,00:03:55.390
variable in that problem.,00:03:55.390,00:03:56.890
"And what you're trying to
figure out is what the",00:03:56.890,00:03:58.780
"constant of proportionality
is.",00:03:58.780,00:04:03.350
"That's what you're aiming
for in this problem.",00:04:03.350,00:04:04.820
"So there's a linear
relationship, approximately,",00:04:04.820,00:04:08.070
"to all intents and purposes
this is an equality.",00:04:08.070,00:04:11.890
"Because the lower
order terms are",00:04:11.890,00:04:13.290
unimportant for the problem.,00:04:13.290,00:04:14.720
"Just as over here, this function
is a little bit",00:04:14.720,00:04:17.120
complicated.,00:04:17.120,00:04:18.020
"This function is a little
more simple.",00:04:18.020,00:04:19.800
"For the purposes of this
problem, they are the same.",00:04:19.800,00:04:22.800
"Because the errors are
negligible for the particular",00:04:22.800,00:04:28.240
problem that we're working on.,00:04:28.240,00:04:29.760
"So we might as well work with
the simpler relationship.",00:04:29.760,00:04:34.210
"And similarly, over here, so
you could do this with, in",00:04:34.210,00:04:37.920
"this case with square roots,
it's not so hard here with",00:04:37.920,00:04:40.280
reciprocals of square roots.,00:04:40.280,00:04:41.980
"It's also not terribly hard
to do it numerically.",00:04:41.980,00:04:45.300
"And the reason why we're not
doing it numerically is that,",00:04:45.300,00:04:49.030
"as I say, this is something
that happens all across",00:04:49.030,00:04:52.570
engineering.,00:04:52.570,00:04:53.560
"People are looking for these
linear relationships between",00:04:53.560,00:04:56.040
"the change in some input and
the change in the output.",00:04:56.040,00:05:00.240
"And if you don't make these
simplifications, then when you",00:05:00.240,00:05:03.910
"get, say, a dozen of them
together, you can't figure out",00:05:03.910,00:05:07.680
what's going on.,00:05:07.680,00:05:09.540
In this case the design of the,00:05:09.540,00:05:11.090
"satellite, it's very important.",00:05:11.090,00:05:12.640
"The speed actually isn't
just one speed.",00:05:12.640,00:05:15.160
"Because it's the relative speed
of u to the satellite.",00:05:15.160,00:05:19.070
"And you might be, it depends
on your angle of sight with",00:05:19.070,00:05:21.750
"the satellite what
the speed is.",00:05:21.750,00:05:22.890
So it varies quite a bit.,00:05:22.890,00:05:24.300
"So you really need this
rule of thumb.",00:05:24.300,00:05:26.280
"Then there are all
kinds of other",00:05:26.280,00:05:27.640
considerations in this question.,00:05:27.640,00:05:29.080
"Like, for example, there's the
fact that we're sitting on",00:05:29.080,00:05:31.530
"Earth and so we're rotating
around on what's called a",00:05:31.530,00:05:34.250
non-inertial frame.,00:05:34.250,00:05:36.250
"So there's the question
of that acceleration.",00:05:36.250,00:05:38.790
"There's the question that the
gravity that I experience here",00:05:38.790,00:05:41.220
"on Earth is not the same
as up at the satellite.",00:05:41.220,00:05:44.830
"And that also creates a
difference in time, as a",00:05:44.830,00:05:48.070
result of general relativity.,00:05:48.070,00:05:49.580
"So all of these considerations
come down to formulas which",00:05:49.580,00:05:54.470
"are this complicated or
maybe a tiny bit more.",00:05:54.470,00:05:56.910
Not really that much.,00:05:56.910,00:05:58.330
"And then people simplify them
enormously to these very",00:05:58.330,00:06:00.700
simple-minded rules.,00:06:00.700,00:06:02.090
"And they don't keep track
of what's going on.",00:06:02.090,00:06:05.130
"So in order to design the
system, you must make these",00:06:05.130,00:06:08.070
"simplifications, otherwise you
can't even think about",00:06:08.070,00:06:10.440
what's going on.,00:06:10.440,00:06:12.630
This comes up in everything.,00:06:12.630,00:06:13.860
"In weather forecasting,
economic forecasting.",00:06:13.860,00:06:17.680
"Figuring out whether there's
going to be an asteroid that's",00:06:17.680,00:06:19.880
going to hit the Earth.,00:06:19.880,00:06:22.140
"Every single one of these things
involves dozens of",00:06:22.140,00:06:24.580
these considerations.,00:06:24.580,00:06:27.900
"OK, there was a question
that I saw, here.",00:06:27.900,00:06:30.050
Yes.,00:06:30.050,00:06:30.450
STUDENT: [INAUDIBLE],00:06:30.450,00:06:38.920
PROF.,00:06:38.920,00:06:39.320
JERISON: Yeah.,00:06:39.320,00:06:40.120
"Basically, any problem where
you have a derivative, the",00:06:40.120,00:06:42.600
"rate of change also depends upon
what the base point is.",00:06:42.600,00:06:46.100
That's the question.,00:06:46.100,00:06:46.850
"You're saying, doesn't this
delta v also depend, I had a",00:06:46.850,00:06:50.060
base point in that problem.,00:06:50.060,00:06:51.050
"I happened to decide that
pitchers pitch on average",00:06:51.050,00:06:53.290
about 90 miles an hour.,00:06:53.290,00:06:55.350
"Whereas, in fact, some pitchers
pitch at 100 miles an",00:06:55.350,00:06:58.390
"hour, some pitch at 80 miles
an hour, and of course they",00:06:58.390,00:07:00.410
vary the speed of the pitch.,00:07:00.410,00:07:02.040
"And so, this varies
a little bit.",00:07:02.040,00:07:03.510
"In fact, that's sort of
a second order effect.",00:07:03.510,00:07:05.165
"It does change the constant
of proportionality.",00:07:05.165,00:07:08.220
"It's a rate of change at
a different base point.",00:07:08.220,00:07:11.790
Which we're considering fixed.,00:07:11.790,00:07:14.230
"In fact, that's sort of
a second order effect.",00:07:14.230,00:07:17.060
"When you actually do the
computations, what you",00:07:17.060,00:07:19.250
"discover is that it doesn't
make that much difference.",00:07:19.250,00:07:21.940
To the a.,00:07:21.940,00:07:22.630
"And that's something that
you get from experience.",00:07:22.630,00:07:25.040
"That it turns out, which
things matter and",00:07:25.040,00:07:28.270
which things don't.,00:07:28.270,00:07:28.980
"And yet again, that's exactly
the same sort of consideration",00:07:28.980,00:07:31.820
"but at the next order of what
I'm talking about here is.",00:07:31.820,00:07:34.670
"You have to have enough
experience with numbers to",00:07:34.670,00:07:36.540
"know that if you take, if you
vary something a little bit",00:07:36.540,00:07:39.210
"it's not going to change
the answer that you're",00:07:39.210,00:07:40.950
looking for very much.,00:07:40.950,00:07:42.680
"And that's exactly the point
that I'm making.",00:07:42.680,00:07:45.530
"So I can't make them all at
once, all such points.",00:07:45.530,00:07:51.830
"So that's my pitch for
understanding things from this",00:07:51.830,00:07:55.590
point of view.,00:07:55.590,00:07:56.470
"Now, we're going to go
on, now, to quadratic",00:07:56.470,00:08:00.090
"approximations, which are a
little more complicated.",00:08:00.090,00:08:13.290
"So, we talked a little bit about
this last time but I",00:08:13.290,00:08:16.110
didn't finish.,00:08:16.110,00:08:16.850
So I want to finish this up.,00:08:16.850,00:08:19.930
"And the first thing that I
should say is that you use the",00:08:19.930,00:08:26.920
"when the linear approximation
is not enough.",00:08:26.920,00:08:35.680
"OK, so, that's something that
you really need to get a",00:08:35.680,00:08:38.660
little experience with.,00:08:38.660,00:08:40.390
"In economics, I told you they
use logarithms. So sometimes",00:08:40.390,00:08:44.480
they use log linear functions.,00:08:44.480,00:08:46.030
"Sometimes they use log quadratic
functions when the",00:08:46.030,00:08:48.190
log linear ones don't work.,00:08:48.190,00:08:49.860
"So most modeling in
economics is with",00:08:49.860,00:08:51.840
log quadratic functions.,00:08:51.840,00:08:53.730
"And if you've made it
any more complicated",00:08:53.730,00:08:55.250
"than that, it's useless.",00:08:55.250,00:08:56.740
And it's a mess.,00:08:56.740,00:08:57.850
And people don't do it.,00:08:57.850,00:08:58.810
"So they stick with the quadratic
ones, typically.",00:08:58.810,00:09:02.790
"So the basic formula here, and
I'm going to take the base",00:09:02.790,00:09:07.010
"point to be 0, is that f (
x ) is approximately f",00:09:07.010,00:09:10.745
( 0 ) f' ( 0 )x.,00:09:10.745,00:09:14.380
That's the linear part.,00:09:14.380,00:09:16.100
Plus this extra term.,00:09:16.100,00:09:17.520
Which is f'' ( 0 ) / 2x^2.,00:09:17.520,00:09:21.440
"And this is supposed to
work for x near 0.",00:09:21.440,00:09:27.740
"So it shows in the base point
as simply as possible.",00:09:27.740,00:09:34.310
"So here's more or less where
we left off last time.",00:09:34.310,00:09:38.060
