text,start,stop
"The following content is
provided under a Creative",00:00:00.000,00:00:02.330
Commons license.,00:00:02.330,00:00:03.610
"Your support will help MIT
OpenCourseWare continue to",00:00:03.610,00:00:06.730
"offer high quality educational
resources for free.",00:00:06.730,00:00:10.190
"To make a donation, or to view
additional materials from",00:00:10.190,00:00:12.930
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:12.930,00:00:16.150
ocw.mit.edu.,00:00:16.150,00:00:22.040
"PROFESSOR: OK, we're ready to
start the eleventh lecture.",00:00:22.040,00:00:25.380
"We're still in the middle
of sketching.",00:00:25.380,00:00:29.390
"And, indeed, one of the reasons
why we did not talk",00:00:29.390,00:00:33.250
"about hyperbolic functions is
this that we're running just a",00:00:33.250,00:00:38.490
little bit behind.,00:00:38.490,00:00:39.540
"And we'll catch up
a tiny bit today.",00:00:39.540,00:00:41.720
"And I hope all the way on
Tuesday of next week.",00:00:41.720,00:00:46.000
"So let me pick up where we
left off, with sketching.",00:00:46.000,00:00:58.640
So this is a continuation.,00:00:58.640,00:01:05.220
"I want to give you one
more example of",00:01:05.220,00:01:07.440
how to sketch things.,00:01:07.440,00:01:08.390
"And then we'll go through
it systematically.",00:01:08.390,00:01:10.380
"So the second example that
we did as one example",00:01:10.380,00:01:13.450
"last time, is this.",00:01:13.450,00:01:18.060
"The function is x
+ + 1 / x + + 2.",00:01:18.060,00:01:21.970
"And I'm going to save you
the time right now.",00:01:21.970,00:01:25.780
"This is very typical of me,
especially if you're in a",00:01:25.780,00:01:29.140
"hurry on an exam, I'll
just tell you what",00:01:29.140,00:01:30.860
the derivative is.,00:01:30.860,00:01:32.920
"So in this case, it's
1 / (x + 2)^2.",00:01:32.920,00:01:37.760
"Now, the reason why I'm bringing
this example up, even",00:01:37.760,00:01:42.650
"though it'll turn out to be
a relatively simple one to",00:01:42.650,00:01:44.720
"sketch, is that it's easy to
fall into a black hole with",00:01:44.720,00:01:51.890
this problem.,00:01:51.890,00:01:53.890
So let me just show you.,00:01:53.890,00:01:57.470
