text,start,stop
OK.,00:00:10.740,00:00:11.700
"This is linear algebra
lecture eleven.",00:00:11.700,00:00:17.050
"And at the end of lecture ten,
I was talking about some vector",00:00:17.050,00:00:22.760
"spaces, but they're --",00:00:22.760,00:00:26.880
"the things in
those vector spaces",00:00:26.880,00:00:29.070
"were not what we
usually call vectors.",00:00:29.070,00:00:33.180
"Nevertheless, you
could add them and you",00:00:33.180,00:00:36.010
"could multiply by numbers,
so we can call them vectors.",00:00:36.010,00:00:40.230
"I think the example
I was working",00:00:40.230,00:00:41.970
with they were matrices.,00:00:41.970,00:00:44.100
"So the -- so we had
like a matrix space,",00:00:44.100,00:00:46.990
"the space of all three
by three matrices.",00:00:46.990,00:00:50.230
"And I'd like to just pick
up on that, because --",00:00:50.230,00:00:55.530
"we've been so specific about
n dimensional space here,",00:00:55.530,00:01:00.600
"and you really want to see that
the same ideas work as long",00:01:00.600,00:01:05.640
"as you can add and
multiply by scalars.",00:01:05.640,00:01:09.270
"So these new, new vector
spaces, the example I took",00:01:09.270,00:01:16.640
"was the space M of all
three by three matrices.",00:01:16.640,00:01:24.085
OK.,00:01:26.900,00:01:29.230
"I can add them, I can
multiply by scalars.",00:01:29.230,00:01:32.630
"I can multiply two of them
together, but I don't do that.",00:01:32.630,00:01:36.380
"That's not part of the
vector space picture.",00:01:36.380,00:01:38.710
"The vector space part is
just adding the matrices",00:01:38.710,00:01:43.420
and multiplying by numbers.,00:01:43.420,00:01:45.690
"And that's fine, we stay
within this space of three",00:01:45.690,00:01:50.540
by three matrices.,00:01:50.540,00:01:52.220
"And I had some subspaces
that were interesting,",00:01:52.220,00:01:56.050
"like the symmetric, the
subspace of symmetric matrices,",00:01:56.050,00:02:02.850
symmetric three by threes.,00:02:02.850,00:02:05.600
"Or the subspace of upper
triangular three by threes.",00:02:05.600,00:02:13.420
"Now I, I use the word subspace
because it follows the rule.",00:02:13.420,00:02:21.540
"If I add two symmetric
matrices, I'm still symmetric.",00:02:21.540,00:02:25.240
"If I multiply two
symmetric matrices,",00:02:25.240,00:02:27.680
"is the product
automatically symmetric?",00:02:27.680,00:02:30.900
No.,00:02:30.900,00:02:31.870
"But I'm not
multiplying matrices.",00:02:31.870,00:02:34.510
I'm just adding.,00:02:34.510,00:02:35.180
So I'm fine.,00:02:35.180,00:02:36.900
This is a subspace.,00:02:36.900,00:02:38.430
"Similarly, if I add two
upper triangular matrices,",00:02:38.430,00:02:42.320
I'm still upper triangular.,00:02:42.320,00:02:45.400
"And, that's a subspace.",00:02:45.400,00:02:48.630
"Now I just want to take these
as example and ask, well,",00:02:48.630,00:02:52.900
"what's a basis
for that subspace?",00:02:52.900,00:02:55.240
"What's the dimension
of that subspace?",00:02:55.240,00:02:57.570
"And what's bd- dimension
of the whole space?",00:02:57.570,00:03:00.900
"So, there's a natural basis for
all three by three matrices,",00:03:00.900,00:03:07.840
"and why don't we
just write it down.",00:03:07.840,00:03:11.120
"So, so M, a basis for M.",00:03:11.120,00:03:21.370
"Again, all three by threes.",00:03:21.370,00:03:23.760
OK.,00:03:27.940,00:03:30.380
"And then I'll just count how
many members are in that basis",00:03:30.380,00:03:34.400
and I'll know the dimension.,00:03:34.400,00:03:36.490
"And OK, it's going to
take me a little time.",00:03:36.490,00:03:40.790
"In fact, what is the dimension?",00:03:40.790,00:03:43.720
"Any idea of what I'm
coming up with next?",00:03:43.720,00:03:47.840
"How many numbers does it
take to specify that three",00:03:47.840,00:03:52.570
by three matrix?,00:03:52.570,00:03:53.250
Nine.,00:03:53.250,00:03:53.750
"Nine is the, is the
dimension I'm going to find.",00:03:56.310,00:03:59.550
"And the most obvious basis
would be the matrix that's",00:03:59.550,00:04:04.630
"that matrix and then this
matrix with a one there",00:04:04.630,00:04:12.880
"and that's two of them,
shall I put in the third one,",00:04:12.880,00:04:21.490
"and then onwards, and
the last one maybe",00:04:21.490,00:04:27.130
would end with the one.,00:04:27.130,00:04:29.900
OK.,00:04:29.900,00:04:30.400
That's like the standard basis.,00:04:34.340,00:04:36.240
"In fact, our space is
practically the same",00:04:36.240,00:04:40.820
as nine dimensional space.,00:04:40.820,00:04:43.850
"It's just the nine numbers
are written in a square",00:04:43.850,00:04:48.310
instead of in a column.,00:04:48.310,00:04:50.150
"But somehow it's different
and, and ought to be thought",00:04:50.150,00:04:54.510
of as --,00:04:54.510,00:04:56.186
natural for itself.,00:04:59.310,00:05:01.280
"Because now what about the
symmetric three by threes?",00:05:01.280,00:05:05.760
So that's a subspace.,00:05:05.760,00:05:09.100
"Just let's just think, what's
the dimension of that subspace",00:05:09.100,00:05:12.300
"and what's a basis
for that subspace.",00:05:12.300,00:05:14.050
OK.,00:05:16.630,00:05:17.820
"And I guess this
question occurs to me.",00:05:17.820,00:05:21.300
"If I look at this subspace
of symmetric three",00:05:21.300,00:05:24.830
"by threes, well, how many
of these original basis",00:05:24.830,00:05:32.040
members belong to the subspace?,00:05:32.040,00:05:36.060
I think only three of them do.,00:05:36.060,00:05:38.050
This one is symmetric.,00:05:38.050,00:05:40.660
This last one is symmetric.,00:05:40.660,00:05:43.490
"And the one in the middle with
a, with a one in that position",00:05:43.490,00:05:48.250
"-- in the two two position,
would be symmetric.",00:05:48.250,00:05:52.210
"But so I've got three of these
original nine are symmetric,",00:05:52.210,00:05:56.680
"but, so this is an
example where --",00:05:56.680,00:06:03.800
"but that's, that's
not all, right?",00:06:03.800,00:06:05.600
What's the dimension?,00:06:05.600,00:06:06.610
Let's put the dimensions down.,00:06:06.610,00:06:08.450
"Dimension of the,
of M, was nine.",00:06:08.450,00:06:13.580
"What's the dimension of --
shall we call this S -- is what?",00:06:13.580,00:06:16.830
What's the dimension of this?,00:06:19.630,00:06:21.340
"I'm sort of taking simple
examples where we can, we can,",00:06:21.340,00:06:25.660
"spot the answer to
these questions.",00:06:25.660,00:06:30.130
"So how many -- if I
have a symmetric --",00:06:30.130,00:06:32.690
"think of all symmetric
matrices as a subspace,",00:06:32.690,00:06:36.750
"how many parameters do I choose
in three by three symmetric",00:06:36.750,00:06:40.760
matrices?,00:06:40.760,00:06:42.720
"Six, right.",00:06:42.720,00:06:45.020
"If I choose the
diagonal that's three,",00:06:45.020,00:06:49.220
"and the three entries
above the diagonal,",00:06:49.220,00:06:53.340
"then I know what the
three entries below.",00:06:53.340,00:06:55.230
So the dimension is six.,00:06:55.230,00:06:58.550
"I guess what's the
dimension of this here?",00:06:58.550,00:07:00.820
"Let's call this space
U for upper triangular.",00:07:00.820,00:07:05.180
"So what's the dimension of that
space of all upper triangular",00:07:05.180,00:07:09.440
three by threes?,00:07:09.440,00:07:11.390
Again six.,00:07:11.390,00:07:13.870
Again six.,00:07:13.870,00:07:14.585
"And, but we haven't got a -- we
haven't seen -- well, actually,",00:07:17.620,00:07:24.490
"maybe we have got a basis here
for, the upper triangulars.",00:07:24.490,00:07:29.620
"I guess six of these guys,
one, two, three, four,",00:07:29.620,00:07:35.070
"and a, and a couple more,
would be upper triangular.",00:07:35.070,00:07:39.120
"So there's a accidental case
where the big basis contains",00:07:39.120,00:07:44.390
in it a basis for the subspace.,00:07:44.390,00:07:46.930
"But with the symmetric
guy, it didn't have.",00:07:46.930,00:07:50.720
"The symmetric guy the,
basis -- so you see --",00:07:50.720,00:07:53.570
"a basis is the basis
for the big space,",00:07:53.570,00:07:56.690
"we generally need to think it
all over again to get a basis",00:07:56.690,00:08:00.800
for the subspace.,00:08:00.800,00:08:03.020
"And then how do I
get other subspaces?",00:08:03.020,00:08:06.050
"Well, we spoke before about, the
subspace the symmetric matrices",00:08:06.050,00:08:15.100
and the upper triangular.,00:08:15.100,00:08:18.050
"This is symmetric
and upper triangular.",00:08:18.050,00:08:24.920
"What's the, what's the
dimension of that space?",00:08:30.280,00:08:36.409
