text,start,stop
"The following content is
provided under a Creative",00:00:00.000,00:00:07.040
Commons license.,00:00:07.040,00:00:07.174
"Your support will help MIT
OpenCourseWare continue to",00:00:07.174,00:00:07.526
"offer high quality educational
resources for free.",00:00:07.526,00:00:09.940
"To make a donation, or to view
additional materials from",00:00:09.940,00:00:11.510
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:11.510,00:00:19.250
ocw.mit.edu.,00:00:19.250,00:00:22.780
"PROFESSOR: In the twelfth
lecture, we're going to talk",00:00:22.780,00:00:25.340
about maxima and minima.,00:00:25.340,00:00:31.110
"Let's finish up what
we did last time.",00:00:31.110,00:00:33.110
"We really only just started
with maxima and minima.",00:00:33.110,00:00:35.710
"And then we're going to talk
about related rates.",00:00:35.710,00:00:38.100
"So, right now I want to give you
some examples of max-min",00:00:38.100,00:00:49.210
"problems. And we're going to
start with a fairly basic one.",00:00:49.210,00:00:55.540
"So what's the thing about
max-min problems?",00:00:55.540,00:00:58.540
"The main thing is that we're
asking you to do a little bit",00:00:58.540,00:01:02.150
"more of the interpretation of
word problems. So many of the",00:01:02.150,00:01:06.580
"problems are expressed
in terms of words.",00:01:06.580,00:01:09.970
"And so, in this case, we have
a wire which is length 1.",00:01:09.970,00:01:18.650
Cut into two pieces.,00:01:18.650,00:01:29.610
"And then each piece
encloses a square.",00:01:29.610,00:01:38.150
"Sorry, encloses a square.",00:01:38.150,00:01:44.400
"And the problem - so
this is the setup.",00:01:44.400,00:01:47.170
"And the problem is to find the
largest area enclosed.",00:01:47.170,00:02:02.650
So here's the problem.,00:02:02.650,00:02:03.910
"Now, in all of these cases, in
all these cases, there's a",00:02:03.910,00:02:10.570
bunch of words.,00:02:10.570,00:02:11.600
"And your job is typically
to draw a diagram.",00:02:11.600,00:02:18.700
"So the first thing you want to
do is to draw a diagram.",00:02:18.700,00:02:20.890
"In this case, it can be
fairly schematic.",00:02:20.890,00:02:23.340
Here's your unit length.,00:02:23.340,00:02:25.400
"And when you draw the diagram,
you're going to",00:02:25.400,00:02:27.590
have to pick variables.,00:02:27.590,00:02:29.370
"So those are really the
two main tasks.",00:02:29.370,00:02:34.700
To set up the problem.,00:02:34.700,00:02:35.665
So you're drawing a diagram.,00:02:35.665,00:02:37.170
"This is like word problems of
old, in grade school through",00:02:37.170,00:02:41.330
high school.,00:02:41.330,00:02:42.410
"Draw a diagram and name
the variables.",00:02:42.410,00:02:50.020
"So we'll be doing a
lot of that today.",00:02:50.020,00:02:52.900
So here's my unit length.,00:02:52.900,00:02:54.950
"And I'm going to choose the
variable x to be the length of",00:02:54.950,00:02:58.770
one of the pieces of wire.,00:02:58.770,00:03:00.280
"And that makes the other
piece 1 - x.",00:03:00.280,00:03:03.240
"And that's pretty much the whole
diagram, except that",00:03:03.240,00:03:06.430
"there's something that we
did with the wire after",00:03:06.430,00:03:08.210
we cut it in half.,00:03:08.210,00:03:09.710
"Namely, we built two little
boxes out of it.",00:03:09.710,00:03:13.370
"Like this, these are
our squares.",00:03:13.370,00:03:15.520
"And their side lengths are
x / 4 and (1 - x) / 4.",00:03:15.520,00:03:25.020
"So, so far, so good.",00:03:25.020,00:03:26.710
"And now we have to think, well,
we want to find the",00:03:26.710,00:03:29.390
largest area.,00:03:29.390,00:03:30.450
"So I need a formula for area
in terms of variables that",00:03:30.450,00:03:33.170
I've described.,00:03:33.170,00:03:34.490
And so that's the last thing.,00:03:34.490,00:03:35.790
"I'll give the letter a as
the label for the area.",00:03:35.790,00:03:39.400
"And then the area is just
the square of x/4 + the",00:03:39.400,00:03:47.080
square of 1 - x.,00:03:47.080,00:03:49.940
"Whoops, that strange
2 got in here.",00:03:49.940,00:03:52.720
Over 4.,00:03:52.720,00:03:57.780
"So far, so good.",00:03:57.780,00:03:59.110
"Now, The instinct that you'll
have, and I'm going to yield",00:03:59.110,00:04:02.720
"to that instinct, is we should
charge ahead and just",00:04:02.720,00:04:06.520
differentiate.,00:04:06.520,00:04:07.430
Alright?,00:04:07.430,00:04:07.870
That's alright.,00:04:07.870,00:04:08.460
"We'll find the critical
points.",00:04:08.460,00:04:10.430
"So we know that those are
important points.",00:04:10.430,00:04:12.995
"So we're going to find
the critical points.",00:04:12.995,00:04:17.840
"In other words, we take the
derivative we set, the",00:04:17.840,00:04:22.780
"derivative of a with
respect to x = 0.",00:04:22.780,00:04:27.390
"So if I do that differentiation,
I get the,",00:04:27.390,00:04:32.690
"well, so the first one,
x^2 / 16, that's 8.",00:04:32.690,00:04:37.240
Sorry.,00:04:37.240,00:04:40.870
"That's x / 8, right?",00:04:40.870,00:04:44.060
That's a derivative of this.,00:04:44.060,00:04:45.570
"And if I differentiate this, I
get well, the derivative of 1",00:04:45.570,00:04:51.050
- x ^2 is 2 ( 1 - x)( a - 1).,00:04:51.050,00:04:56.930
So it's - (1 - x) / 8.,00:04:56.930,00:05:03.170
