text,start,stop
"We are going to start today in
a serious way on the",00:00:07.000,00:00:12.882
"inhomogenous equation,
second-order linear",00:00:12.882,00:00:17.705
"differential,
I'll simply write it out",00:00:17.705,00:00:22.058
"instead of writing out all the
words which go with it.",00:00:22.058,00:00:28.294
"So, such an equation looks
like, the second-order equation",00:00:28.294,00:00:35.000
"is going to look like y double
prime plus p of x,",00:00:35.000,00:00:40.647
"t, x plus q of x times y.
Now, up to now the right-hand",00:00:40.647,00:00:47.991
"side has been zero.
So, now we are going to make it",00:00:47.991,00:00:53.147
"not be zero.
So, this is going to be f of x.",00:00:53.147,00:00:57.479
In the most frequent,00:00:57.479,00:01:00.470
"applications,
x is time.",00:01:00.470,00:01:02.843
"x is usually time,
often, but not always.",00:01:02.843,00:01:08.000
"So, maybe just for today,
I will use X in talking about",00:01:08.000,00:01:13.030
"the general theory.
And, from now on,",00:01:13.030,00:01:16.383
"I'll probably make X equal time
because that's what is most of",00:01:16.383,00:01:22.065
"the time in the applications.
So, this is the part we've been",00:01:22.065,00:01:27.654
"studying up until now.
It has a lot of names.",00:01:27.654,00:01:31.753
"It's input, signal,
commas between those,",00:01:31.753,00:01:35.479
"a driving term,
or sometimes it's called the",00:01:35.479,00:01:39.484
"forcing term.
You'll see all of these in the",00:01:39.484,00:01:44.160
"literature, and it pretty much
depends upon what course you're",00:01:44.160,00:01:48.554
"sitting at, what the professor
habitually calls it.",00:01:48.554,00:01:52.155
"I will try to use all these
terms now and then,",00:01:52.155,00:01:55.468
"probably most often I will
lapse into input as the most",00:01:55.468,00:01:59.357
"generic term,
suggesting nothing in",00:01:59.357,00:02:01.806
"particular, and therefore,
equally acceptable or",00:02:01.806,00:02:05.191
"unacceptable to everybody.
The response,",00:02:05.191,00:02:09.651
"the solution,
then, the solution as you know",00:02:09.651,00:02:15.116
"is then called the response.
The response,",00:02:15.116,00:02:20.325
"sometimes it's called the
output.",00:02:20.325,00:02:24.392
"I think I'll stick pretty much
with response.",00:02:24.392,00:02:31.000
"So, I'm using pretty much the
same terminology we use for",00:02:31.000,00:02:35.894
"studying first-order equations.
Now, as you will see,",00:02:35.894,00:02:40.439
"the reason we had to study the
homogeneous case first was",00:02:40.439,00:02:45.333
"because you cannot solve this
without knowing the homogeneous",00:02:45.333,00:02:50.577
"solutions.
So, that's the inhomogeneous",00:02:50.577,00:02:53.898
"case.
But the homogeneous one,",00:02:53.898,00:02:56.432
"the corresponding homogeneous
thing, y double prime plus p of",00:02:56.432,00:03:01.676
"x y prime plus q of x times y
equals zero",00:03:01.676,00:03:06.745
"is an essential
part of the solution to this",00:03:06.745,00:03:11.640
"equation.
That's called,",00:03:11.640,00:03:15.304
"therefore, it has names.
Now, unfortunately,",00:03:15.304,00:03:19.311
"it doesn't have a single name.
I don't know what to call it,",00:03:19.311,00:03:24.810
"but I think I'll probably call
it the associated homogeneous",00:03:24.810,00:03:30.308
"equation, or ODE,
the associated homogeneous",00:03:30.308,00:03:34.315
"equation, the one associated to
the guy on the left.",00:03:34.315,00:03:40.000
"It's also called the reduced
equation by some people.",00:03:40.000,00:03:44.013
"There is some other term for
it, which escapes me totally,",00:03:44.013,00:03:48.412
"but what the heck.
Now, its solution has a name.",00:03:48.412,00:03:52.040
"So, its solution,
of course, doesn't depend on",00:03:52.040,00:03:55.513
"anything in particular,
the general solution,",00:03:55.513,00:03:58.909
"because the right-hand side is
always zero.",00:03:58.909,00:04:03.000
"So, its solution,
we know can be written as y",00:04:03.000,00:04:06.285
"equals in the form c1 y1 plus c2
y2,",00:04:06.285,00:04:10.093
"where y1 and y2 are any two
independent solutions of that,",00:04:10.093,00:04:14.349
"and then c1's and c2's are
arbitrary constants.",00:04:14.349,00:04:17.783
"Now, what you are looking at
this equation,",00:04:17.783,00:04:20.920
"you're going to need this also.
And therefore,",00:04:20.920,00:04:24.279
"it has a name.
It has various names.",00:04:24.279,00:04:26.893
"Sometimes there is a subscript,
c, there.",00:04:26.893,00:04:31.000
