text,start,stop
"NARRATOR: The
following content is",00:00:00.000,00:00:01.715
"provided by MIT OpenCourseWare
under a Creative Commons",00:00:01.715,00:00:04.690
license.,00:00:04.690,00:00:06.090
"Additional information
about our license",00:00:06.090,00:00:08.230
"and MIT OpenCourseWare
in general",00:00:08.230,00:00:10.490
is available at ocw.mit.edu.,00:00:10.490,00:00:11.930
"PROFESSOR: Finite difference
methods for initial value",00:00:15.480,00:00:17.730
"problems that we're
coming to the end of,",00:00:17.730,00:00:20.770
"and the solving large
systems that we're",00:00:20.770,00:00:24.810
"coming to the beginning of, was
to talk today about matrices,",00:00:24.810,00:00:33.200
"because that language is
just useful for everything.",00:00:33.200,00:00:38.230
"So about the homeworks, Mr.
Cho put in a long weekend",00:00:40.830,00:00:46.410
"grading the homeworks
that were turned in Friday",00:00:46.410,00:00:49.590
"and preparing code
and output to go up",00:00:49.590,00:00:55.420
"on the web page, probably
late tonight or tomorrow.",00:00:55.420,00:00:58.980
"So have a look to see and I
hope that those codes will",00:00:58.980,00:01:06.110
be useful for the future too.,00:01:06.110,00:01:08.470
Right.,00:01:08.470,00:01:09.740
"So we'll maybe say
more about the outputs.",00:01:09.740,00:01:13.430
"And about the projects,
which by the way,",00:01:13.430,00:01:18.110
"could grow out of
that homework or could",00:01:18.110,00:01:21.030
"go in a totally
different direction,",00:01:21.030,00:01:23.250
"I'm thinking that the right
time to say projects due",00:01:23.250,00:01:28.510
would be after spring break.,00:01:28.510,00:01:31.200
"So pretty much nearly
immediately after the spring",00:01:31.200,00:01:36.100
"break would be -- and
we'll talk about it more,",00:01:36.100,00:01:38.440
"but just so you have
an idea of what's --",00:01:38.440,00:01:40.780
what timetable I had in mind.,00:01:40.780,00:01:44.120
"So, matrices then.",00:01:44.120,00:01:45.260
"In particular, finite
difference matrices.",00:01:49.010,00:01:52.780
"So that's the second
difference matrix, K,",00:01:52.780,00:01:58.770
"and I'll frequently use that
letter K as I did in 18.085",00:01:58.770,00:02:03.340
"for that very, very
important and useful matrix.",00:02:03.340,00:02:07.630
So what are its properties?,00:02:07.630,00:02:09.940
It's tridiagonal.,00:02:09.940,00:02:10.730
"That's a very important
property, which we'll see,",00:02:13.360,00:02:16.200
"because that means
that computations",00:02:16.200,00:02:19.410
"solving linear systems are very
fast with a tridiagonal matrix.",00:02:19.410,00:02:25.420
It's symmetric.,00:02:25.420,00:02:27.740
"All its eigenvalues
are positive,",00:02:27.740,00:02:30.660
"so I would say it's
symmetric, positive definite.",00:02:30.660,00:02:34.200
"And those eigenvalues
and eigenvectors --",00:02:34.200,00:02:37.030
"so the eigenvectors for this
matrix turn out to be discrete",00:02:37.030,00:02:42.065
"-- not quite discrete
exponentials, discrete sines,",00:02:42.065,00:02:47.510
discrete sine function.,00:02:47.510,00:02:49.670
"If I change the
boundary conditions,",00:02:49.670,00:02:51.650
"I can get discrete cosines
as the eigenvectors.",00:02:51.650,00:02:54.950
"Or I could get
discrete exponentials",00:02:54.950,00:02:57.100
"as the eigenvectors
by making it periodic.",00:02:57.100,00:03:00.620
"Maybe I'll mention how
to make it periodic",00:03:00.620,00:03:02.710
and then I'll erase it again.,00:03:02.710,00:03:05.390
"To make it periodic means that
this second different centered",00:03:05.390,00:03:09.550
"at point 1 should
look ahead to point 2",00:03:09.550,00:03:13.640
"and look behind to point 0, but
that'll be the same as point n,",00:03:13.640,00:03:17.540
"so I would put a minus 1
in that corner and this one",00:03:17.540,00:03:21.750
"similarly, it looks ahead,
which really brings it around",00:03:21.750,00:03:27.360
"again, since we're
sort of on a circle,",00:03:27.360,00:03:30.080
brings it around again here.,00:03:30.080,00:03:32.470
"So that matrix now, with
minus 1's added in the corner,",00:03:32.470,00:03:36.890
"I would call C, a circular.",00:03:36.890,00:03:39.970
"So I'll leave the
letter K there,",00:03:39.970,00:03:44.390
"but the right letter is C
while these minus 1's are here",00:03:44.390,00:03:49.290
to make it periodic.,00:03:49.290,00:03:50.920
"By the way, they mess
up that the tridiagonal.",00:03:50.920,00:03:54.370
It's no longer tridiagonal.,00:03:54.370,00:03:56.690
"Also, it certainly got
-- it's very sparse.",00:03:56.690,00:03:59.880
"Mentioning sparse
reminds me, if you're",00:04:03.390,00:04:07.640
"coding large matrices
that are sparse,",00:04:07.640,00:04:11.400
"you should let MATLAB
know that they're sparse.",00:04:11.400,00:04:14.640
"So MATLAB has a whole -- it
carries out operations --",00:04:14.640,00:04:19.690
"if you tell it it's
a sparse matrix,",00:04:19.690,00:04:23.050
"then it only operates where the
non-zeros are located and it",00:04:23.050,00:04:29.510
"doesn't waste its time looking
at these 0's, these 0's through",00:04:29.510,00:04:34.640
all the matrix steps.,00:04:34.640,00:04:36.840
"So using sparse MATLAB is
important thing to know about.",00:04:42.300,00:04:47.380
"It's just typically
an s or an sp",00:04:47.380,00:04:49.970
will appear in MATLAB commands.,00:04:49.970,00:04:53.070
"For example, I'll just
maybe fill it in here.",00:04:53.070,00:04:56.700
"What's the sparse
identity matrix?",00:04:56.700,00:04:59.050
"The normal identity
matrix would be",00:04:59.050,00:05:01.300
"eye of n and the sparse identity
matrix is sp, speye of n.",00:05:01.300,00:05:09.620
"Similarly, we would create K --
we could use 2 times speye of n",00:05:09.620,00:05:16.290
"as the diagonal
of K and the two,",00:05:16.290,00:05:20.450
"the upper and lower diagonals --
and we could tell it these two",00:05:20.450,00:05:27.140
entries.,00:05:27.140,00:05:28.670
"Another thing to say -- what
I said I wasn't going to do,",00:05:28.670,00:05:33.730
"I'll do because I hate to see
a K up there while it's not",00:05:33.730,00:05:37.451
right.,00:05:37.451,00:05:37.950
"Two more points
about this matrix.",00:05:41.510,00:05:46.460
It's singular now.,00:05:46.460,00:05:49.060
