text,start,stop
"The following content is
provided under a Creative",00:00:00.030,00:00:02.400
Commons license.,00:00:02.400,00:00:03.840
"Your support will help MIT
OpenCourseWare continue to",00:00:03.840,00:00:06.840
"offer high quality educational
resources for free.",00:00:06.840,00:00:10.530
"To make a donation or view
additional materials from",00:00:10.530,00:00:13.390
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.390,00:00:17.590
ocw.mit.edu.,00:00:17.590,00:00:21.560
"PROFESSOR: I want to take a few
minutes at the start of",00:00:21.560,00:00:23.450
"today's lecture to wrap
up a few more",00:00:23.450,00:00:25.620
things about debugging.,00:00:25.620,00:00:27.460
"And then I'll move on
to the main event.",00:00:27.460,00:00:33.470
Just a few small points.,00:00:33.470,00:00:34.750
"First of all, keep in mind that
the bug is probably not",00:00:34.750,00:00:39.030
where you think it is.,00:00:39.030,00:00:40.970
"Because if a bug were there,
you'd have already found it.",00:00:40.970,00:00:45.860
"There are some simple things
that you should always look at",00:00:45.860,00:00:49.020
when you're looking for bugs.,00:00:49.020,00:00:54.940
Reversed order of arguments.,00:00:54.940,00:00:59.590
"You might have a function that
takes to floats and you just",00:00:59.590,00:01:03.850
"passed them in the
wrong order.",00:01:03.850,00:01:06.080
"You may have noticed that when
Professor Grimson and I used",00:01:06.080,00:01:09.190
"examples in class, we were
pretty careful how we name our",00:01:09.190,00:01:12.650
parameters.,00:01:12.650,00:01:14.500
"And I often end up using the
same names for the actuals and",00:01:14.500,00:01:17.720
the formals.,00:01:17.720,00:01:19.380
"And this just helps me not get
confused about what order to",00:01:19.380,00:01:22.740
do things in.,00:01:22.740,00:01:25.030
Spelling.,00:01:25.030,00:01:30.310
"These are just dumb little
things to look for.",00:01:30.310,00:01:32.220
"Did you spell all the
identifiers the way",00:01:32.220,00:01:34.200
you think you did.,00:01:34.200,00:01:35.970
"The problem is, when you
read code you see what",00:01:35.970,00:01:38.980
you expect to see.,00:01:38.980,00:01:41.190
"And if you've typed in l when
you should've typed a 1, or a",00:01:41.190,00:01:43.870
"1 when you should've typed an
l, you're likely to miss it.",00:01:43.870,00:01:48.320
"If you've made a mistake with
upper and lower case.",00:01:48.320,00:01:50.990
Things like that.,00:01:50.990,00:01:52.540
"So just be very careful
looking at that.",00:01:52.540,00:01:57.060
Initialization.,00:01:57.060,00:02:04.500
"A very common bug is to
initialize a variable.",00:02:04.500,00:02:09.060
"Go through a loop, and then
forget to reinitialize it when",00:02:09.060,00:02:12.530
"it needs to be reinitialized
again.",00:02:12.530,00:02:15.280
"So it's initialized outside
the loop when it should be",00:02:15.280,00:02:17.890
initialized inside the loop.,00:02:17.890,00:02:20.390
"Or conversely, inside the
loop when it should",00:02:20.390,00:02:22.460
be outside the loop.,00:02:22.460,00:02:24.820
"So look carefully at when
variables are being",00:02:24.820,00:02:28.020
initialized.,00:02:28.020,00:02:35.330
Object versus value equality.,00:02:35.330,00:02:43.180
"Particularly when you use double
equals, are you asking",00:02:43.180,00:02:47.180
"whether you've got the same
object or the same value?",00:02:47.180,00:02:51.130
"They mean very different things,
as we have seen.",00:02:51.130,00:02:54.750
Keep track of that.,00:02:54.750,00:02:58.060
Related to that is aliasing.,00:02:58.060,00:03:05.390
"And you'll see that, by the way,
on the problem set that",00:03:05.390,00:03:08.470
we're posting tomorrow.,00:03:08.470,00:03:10.380
