text,start,stop
"PROFESSOR: The following content
is provided under a Creative",00:00:00.259,00:00:02.800
Commons license.,00:00:02.800,00:00:04.340
"Your support will help
MIT OpenCourseWare",00:00:04.340,00:00:06.660
"continue to offer high quality
educational resources for free.",00:00:06.660,00:00:11.020
"To make a donation or
view additional materials",00:00:11.020,00:00:13.640
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.640,00:00:17.365
at ocw.mit.edu.,00:00:17.365,00:00:17.990
"Today we're going to start
with a simple problem",00:00:22.741,00:00:24.740
"that many of you may
have already encountered.",00:00:24.740,00:00:27.670
"For example, when you
got a student loan",00:00:27.670,00:00:29.840
"or if your family took a
loan out on your house,",00:00:29.840,00:00:32.564
"you know, a home mortgage
loan, and it's the problem",00:00:32.564,00:00:35.310
of pricing an annuity.,00:00:35.310,00:00:37.420
"An annuity is a
financial instrument",00:00:37.420,00:00:39.720
"that pays a fixed
amount of money",00:00:39.720,00:00:42.660
"every year for some
number of years,",00:00:42.660,00:00:44.910
"and it has a value
associated with it.",00:00:44.910,00:00:47.015
"For example, with
a student loan,",00:00:47.015,00:00:48.390
"the value is the amount of
money they gave you to pay MIT,",00:00:48.390,00:00:52.540
"then later in life-- every
year or every month-- you're",00:00:52.540,00:00:56.180
going to send them a check.,00:00:56.180,00:00:57.860
"And you want to sort of equate
those two things to find out,",00:00:57.860,00:01:00.821
"are you getting enough
money for the money",00:01:00.821,00:01:02.570
"you're going to pay back
monthly sometime in the future?",00:01:02.570,00:01:05.489
"So let's define this, and
there's a lot of variations",00:01:05.489,00:01:09.990
"on annuities, but we'll
start with one that's called",00:01:09.990,00:01:14.430
"an n-year $m-dollar
payment annuity,",00:01:14.430,00:01:30.450
"and it works by paying m dollars
at the start of each year,",00:01:30.450,00:01:46.950
and it lasts for n years.,00:01:46.950,00:01:48.582
"Now, usually n is
finite, but not always,",00:01:52.770,00:01:55.244
"and in a few minutes
we'll talk about the case",00:01:55.244,00:01:57.160
when it's infinite.,00:01:57.160,00:01:59.150
"But this includes
home mortgages,",00:01:59.150,00:02:01.850
"where you pay every
month for 30 years.",00:02:01.850,00:02:03.690
"Megabucks, the lottery.",00:02:03.690,00:02:05.800
"They don't actually give
you the million dollars.",00:02:05.800,00:02:07.890
"They give you $50,000
per year for 20 years,",00:02:07.890,00:02:11.030
and call it a million bucks.,00:02:11.030,00:02:13.250
Retirement plans.,00:02:13.250,00:02:14.880
"You pay in every
year, and then you",00:02:14.880,00:02:17.270
get some big lump sum later.,00:02:17.270,00:02:19.620
"Life insurance benefits,
you know, and so forth.",00:02:19.620,00:02:22.880
"Now, if you go to Wall
Street, this is a big deal.",00:02:22.880,00:02:25.940
"A lot of the stuff that
happens on Wall Street",00:02:25.940,00:02:28.080
