text,start,stop
"The following content is
provided under a Creative",00:00:01.900,00:00:03.182
Commons license.,00:00:03.182,00:00:03.610
"Your support will help MIT
OpenCourseWare continue to",00:00:03.610,00:00:06.835
"offer high quality educational
resources for free.",00:00:06.835,00:00:08.850
"To make a donation or to view
additional materials from",00:00:08.850,00:00:11.770
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:11.770,00:00:14.200
ocw.mit.edu.,00:00:14.200,00:00:21.780
"PROFESSOR: Today we're going
to keep on going",00:00:21.780,00:00:25.020
with related rates.,00:00:25.020,00:00:30.660
"And you may recall that last
time we were in the middle of",00:00:30.660,00:00:35.600
a problem with this geometry.,00:00:35.600,00:00:39.000
There was a right triangle.,00:00:39.000,00:00:41.260
There was a road.,00:00:41.260,00:00:43.190
"Which was going this way,
from right to left.",00:00:43.190,00:00:47.000
"And the police were up here,
monitoring the situation.",00:00:47.000,00:00:53.830
30 feet from the road.,00:00:53.830,00:00:55.990
And you're here.,00:00:55.990,00:00:59.990
And you're heading this way.,00:00:59.990,00:01:04.370
"Maybe it's a two lane highway,
but anyway it's only going",00:01:04.370,00:01:06.525
this direction.,00:01:06.525,00:01:07.680
And this distance was 50 feet.,00:01:07.680,00:01:11.670
"So, because you're moving, this
distance is varying and",00:01:11.670,00:01:17.320
so we gave it a letter.,00:01:17.320,00:01:19.120
"And, similarly, your distance
to the foot of the",00:01:19.120,00:01:21.900
"perpendicular with the
road is also varying.",00:01:21.900,00:01:25.050
"At this instant it's 40, because
this is a 3, 4, 5",00:01:25.050,00:01:29.890
right triangle.,00:01:29.890,00:01:31.570
"So this was the situation that
we were in last time.",00:01:31.570,00:01:35.830
"And we're going to pick
up where we left off.",00:01:35.830,00:01:38.090
"The question is, are you
speeding if the rate of change",00:01:38.090,00:01:50.860
"of D with respect to t is
80 feet per second.",00:01:50.860,00:01:56.510
"Now, technically that would be
- 80, because you're going",00:01:56.510,00:02:00.680
towards the policemen.,00:02:00.680,00:02:03.030
"Alright, so D is shrinking
at a rate of",00:02:03.030,00:02:05.530
- 80 feet per second.,00:02:05.530,00:02:10.550
"And I remind you that 95 feet
per second is approximately",00:02:10.550,00:02:16.910
the speed limit.,00:02:16.910,00:02:17.660
Which is 65 miles per hour.,00:02:17.660,00:02:21.370
"So, again, this is where
we were last time.",00:02:21.370,00:02:24.850
"And, got a little question
mark there.",00:02:24.850,00:02:30.150
"And so let's solve
this problem.",00:02:30.150,00:02:34.140
"So, this is the setup.",00:02:34.140,00:02:37.480
