text,start,stop
"The task for today is to find
particular solutions.",00:00:05.000,00:00:09.242
"So, let me remind you where
we've gotten to.",00:00:09.242,00:00:12.890
"We're talking about the
second-order equation with",00:00:12.890,00:00:17.048
"constant coefficients,
which you can think of as",00:00:17.048,00:00:21.036
"modeling springs,
or simple electrical circuits.",00:00:21.036,00:00:25.024
"But, what's different now is
that the right-hand side is an",00:00:25.024,00:00:29.945
"input which is not zero.
So, we are considering,",00:00:29.945,00:00:35.367
"I'm going to use x as your book
does, keeping to a neutral",00:00:35.367,00:00:41.235
"letter.
But, again, in the",00:00:41.235,00:00:43.808
"applications,
and in many of the applications",00:00:43.808,00:00:48.338
"at any rate, it wants to be t.
But, I make it x.",00:00:48.338,00:00:54.000
"So, the independent variable is
x, and the problem is,",00:00:54.000,00:00:59.799
"remember, that to find a
particular solution,",00:00:59.799,00:01:04.613
"and the reason why we want to
do that is then the general",00:01:04.613,00:01:10.741
"solution will be of the form y
equals that particular solution",00:01:10.741,00:01:17.416
"plus the complementary solution,
the general solution to the",00:01:17.416,00:01:23.872
"reduced equation,
which we can write this way.",00:01:23.872,00:01:30.000
"So, all the work depends upon
finding out what that yp is,",00:01:30.000,00:01:34.141
"and that's what we're going to
talk about today,",00:01:34.141,00:01:37.556
"or rather, talk about for two
weeks.",00:01:37.556,00:01:40.099
"But, the point is,
not all functions that you",00:01:40.099,00:01:43.296
"could write on the right-hand
side are equally interesting.",00:01:43.296,00:01:47.510
"There's one kind,
which is far more interesting,",00:01:47.510,00:01:50.925
"but more important in the
applications than all the",00:01:50.925,00:01:54.558
"others.
And, that's the one out of",00:01:54.558,00:01:56.956
"which, in fact,
as you will see later on this",00:01:56.956,00:02:00.152
"week and into next week,
an arbitrary function can be",00:02:00.152,00:02:03.931
"built out of these simple
functions.",00:02:03.931,00:02:08.000
"So, the important function is
on the right-hand side to be",00:02:08.000,00:02:13.199
"able to solve it when it's a
simple exponential.",00:02:13.199,00:02:17.486
"But, if you allow me to make it
a complex exponential,",00:02:17.486,00:02:22.320
"so, here are the important
right-hand sides where we want,",00:02:22.320,00:02:27.520
"we want to be able to do it
when it's of the form,",00:02:27.520,00:02:31.989
"e to the ax.
In general, that will be,",00:02:31.989,00:02:36.744
"in most applications,
a is not a growing exponential,",00:02:36.744,00:02:40.372
"but a decaying exponential.
So, typically,",00:02:40.372,00:02:43.232
"a is negative.
But, it doesn't have to be.",00:02:43.232,00:02:46.093
"I'll put it in parentheses,
though, often.",00:02:46.093,00:02:48.953
"That's not any assumption that
I'm going to make today.",00:02:48.953,00:02:52.720
"It's just culture.
But, we want to be able to do",00:02:52.720,00:02:56.000
"it for sine omega x and cosine
omega x.",00:02:56.000,00:02:59.906
"In other words,",00:02:59.906,00:03:03.150
"when the right-hand side is a
pure oscillation,",00:03:03.150,00:03:06.680
"that's another important type
of input both for electrical",00:03:06.680,00:03:11.053
"circuits, think alternating
current, or the spring systems.",00:03:11.053,00:03:15.503
"That's a pure vibration is
you're imposing pure vibration",00:03:15.503,00:03:19.800
"on the spring-mass-dashpot
system, and you want to see how",00:03:19.800,00:03:24.173
"it responds to that.
Or, you could put them",00:03:24.173,00:03:27.396
"together, and make these
decaying oscillations.",00:03:27.396,00:03:32.000
"So, we could also have
something like e to the ax times",00:03:32.000,00:03:36.724
"sine omega x,
or times cosine omega x.",00:03:36.724,00:03:41.974
"Now, the point is,",00:03:41.974,00:03:45.037
"all of these together are
really just special cases of one",00:03:45.037,00:03:50.025
"general thing,
exponential,",00:03:50.025,00:03:52.300
"if you allow the exponent not
to be a real number,",00:03:52.300,00:03:56.587
"but to be a complex number.
So, they're all special cases",00:03:56.587,00:04:02.918
"of e to the, I'll write it alpha
x,",00:04:02.918,00:04:07.949
"well, why don't we write it (a
plus i omega) x, right?",00:04:07.949,00:04:14.088
"If omega is zero,",00:04:14.088,00:04:16.905
"then I've got this case.
If a is zero,",00:04:16.905,00:04:20.628
"I got this case separating into
its real and imaginary parts.",00:04:20.628,00:04:26.666
"And, if neither is zero,
I have this case.",00:04:26.666,00:04:32.000
"But, I don't want to keep
writing (a plus i omega) all the",00:04:32.000,00:04:36.247
"time.
So, I'm going to write that",00:04:36.247,00:04:38.631
simply as e to the alpha x.,00:04:38.631,00:04:41.760
"And, you understand that alpha
is a complex number now.",00:04:41.760,00:04:45.784
"It doesn't look like a real
number.",00:04:45.784,00:04:48.317
"Okay, so the complex number.
So, the equation we are solving",00:04:48.317,00:04:52.713
"is which one?
This pretty purple equation.",00:04:52.713,00:04:55.768
"And, we are trying to find a
particular solution of it.",00:04:55.768,00:04:59.792
"And, the special functions we
are going to use are these,",00:04:59.792,00:05:03.964
"well, this one in particular,
e to the alpha x.",00:05:03.964,00:05:08.137
That's going to be our input.,00:05:08.137,00:05:13.426
"Now, it turns out this is
amazingly easy to do because",00:05:13.426,00:05:19.687
"it's an exponential because I
write it in exponential form.",00:05:19.687,00:05:26.540
"The idea is simply to use a
rule which, in fact,",00:05:26.540,00:05:32.092
"you know already,
the rule of substitution.",00:05:32.092,00:05:38.000
"So, I'm going to write the
equation in the form,",00:05:38.000,00:05:43.600
"so, there it is.
It's y double prime plus A y",00:05:43.600,00:05:48.842
prime plus B y equals f of x.,00:05:48.842,00:05:55.276
"But, I'm going to think of the
left-hand side as the polynomial",00:05:55.276,00:06:02.663
"operator, AD plus B.
A and B are constants,",00:06:02.663,00:06:07.696
applied to y equals f of x.,00:06:07.696,00:06:10.705
"That's the way I write the
thing.",00:06:10.705,00:06:13.173
"And, this part,
I'm going to think of in the",00:06:13.173,00:06:16.490
"form.
This is p of D,",00:06:16.490,00:06:18.033
"a polynomial in D.
In fact, it's a simple",00:06:18.033,00:06:21.118
"quadratic polynomial.
But, most of what I'm going to",00:06:21.118,00:06:25.052
"say today would apply equally
well if we were a higher order",00:06:25.052,00:06:29.603
"polynomial, a polynomial of
higher degree.",00:06:29.603,00:06:34.000
"And, just to reinforce the
idea, I've given you one problem",00:06:34.000,00:06:38.043
"in your problem set when p is a
polynomial of higher degree.",00:06:38.043,00:06:42.156
"I should say,
the notes are written for",00:06:42.156,00:06:44.805
"general polynomials,
not just for quadratic ones.",00:06:44.805,00:06:48.151
"I'm simplifying it by leaving
it, today, I'll do what's in the",00:06:48.151,00:06:52.403
"notes, but I'll do it in the
quadratic case to save a little",00:06:52.403,00:06:56.516
"time, and because that's the one
you will be most concerned with",00:06:56.516,00:07:00.908
"in the problems.
All right, so p of D y equals f",00:07:00.908,00:07:05.657
"of x.
And now, there are just a",00:07:05.657,00:07:09.771
"couple of basic formulas that
we're going to use all the time.",00:07:09.771,00:07:15.000
"The first is that if you apply
p of D to a complex",00:07:15.000,00:07:19.971
"exponential, or a real one,
it doesn't matter,",00:07:19.971,00:07:23.828
"the answer is you get just what
you started with,",00:07:23.828,00:07:27.942
"with D substituted by alpha.
So, it's p of alpha.",00:07:27.942,00:07:32.057
"In other words,
put an alpha wherever you saw a",00:07:32.057,00:07:36.000
"D in the polynomial.
And, what is this?",00:07:36.000,00:07:40.268
"Well, this is now just an
ordinary complex number,",00:07:40.268,00:07:43.721
"and multiply that by what you
started with,",00:07:43.721,00:07:46.681
e to the alpha x.,00:07:46.681,00:07:48.936
"So, that's a basic formula.
It's called in the notes the",00:07:48.936,00:07:52.812
"substitution rule because the
heart of it is,",00:07:52.812,00:07:55.912
"you substitute for the D,
you substitute alpha.",00:07:55.912,00:08:00.000
"Now, this hardly requires
proof.",00:08:00.000,00:08:02.540
"But, let's prove it just so you
see, to reinforce things and",00:08:02.540,00:08:07.377
"make things go a little more
slowly to make sure you are on",00:08:07.377,00:08:12.131
"board all the time.
How would I prove that?",00:08:12.131,00:08:15.573
"Well, just calculate it out,
what in fact is (D squared plus",00:08:15.573,00:08:20.409
"AD plus B) times e to the alpha
x.",00:08:20.409,00:08:25.491
"Well, it's D squared e to the
alpha x by linearity plus AD",00:08:25.491,00:08:30.163
"times e to the alpha x plus B
times e to the alpha x.",00:08:30.163,00:08:34.426
"Well, what are these?
What's the derivative of e to",00:08:40.000,00:08:43.139
"the alpha x?
It's just alpha times e to the",00:08:43.139,00:08:46.780
"alpha x.
What's a second derivative?",00:08:46.780,00:08:50.358
"Well, if you remember from the
exam, you can do tenth",00:08:50.358,00:08:53.623
"derivatives now.
So, the second derivative is",00:08:53.623,00:08:56.385
"easy.
It's alpha squared times e to",00:08:56.385,00:08:58.520
the alpha x.,00:08:58.520,00:09:00.717
"In other words,
this law, what I'm saying",00:09:00.717,00:09:03.228
"really is that this law is
obviously, quote unquote,",00:09:03.228,00:09:06.430
"""true.""
Okay, I'm not even going to put",00:09:06.430,00:09:10.170
"it in quotes.
It's obviously true for the",00:09:10.170,00:09:12.971
"operator, D, and the operator D
squared.",00:09:12.971,00:09:16.263
"In other words,
D of e to the alpha x equals",00:09:16.263,00:09:19.274
alpha times e to the alpha x.,00:09:19.274,00:09:22.495
D squared times e to the alpha,00:09:22.495,00:09:25.997
"x equals alpha squared times e
to the alpha x.",00:09:25.997,00:09:30.128
"And, therefore,",00:09:30.128,00:09:34.118
"it's true for linear
combinations of these as well by",00:09:34.118,00:09:37.997
"linearity.
So, therefore,",00:09:37.997,00:09:39.787
"also true for p of D.
And, in fact,",00:09:39.787,00:09:42.994
"so if you calculate it out,
what is it?",00:09:42.994,00:09:45.828
"This is alpha squared e to the
alpha x plus alpha e to the",00:09:45.828,00:09:50.080
alpha x times the,00:09:50.080,00:09:54.555
"coefficient plus b times e to
the alpha x.",00:09:54.555,00:10:00.000
"So, it's in fact exactly this.
It's e to the alpha x times",00:10:00.000,00:10:04.950
"(alpha squared plus A alpha plus
B).",00:10:04.950,00:10:10.247
"Now, how are we going to use",00:10:10.247,00:10:13.807
"this?
Well, the idea is very simple.",00:10:13.807,00:10:16.847
"Remember, we're trying to solve
this, I should have some",00:10:16.847,00:10:21.623
"consistent notation for these
equations.",00:10:21.623,00:10:25.010
"Purple, I think,
will be the right thing here.",00:10:25.010,00:10:28.918
"You are solving purple
equations.",00:10:28.918,00:10:33.000
"The formulas which will solve
them will be orange formulas,",00:10:33.000,00:10:38.289
"and we will see what we need as
we go along.",00:10:38.289,00:10:42.210
"So, I would like to just
formulate it,",00:10:42.210,00:10:45.584
"this solution,
the particular solution now.",00:10:45.584,00:10:49.415
"I'm going to call it a theorem.
It's really too simple to be a",00:10:49.415,00:10:54.977
"theorem.
On the other hand,",00:10:54.977,00:10:57.349
"it's too important not to be a
theorem.",00:10:57.349,00:11:02.000
"So, let's call it,
as I called it in the notes,",00:11:02.000,00:11:06.683
"the exponential input theorem,
which says it all.",00:11:06.683,00:11:11.570
"Theorem says it's important.
Exponential input means it's",00:11:11.570,00:11:17.272
"taking f of x to be an
exponential.",00:11:17.272,00:11:21.650
"It's an exponential input,
and the theorem tells you what",00:11:21.650,00:11:27.352
"the response is.
So, for that equation,",00:11:27.352,00:11:33.330
"I'm not going to recopy the
equation for the purple",00:11:33.330,00:11:40.899
"equation, adequately indicated
this way.",00:11:40.899,00:11:46.802
"There.
Now try to take notes.",00:11:46.802,00:11:51.041
"For the purple equation,
a solution is e to the alpha x.",00:11:51.041,00:11:59.215
Somewhere I neglected to say,00:11:59.215,00:12:05.391
"that f of x, all right,
so for the purple equals e to",00:12:05.391,00:12:09.831
"the alpha x, how about that?",00:12:09.831,00:12:14.101
"That equation,
y double prime plus a y prime",00:12:14.101,00:12:17.774
"plus b y equals e to
the alpha x.",00:12:17.774,00:12:22.812
"So, here's the exponential",00:12:22.812,00:12:25.460
"input.
The solution is e to the alpha",00:12:25.460,00:12:28.534
x divided by p of alpha.,00:12:28.534,00:12:34.000
"Now, that's a very useful
formula.",00:12:34.000,00:12:36.649
"In fact, Haynes Miller,
who also teaches this course,",00:12:36.649,00:12:40.823
"in his notes calls of the most
important theorem in the course.",00:12:40.823,00:12:45.800
"Well, I don't have to totally
agree with him,",00:12:45.800,00:12:49.332
"but it's certainly important.
It's probably the most",00:12:49.332,00:12:53.426
"important theorem for these two
weeks, anyway.",00:12:53.426,00:12:57.038
"But, you will have others as
well.",00:12:57.038,00:12:59.688
"Okay, so that's a theorem.
The theorem is going green.",00:12:59.688,00:13:03.942
"You can tell what they are by
their color code.",00:13:03.942,00:13:09.000
"Well, in other words,
what I've done is simply write",00:13:09.000,00:13:12.923
"down the solution for you,
write down the particular",00:13:12.923,00:13:16.846
"solution.
But let's verify it in general.",00:13:16.846,00:13:19.923
"So, the proof would be what?
Well, I have to substitute it",00:13:19.923,00:13:24.307
"into the equation.
So, the equation is p of D",00:13:24.307,00:13:27.692
"applied to y is equal to alpha
x.",00:13:27.692,00:13:31.000
"And, I want to know,
when I substitute that",00:13:31.000,00:13:34.239
"expression in,
is it the case that when I plug",00:13:34.239,00:13:37.710
"it in, that the right-hand side,
I calculate it out,",00:13:37.710,00:13:41.643
"apply p of D to it.
Is it the case that I get e to",00:13:41.643,00:13:46.117
the alpha x on the right?,00:13:46.117,00:13:49.202
"Well, all you have to do is do
it.",00:13:49.202,00:13:51.747
"What is p of D applied to e to
the alpha x divided by p of",00:13:51.747,00:13:56.143
alpha?,00:13:56.143,00:14:00.000
"Well, p of D applied to e to
the alpha x is p of alpha times",00:14:00.000,00:14:03.735
e to the alpha x.,00:14:03.735,00:14:07.534
"That's the substitution rule.
What about this guy?",00:14:07.534,00:14:10.636
"This guy is a constant,
so it just gets dragged along",00:14:10.636,00:14:13.929
"because this operator is linear.
If this applied to that is",00:14:13.929,00:14:17.601
"this, then if I apply it to one
half that, I get one half the",00:14:17.601,00:14:21.400
"answer, and so on.
So, the p of alpha",00:14:21.400,00:14:24.502
"is a constant and just gets
dragged along.",00:14:24.502,00:14:27.098
"And now, they cancel each
other, and the answer is,",00:14:27.098,00:14:30.264
"indeed, e to the alpha x.",00:14:30.264,00:14:34.000
"That's not much of a proof.
I hope that to at least half",00:14:34.000,00:14:39.500
"this class, you're wondering,
yes, but what if Peter had not",00:14:39.500,00:14:45.399
"caught the wolf?
I mean, what if?",00:14:45.399,00:14:48.600
What if?,00:14:48.600,00:14:50.000
"I'm looking stern.
Okay, we will take care of it",00:15:01.000,00:15:04.992
"in the simplest possible way.
We will assume that p of alpha",00:15:04.992,00:15:10.004
"is not zero.
The case p of alpha is zero",00:15:10.004,00:15:13.317
"is, in fact,
an extremely important",00:15:13.317,00:15:17.650
"case, one that makes the world
go 'round, one that contributes",00:15:17.650,00:15:22.832
"to all sorts of catastrophes,
and they occur first here in",00:15:22.832,00:15:27.674
"the solution of differential
equations, and that's what",00:15:27.674,00:15:32.262
"controls all the catastrophes.
But, there's a good side to it,",00:15:32.262,00:15:37.792
"too.
It also makes a lot of good",00:15:37.792,00:15:39.585
"things happen.
So, there are no moral",00:15:39.585,00:15:41.667
"judgments in mathematics.
For the time being,",00:15:41.667,00:15:44.212
"let's assume p of alpha is not
zero.",00:15:44.212,00:15:46.236
"And, that proof is okay because
the p of alpha,",00:15:46.236,00:15:48.896
"being in the denominator,
it's okay to be in the",00:15:48.896,00:15:51.614
"denominator if you're not zero.
Okay, let's work in a simple",00:15:51.614,00:15:55.026
"example.
Well, I'm picking the most",00:15:55.026,00:15:56.992
"complicated example I can think
of.",00:15:56.992,00:16:00.000
"Simple examples,
I'll leave for your practice",00:16:00.000,00:16:04.249
