text,start,stop
OK.,00:00:09.510,00:00:10.100
"Uh this is the review
lecture for the first part",00:00:10.100,00:00:16.500
"of the course, the Ax=b
part of the course.",00:00:16.500,00:00:21.880
"And the exam will
emphasize chapter three.",00:00:21.880,00:00:28.710
"Because those are
the --0 chapter",00:00:28.710,00:00:31.890
"three was about the
rectangular matrices",00:00:31.890,00:00:34.940
"where we had null spaces and
null spaces of A transpose,",00:00:34.940,00:00:39.750
"and ranks, and all
the things that",00:00:39.750,00:00:43.450
"are so clear when the matrix
is square and invertible,",00:00:43.450,00:00:49.890
"they became things to think
about for rectangular matrices.",00:00:49.890,00:00:57.080
"So, and vector spaces and
subspaces and above all",00:00:57.080,00:01:01.590
those four subspaces.,00:01:01.590,00:01:04.400
"OK, I'm thinking to
start at least I'll",00:01:04.400,00:01:07.940
"just look at old exams,
read out questions, write",00:01:07.940,00:01:13.210
"on the board what
I need to and we",00:01:13.210,00:01:15.320
can see what the answers are.,00:01:15.320,00:01:17.980
"The first one I see is
one I can just read out.",00:01:17.980,00:01:22.420
"Well, I'll write a little.",00:01:22.420,00:01:23.930
"Suppose u, v and w are
nonzero vectors in R^7.",00:01:23.930,00:01:32.145
"What are the possible -- they
span a -- a vector space.",00:01:39.230,00:01:44.190
"They span a subspace of R^7,
and what are the possible",00:01:44.190,00:01:47.510
dimensions?,00:01:47.510,00:01:49.130
"So that's a
straightforward question,",00:01:49.130,00:01:50.840
"what are the possible dimensions
of the subspace spanned",00:01:50.840,00:01:55.610
"by u, v and w?",00:01:55.610,00:01:58.040
"OK, one, two, or three, right.",00:01:58.040,00:02:03.430
"One, two or three.",00:02:03.430,00:02:05.320
"Couldn't be more because
we've only got three vectors,",00:02:05.320,00:02:08.930
and couldn't be zero because --,00:02:08.930,00:02:12.430
"because I told you the
vectors were nonzero.",00:02:15.580,00:02:19.030
"Otherwise if I allowed the
possibility that those were all",00:02:19.030,00:02:23.020
"the zero vector -- then the
zero-dimensional subspace would",00:02:23.020,00:02:27.319
have been in there.,00:02:27.319,00:02:28.110
OK.,00:02:28.110,00:02:29.250
"Now can I jump to a
more serious question?",00:02:29.250,00:02:35.970
OK.,00:02:35.970,00:02:37.600
We have a five by three matrix.,00:02:37.600,00:02:41.850
And I'm calling it U.,00:02:41.850,00:02:44.860
I'm saying it's in echelon form.,00:02:44.860,00:02:47.010
"And it has three pivots, r=3.",00:02:47.010,00:02:50.600
Three pivots.,00:02:50.600,00:02:51.810
Ok.,00:02:57.560,00:02:58.140
"First question what's
the null space?",00:02:58.140,00:03:01.820
"What's the null
space of this matrix",00:03:01.820,00:03:03.865
"U, so this matrix is five by
three, and I find it helpful to",00:03:03.865,00:03:11.910
just see,00:03:11.910,00:03:13.860
"visually what five by three
means, what that shape is.",00:03:13.860,00:03:17.750
Three columns.,00:03:17.750,00:03:19.420
"Three columns in U,",00:03:19.420,00:03:20.810
"then five rows,",00:03:20.810,00:03:23.040
"three pivots,",00:03:23.040,00:03:24.430
and what's the null space?,00:03:24.430,00:03:26.650
The null space of U is --,00:03:26.650,00:03:29.360
"and it asks for a
spec-of course I'm",00:03:29.360,00:03:33.000
"looking for an answer
that isn't just",00:03:33.000,00:03:35.390
"the definition of
the null space,",00:03:35.390,00:03:37.340
"but is the null space of this
matrix, with this information.",00:03:37.340,00:03:42.030
And what is it?,00:03:42.030,00:03:44.220
It's only the zero vector.,00:03:44.220,00:03:46.110
"Because we're told
that the rank is three,",00:03:46.110,00:03:48.810
"so those three columns must be
independent, no combination --",00:03:48.810,00:03:53.840
"of those columns is the
zero vector except --",00:03:53.840,00:03:58.890
"so the only thing in this
null space is the zero vector,",00:03:58.890,00:04:01.671
and I --,00:04:01.671,00:04:02.170
"I could even say what that
vector is, zero, columns also?",00:04:02.170,00:04:05.030
"zero, zero.",00:04:05.030,00:04:06.200
That's OK.,00:04:06.200,00:04:07.870
"So that's what's
in the null space.",00:04:07.870,00:04:10.020
"All right? let me go on with
-- this question has multiple",00:04:10.020,00:04:15.015
parts.,00:04:15.015,00:04:15.515
"What's the -- oh now it asks you
about a ten by three matrix, B,",00:04:18.089,00:04:24.950
which is the matrix U and two U.,00:04:24.950,00:04:31.530
"It actually -- I would
probably be writing R --",00:04:31.530,00:04:37.340
"and maybe I should be
writing R here now.",00:04:37.340,00:04:40.630
"This exam goes back a few
years when I emphasized U more",00:04:40.630,00:04:47.800
than R.,00:04:47.800,00:04:49.980
"Now, what's the echelon
form for that matrix?",00:04:49.980,00:04:54.630
"So the echelon form,
what's the rank,",00:04:54.630,00:04:57.150
"Yes. and what's
the echelon form?",00:04:57.150,00:04:59.125
"Let's suppose this is
in reduced echelon form,",00:05:04.160,00:05:06.270
"so that I could be
using the letter R.",00:05:06.270,00:05:06.360
"So I'll ask for the reduced row
echelon form so imagine that",00:05:06.360,00:05:06.480
"So I'm seeing the same length
in b, three, and also in x.",00:05:06.480,00:05:06.610
these are --,00:05:06.610,00:05:07.110
"U is in reduced row
echelon form but now",00:05:07.110,00:05:09.880
"I've doubled the
height of the matrix,",00:05:09.880,00:05:15.500
"So the (x)-s that it multiplies
have three components,",00:05:15.500,00:05:22.720
"what will happen when
we do row reduction?",00:05:22.720,00:05:29.150
"What row reduction will
take us to what matrix here?",00:05:29.150,00:05:32.950
So you start doing elimination.,00:05:39.170,00:05:42.270
"You're doing elimination
on single rows.",00:05:42.270,00:05:44.590
"But of course we're
allowed to think of blocks.",00:05:44.590,00:05:48.050
"So what, well, what's
the answer look like?",00:05:48.050,00:05:51.820
U and z- or R --,00:05:51.820,00:05:53.921
"let's -- I'll stay with this
letter U but I'm what was",00:05:53.921,00:05:56.170
"the name of that --2 winning
a million dollars or really",00:05:56.170,00:05:56.660
"thinking it's in
reduced form, and zero.",00:05:56.660,00:06:00.030
OK.,00:06:00.030,00:06:00.710
Fine.,00:06:00.710,00:06:01.810
"Then it asks oh, further,
it asks about this matrix.",00:06:01.810,00:06:10.390
"U, U, U, and zero.",00:06:10.390,00:06:15.720
