text,start,stop
"The following content is
provided under a Creative",00:00:00.030,00:00:02.400
Commons license.,00:00:02.400,00:00:03.840
"Your support will help MIT
OpenCourseWare continue to",00:00:03.840,00:00:06.840
"offer high quality educational
resources for free.",00:00:06.840,00:00:10.530
"To make a donation or view
additional materials from",00:00:10.530,00:00:13.390
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.390,00:00:17.490
ocw.mit.edu.,00:00:17.490,00:00:21.470
PROFESSOR: OK.,00:00:21.470,00:00:22.130
"I want to start where
we left off.",00:00:22.130,00:00:24.480
"You remember last time we were
looking at Fibonacci.",00:00:24.480,00:00:30.200
"And so we've got it up here,
a nice little recursive",00:00:30.200,00:00:32.700
implementation of it.,00:00:32.700,00:00:34.970
"And the thing I wanted to point
out is, we've got this",00:00:34.970,00:00:40.110
"global variable number
of calls.",00:00:40.110,00:00:43.140
"Which is there not because
Fibonacci needs it but just",00:00:43.140,00:00:47.210
"for pedagogical reasons, so that
we can keep track of how",00:00:47.210,00:00:50.600
much work this thing is doing.,00:00:50.600,00:00:53.180
"And I've turned on a print
statement which",00:00:53.180,00:00:55.590
was off last time.,00:00:55.590,00:00:57.330
"So we can see what it's
doing is it runs.",00:00:57.330,00:01:01.120
"So let's try it here
with Fib of 6.",00:01:01.120,00:01:18.200
"So, as we would hope, Fib
of 6 happens to be 8.",00:01:18.200,00:01:25.210
That right?,00:01:25.210,00:01:28.660
"That right, everybody?",00:01:28.660,00:01:30.290
Should Fib of 6 be 8?,00:01:30.290,00:01:34.360
I don't think so.,00:01:34.360,00:01:38.270
"So first thing we should do is
scratch our heads and see",00:01:38.270,00:01:42.030
what's going on here.,00:01:42.030,00:01:48.710
"Alright, let's look at it.",00:01:48.710,00:01:52.950
What's happening here?,00:01:52.950,00:01:57.100
"This is your morning
wake-up call.",00:01:57.100,00:02:04.870
What is happening?,00:02:04.870,00:02:13.170
Yes.,00:02:13.170,00:02:13.510
STUDENT: [INAUDIBLE],00:02:13.510,00:02:22.840
"PROFESSOR: See if I can get it
all the way to the back.",00:02:22.840,00:02:25.070
No I can't.,00:02:25.070,00:02:26.450
That's embarrassing.,00:02:26.450,00:02:28.270
Alright.,00:02:28.270,00:02:29.770
"So if n is less than or
equal to 1, return n.",00:02:29.770,00:02:34.330
"Well that's not right, right?",00:02:34.330,00:02:39.150
What should I be doing there?,00:02:39.150,00:02:44.360
Because Fib of 0 is?,00:02:44.360,00:02:48.530
What?,00:02:48.530,00:02:49.680
1.,00:02:49.680,00:02:50.630
So let's fix it.,00:02:50.630,00:03:12.250
"How about that, right?",00:03:12.250,00:03:14.180
"Or maybe, what would be even
simpler than that?",00:03:14.180,00:03:20.220
Maybe I should just do that.,00:03:20.220,00:03:23.740
Now let's try it.,00:03:23.740,00:03:31.620
We feel better about this?,00:03:31.620,00:03:36.760
We like that answer?,00:03:36.760,00:03:39.240
"Yes, no?",00:03:39.240,00:03:46.330
"What's the answer, guys?",00:03:46.330,00:03:47.450
What should Fibonacci of 6 be?,00:03:47.450,00:03:51.850
"I think that's the right
answer, right?",00:03:51.850,00:03:55.920
OK.,00:03:55.920,00:03:58.520
"So what do I want you to
notice about this?",00:03:58.520,00:04:03.060
"I've computed a value
which is 13.",00:04:03.060,00:04:07.100
And it's taken me 25 calls.,00:04:07.100,00:04:10.810
