text,start,stop
"The following content is
provided under a Creative",00:00:00.500,00:00:02.800
Commons license.,00:00:02.800,00:00:04.340
"Your support will help
MIT OpenCourseWare",00:00:04.340,00:00:06.660
"continue to offer high quality
educational resources for free.",00:00:06.660,00:00:11.020
"To make a donation or
view additional materials",00:00:11.020,00:00:13.640
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.640,00:00:17.365
at ocw.mit.edu.,00:00:17.365,00:00:17.990
"PROFESSOR: OK,
let's get started.",00:00:22.790,00:00:26.120
"Last time we looked at a
variety of ways to analyze sums",00:00:26.120,00:00:30.560
"and to find closed-form
expressions for the sums.",00:00:30.560,00:00:33.900
"And today we're going to
use those methods to solve",00:00:33.900,00:00:37.440
"a variety of famous problems,
one of them involving center",00:00:37.440,00:00:41.920
of mass and stacking blocks.,00:00:41.920,00:00:44.370
"We saw a version
of that yesterday",00:00:44.370,00:00:46.810
"in recitation, where you solved
the problem of figuring out",00:00:46.810,00:00:50.000
"how many L's you need to make
something like this balance",00:00:50.000,00:00:55.150
perfectly.,00:00:55.150,00:00:56.870
"Now in this case I didn't
actually get an integer number",00:00:56.870,00:01:00.250
"of L's-- which is possible--
because I didn't quite get it",00:01:00.250,00:01:02.750
stacked right at the bottom.,00:01:02.750,00:01:04.230
So I got 10 and 1/2 L's here.,00:01:04.230,00:01:06.150
There's an extra vertical here.,00:01:06.150,00:01:08.660
"Now in theory there are two
integer ways of doing it.",00:01:08.660,00:01:12.990
"And you proved that
yesterday in recitation.",00:01:12.990,00:01:15.430
"So in theory, 10
and 11 should work,",00:01:15.430,00:01:18.060
"but in practice the
blocks aren't perfect.",00:01:18.060,00:01:20.170
"I didn't get them
perfectly lined up.",00:01:20.170,00:01:22.000
"And so 10 wouldn't quite
work, and 11 tended",00:01:22.000,00:01:24.640
to pitch it the other way.,00:01:24.640,00:01:26.530
"And of course in theory, as
long as the center of mass",00:01:26.530,00:01:29.890
"is just anywhere over this
block, it's going to be stable.",00:01:29.890,00:01:34.080
"In practice there's air moving
around, and bouncing and stuff.",00:01:34.080,00:01:37.550
"And so if you're close to
the edge, it's going over.",00:01:37.550,00:01:40.900
OK.,00:01:40.900,00:01:41.420
"So now if you want to build
one of these yourself,",00:01:41.420,00:01:43.503
it's not hard to do.,00:01:43.503,00:01:46.110
"You just start with an
extra block here, all right,",00:01:46.110,00:01:48.864
and then you build up.,00:01:48.864,00:01:49.780
And that's easy.,00:01:49.780,00:01:50.446
"And then you notice
when it's about right.",00:01:50.446,00:01:52.912
"And you can just start
wiggling this block out.",00:01:52.912,00:01:54.870
"And then it looks pretty
cool at that point.",00:01:54.870,00:01:57.850
"Actually it was a student
in the class showed me this",00:01:57.850,00:02:01.057
"a couple of years ago, because
we were doing the blocks.",00:02:01.057,00:02:03.390
"The next thing we're going
to do-- we were doing that--",00:02:03.390,00:02:04.780
"and he said, hey,
there's this thing.",00:02:04.780,00:02:06.321
"And yeah, pretty cool.",00:02:06.321,00:02:08.150
"So today we're going to
look at a different problem,",00:02:08.150,00:02:11.039
"and that's the problem of
getting the blocks stacked up",00:02:11.039,00:02:15.150
"so they go out over the edge of
the table-- if that's doable.",00:02:15.150,00:02:19.950
"So the goal is to stack
the blocks up like this.",00:02:19.950,00:02:30.840
We go farther and farther out.,00:02:30.840,00:02:32.920
"And the question
we're going to look at",00:02:32.920,00:02:35.410
is is it possible-- whoa.,00:02:35.410,00:02:39.410
Almost.,00:02:39.410,00:02:39.910
"Is it possible to get a block
all the way off the table?",00:02:39.910,00:02:43.909
"That's the question
we're going to look at.",00:02:43.909,00:02:45.700
And here I got close.,00:02:45.700,00:02:47.440
"And you can see it's
getting a little tipsy.",00:02:47.440,00:02:50.215
It's not going to go.,00:02:50.215,00:02:51.090
It's going to fall over.,00:02:51.090,00:02:53.450
So I didn't do it this time.,00:02:53.450,00:02:56.030
"You're only allowed
one block per level.",00:02:56.030,00:02:59.360
"So you can't do
anything like this.",00:02:59.360,00:03:04.110
That's not allowed.,00:03:04.110,00:03:05.590
"You can go backwards,
if that helps you.",00:03:05.590,00:03:10.680
"Well it's got to be
stable on both sides.",00:03:10.680,00:03:13.570
But you can go back and forth.,00:03:13.570,00:03:16.220
"So the question is, can you
get out one block totally",00:03:16.220,00:03:19.370
out over the table?,00:03:19.370,00:03:21.360
"How many people think
it can't be done?",00:03:21.360,00:03:25.160
All right.,00:03:25.160,00:03:25.660
A few doubters.,00:03:25.660,00:03:26.810
More doubters.,00:03:26.810,00:03:27.830
How many think it can be done?,00:03:27.830,00:03:30.180
"Oh, a lot of people
think it can be done.",00:03:30.180,00:03:31.930
OK.,00:03:31.930,00:03:32.750
Well all right.,00:03:32.750,00:03:35.300
"How many people think
you can get a block",00:03:35.300,00:03:38.540
two blocks out over the table?,00:03:38.540,00:03:42.080
A few of you.,00:03:42.080,00:03:43.940
"How many think you can
get it three blocks out?",00:03:43.940,00:03:48.230
You're believers.,00:03:48.230,00:03:49.020
OK.,00:03:49.020,00:03:50.430
"How many people think
I can reach that wall?",00:03:50.430,00:03:53.840
"Well I got to tell you I
can't reach the wall because--",00:03:53.840,00:03:56.540
"AUDIENCE: The ceiling
gets in the way.",00:03:56.540,00:03:58.123
PROFESSOR: Yeah.,00:03:58.123,00:03:59.020
That's going to be hard to do.,00:03:59.020,00:04:00.900
"But this is what we're
going to try to figure out.",00:04:00.900,00:04:03.560
"And we're going to do it
with a little competition.",00:04:03.560,00:04:06.280
"So we're going to have a team
of you go up against the TAs.",00:04:06.280,00:04:12.050
"And the winner gets
candy to share.",00:04:12.050,00:04:17.079
"The losing team gets the
infamous 6042 Nerd Pride pocket",00:04:17.079,00:04:21.519
protectors.,00:04:21.519,00:04:23.030
Very nice.,00:04:23.030,00:04:23.940
Shiny plastic.,00:04:23.940,00:04:24.990
Has the MIT logo on them.,00:04:24.990,00:04:27.100
Very handy.,00:04:27.100,00:04:28.310
All right.,00:04:28.310,00:04:28.810
So I need four volunteers.,00:04:28.810,00:04:31.730
"So come on down if
you'd like to volunteer.",00:04:31.730,00:04:33.710
"You can win some
candy for the class--",00:04:33.710,00:04:35.400
"or at least win yourself
a pocket protector.",00:04:35.400,00:04:38.810
"And we'll put the
class over there.",00:04:38.810,00:04:42.020
And we get the TAs to come down.,00:04:42.020,00:04:45.610
So come on down.,00:04:45.610,00:04:46.460
I got a couple of people.,00:04:46.460,00:04:47.501
Who else wants to join them?,00:04:47.501,00:04:48.920
All right.,00:04:48.920,00:04:49.420
Come on down.,00:04:49.420,00:04:50.910
"We've got a fourth
volunteer out there?",00:04:50.910,00:04:54.307
All right.,00:04:57.271,00:04:57.770
We got some people coming down.,00:04:57.770,00:04:59.061
"All right, come on over.",00:04:59.061,00:05:00.430
All right.,00:05:00.430,00:05:00.930
You got all the blocks you want.,00:05:00.930,00:05:02.270
"We could even take
this thing down.",00:05:02.270,00:05:04.660
So here's your supply.,00:05:04.660,00:05:08.660
All right.,00:05:08.660,00:05:09.490
"Now the TAs have a little
bit of an advantage,",00:05:09.490,00:05:11.810
"because they've done this
before, some of them.",00:05:11.810,00:05:15.960
"So you can give some advice
to your colleagues here.",00:05:15.960,00:05:19.070
"So you got to get some blocks
out of the block supply.",00:05:19.070,00:05:21.460
Maybe we should take this down.,00:05:21.460,00:05:22.751
It's about to fall over anyway.,00:05:22.751,00:05:25.180
"So yeah, how do
we get this down?",00:05:25.180,00:05:27.550
I'm not sure.,00:05:27.550,00:05:30.576
"All right, I got this end.",00:05:30.576,00:05:31.770
Whoa!,00:05:34.476,00:05:35.380
There we go.,00:05:35.380,00:05:35.940
Whoa!,00:05:35.940,00:05:36.940
[CRASHING BLOCKS],00:05:36.940,00:05:37.940
Oops!,00:05:37.940,00:05:38.940
All right.,00:05:38.940,00:05:41.883
There we go.,00:05:41.883,00:05:42.383
"So whoever gets a block
out over the farthest wins.",00:05:50.020,00:05:53.870
One block per level.,00:05:53.870,00:05:55.240
"You can't do two
blocks on a level.",00:05:55.240,00:05:57.625
"Believe me it's a
lot easier if you can",00:05:57.625,00:05:59.250
do multiple blocks per level.,00:05:59.250,00:06:00.670
You can go back and forth.,00:06:05.080,00:06:06.590
"Go ahead and give
them some advice.",00:06:06.590,00:06:08.680
They look like they need it.,00:06:08.680,00:06:11.280
"They're only about half
a block out so far.",00:06:11.280,00:06:13.385
How are the TAs doing here?,00:06:16.590,00:06:18.591
"AUDIENCE: Three steps
forward, two steps back?",00:06:18.591,00:06:19.513
Something like that?,00:06:19.513,00:06:20.435
[INTERPOSING VOICES],00:06:20.435,00:06:21.268
"This is an interesting
idea I think",00:06:25.780,00:06:27.280
"is to go out as far as possible
and then just weight it back.",00:06:27.280,00:06:30.556
Does that change anything?,00:06:30.556,00:06:32.858
Like this you're saying?,00:06:32.858,00:06:35.095
PROFESSOR: All right.,00:06:35.095,00:06:35.970
"The TAs are getting
scientific here.",00:06:35.970,00:06:38.454
"AUDIENCE: It need
to be at least half.",00:06:38.454,00:06:40.220
"PROFESSOR: You know it's
not looking good for you",00:06:40.220,00:06:41.590
guys to get the candy today.,00:06:41.590,00:06:42.850
I got to tell you.,00:06:42.850,00:06:43.858
Ooh.,00:06:49.535,00:06:50.035
TAs are close.,00:06:50.035,00:06:53.362
"AUDIENCE: No, that's too far.",00:06:53.362,00:06:54.570
Too far.,00:06:54.570,00:06:55.570
"Look at the distance
between this and this.",00:06:55.570,00:06:57.398
[INTERPOSING VOICES],00:06:57.398,00:06:58.231
PROFESSOR: All right.,00:07:05.965,00:07:06.840
"Oh, you're about
2/3 of the way over.",00:07:06.840,00:07:08.580
We've got one 2/3.,00:07:08.580,00:07:11.540
You've got an inch to go.,00:07:11.540,00:07:12.890
Yeah.,00:07:12.890,00:07:13.390
Maybe it's not doable.,00:07:13.390,00:07:14.530
