text,start,stop
OK.,00:00:11.825,00:00:12.325
cameras are rolling.,00:00:14.830,00:00:15.900
"This is lecture fourteen,
starting a new chapter.",00:00:15.900,00:00:21.840
Chapter about orthogonality.,00:00:21.840,00:00:24.660
"What it means for
vectors to be orthogonal.",00:00:24.660,00:00:29.480
"What it means for
subspaces to be orthogonal.",00:00:29.480,00:00:33.070
"What it means for
bases to be orthogonal.",00:00:33.070,00:00:37.370
"So ninety degrees, this is
a ninety-degree chapter.",00:00:37.370,00:00:44.460
So what does it mean --,00:00:44.460,00:00:47.800
let me jump to subspaces.,00:00:47.800,00:00:50.890
"Because I've drawn
here the big picture.",00:00:50.890,00:00:54.830
This is the 18.06 picture here.,00:00:54.830,00:00:59.910
"And hold it down, guys.",00:00:59.910,00:01:04.800
"So this is the picture and we
know a lot about that picture",00:01:04.800,00:01:09.280
already.,00:01:09.280,00:01:10.550
"We know the dimension
of every subspace.",00:01:10.550,00:01:14.570
"We know that these
dimensions are r and n-r.",00:01:14.570,00:01:22.040
"We know that these
dimensions are r and m-r.",00:01:22.040,00:01:26.320
"What I want to show now is
what this figure is saying,",00:01:29.680,00:01:33.780
that the angle --,00:01:33.780,00:01:38.140
"the figure is just my attempt to
draw what I'm now going to say,",00:01:38.140,00:01:43.520
"that the angle between these
subspaces is ninety degrees.",00:01:43.520,00:01:50.510
"And the angle between these
subspaces is ninety degrees.",00:01:50.510,00:01:53.890
"Now I have to say
what does that mean?",00:01:53.890,00:01:55.670
"What does it mean for
subspaces to be orthogonal?",00:01:55.670,00:02:01.080
"But I hope you appreciate
the beauty of this picture,",00:02:01.080,00:02:06.540
"that that those
subspaces are going",00:02:06.540,00:02:11.340
to come out to be orthogonal.,00:02:11.340,00:02:14.170
Those two and also those two.,00:02:14.170,00:02:18.140
"So that's like one point,
one important point",00:02:18.140,00:02:24.870
"to step forward in
understanding those subspaces.",00:02:24.870,00:02:28.960
"We knew what each
subspace was like,",00:02:28.960,00:02:31.140
we could compute bases for them.,00:02:31.140,00:02:33.500
Now we know more.,00:02:33.500,00:02:35.440
Or we will in a few minutes.,00:02:35.440,00:02:38.240
OK.,00:02:38.240,00:02:38.750
"I have to say first of all what
does it mean for two vectors",00:02:38.750,00:02:43.110
to be orthogonal?,00:02:43.110,00:02:44.920
So let me start with that.,00:02:44.920,00:02:46.470
Orthogonal vectors.,00:02:49.560,00:02:50.560
"The word orthogonal is
-- is just another word",00:02:57.010,00:03:00.610
for perpendicular.,00:03:00.610,00:03:02.620
"It means that in
n-dimensional space",00:03:02.620,00:03:05.510
"the angle between those
vectors is ninety degrees.",00:03:05.510,00:03:10.290
"It means that they
form a right triangle.",00:03:10.290,00:03:13.480
"It even means that the going
way back to the Greeks that this",00:03:13.480,00:03:20.940
"angle that this triangle
a vector x, a vector x,",00:03:20.940,00:03:29.010
"and a vector x+y -- of course
that'll be the hypotenuse,",00:03:29.010,00:03:36.560
"so what was it the Greeks
figured out and it's neat.",00:03:36.560,00:03:42.750
It's the fact that the --,00:03:42.750,00:03:45.860
"so these are orthogonal,
this is a right angle, if --",00:03:45.860,00:03:50.980
"so let me put the great
name down, Pythagoras,",00:03:50.980,00:03:57.660
"I'm looking for --
what I looking for?",00:03:57.660,00:04:00.540
"I'm looking for the condition if
you give me two vectors, how do",00:04:00.540,00:04:05.980
I know if they're orthogonal?,00:04:05.980,00:04:08.540
"How can I tell two
perpendicular vectors?",00:04:08.540,00:04:11.490
"And actually you
probably know the answer.",00:04:11.490,00:04:13.830
Let me write the answer down.,00:04:13.830,00:04:15.770
"Orthogonal vectors, what's
the test for orthogonality?",00:04:15.770,00:04:20.550
"I take the dot product which I
tend to write as x transpose y,",00:04:20.550,00:04:29.430
"because that's a
row times a column,",00:04:29.430,00:04:33.060
"and that matrix multiplication
just gives me the right thing,",00:04:33.060,00:04:38.390
"that x1y1+x2y2 and so on, so
these vectors are orthogonal",00:04:38.390,00:04:45.340
"if this result x
transpose y is zero.",00:04:45.340,00:04:52.560
That's the test.,00:04:52.560,00:04:54.130
OK.,00:04:54.130,00:04:55.340
"Can I connect that
to other things?",00:04:55.340,00:05:00.850
"I mean -- it's just beautiful
that here we have we're in n",00:05:00.850,00:05:06.480
"dimensions, we've got
a couple of vectors,",00:05:06.480,00:05:09.390
"we want to know the
angle between them,",00:05:09.390,00:05:11.620
"and the right thing to look at
is the simplest thing that you",00:05:11.620,00:05:16.750
"could imagine, the dot product.",00:05:16.750,00:05:18.930
OK.,00:05:18.930,00:05:19.600
Now why?,00:05:19.600,00:05:20.890
"So I'm answering the
question now why --",00:05:20.890,00:05:24.430
"let's add some justification
to this fact, that's the test.",00:05:24.430,00:05:33.500
"OK, so Pythagoras would say
we've got a right triangle,",00:05:33.500,00:05:38.050
"if that length squared plus
that length squared equals",00:05:38.050,00:05:41.400
that length squared.,00:05:41.400,00:05:43.170
"OK, can I write it as x
squared plus y squared equals",00:05:43.170,00:05:51.800
x plus y squared?,00:05:51.800,00:05:54.890
"Now don't, please don't think
that this is always true.",00:05:54.890,00:05:59.120
"This is only going
to be true in this --",00:05:59.120,00:06:03.360
"it's going to be equivalent
to orthogonality.",00:06:03.360,00:06:07.600
"For other triangles of
course, it's not true.",00:06:07.600,00:06:11.180
For other triangles it's not.,00:06:11.180,00:06:12.540
"But for a right triangle
somehow that fact",00:06:12.540,00:06:16.860
should connect to that fact.,00:06:16.860,00:06:18.810
"Can we just make
that connection?",00:06:18.810,00:06:20.240
"What's the connection between
this test for orthogonality",00:06:23.580,00:06:28.090
"and this statement
of orthogonality?",00:06:28.090,00:06:31.040
"Well, I guess I have to say
what is the length squared?",00:06:31.040,00:06:35.520
"So let's continue on the board
underneath with that equation.",00:06:35.520,00:06:42.370
"Give me another way to express
the length squared of a vector.",00:06:42.370,00:06:47.800
"And let me just
give you a vector.",00:06:47.800,00:06:49.960
"The vector one, two, three.",00:06:49.960,00:06:53.420
That's in three dimensions.,00:06:53.420,00:06:55.730
"What is the length squared of
the vector x equal one, two,",00:06:55.730,00:07:00.720
three?,00:07:00.720,00:07:03.410
"So how do you find
the length squared?",00:07:03.410,00:07:06.820
"Well, really you just, you want
the length of that vector that",00:07:06.820,00:07:10.710
"goes along one -- up
two, and out three --",00:07:10.710,00:07:15.220
"and we'll come back to
that right triangle stuff.",00:07:15.220,00:07:19.910
"The length squared is
exactly x transpose x.",00:07:19.910,00:07:25.928
"Whenever I see x
transpose x, I know",00:07:28.870,00:07:31.230
"I've got a number
that's positive.",00:07:31.230,00:07:35.040
"It's a length
squared unless it --",00:07:35.040,00:07:37.750
"unless x happens to
be the zero vector,",00:07:37.750,00:07:40.440
"that's the one case
where the length is zero.",00:07:40.440,00:07:44.500
"So right -- this is just x1
squared plus x2 squared plus",00:07:44.500,00:07:49.770
"so on, plus xn squared.",00:07:49.770,00:07:51.920
"So one -- in the example I gave
you what was the length squared",00:07:51.920,00:07:55.830
"of that vector one, two, three?",00:07:55.830,00:07:59.230
"So you square those, you
get one, four and nine,",00:07:59.230,00:08:02.070
"you add, you get fourteen.",00:08:02.070,00:08:04.310
"So the vector one, two,
three has length fourteen.",00:08:04.310,00:08:08.590
"So let me just put
down a vector here.",00:08:08.590,00:08:13.000
"Let x be the vector
one, two, three.",00:08:13.000,00:08:15.995
"Let me cook up a vector
that's orthogonal to it.",00:08:19.220,00:08:22.060
"So what's the vector
that's orthogonal?",00:08:25.550,00:08:27.590
"So right down here, x squared
is one plus four plus nine,",00:08:27.590,00:08:33.270
"fourteen, let me cook up a
vector that's orthogonal to it,",00:08:33.270,00:08:38.480
"we'll get right that that
-- those two vectors are",00:08:38.480,00:08:47.170
"orthogonal, the length
of y squared is five,",00:08:47.170,00:08:55.320
"and x plus y is one
and two making three,",00:08:55.320,00:09:02.520
"two and minus one making one,
three and zero making three,",00:09:02.520,00:09:06.290
"and the length of this squared
is nine plus one plus nine,",00:09:06.290,00:09:13.010
nineteen.,00:09:13.010,00:09:15.700
"And sure enough, I
haven't proved anything.",00:09:15.700,00:09:20.810
"I've just like checked to
see that my test x transpose",00:09:20.810,00:09:28.900
"y equals zero, which
is true, right?",00:09:28.900,00:09:31.530
"Everybody sees that x
transpose y is zero here?",00:09:31.530,00:09:35.370
That's maybe the main point.,00:09:35.370,00:09:37.740
"That you should get really
quick at doing x transpose y,",00:09:37.740,00:09:41.910
"so it's just this plus this
plus this and that's zero.",00:09:41.910,00:09:45.980
"And sure enough, that clicks
with fourteen plus five",00:09:45.980,00:09:51.730
agreeing with nineteen.,00:09:51.730,00:09:53.190
"Now let me just do
that in letters.",00:09:53.190,00:09:56.780
So that's y transpose y.,00:09:56.780,00:10:01.110
"And this is x plus y
transpose x plus y.",00:10:01.110,00:10:08.150
OK.,00:10:08.150,00:10:09.290
"So I'm looking, again,
this isn't always true.",00:10:09.290,00:10:12.530
I repeat.,00:10:12.530,00:10:14.110
"This is going to be true
when we have a right angle.",00:10:14.110,00:10:18.020
"And let's just --
well, of course,",00:10:18.020,00:10:20.210
"I'm just going to
simplify this stuff here.",00:10:20.210,00:10:22.850
There's an x transpose x there.,00:10:22.850,00:10:25.960
"And there's a y
transpose y there.",00:10:25.960,00:10:29.850
And there's an x transpose y.,00:10:29.850,00:10:34.450
And there's a y transpose x.,00:10:34.450,00:10:36.610
"I knew I could do that
simplification because I'm just",00:10:41.700,00:10:46.990
"doing matrix multiplication and
I've just followed the rules.",00:10:46.990,00:10:50.150
OK.,00:10:50.150,00:10:50.880
So x transpose x-s cancel.,00:10:50.880,00:10:53.650
Y transpose y-s cancel.,00:10:53.650,00:10:55.910
And what about these guys?,00:10:55.910,00:10:57.950
"What can you tell me about
the inner product of x with y",00:10:57.950,00:11:03.400
"and the inner
product of y with x?",00:11:03.400,00:11:06.890
Is there a difference?,00:11:06.890,00:11:09.620
"I think if we -- while
we're doing real vectors,",00:11:09.620,00:11:15.150
"which is all we're doing now,
there isn't a difference,",00:11:15.150,00:11:18.310
there's no difference.,00:11:18.310,00:11:19.660
"If I take x transpose
y, that'll give me zero,",00:11:19.660,00:11:23.690
"if I took y transpose x I would
have the same x1y1 and x2y2",00:11:23.690,00:11:28.840
"and x3y3, it would be
the same, so this is --",00:11:28.840,00:11:35.280
"this is the same as
that, this is really",00:11:35.280,00:11:37.820
"I'll knock that guy out
and say two of these.",00:11:37.820,00:11:40.070
So actually that's the --,00:11:43.700,00:11:47.360
"this equation boiled down
to this thing being zero.",00:11:47.360,00:11:51.960
Right?,00:11:51.960,00:11:52.670
"Everything else canceled
and this equation",00:11:52.670,00:11:56.010
boiled down to that one.,00:11:56.010,00:11:57.250
So that's really all I wanted.,00:11:57.250,00:12:00.450
"I just wanted to check that
Pythagoras for a right triangle",00:12:00.450,00:12:08.170
"led me to this -- of course
I cancel the two now.",00:12:08.170,00:12:13.250
No problem.,00:12:13.250,00:12:14.680
"To x transpose y equals
zero as the test.",00:12:14.680,00:12:18.880
Fair enough.,00:12:18.880,00:12:19.610
OK.,00:12:19.610,00:12:21.190
You knew it was coming.,00:12:21.190,00:12:23.150
"The dot product of
orthogonal vectors is zero.",00:12:23.150,00:12:27.010
"It's just -- I just want
to say that's really neat.",00:12:27.010,00:12:31.010
That it comes out so well.,00:12:31.010,00:12:32.760
All right.,00:12:32.760,00:12:34.830
"Now what about -- so
now I know if two --",00:12:34.830,00:12:38.760
when two vectors are orthogonal.,00:12:38.760,00:12:40.700
"By the way, what about if one of
these guys is the zero vector?",00:12:40.700,00:12:45.860
"Suppose x is the zero
vector, and y is whatever.",00:12:45.860,00:12:51.660
Are they orthogonal?,00:12:51.660,00:12:55.010
Sure.,00:12:55.010,00:12:57.190
"In math the one thing
about math is you're",00:12:57.190,00:12:59.310
supposed to follow the rules.,00:12:59.310,00:13:01.910
"So you're supposed to --
if x is the zero vector,",00:13:01.910,00:13:05.450
"you're supposed to take the
zero vector dotted with y",00:13:05.450,00:13:09.330
"and of course you
always get zero.",00:13:09.330,00:13:12.180
"So just so we're all
sure, the zero vector",00:13:12.180,00:13:17.340
is orthogonal to everybody.,00:13:17.340,00:13:20.730
But what I want to --,00:13:20.730,00:13:24.770
"what I now want to think
about is subspaces.",00:13:24.770,00:13:32.240
"What does it mean for me to
say that some subspace is",00:13:32.240,00:13:37.530
"orthogonal to some
other subspace?",00:13:37.530,00:13:39.320
So OK.,00:13:39.320,00:13:41.110
