text,start,stop
"The following content is
provided under a Creative",00:00:00.500,00:00:02.800
Commons license.,00:00:02.800,00:00:04.340
"Your support will help
MIT OpenCourseWare",00:00:04.340,00:00:06.660
"continue to offer high quality
educational resources for free.",00:00:06.660,00:00:11.020
"To make a donation or
view additional materials",00:00:11.020,00:00:13.640
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.640,00:00:17.365
at ocw.mit.edu.,00:00:17.365,00:00:17.990
"TOM LEIGHTON: This
week we're going",00:00:22.802,00:00:24.260
"to talk about recurrences,
how to set them up,",00:00:24.260,00:00:26.940
"how to model a problem
as a recurrent problem,",00:00:26.940,00:00:29.570
and then how to solve them.,00:00:29.570,00:00:31.950
"This stuff is really useful when
you get into algorithm design",00:00:31.950,00:00:35.160
and algorithm analysis.,00:00:35.160,00:00:36.770
"6006 and 6046, we you
use this stuff a lot.",00:00:36.770,00:00:41.060
"We're going to start with a very
famous recurrent problem known",00:00:41.060,00:00:44.290
as the Towers of Hanoi problem.,00:00:44.290,00:00:46.430
"And I'm guessing
that many of you",00:00:46.430,00:00:47.920
"have seen this problem
in one form or another.",00:00:47.920,00:00:51.300
"In the Tower of
Hanoi problem, you've",00:00:51.300,00:00:54.030
"got three pegs and n disks,
these little guys here.",00:00:54.030,00:01:00.260
All different sizes.,00:01:00.260,00:01:02.040
"And the object is to start
with a stack like this",00:01:02.040,00:01:07.340
"and move the disks
around so they wind up",00:01:07.340,00:01:09.990
with the stack on another disk.,00:01:09.990,00:01:13.640
"Now, the rules are you can
only move one disk at a time.",00:01:13.640,00:01:18.750
"And you can never put a big
disk over a little disk.",00:01:18.750,00:01:22.270
So that you can't do.,00:01:22.270,00:01:24.720
So that would have to go there.,00:01:24.720,00:01:26.900
Then you could do this.,00:01:26.900,00:01:29.200
"And now I've gotten the
top two moved over to here.",00:01:29.200,00:01:34.220
"And the goal is to take
the minimum number of moves",00:01:34.220,00:01:37.650
"to get the whole stack
moved over to here,",00:01:37.650,00:01:40.980
"and to even figure
out if that's doable.",00:01:40.980,00:01:45.010
"Now, this was invented by a
famous French mathematician",00:01:45.010,00:01:51.910
named Edward Lucas in 1883.,00:01:51.910,00:01:55.470
"And in the original
legend around this puzzle,",00:01:55.470,00:01:58.750
there were 64 disks.,00:01:58.750,00:02:00.870
This one has just seven on it.,00:02:00.870,00:02:03.770
"And the story was at
the beginning of time,",00:02:03.770,00:02:08.030
"God placed the 64 disks on
one of the three golden pegs.",00:02:08.030,00:02:14.390
"And he got an order of
monks whose lifelong mission",00:02:14.390,00:02:18.900
"was to move the disks one
at a time so at the end",00:02:18.900,00:02:22.440
"all 64 disks were lined
up on an adjacent peg.",00:02:22.440,00:02:26.550
"And according to legend,
when that task was done",00:02:26.550,00:02:29.990
"the tower would crumble
and the world would end.",00:02:29.990,00:02:34.540
"Sort of explains
why monks are never",00:02:34.540,00:02:37.520
"smiling, because
they work forever",00:02:37.520,00:02:39.750
"and then just
something bad happens.",00:02:39.750,00:02:42.530
"Now, the question we
want to be able to answer",00:02:42.530,00:02:44.830
"is, how long till
the world ends?",00:02:44.830,00:02:48.220
"So we can start with
a simpler version.",00:02:48.220,00:02:53.300
"Say let's take three
disks and start with that.",00:02:53.300,00:02:58.940
"And let's see, is it doable?",00:02:58.940,00:03:00.890
"Well, we could.",00:03:00.890,00:03:02.660
"That's one, that's two,
three, four, five, six, seven.",00:03:02.660,00:03:16.740
So it's doable with three disks.,00:03:16.740,00:03:18.820
And we took seven moves.,00:03:18.820,00:03:20.180
"Maybe there's a
better way, and that's",00:03:20.180,00:03:22.220
"part of what we'll
try to study today.",00:03:22.220,00:03:25.420
"In fact, what we'd like to know
is how many moves for n disks?",00:03:25.420,00:03:31.512
And is it even finite?,00:03:34.820,00:03:36.470
"So we're going to define t
sub n to be the minimum number",00:03:36.470,00:03:42.330
of moves for n disks.,00:03:42.330,00:03:49.330
"So to take a stack of
n disks and move them",00:03:49.330,00:03:51.880
to an adjacent peg.,00:03:51.880,00:03:54.510
"So, for example, what's t1?",00:03:54.510,00:03:58.010
One.,00:03:58.010,00:03:58.510
"I got one peg, I just move it.",00:03:58.510,00:03:59.860
That's easy.,00:03:59.860,00:04:01.726
"t2, 3.",00:04:01.726,00:04:05.040
"Move the little
guy, move the base,",00:04:05.040,00:04:07.870
move the little guy back on top.,00:04:07.870,00:04:10.000
That's the best you can do.,00:04:10.000,00:04:12.090
"And we've seen that
t3 is at most 7.",00:04:12.090,00:04:16.510
Maybe there's a better way.,00:04:16.510,00:04:19.060
"But let's try to first get
an upper bound on this.",00:04:19.060,00:04:22.930
"Any thoughts about how we
might go about a general upper",00:04:22.930,00:04:26.220
bound for n for this problem?,00:04:26.220,00:04:31.710
Like say I had four disks.,00:04:31.710,00:04:35.270
"Any thoughts about
a strategy where",00:04:35.270,00:04:37.540
"we might be able to
analyze or get an upper",00:04:37.540,00:04:39.510
"bound the number of steps
for four disks here?",00:04:39.510,00:04:43.570
Or more disks.,00:04:43.570,00:04:44.400
Any thoughts?,00:04:44.400,00:04:45.556
Yeah.,00:04:45.556,00:04:46.056
"AUDIENCE: You can look
at the previous problem",00:04:47.999,00:04:51.412
"and then add a certain
number of [INAUDIBLE].",00:04:51.412,00:04:55.890
"TOM LEIGHTON: Look at
the three disk problem.",00:04:55.890,00:04:57.780
That's a good idea.,00:04:57.780,00:04:59.370
"In fact, you know, I could
look at the three disk problem",00:04:59.370,00:05:03.240
recursively.,00:05:03.240,00:05:04.210
I got these three disks.,00:05:04.210,00:05:05.450
"Say I move them over a series
of steps, seven steps at most,",00:05:05.450,00:05:10.160
to put them here.,00:05:10.160,00:05:12.035
What would I do next?,00:05:12.035,00:05:13.282
"Move the lower one and then
do this recurrent problem",00:05:16.240,00:05:20.000
again back.,00:05:20.000,00:05:22.860
"All right, so we can take
a problem with n disks",00:05:22.860,00:05:26.310
and solve it recursively.,00:05:26.310,00:05:29.900
"Let's see what happens
when we do that.",00:05:29.900,00:05:31.698
"So let's look at a
recursive solution.",00:05:35.087,00:05:36.670
And let's draw it for n.,00:05:43.920,00:05:46.000
"So the first phase
that you described",00:05:46.000,00:05:50.220
"is I start, here
are my three pegs,",00:05:50.220,00:05:52.430
"and I start with this,
1, 2, 3 down to end here,",00:05:52.430,00:05:55.900
and nothing on these pegs.,00:05:55.900,00:05:58.170
"And I'm going to use recursion
to take the top and minus 1",00:05:58.170,00:06:02.520
and move them out here.,00:06:02.520,00:06:04.510
So I leave the nth guy there.,00:06:04.510,00:06:06.130
Nothing here.,00:06:06.130,00:06:07.680
"And I go 1, 2, to n minus 1.",00:06:07.680,00:06:12.870
"How many steps does that move
take, that series of moves",00:06:12.870,00:06:17.870
"take, that phase?",00:06:17.870,00:06:20.650
In terms of t.,00:06:20.650,00:06:23.740
"t of n minus 1, because I'm
taking an n minus 1 disk stack",00:06:23.740,00:06:28.020
and moving it.,00:06:28.020,00:06:28.980
So that is tn minus 1 steps.,00:06:28.980,00:06:32.030
"All right, now my next
move is to take this guy",00:06:36.230,00:06:40.600
and stick him here.,00:06:40.600,00:06:41.523
So we'll draw that over here.,00:06:44.120,00:06:46.460
"So the nth guy moves there and
I leave all these guys here.",00:06:46.460,00:06:49.502
That's going to be phase two.,00:06:52.030,00:06:53.460
I move the largest disk.,00:06:57.840,00:06:59.370
"And how many steps
did that take?",00:07:04.120,00:07:07.590
One step.,00:07:07.590,00:07:08.500
Just move one disk.,00:07:08.500,00:07:09.590
One step for that.,00:07:13.430,00:07:14.370
"And then my last phase
is to take all these",00:07:14.370,00:07:18.620
and move them onto here.,00:07:18.620,00:07:19.708
"And so then it looks like
the final result, 1, 2,",00:07:30.240,00:07:34.800
over n minus 1 over n.,00:07:34.800,00:07:36.930
"And how many steps
this phase three take?",00:07:36.930,00:07:39.111
tn minus 1.,00:07:42.200,00:07:43.888
Good.,00:07:43.888,00:07:44.388
"All right, so we've
got an algorithm now,",00:07:47.710,00:07:49.660
a recursive algorithm.,00:07:49.660,00:07:52.080
"And the total time,
the number of moves tn",00:07:52.080,00:08:03.610
"is at most tn minus 1 plus
tn minus 1 is 2tn minus 1",00:08:03.610,00:08:10.820
plus the one step up there.,00:08:10.820,00:08:14.970
"For example, which
we already know,",00:08:14.970,00:08:16.930
"t3 is at most 2t2 plus 1,
which is 2 times 3 plus 1 is 7.",00:08:16.930,00:08:26.070
"So we already knew we
could do it in seven.",00:08:26.070,00:08:28.470
"What's an upper bound on
the time to move four disks?",00:08:28.470,00:08:33.210
15.,00:08:33.210,00:08:34.559
OK?,00:08:34.559,00:08:36.330
"All right, so t4 is at most 15.",00:08:36.330,00:08:41.390
But maybe there's a better way.,00:08:41.390,00:08:43.070
This is just one way to do it.,00:08:43.070,00:08:45.740
"How many people think there's a
better way than this approach?",00:08:45.740,00:08:51.590
"How many people think
there is no better way?",00:08:51.590,00:08:53.770
"All right, very good.",00:08:53.770,00:08:55.250
"Yeah, this is the
best you can do.",00:08:55.250,00:08:57.570
And let's prove that.,00:08:57.570,00:08:58.710
Let's get a lower bound.,00:08:58.710,00:08:59.820
"All right, to see why this is
optimal, think about the step",00:09:07.500,00:09:13.610
where the nth disk moves.,00:09:13.610,00:09:17.010
"At some point in our procedure,
the biggest disk has to move.",00:09:17.010,00:09:23.600
"Now, it could move to
this peg or that peg,",00:09:23.600,00:09:25.670
doesn't really matter.,00:09:25.670,00:09:26.700
"But when it moves,
what do I know",00:09:26.700,00:09:29.835
"had to have happened
before that guy moved?",00:09:29.835,00:09:32.250
"Everything on top of it had
to move to the other peg.",00:09:37.150,00:09:42.360
"I started with 1
through n minus 1 here.",00:09:42.360,00:09:44.840
None of them can be here.,00:09:44.840,00:09:46.410
They all have to be here.,00:09:46.410,00:09:49.680
OK?,00:09:49.680,00:09:50.970
