text,start,stop
"The following content is
provided under a Creative",00:00:00.120,00:00:02.330
Commons license.,00:00:02.330,00:00:03.610
"Your support will help
MIT OpenCourseWare",00:00:03.610,00:00:06.110
"continue to offer high quality
educational resources for free.",00:00:06.110,00:00:09.950
"To make a donation, or to
view additional materials",00:00:09.950,00:00:12.540
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:12.540,00:00:16.160
at ocw.mit.edu.,00:00:16.160,00:00:22.530
"PROFESSOR: Today we're moving
on from theoretical things,",00:00:22.530,00:00:24.970
"from the mean value theorem,
to the introduction to what's",00:00:24.970,00:00:30.570
"going to occupy us for the
whole rest of the course, which",00:00:30.570,00:00:33.120
is integration.,00:00:33.120,00:00:34.850
"So, in order to
introduce that subject,",00:00:34.850,00:00:38.850
"I need to introduce for
you a new notation, which",00:00:38.850,00:00:42.660
is called differentials.,00:00:42.660,00:00:52.640
"I'm going to tell you
what a differential is,",00:00:52.640,00:00:55.640
"and we'll get used to
using it over time.",00:00:55.640,00:01:02.040
"If you have a function
which is y = f(x),",00:01:02.040,00:01:10.290
"then the differential of y
is going to be denoted dy,",00:01:10.290,00:01:27.650
and it's by definition f'(x) dx.,00:01:27.650,00:01:29.500
So here's the notation.,00:01:34.160,00:01:41.410
"And because y is really
equal to f, sometimes",00:01:41.410,00:01:44.800
"we also call it the
differential of f.",00:01:44.800,00:01:50.140
"It's also called the
differential of f.",00:01:50.140,00:01:58.700
"That's the notation,
and it's the same thing",00:01:58.700,00:02:06.750
"as what happens if you
formally just take this dx,",00:02:06.750,00:02:11.630
"act like it's a number
and divide it into dy.",00:02:11.630,00:02:14.910
"So it means the same thing
as this statement here.",00:02:14.910,00:02:22.670
"And this is more or less
the Leibniz interpretation",00:02:22.670,00:02:29.160
of derivatives.,00:02:29.160,00:02:38.360
"Of a derivative as a ratio of
these so called differentials.",00:02:38.360,00:02:50.990
"It's a ratio of what are
known as infinitesimals.",00:02:50.990,00:03:04.290
"Now, this is kind of a vague
notion, this little bit",00:03:04.290,00:03:09.050
here being an infinitesimal.,00:03:09.050,00:03:12.830
"It's sort of like an
infinitely small quantity.",00:03:12.830,00:03:16.110
"And Leibniz perfected
the idea of dealing",00:03:16.110,00:03:21.300
with these intuitively.,00:03:21.300,00:03:23.050
