text,start,stop
"The following content is
provided under a Creative",00:00:00.499,00:00:02.830
Commons license.,00:00:02.830,00:00:04.350
"Your support will help
MIT OpenCourseWare",00:00:04.350,00:00:06.680
"continue to offer high quality
educational resources for free.",00:00:06.680,00:00:11.050
"To make a donation or
view additional materials",00:00:11.050,00:00:13.670
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.670,00:00:17.566
at ocw.mit.edu.,00:00:17.566,00:00:18.191
"PROFESSOR: So this week we are
going to talk about counting.",00:00:22.800,00:00:27.050
"Tonight is a problem
set eight due.",00:00:27.050,00:00:32.009
"For this week, we will post
a new problem set tonight",00:00:32.009,00:00:34.910
as well.,00:00:34.910,00:00:36.940
Counting is very important.,00:00:36.940,00:00:39.190
"The rest of the semester
after this week,",00:00:39.190,00:00:41.130
"we will actually explain
probability theory.",00:00:41.130,00:00:44.499
And it's all based on counting.,00:00:44.499,00:00:45.790
"So I'm going to
teach you this week",00:00:48.440,00:00:51.710
"a whole toolkit of all
kinds of ways how to count.",00:00:51.710,00:00:54.690
"And as you can see,
we're going to talk",00:00:54.690,00:00:56.960
"about a lot of different
kinds of rules.",00:00:56.960,00:00:59.020
"A mapping rule we'll
talk about, the pigeon",00:00:59.020,00:01:03.100
"hole principle, another
rule, the product rule",00:01:03.100,00:01:05.300
and the sum rule.,00:01:05.300,00:01:06.620
"And these are all ways
to count one thing",00:01:06.620,00:01:10.100
by counting another thing.,00:01:10.100,00:01:11.332
"Actually, what we are
going to talk about",00:01:11.332,00:01:13.040
"is how to count a
difficult set the objects.",00:01:13.040,00:01:19.080
"And we will map those
objects to something",00:01:19.080,00:01:21.130
"that we can count in
a much easier way.",00:01:21.130,00:01:24.930
OK.,00:01:24.930,00:01:25.430
"So let's start with a lot
of definitions actually.",00:01:25.430,00:01:28.780
"So we have to talk about sets,
sequences, and permutations",00:01:28.780,00:01:33.980
to start off with.,00:01:33.980,00:01:35.960
"So the definition of
a set is as follows.",00:01:35.960,00:01:42.640
"A set is actually an
unordered collection",00:01:42.640,00:01:51.450
of distinct elements.,00:01:51.450,00:01:52.835
"So as an example,
we may have, say,",00:02:01.180,00:02:05.970
"a set that contains the
elements a, b, and c.",00:02:05.970,00:02:11.120
"Well, if you reorder
these elements,",00:02:11.120,00:02:12.649
it doesn't really matter.,00:02:12.649,00:02:13.690
It's still the same set.,00:02:13.690,00:02:14.980
"We can also write it
as the set c, a, b.",00:02:14.980,00:02:19.640
"On the other hand if you
have a collection in which",00:02:19.640,00:02:22.820
"say the elements
a appears twice,",00:02:22.820,00:02:26.650
"well, these two
are not distinct.",00:02:26.650,00:02:28.970
So this is not a set.,00:02:28.970,00:02:31.270
So this is not a set.,00:02:31.270,00:02:32.500
But it is a collection.,00:02:32.500,00:02:34.801
"And you may call
this a multiset.",00:02:34.801,00:02:36.175
But we'll not go into that.,00:02:36.175,00:02:38.350
"So we will be
talking about sets.",00:02:38.350,00:02:40.550
"And your interested usually
in the cardinality of a set.",00:02:40.550,00:02:43.930
So what's that?,00:02:43.930,00:02:45.860
"The cardinality or size
is defined as follows.",00:02:45.860,00:02:52.410
"Cardinality is just
a number of elements",00:02:55.000,00:03:04.470
that the set S really has.,00:03:04.470,00:03:06.590
"So it's a number
of elements in S.",00:03:06.590,00:03:16.020
"And how do we denote this/ This
is denoted by two vertical bars",00:03:16.020,00:03:22.550
"around the letter that
represents the set.",00:03:22.550,00:03:27.740
So we denote this as follows.,00:03:27.740,00:03:30.520
"Now, when we talk
about sets, we may also",00:03:30.520,00:03:33.260
"be interested in ordered
collection of elements.",00:03:33.260,00:03:37.940
"And that's what we
call a sequence.",00:03:37.940,00:03:40.820
"So a sequence is
defined as follows.",00:03:40.820,00:03:44.440
"A sequence is an ordered
collection of elements.",00:03:44.440,00:04:00.170
"And we also call these
elements components or terms.",00:04:00.170,00:04:04.570
"And these elements
do not necessarily",00:04:12.810,00:04:16.839
"have to be distinct-- so
not necessarily distinct.",00:04:16.839,00:04:27.360
"Now as an example, so
how do we denote this?",00:04:27.360,00:04:29.400
"For sets, we use this type
of notation like this symbol.",00:04:29.400,00:04:36.520
"For sequences, we just have a
very simple type of bracket,",00:04:36.520,00:04:40.270
just a round bracket.,00:04:40.270,00:04:42.630
"So an example could be, well,
the elements a, b, and c.",00:04:42.630,00:04:49.240
"The first entry
or the first term",00:04:49.240,00:04:51.280
"of the sequence-- depending
on whether you look",00:04:51.280,00:04:53.760
"at it from the left or
the right, it may differ--",00:04:53.760,00:04:57.040
"is here a, b, and then c.",00:04:57.040,00:05:01.140
"Another one could
be a, b, and a.",00:05:01.140,00:05:03.810
"And as you can see, the element
a occurs twice in the sequence.",00:05:03.810,00:05:06.840
"So we're going to relate
sets and sequences.",00:05:10.700,00:05:13.980
"And let's talk about
the permutation.",00:05:13.980,00:05:18.080
"So a permutation of a set
is defined as follows.",00:05:18.080,00:05:21.450
"A permutation of a
set S is actually",00:05:28.500,00:05:36.080
"a sequence that contains every
element in S exactly once.",00:05:36.080,00:05:44.150
"So every element in S
occurs exactly once.",00:05:55.250,00:05:58.515
"And as an example, we may
look at the set that we have",00:06:03.280,00:06:08.260
"described over here,
the set a,b, and c.",00:06:08.260,00:06:11.930
"And how many
permutations are there?",00:06:11.930,00:06:16.530
"So the first one I may just
order the elements in a, b,",00:06:16.530,00:06:22.736
and c.,00:06:22.736,00:06:23.430
"So I have, say, the sequence
a and then b, and then c.",00:06:23.430,00:06:28.020
There are many more.,00:06:28.020,00:06:29.330
"I can, for example,
start with b, and then c,",00:06:29.330,00:06:33.990
and then may cycle through to a.,00:06:33.990,00:06:36.530
"That's another permutation
of these three elements.",00:06:36.530,00:06:40.844
And I can do this once more.,00:06:40.844,00:06:42.010
"I can, for example, start with
c, and then a, and then b.",00:06:42.010,00:06:49.760
"And it turns out that
we can do a few more.",00:06:49.760,00:06:53.150
"You can also start to c,
and then b, and then a.",00:06:53.150,00:06:56.140
"We sort of reversed
the order that we",00:06:56.140,00:07:00.140
"had over here into its opposite,
so first c, then b, then a.",00:07:00.140,00:07:05.070
"And we can look at
this cycle there.",00:07:05.070,00:07:07.390
There's shifts.,00:07:07.390,00:07:08.480
"And we start with b, a,
and then we rotate through",00:07:08.480,00:07:11.260
"to c, which is what
we did over here",00:07:11.260,00:07:14.060
"when you went from this
permutation to this one.",00:07:14.060,00:07:17.050
"So we have to b, a, and then c.",00:07:17.050,00:07:19.700
"And then we may start with
a, and we have a, c, and b.",00:07:19.700,00:07:25.410
"It turns out that
this is actually",00:07:25.410,00:07:28.910
"all the possible
permutations of this set.",00:07:28.910,00:07:32.100
So there's six of these.,00:07:32.100,00:07:36.202
"And in general, how
many permutations",00:07:36.202,00:07:39.950
"are there of a
set of n elements?",00:07:39.950,00:07:42.760
"So let's have a look
here what we did.",00:07:42.760,00:07:46.340
"So if I want to create
a permutation of a set,",00:07:46.340,00:07:50.020
"I may start off by selecting for
the first term a, and b, or c.",00:07:50.020,00:07:56.110
"So I have actually
three choices.",00:07:56.110,00:07:58.800
"So the first term
has three choices.",00:07:58.800,00:08:06.015
"The second term over
here, well, for example,",00:08:09.200,00:08:12.010
suppose my first term was b.,00:08:12.010,00:08:14.910
"Then the second
term, well, must be",00:08:14.910,00:08:17.940
"an element that is different
from b, as yet part of S.",00:08:17.940,00:08:21.880
"So I have only two choices for
the second term, either c or a.",00:08:21.880,00:08:27.450
"So the second term
has two choices.",00:08:27.450,00:08:32.400
"And once I have chosen
the second one, well,",00:08:32.400,00:08:35.309
"if I've already chosen
b and c, there's",00:08:35.309,00:08:37.960
"only one element left in
the set over here, only a.",00:08:37.960,00:08:42.150
So I have only one choice left.,00:08:42.150,00:08:44.480
"So in this way, we may count
the total number of permutations",00:08:44.480,00:08:48.740
"of this set as the
number of choices",00:08:48.740,00:08:50.820
"that I have for the first term
times the number of choices",00:08:50.820,00:08:54.270
"for the second term,
3 times 2 times",00:08:54.270,00:08:57.350
"the number of choices for the
third term, which is only one.",00:08:57.350,00:09:00.520
"So the third term
has only one choice.",00:09:00.520,00:09:10.540
"Now in general, we can do
this for any permutation.",00:09:10.540,00:09:14.520
"And if you want to count
the number of permutations,",00:09:14.520,00:09:21.860
"of a set with n
elements, well, it",00:09:21.860,00:09:31.020
"turns out that it's equal to n
times n minus 1 just like here.",00:09:31.020,00:09:34.920
"We have three elements,
3 times 3 minus 1",00:09:34.920,00:09:38.120
"and so on, n times n
minus 1 times n minus 2,",00:09:38.120,00:09:41.380
et cetera all the way up to one.,00:09:41.380,00:09:47.620
And this is n factorial.,00:09:47.620,00:09:49.550
"And you've seen
this already when",00:09:49.550,00:09:51.290
"we talked about
Stirling's formula",00:09:51.290,00:09:53.180
and how to approximate this.,00:09:53.180,00:09:55.731
"Now, this type of
reasoning we will",00:09:55.731,00:09:57.620
"generalize later on when we
come to the Generalized Product",00:09:57.620,00:10:01.600
rule.,00:10:01.600,00:10:02.770
"And But this is
already a first example",00:10:02.770,00:10:05.590
of how we go about this.,00:10:05.590,00:10:08.350
"So permutations relates
sets and sequences.",00:10:08.350,00:10:13.470
"So now we go on to define
more special functions.",00:10:13.470,00:10:16.970
"So permutations is
one kind of mapping.",00:10:16.970,00:10:19.640
So let's now define functions.,00:10:19.640,00:10:22.770
"And then we will talk about a
few different flavors of those.",00:10:22.770,00:10:29.440
"We talk about surjective
functions, injective functions,",00:10:29.440,00:10:32.070
and bijective functions.,00:10:32.070,00:10:33.920
"And the whole idea is is that
if I can use a mapping from one",00:10:33.920,00:10:39.360
"set to another set
that satisfies some",00:10:39.360,00:10:43.500
"of those properties,
it can say something",00:10:43.500,00:10:45.600
"about how their
cardinalities are related.",00:10:45.600,00:10:48.630
And that's what we want.,00:10:48.630,00:10:49.680
We want to count.,00:10:49.680,00:10:51.440
"OK So the definition of
a function is as follows.",00:10:51.440,00:10:56.035
"So a function f from
x to y is actually",00:11:00.220,00:11:06.050
"a relation between
the sets X and Y.",00:11:06.050,00:11:18.730
"And we say that--
oh-- with the property",00:11:18.730,00:11:24.190
"that every single element,
every element, of X",00:11:24.190,00:11:31.890
"is actually related to
exactly one element of Y.",00:11:31.890,00:11:50.070
"And we will call x to be the
domain of the function f.",00:11:50.070,00:11:59.920
"And Y we will call the range
or image of the function f.",00:11:59.920,00:12:06.860
So let's give an example.,00:12:06.860,00:12:08.670
"And to see a couple of
examples of, first of all,",00:12:08.670,00:12:13.400
"a function and then
relations to that",00:12:13.400,00:12:16.765
are actually not functions.,00:12:16.765,00:12:18.680
"So suppose you have a mapping
from x which just contains",00:12:18.680,00:12:22.980
"the elements a, b,
and c, just in line",00:12:22.980,00:12:25.130
with this example over here.,00:12:25.130,00:12:26.795
"And we have a mapping f
that maps to the set y.",00:12:26.795,00:12:34.410
"And the y is just the
numbers 1, 2, and 3.",00:12:34.410,00:12:37.840
"Well, i could map, for example,
a to 1, b to 3, and c to 3.",00:12:37.840,00:12:46.050
Now this is a function.,00:12:46.050,00:12:47.660
"Because every element of x
is met to exactly one element",00:12:47.660,00:12:52.450
of y. a is just mapped to 1.,00:12:52.450,00:12:55.360
"b is also mapped to
an element, only 3.",00:12:55.360,00:12:58.120
c is mapped to 3 as well.,00:12:58.120,00:13:00.930
"And they usually write this as
f evaluated in a is equal to 1.",00:13:00.930,00:13:07.730
And f b is equal to 3.,00:13:07.730,00:13:11.090
"And f of c is
equal to 3 as well.",00:13:11.090,00:13:14.960
"Now what is not a
function-- oh, I",00:13:14.960,00:13:16.643
"could, for example, add another
edge over here if I wanted to.",00:13:16.643,00:13:20.205
But this is not a function.,00:13:20.205,00:13:21.330
"Because b is now mapped
to two elements, 2 and 3.",00:13:21.330,00:13:25.440
"And that's not what's
covered by this definition.",00:13:25.440,00:13:27.610
So this is not a function.,00:13:27.610,00:13:30.050
"I can also remove, say, an edge.",00:13:30.050,00:13:32.670
"Well, in this case, b is not
mapped to anything at all.",00:13:32.670,00:13:35.380
"And that's not a
function either.",00:13:35.380,00:13:37.050
"So we really have the
property for functions",00:13:37.050,00:13:40.180
"that there is six exactly
one outgoing arrow,",00:13:40.180,00:13:42.520
"if you want to think
about it as being a graph,",00:13:42.520,00:13:47.740
"from each element in x to
exactly one element in y.",00:13:47.740,00:13:54.680
"So now we can talk
about a few definitions.",00:13:54.680,00:13:57.455
"So we will talk about these
few properties, surjective,",00:14:01.580,00:14:05.400
"injective, and bijective.",00:14:05.400,00:14:07.280
"And then we can start to do
a few interesting examples.",00:14:07.280,00:14:12.770
"So a function f that goes from
x to y is called surjective.",00:14:12.770,00:14:17.505
"if every single element of y
is mapped to at least once.",00:14:21.640,00:14:45.190
So what does that mean?,00:14:45.190,00:14:47.840
To at least once.,00:14:47.840,00:14:49.250
"So every element of y, so
say 1 for example here,",00:14:53.170,00:14:59.380
is mapped to at least once.,00:14:59.380,00:15:01.340
"Well, to the element
1 we have mapped a.",00:15:01.340,00:15:05.790
So that's great.,00:15:05.790,00:15:06.520
"But for example element 2
is not mapped to at all.",00:15:06.520,00:15:10.710
"So this particular
example is not surjective.",00:15:10.710,00:15:13.070
"But we will come to a
few examples that are.",00:15:13.070,00:15:15.240
"So here we have the distinction
that every element of y,",00:15:15.240,00:15:18.790
"so every single element of y,
is mapped to at least once.",00:15:18.790,00:15:23.920
"The injective is defined
in a similar fashion.",00:15:23.920,00:15:30.160
"But now, every element
of y is not mapped to",00:15:30.160,00:15:33.220
"at least once, but at most once.",00:15:33.220,00:15:35.850
So let's have look over here.,00:15:40.110,00:15:41.535
"And that's also not true
for this example actually.",00:15:41.535,00:15:43.660
"Because three is
mapped to two times.",00:15:43.660,00:15:48.120
"So it's not mapped
to at most once.",00:15:48.120,00:15:50.250
"So this example is
also not injective.",00:15:50.250,00:15:53.510
"Because if the
function is injective,",00:15:53.510,00:15:55.620
"every element of y of the range
is mapped to at most once.",00:15:55.620,00:16:00.350
"Bijective is if every element
of y is mapped to exactly once.",00:16:00.350,00:16:09.545
"And we can see that the
function is bijective if",00:16:14.110,00:16:18.910
"and only if it is both
surjective and injective.",00:16:18.910,00:16:22.070
"So bijective if and only if
we have both the properties",00:16:22.070,00:16:28.920
surjectvie as well as injective.,00:16:28.920,00:16:34.550
"So let's give a
couple of examples.",00:16:34.550,00:16:36.495
"So as the first example, we
may have the set x and y.",00:16:44.510,00:16:49.090
"We have 1, 2, and 3, and set it
to elements a and b over here.",00:16:49.090,00:16:54.780
"1 is mapped to a, 2 is mapped
to a, and 3 is mapped to b.",00:16:54.780,00:17:00.330
"And now we can see
that every element in y",00:17:00.330,00:17:03.020
is mapped to at least once.,00:17:03.020,00:17:04.440
This one is mapped to two times.,00:17:04.440,00:17:05.800
This one is mapped to once.,00:17:05.800,00:17:07.750
"So this one is
actually surjective.",00:17:07.750,00:17:10.490
So that's great.,00:17:10.490,00:17:12.760
"Another example of
something this is injective",00:17:12.760,00:17:16.380
"is if you have, say, 1, 2,
and 3, and a, b, c, and d.",00:17:16.380,00:17:22.148
"1 is mapped, say, to a.",00:17:22.148,00:17:25.020
"2 to b, 3 to d.",00:17:25.020,00:17:27.420
"Well, in this case we
have that it's injective.",00:17:27.420,00:17:30.320
"Because every element of y
is mapped to at most once,",00:17:30.320,00:17:34.614
"once, once, zero
times, and once.",00:17:34.614,00:17:37.140
So this one is injective.,00:17:37.140,00:17:39.340
"And this one is not
injective, right?",00:17:39.340,00:17:41.300
"Because this one is
mapped to 2 times.",00:17:41.300,00:17:43.380
This one is not surjective.,00:17:43.380,00:17:44.926
"Because this one is
not covered at all.",00:17:44.926,00:17:46.550
It's only mapped to once.,00:17:46.550,00:17:49.081
OK.,00:17:49.081,00:17:49.580
"So let us talk again
about permutations.",00:17:49.580,00:17:54.980
"So let me talk
about permutations.",00:17:54.980,00:17:57.230
"We can define a mapping
using a permutation that",00:17:57.230,00:18:01.040
is an example of a bijection.,00:18:01.040,00:18:03.640
So let's do that.,00:18:03.640,00:18:06.290
"And then we can come
to the mapping rule.",00:18:06.290,00:18:09.589
"And we can start to
do some counting.",00:18:09.589,00:18:11.130
"So for example if we have a
permutation, a 1 up to a n, so",00:18:14.240,00:18:24.900
"let this be a
permutation of the set",00:18:24.900,00:18:31.270
"S that contains all the
elements a 1, up to a n.",00:18:31.270,00:18:37.130
"So this is just one
example of a permutation.",00:18:37.130,00:18:39.930
"And now we may define
the following function.",00:18:39.930,00:18:42.860
"We say that pi evaluated
in a i give us output i.",00:18:42.860,00:18:52.630
"Actually, what I mean
here is that if you",00:18:52.630,00:18:56.080
"take an element in
S, then this one",00:18:56.080,00:19:00.340
"is mapped to under this
function to i if and only",00:19:00.340,00:19:07.610
"if a is in the i-th position
in this permutation.",00:19:07.610,00:19:12.000
"So if and only if today is in
i-th term in the permutation.",00:19:12.000,00:19:24.450
"So in this case, we know
that pi is bijective.",00:19:30.530,00:19:35.600
And why is this?,00:19:35.600,00:19:36.930
"Well, we know from the
definition of a permutation",00:19:36.930,00:19:42.300
"that any permutation is a
sequence in which every element",00:19:42.300,00:19:45.650
of S occurs exactly once.,00:19:45.650,00:19:48.430
"So that means that every
position is covered exactly",00:19:48.430,00:19:53.540
"once by an element of
S. And that is exactly",00:19:53.540,00:19:56.790
"the definition over
here which says",00:19:56.790,00:19:59.190
"that every element in the
range is mapped to exactly",00:19:59.190,00:20:05.190
once by an element in a domain.,00:20:05.190,00:20:07.960
"So this is an example
of a bijection.",00:20:07.960,00:20:10.195
OK.,00:20:13.340,00:20:13.840
"So now that we have
defined functions",00:20:13.840,00:20:16.570
"and the special
properties, let's",00:20:16.570,00:20:18.540
"talk about the mapping rule,
which we'll do over here.",00:20:18.540,00:20:24.830
"And now for the
first time we start",00:20:28.600,00:20:33.340
"to talk about the
cardinalities of sets",00:20:33.340,00:20:36.055
"and how they're
related to one another.",00:20:36.055,00:20:37.680
"So the mapping
rule is that first",00:20:40.440,00:20:43.610
"of all, if f is a
function from x to y",00:20:43.610,00:20:48.610
"and if f is actually surjective,
well, what do we know?",00:20:48.610,00:20:53.900
"We actually know
that the cardinality",00:20:53.900,00:20:56.360
"of the number of
elements in the domain",00:20:56.360,00:20:59.140
"is at least the number
of elements in the range.",00:20:59.140,00:21:02.114
And why is that?,00:21:02.114,00:21:02.780
"If you look at a
definition of surjectivity,",00:21:02.780,00:21:05.950
"we know that every
element of y is",00:21:05.950,00:21:08.810
"covered by some element
in x at least once.",00:21:08.810,00:21:11.820
"And all the elements in x
and mapped to exactly one",00:21:11.820,00:21:19.350
element in y.,00:21:19.350,00:21:20.630
"So we know that the
cardinality of x is at least y.",00:21:20.630,00:21:24.780
"Because every element
in y is mapped",00:21:24.780,00:21:26.680
"by some unique
distinct element in x.",00:21:26.680,00:21:30.810
"And if a function f is
injective, well, in that case",00:21:30.810,00:21:38.910
"we know that the
reverse relation holds,",00:21:38.910,00:21:43.990
so inequality holds.,00:21:43.990,00:21:46.940
"The cardinality of x is at
most the cardinality of y.",00:21:46.940,00:21:51.660
So why is that?,00:21:51.660,00:21:52.470
"Well, every element in an
injective function, right?",00:21:52.470,00:21:56.800
"Every element is mapped
to at most one element.",00:21:56.800,00:22:00.045
"So every element in y is mapped
by at most one element in x.",00:22:03.700,00:22:08.430
"So we know that all
the elements in x",00:22:08.430,00:22:11.047
are mapped to some element in y.,00:22:11.047,00:22:14.540
"But every element in y cannot
map to by more than two times",00:22:14.540,00:22:20.320
by something in the domain.,00:22:20.320,00:22:21.970
"So we know that this
inequality holds.",00:22:21.970,00:22:25.380
OK.,00:22:25.380,00:22:25.880
"For a bijective function, we
have that both these properties",00:22:25.880,00:22:30.001
hold.,00:22:30.001,00:22:30.500
"And we will have an
equality over here.",00:22:30.500,00:22:34.570
"So if this one is bijective,
we have that the cardinalities",00:22:34.570,00:22:44.070
are equal to one another.,00:22:44.070,00:22:45.730
"And this is also called
the bijection rule.",00:22:45.730,00:22:48.630
"So let's give an
example where we",00:22:53.640,00:22:56.340
"want to find out how many
ways there are to select",00:22:56.340,00:23:03.790
12 doughnuts from 5 varieties.,00:23:03.790,00:23:07.110
"So let's see how
that would work.",00:23:07.110,00:23:08.817
"And the whole idea
is that we're going",00:23:08.817,00:23:10.400
"to define the set that
we want to count, which",00:23:10.400,00:23:14.320
"is all these possible
configurations of doughnuts",00:23:14.320,00:23:17.480
over five varieties of flavors.,00:23:17.480,00:23:19.455
"And then we're going to map
these to another structure",00:23:23.760,00:23:27.390
"that we can understand
a little be better.",00:23:27.390,00:23:29.870
So let's do this.,00:23:29.870,00:23:30.830
"So as an example, let x be all
the ways to select, say, 12",00:23:34.280,00:23:49.660
doughnuts from 5 varieties.,00:23:49.660,00:23:55.719
So let's give an example.,00:23:55.719,00:23:56.760
"For example, we may
have 2 doughnuts.",00:24:00.780,00:24:04.000
"And they are in the
chocolate flavored basket.",00:24:04.000,00:24:08.195
So we have chocolate.,00:24:08.195,00:24:09.070
"And suppose we have no doughnuts
in the lemon filled version",00:24:13.060,00:24:19.537
of a doughnut.,00:24:19.537,00:24:20.120
"Suppose he have a whole
bunch of doughnuts,",00:24:23.140,00:24:27.000
"say 6 of those,
that are with sugar.",00:24:27.000,00:24:32.590
"We have some that
are glazed, say 2.",00:24:32.590,00:24:34.680
"And finally, we have just a
couple of plain doughnuts.",00:24:38.050,00:24:44.120
"So this would be a
configuration that is in x.",00:24:44.120,00:24:47.190
"Because we have 1, 2,
3, 4, 5, varieties.",00:24:47.190,00:24:50.490
"And we have 12 doughnuts, 2 over
here, 6 here, 2, and another 2,",00:24:50.490,00:24:57.100
"12 doughnuts, that are selected
from these 5 varieties.",00:24:57.100,00:25:02.180
"Now, if you are going to try to
represent such a configuration,",00:25:02.180,00:25:08.320
"that's usually how we
think about counting,",00:25:08.320,00:25:11.110
"then we may map this
to a 01 sequence.",00:25:11.110,00:25:14.460
So how do we do this?,00:25:14.460,00:25:16.040
"We can just map the
doughnuts two 0s, the divider",00:25:16.040,00:25:19.700
between the two baskets as a 1.,00:25:19.700,00:25:23.240
So this is a 1.,00:25:23.240,00:25:24.160
"Then we have no 0
between these two ones,",00:25:24.160,00:25:29.030
"because there are no doughnuts
in the lemon filled basket.",00:25:29.030,00:25:31.540
"So we have one that is the
mapping from this divider",00:25:31.540,00:25:36.510
field over here.,00:25:36.510,00:25:38.260
We've got 6 0s.,00:25:38.260,00:25:39.250
"We have another one that
is this divider, two 0s,",00:25:41.872,00:25:45.630
"two doughnuts in the
glazed version, and so on.",00:25:45.630,00:25:50.250
So what do we see here?,00:25:50.250,00:25:51.800
"We have a 01 sequence where we
have 12 zeros and we have 1, 2,",00:25:51.800,00:25:59.790
"3, 4 1s.",00:25:59.790,00:26:03.950
"And we can see that this
mapping is actually bijective.",00:26:03.950,00:26:07.190
"Because if I have two 0s, I
can map them back to doughnuts.",00:26:07.190,00:26:13.320
"The 1 I can map back to the
divider between two baskets.",00:26:13.320,00:26:17.710
"So let y be the set of all
kinds of configurations of 12,",00:26:17.710,00:26:27.390
all kinds of sequences.,00:26:27.390,00:26:29.100
"Oops, maybe I will
not take this one out.",00:26:29.100,00:26:32.815
Let's do this one.,00:26:32.815,00:26:34.030
"So if you are going
to define y as the set",00:26:36.840,00:26:47.530
"of all 16-bit sequences
with exactly four 1s,",00:26:47.530,00:27:02.280
"then we know that by
the bijection rule,",00:27:02.280,00:27:05.200
"we have created this
bijection over here,",00:27:05.200,00:27:08.280
"that the cardinalities of
x and y are exactly equal.",00:27:08.280,00:27:12.220
"So now we know that
by the bijection rule,",00:27:12.220,00:27:15.530
"we have been able to count
the number of elements",00:27:15.530,00:27:19.050
"in x by counting something else,
which is really how we proceed",00:27:19.050,00:27:22.600
in these types of proofs.,00:27:22.600,00:27:24.390
"So we are now able to just
count these types of objects.",00:27:24.390,00:27:30.150
"And later on next lecture,
we'll actually figure out",00:27:30.150,00:27:33.740
a formula for this one.,00:27:33.740,00:27:37.110
"So this is an example of how
we can use the bijection rule.",00:27:37.110,00:27:39.710
"Another example is one in which
we are going to count subsets.",00:27:42.460,00:27:47.220
"So we'll give a lot of examples
through these two lectures.",00:27:52.510,00:27:56.140
"And also the problem
set, as you will see,",00:27:56.140,00:27:58.040
"will have a lot of small
little parts with all kinds",00:27:58.040,00:28:02.860
"of countings that you will need
to do applying different rules.",00:28:02.860,00:28:05.740
"So let's talk about how to
count subsets of a set x.",00:28:08.680,00:28:15.860
"So what we want is a
bijection from subsets",00:28:15.860,00:28:25.630
"of a set x containing
of, say, 1 up",00:28:25.630,00:28:29.130
"to n, so the integers 1 up
to n, to n-bit sequences.",00:28:29.130,00:28:37.130
"We know that we
can do this if you",00:28:37.130,00:28:39.640
define a bijection as follows.,00:28:39.640,00:28:41.050
"So we map a subset
S under a mapping",00:28:43.800,00:28:50.880
"f to a bit sequence, b1,
b1, all the way to bn.",00:28:50.880,00:28:58.960
"If I add the
following relation, bi",00:28:58.960,00:29:02.880
"is computed as either a 1
or a 0, it's computed as a 1",00:29:02.880,00:29:07.770
"if i is in S. And it's
a 0 if i is not in S.",00:29:07.770,00:29:16.320
"Now, we know that
this is a bijection.",00:29:16.320,00:29:18.680
"So if we have a bit
sequence, then we",00:29:18.680,00:29:21.330
"can construct from this mapping
the corresponding subset.",00:29:21.330,00:29:25.880
"If you have a subset,
we can use this mapping",00:29:25.880,00:29:28.620
"to construct the
corresponding bit sequence.",00:29:28.620,00:29:32.040
"So how many n-bit
sequences are there?",00:29:38.840,00:29:43.890
"Well, there are 2 to the
power n n-bit sequences.",00:29:48.190,00:29:52.790
Why is that?,00:29:52.790,00:29:53.570
"Well, we have two choices
for b1, a 0 or a 1,",00:29:53.570,00:29:57.100
"two choices for b2,
0 or a 1, and so on.",00:29:57.100,00:30:00.300
"So we have 2 times 2
times 2 choices over here.",00:30:00.300,00:30:07.050
"So we have 2 to the power n
choices for a bit sequence.",00:30:07.050,00:30:12.710
"So there are 2 to the power
of n number of bit sequences.",00:30:12.710,00:30:16.150
And this is actually equal.,00:30:16.150,00:30:18.370
"Because of this bijection rule
that we have described over",00:30:18.370,00:30:21.640
"here, this is equal to the
total number of possible ways",00:30:21.640,00:30:26.160
to select subsets of x.,00:30:26.160,00:30:28.360
"So this is the number of
subsets of an n element set.",00:30:28.360,00:30:42.790
"So this is a very nice
way to demonstrate",00:30:42.790,00:30:47.790
"how we can use a bijection
rule to count something",00:30:47.790,00:30:50.880
"that appears to be
much more harder",00:30:50.880,00:30:52.800
"to think about, to grasp.",00:30:52.800,00:30:54.779
"At least for me it's
harder to grasp.",00:30:54.779,00:30:56.320
"So I have a subset
that can be any size",00:30:56.320,00:31:00.100
in a set of n elements.,00:31:00.100,00:31:02.750
"And now I can find
this really easy",00:31:02.750,00:31:04.960
"going mapping that I
can show to be bijective",00:31:04.960,00:31:07.140
"and all of a sudden, I
know how to count it.",00:31:07.140,00:31:09.930
"Because I can just
look at the image",00:31:09.930,00:31:13.430
"and count those types of
objects, in this case n-bit",00:31:13.430,00:31:16.930
sequences.,00:31:16.930,00:31:17.820
"I get a really
easygoing number that I",00:31:17.820,00:31:19.780
can compute fairly easily.,00:31:19.780,00:31:21.730
"And now I have counted
something much more complex.",00:31:21.730,00:31:25.800
"So this is how we generally
will think about these things.",00:31:25.800,00:31:30.340
