text,start,stop
"OK, here's the last lecture in
the chapter on orthogonality.",00:00:22.770,00:00:28.040
"So we met orthogonal
vectors, two vectors,",00:00:28.040,00:00:32.409
"we met orthogonal subspaces,
like the row space and null",00:00:32.409,00:00:38.030
space.,00:00:38.030,00:00:39.090
"Now today we meet
an orthogonal basis,",00:00:39.090,00:00:44.220
and an orthogonal matrix.,00:00:44.220,00:00:46.870
So we really --,00:00:46.870,00:00:48.420
"this chapter cleans
up orthogonality.",00:00:48.420,00:00:51.670
And really I want --,00:00:51.670,00:00:54.430
"I should use the
word orthonormal.",00:00:54.430,00:00:59.380
"Orthogonal is -- so my
vectors are q1,q2 up to qn --",00:00:59.380,00:01:07.190
"I use the letter ""q"",
here, to remind me,",00:01:07.190,00:01:11.680
"I'm talking about orthogonal
things, not just any vectors,",00:01:11.680,00:01:16.770
but orthogonal ones.,00:01:16.770,00:01:18.190
So what does that mean?,00:01:18.190,00:01:19.730
"That means that every q is
orthogonal to every other q.",00:01:19.730,00:01:24.100
"It's a natural idea,
to have a basis that's",00:01:24.100,00:01:29.380
"headed off at
ninety-degree angles,",00:01:29.380,00:01:32.560
the inner products are all zero.,00:01:32.560,00:01:34.620
"Of course if q is -- certainly
qi is not orthogonal to itself.",00:01:34.620,00:01:41.760
"But there we'll make
the best choice again,",00:01:41.760,00:01:44.700
make it a unit vector.,00:01:44.700,00:01:46.550
"Then qi transpose qi is
one, for a unit vector.",00:01:46.550,00:01:51.110
The length squared is one.,00:01:51.110,00:01:53.090
"And that's what I would
use the word normal.",00:01:53.090,00:01:56.930
"So for this part, normalized,
unit length for this part.",00:01:56.930,00:02:03.980
OK.,00:02:03.980,00:02:04.480
"So first part of
the lecture is how",00:02:04.480,00:02:10.620
"does having an orthonormal
basis make things nice?",00:02:10.620,00:02:14.820
It certainly does.,00:02:14.820,00:02:15.830
"It makes all the
calculations better,",00:02:15.830,00:02:17.990
"a whole lot of
numerical linear algebra",00:02:17.990,00:02:20.650
"is built around working
with orthonormal vectors,",00:02:20.650,00:02:26.020
"because they never
get out of hand,",00:02:26.020,00:02:27.730
"they never overflow
or underflow.",00:02:27.730,00:02:31.720
"And I'll put them
into a matrix Q,",00:02:31.720,00:02:35.890
"and then the second
part of the lecture",00:02:35.890,00:02:37.930
"will be suppose my
basis, my columns of A",00:02:37.930,00:02:42.130
are not orthonormal.,00:02:42.130,00:02:44.210
How do I make them so?,00:02:44.210,00:02:46.160
"And the two names associated
with that simple idea",00:02:46.160,00:02:50.610
are Graham and Schmidt.,00:02:50.610,00:02:52.340
"So the first part is we've
got a basis like this.",00:02:52.340,00:02:58.910
"Let's put those into
the columns of a matrix.",00:02:58.910,00:03:01.540
So a matrix Q that has --,00:03:04.120,00:03:09.490
"I'll put these
orthonormal vectors,",00:03:09.490,00:03:12.180
"q1 will be the first column,
qn will be the n-th column.",00:03:12.180,00:03:17.150
"And I want to say, I want
to write this property,",00:03:19.850,00:03:25.110
"qi transpose qj
being zero, I want",00:03:25.110,00:03:29.390
to put that in a matrix form.,00:03:29.390,00:03:33.140
"And just the right thing is
to look at Q transpose Q.",00:03:33.140,00:03:38.890
"So this chapter has been
looking at A transpose A.",00:03:38.890,00:03:43.020
"So it's natural to
look at Q transpose Q.",00:03:43.020,00:03:45.970
"And the beauty is it
comes out perfectly.",00:03:45.970,00:03:48.990
"Because Q transpose has
these vectors in its rows,",00:03:48.990,00:03:53.660
"the first row is q1 transpose,
the nth row is qn transpose.",00:03:53.660,00:04:01.010
So that's Q transpose.,00:04:01.010,00:04:04.570
And now I want to multiply by Q.,00:04:04.570,00:04:07.110
"That has q1 along to
qn in the columns.",00:04:07.110,00:04:12.310
That's Q.,00:04:12.310,00:04:13.930
And what do I get?,00:04:13.930,00:04:14.910
"You really -- this is the
first simplest most basic fact,",00:04:17.440,00:04:21.740
"that how do orthonormal
vectors, orthonormal columns",00:04:21.740,00:04:26.430
"in a matrix, what happens
if I compute Q transpose Q?",00:04:26.430,00:04:33.160
Do you see it?,00:04:33.160,00:04:34.350
"If I take the first row
times the first column,",00:04:34.350,00:04:38.560
what do I get?,00:04:38.560,00:04:40.670
A one.,00:04:40.670,00:04:42.180
"If I take the first row
times the second column,",00:04:42.180,00:04:45.070
what do I get?,00:04:45.070,00:04:46.830
Zero.,00:04:46.830,00:04:47.780
That's the orthogonality.,00:04:47.780,00:04:49.670
"The first row times the
last column is zero.",00:04:49.670,00:04:52.960
"And so I'm getting
ones on the diagonal",00:04:52.960,00:04:56.130
"and I'm getting zeroes
everywhere else.",00:04:56.130,00:04:59.120
I'm getting the identity matrix.,00:04:59.120,00:05:00.580
"You see how that's -- it's
just like the right calculation",00:05:03.380,00:05:06.420
to do.,00:05:06.420,00:05:07.240
"If you have orthonormal
columns, and the matrix",00:05:07.240,00:05:11.040
doesn't have to be square here.,00:05:11.040,00:05:14.920
We might have just two columns.,00:05:14.920,00:05:17.790
"And they might have
four, lots of components.",00:05:17.790,00:05:21.170
"So but they're orthonormal, and
when we do Q transpose times Q,",00:05:21.170,00:05:28.870
"that Q transpose times
Q or A transpose A",00:05:28.870,00:05:32.610
"just asks for all
those dot products.",00:05:32.610,00:05:38.180
Rows times columns.,00:05:38.180,00:05:40.030
"And in this orthonormal case,
we get the best possible answer,",00:05:40.030,00:05:44.890
the identity.,00:05:44.890,00:05:46.350
"OK, so this is --",00:05:46.350,00:05:48.830
"so I mean now we have a new
bunch of important matrices.",00:05:48.830,00:05:55.190
What have we seen previously?,00:05:55.190,00:05:56.570
"We've seen in the
distant past we",00:05:56.570,00:05:58.940
"had triangular matrices,
diagonal matrices, permutation",00:05:58.940,00:06:03.680
"matrices, that was
early chapters,",00:06:03.680,00:06:07.260
"then we had row echelon
forms, then in this chapter",00:06:07.260,00:06:14.690
"we've already seen
projection matrices,",00:06:14.690,00:06:18.400
"and now we're seeing this
new class of matrices",00:06:18.400,00:06:24.330
with orthonormal columns.,00:06:24.330,00:06:26.990
