text,start,stop
"The following content is
provided under a Creative",00:00:00.000,00:00:02.330
Commons license.,00:00:02.330,00:00:03.620
"Your support will help
MIT OpenCourseWare",00:00:03.620,00:00:05.990
"continue to offer high quality
educational resources for free.",00:00:05.990,00:00:09.455
"To make a donation, or to
view additional materials",00:00:09.455,00:00:12.540
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:12.540,00:00:15.850
at ocw.mit.edu.,00:00:15.850,00:00:21.864
"PROFESSOR: Today we're going
to continue with integration.",00:00:21.864,00:00:24.280
"And we get to do the-- probably
the most important thing",00:00:24.280,00:00:29.670
of this entire course.,00:00:29.670,00:00:31.090
Which is appropriately named.,00:00:31.090,00:00:33.970
"It's called the fundamental
theorem of calculus.",00:00:33.970,00:00:50.250
"And we'll be abbreviating
it FTC and occasionally I'll",00:00:50.250,00:00:54.900
"put in a 1 here, because there
will be two versions of it.",00:00:54.900,00:00:58.964
"But this is the
one that you'll be",00:00:58.964,00:01:00.380
using the most in this class.,00:01:00.380,00:01:06.420
"The fundamental theorem of
calculus says the following.",00:01:06.420,00:01:14.540
"It says that if F' =
f, so F'(x) = f(x),",00:01:14.540,00:01:26.875
"there's a capital
F and a little f,",00:01:26.875,00:01:30.890
"then the integral from a to b
of f(x) is equal to F(b) - F(a).",00:01:30.890,00:01:45.960
That's it.,00:01:52.160,00:01:52.940
That's the whole theorem.,00:01:52.940,00:01:55.600
And you may recognize it.,00:01:55.600,00:02:00.120
"Before, we had the
notation that F",00:02:00.120,00:02:03.880
"was the antiderivative,
that is, capital F",00:02:03.880,00:02:10.020
was the integral of f(x).,00:02:10.020,00:02:11.635
We wrote it this way.,00:02:11.635,00:02:12.510
"This is this
indefinite integral.",00:02:12.510,00:02:14.860
"And now we're putting
in definite values.",00:02:14.860,00:02:17.970
"And we have a connection
between the two",00:02:17.970,00:02:20.260
uses of the integral sign.,00:02:20.260,00:02:22.420
"But with the definite
values, we get real numbers",00:02:22.420,00:02:24.530
out instead of a function.,00:02:24.530,00:02:26.220
Or a function up to a constant.,00:02:26.220,00:02:29.810
So this is it.,00:02:29.810,00:02:30.990
This is the formula.,00:02:30.990,00:02:32.120
"And it's usually also written
with another notation.",00:02:32.120,00:02:35.400
"So I want to introduce that
notation to you as well.",00:02:35.400,00:02:40.390
So there's a new notation here.,00:02:40.390,00:02:44.950
"Which you'll find
very convenient.",00:02:44.950,00:02:47.320
"Because we don't always
have to give a letter f",00:02:47.320,00:02:51.010
to the functions involved.,00:02:51.010,00:02:52.710
So it's an abbreviation.,00:02:52.710,00:02:54.930
"For right now there'll be
a lot of f's, but anyway.",00:02:54.930,00:02:57.610
So here's the abbreviation.,00:02:57.610,00:02:59.660
"Whenever I have a difference
between a function at two",00:02:59.660,00:03:04.420
"values, I also can
write this as F(x)",00:03:04.420,00:03:09.430
"with an a down here
and a b up there.",00:03:09.430,00:03:12.440
"So that's the
notation that we use.",00:03:12.440,00:03:16.550
"And you can also, for
emphasis, and this sometimes",00:03:16.550,00:03:19.910
"turns out to be important, when
there's more than one variable",00:03:19.910,00:03:23.450
floating around in the problem.,00:03:23.450,00:03:25.750
"To specify that
the variable is x.",00:03:25.750,00:03:28.200
"So this is the same
thing as x = a.",00:03:28.200,00:03:32.270
And x = b.,00:03:32.270,00:03:34.100
"It indicates where
you want to plug in,",00:03:34.100,00:03:36.040
what you want to plug in.,00:03:36.040,00:03:37.450
"And now you take the top
value minus the bottom value.",00:03:37.450,00:03:41.840
So F(b) - F(a).,00:03:41.840,00:03:43.380
"So this is just a notation, and
in that notation, of course,",00:03:43.380,00:03:50.290
"the theorem can be written
with this set of symbols here.",00:03:50.290,00:03:59.420
Equally well.,00:03:59.420,00:04:04.160
"So let's just give a
couple of examples.",00:04:04.160,00:04:06.250
"The first example
is the one that we",00:04:06.250,00:04:08.180
did last time very laboriously.,00:04:08.180,00:04:12.260
"If you take the function F(x),
which happens to be x^3 / 3,",00:04:12.260,00:04:19.370
"then if you differentiate
it, you get, well,",00:04:19.370,00:04:24.090
the the factor of 3 cancels.,00:04:24.090,00:04:25.870
"So you get x^2,
that's the derivative.",00:04:25.870,00:04:29.440
"And so by the
fundamental theorem,",00:04:29.440,00:04:32.760
"so this implies by the
fundamental theorem,",00:04:32.760,00:04:37.290
"that the integral from say, a to
b of x^3 over - sorry, x^2 dx,",00:04:37.290,00:04:47.140
that's the derivative here.,00:04:47.140,00:04:50.280
"This is the function we're
going to use as f(x) here -",00:04:50.280,00:04:55.620
"is equal to this function
here, F(b) - F(a), that's here.",00:04:55.620,00:05:02.530
This function here.,00:05:02.530,00:05:04.220
"So that's F(b) - F(a), and
that's equal to b^3 / 3 -",00:05:04.220,00:05:13.470
a^3 / 3.,00:05:13.470,00:05:19.480
"Now, in this new
notation, we usually",00:05:19.480,00:05:23.710
don't have all of these letters.,00:05:23.710,00:05:25.060
All we write is the following.,00:05:25.060,00:05:26.310
"We write the
integral from a to b,",00:05:26.310,00:05:27.970
"and I'm going to
do the case 0 to b,",00:05:27.970,00:05:29.470
"because that was the one that
we actually did last time.",00:05:29.470,00:05:31.803
So I'm going to set a = 0 here.,00:05:31.803,00:05:35.940
"And then, the problem we
were faced last time as this.",00:05:35.940,00:05:39.590
"And as I said we did
it very laboriously.",00:05:39.590,00:05:41.940
"But now you can see that we
can do it in ten seconds,",00:05:41.940,00:05:47.620
let's say.,00:05:47.620,00:05:48.280
"Well, the antiderivative
of this is x^3 / 3.",00:05:48.280,00:05:52.300
"I'm going to evaluate it
at 0 and at b and subtract.",00:05:52.300,00:05:55.750
"So that's going to
be b^3 / 3 - 0^3 / 3.",00:05:55.750,00:06:00.540
Which of course is b^3 / 3.,00:06:00.540,00:06:03.140
"And that's the end,
that's the answer.",00:06:03.140,00:06:06.010
"So this is a lot
faster than yesterday.",00:06:06.010,00:06:08.820
I hope you'll agree.,00:06:08.820,00:06:10.860
"And we can dispense with
those elaborate computations.",00:06:10.860,00:06:15.060
"Although there's a conceptual
reason, a very important one,",00:06:15.060,00:06:18.460
"for understanding the
procedure that we went through.",00:06:18.460,00:06:21.960
"Because eventually you're
going to be using integrals",00:06:21.960,00:06:26.829
"and these quick ways
of doing things,",00:06:26.829,00:06:28.370
"to solve problems like finding
the volumes of pyramids.",00:06:28.370,00:06:32.280
"In other words, we're going
to reverse the process.",00:06:32.280,00:06:34.700
"And so we need to understand
the connection between the two.",00:06:34.700,00:06:42.100
"I'm going to give a
couple more examples.",00:06:42.100,00:06:45.210
And then we'll go on.,00:06:45.210,00:06:47.280
"So the second
example would be one",00:06:47.280,00:06:49.700
"that would be quite difficult
to do by this Riemann sum",00:06:49.700,00:06:52.440
"technique that we
described yesterday.",00:06:52.440,00:06:55.310
Although it is possible.,00:06:55.310,00:06:57.100
"It uses much higher
mathematics to do it.",00:06:57.100,00:06:59.860
"And that is the area under one
hump of the sine curve, sin x.",00:06:59.860,00:07:16.360
