text,start,stop
"Today, and for the next two
weeks, we are going to be",00:00:08.000,00:00:11.754
"studying what,
for many engineers and a few",00:00:11.754,00:00:14.787
"scientists is the most popular
method of solving any",00:00:14.787,00:00:18.469
"differential equation of the
kind that they happen to be,",00:00:18.469,00:00:22.512
"and that is to use the popular
machine called the Laplace",00:00:22.512,00:00:26.555
"transform.
Now, you will get proficient in",00:00:26.555,00:00:30.030
"using it by the end of the two
weeks.",00:00:30.030,00:00:32.389
"But, there is always a certain
amount of mystery that hangs",00:00:32.389,00:00:36.188
"around it.
People scratch their heads and",00:00:36.188,00:00:38.809
"can't figure out where it comes
from.",00:00:38.809,00:00:41.167
"And, that bothers them a lot.
In the past,",00:00:41.167,00:00:43.853
"I've usually promised to tell
you, the students at the end of",00:00:43.853,00:00:47.784
"the two weeks,
but I almost never have time.",00:00:47.784,00:00:50.601
"So, I'm going to break that
glorious tradition and tell you",00:00:50.601,00:00:54.400
"up front at the beginning,
where it comes from,",00:00:54.400,00:00:57.414
"and then talk very fast for the
rest of the period.",00:00:57.414,00:01:02.000
"Okay, a good way of thinking of
where the Laplace transform",00:01:02.000,00:01:06.398
"comes from, and a way which I
think dispels some of its",00:01:06.398,00:01:10.492
"mystery is by thinking of power
series.",00:01:10.492,00:01:13.374
"I think virtually all of you
have studied power series except",00:01:13.374,00:01:17.924
"possibly a few students who just
had 18.01 here last semester,",00:01:17.924,00:01:22.549
"and probably shouldn't be
taking 18.03 anyway,",00:01:22.549,00:01:25.962
"now.
But anyway, a power series",00:01:25.962,00:01:28.236
"looks like this:
summation (a)n x to the n.",00:01:28.236,00:01:31.345
"And, you sum that from,",00:01:31.345,00:01:35.818
"let's say, zero to infinity.
And, the typical thing you want",00:01:35.818,00:01:40.484
"to do with it is add it up to
find out what its sum is.",00:01:40.484,00:01:44.755
"Now, the only way I will depart
from tradition,",00:01:44.755,00:01:48.392
"instead of calling the sum some
generic name like f of x,",00:01:48.392,00:01:52.742
"in order to identify
the sum with the coefficients,",00:01:52.742,00:01:57.487
"a, I'll call it a of x.",00:01:57.487,00:01:59.938
"Now, I want to make just one
slight change in that.",00:01:59.938,00:02:05.000
"I want to use computer
notation, which doesn't use the",00:02:05.000,00:02:08.885
"subscript (a)n.
Instead, this,",00:02:08.885,00:02:11.011
"it thinks of as a function of
the discreet variable,",00:02:11.011,00:02:14.750
"n.
In other words,",00:02:14.750,00:02:15.997
"it's a function which assigns
to n equals zero,",00:02:15.997,00:02:19.369
"one, two, three real numbers.
That's what this sequence of",00:02:19.369,00:02:23.548
"coefficients really is.
So, the computer notation will",00:02:23.548,00:02:27.434
"look almost the same.
It's just that I will write",00:02:27.434,00:02:32.187
"this in functional notation as a
of n instead of (a)n.",00:02:32.187,00:02:37.210
"But, it still means the real
number associated with the",00:02:37.210,00:02:41.584
"positive integer,
n, and everything else is the",00:02:41.584,00:02:45.311
"same.
See, what I'm thinking of this",00:02:45.311,00:02:48.146
"as doing is taking this discreet
function, which gives me the",00:02:48.146,00:02:53.007
"sequence of coefficients of the
power series,",00:02:53.007,00:02:56.572
"and associating that with the
sum of the power series.",00:02:56.572,00:03:02.000
"Let me give you some very
simple examples,",00:03:02.000,00:03:05.048
"two very simple examples,
which I think you know.",00:03:05.048,00:03:08.617
"Suppose this is a function one.
Now, what do I mean by that?",00:03:08.617,00:03:13.005
"I mean it's the constant
function, one.",00:03:13.005,00:03:15.830
"To every positive integer,
it assigns the number one.",00:03:15.830,00:03:19.697
"Okay, what's a of x?
What I'm saying is,",00:03:19.697,00:03:23.266
"in other words,
in this fancy,",00:03:23.266,00:03:25.423
"mystifying form,
is all of these guys are one,",00:03:25.423,00:03:28.769
"what's a of x?
One plus x plus x squared plus",00:03:28.769,00:03:33.222
"x cubed.
Look, you are supposed to be",00:03:33.222,00:03:37.518
"born knowing what that adds up
to.",00:03:37.518,00:03:39.962
"It adds up to one over one
minus x,",00:03:39.962,00:03:43.518
"except that's the wrong answer.
What's wrong about it?",00:03:43.518,00:03:47.444
"It's not true for every value
of x.",00:03:47.444,00:03:49.962
"That's only true when x is such
that that series converges,",00:03:49.962,00:03:54.259
"and that is only true when x
lies between negative one and",00:03:54.259,00:03:58.481
"one.
So, it's not this function.",00:03:58.481,00:04:03.123
"It's this function with its
domain restricted to be less",00:04:03.123,00:04:07.449
"than one in absolute value.
What does that converge to?",00:04:07.449,00:04:11.696
"If x is bigger than one,
the answer is it doesn't",00:04:11.696,00:04:16.258
"converge.
There's nothing else you can",00:04:16.258,00:04:19.168
"put here.
Okay, let's take another",00:04:19.168,00:04:21.764
"function.
Suppose this is,",00:04:21.764,00:04:23.730
"let's see, one over n
you probably won't know.",00:04:23.730,00:04:29.000
"Let's take one you will know,
one over n factorial.",00:04:29.000,00:04:33.199
Suppose a of n is the function,00:04:33.199,00:04:35.588
"one over n factorial,",00:04:35.588,00:04:38.122
"what's a of x?
So, what I'm asking is,",00:04:38.122,00:04:41.742
"what does this add up to when
the coefficient here is one over",00:04:41.742,00:04:46.158
n factorial?,00:04:46.158,00:04:47.823
"What's summation x to the n
over n factorial?",00:04:47.823,00:04:51.805
It is e to the x.,00:04:51.805,00:04:54.049
"And, this doesn't have to be
qualified because this is true",00:04:54.049,00:04:58.248
"for all values of x.
So, in other words,",00:04:58.248,00:05:02.285
"from this peculiar point of
view, I think of a power as",00:05:02.285,00:05:05.937
"summing the operation,
of summing a power series as",00:05:05.937,00:05:09.318
