text,start,stop
"OPERATOR: The following content
is provided under a",00:00:00.000,00:00:01.990
Creative Commons license.,00:00:01.990,00:00:03.840
"Your support will help MIT
OpenCourseWare continue to",00:00:03.840,00:00:06.840
"offer high quality educational
resources for free.",00:00:06.840,00:00:10.530
"To make a donation, or view
additional materials from",00:00:10.530,00:00:13.390
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.390,00:00:17.590
ocw.mit.edu.,00:00:17.590,00:00:19.580
"PROFESSOR: So you may recall
that, in the last lecture, we",00:00:19.580,00:00:25.090
"more or less solved the drunken
student problem,",00:00:25.090,00:00:29.220
looking at a random walk.,00:00:29.220,00:00:32.050
"I now want to move on and
discuss some variants of the",00:00:32.050,00:00:36.510
"random walk problem that are
collectively known as biased",00:00:36.510,00:00:42.230
random walks.,00:00:42.230,00:00:53.260
"So the notion here is, the walk
is still stochastic but",00:00:53.260,00:00:57.950
"there is some bias in the
direction, so the movements",00:00:57.950,00:01:01.230
"are not uniformly distributed or
equally distributed in all",00:01:01.230,00:01:05.500
directions.,00:01:05.500,00:01:07.560
"As I go through this, I want
you to sort of, think in",00:01:07.560,00:01:11.940
"advance about what the take-home
message should be.",00:01:11.940,00:01:16.520
"One, and this is probably the
most important part for today,",00:01:16.520,00:01:20.740
"is I want to illustrate how by
designing our programs in a",00:01:20.740,00:01:24.560
"nice way around classes, we
can change them to do",00:01:24.560,00:01:29.670
"something else writing a
minimal amount of code.",00:01:29.670,00:01:35.430
"And the idea here is that
classes are not there just to",00:01:35.430,00:01:39.180
"provide some syntax that makes
life complicated, but to",00:01:39.180,00:01:42.950
"actually provide a mechanism
that lets us structure our",00:01:42.950,00:01:46.050
"programs in a way that we
can modify them later.",00:01:46.050,00:01:52.380
"I also want to give you a bit
more experience looking at",00:01:52.380,00:01:55.670
"data, and understanding how,
when you get the results of a",00:01:55.670,00:01:59.820
"simulation or anything else that
provides you with data,",00:01:59.820,00:02:04.000
"you can plot, them study the
plots, and try and use those",00:02:04.000,00:02:08.720
"to develop an understanding
about what's going on.",00:02:08.720,00:02:12.460
"And finally, I want to just get
you thinking more about",00:02:12.460,00:02:16.860
random behavior.,00:02:16.860,00:02:18.560
"Because we're going to talk a
lot more this semester and in",00:02:18.560,00:02:21.080
"general throughout your careers,
you'll see a lot of",00:02:21.080,00:02:24.300
uses of stochastic things.,00:02:24.300,00:02:26.530
"All right, so let's think about
these biased walks.",00:02:26.530,00:02:31.280
"So for example, assume that
the drunk grew up in South",00:02:31.280,00:02:36.610
"Florida, and really hates
the New England winter.",00:02:36.610,00:02:40.440
"Well there might be a bias that
even though the drunk is",00:02:40.440,00:02:43.730
"not in total control, she's kind
of wandering southward.",00:02:43.730,00:02:48.940
"So there's a bias when taking a
step to more likely go south",00:02:48.940,00:02:52.380
than certainly north.,00:02:52.380,00:02:55.400
"Or imagine that the drunk is
photosensitive and moves",00:02:55.400,00:02:59.160
"either towards the sun
or away from the sun,",00:02:59.160,00:03:02.030
or some such thing.,00:03:02.030,00:03:04.410
"So we're going to look at
different things of that",00:03:04.410,00:03:06.910
"nature and think about, I'll
come back to Chutes and",00:03:06.910,00:03:09.970
"Ladders later in the lecture,
you can speculate",00:03:09.970,00:03:13.390
on why this is here.,00:03:13.390,00:03:19.210
And we'll look at that.,00:03:19.210,00:03:21.540
"So, this is on the front page
of your handout here.",00:03:21.540,00:03:26.910
"I've taken the random walk
program we looked at last time",00:03:26.910,00:03:32.560
and changed it a bit.,00:03:32.560,00:03:35.370
"And in particular,
I've changed the",00:03:35.370,00:03:41.210
way the drunk works.,00:03:41.210,00:03:46.430
So let's look at the code.,00:03:46.430,00:03:50.170
"Wow, haven't even done
anything it's --",00:03:50.170,00:03:52.570
see how this works.,00:03:52.570,00:04:07.220
"So now, drunk itself is a very
small class, one I don't",00:04:07.220,00:04:14.030
"actually intend to
ever instantiate.",00:04:14.030,00:04:19.410
"I've pared it down, it has
only two methods in it.",00:04:19.410,00:04:23.880
"It has an init, which is the
same as before, and a move",00:04:23.880,00:04:29.890
"which is the same as before,
almost the same.",00:04:29.890,00:04:35.150
"Now I'm going to have the
class usual drunk.",00:04:35.150,00:04:40.090
