text,start,stop
"The following content is
provided under a Creative",00:00:00.570,00:00:02.990
Commons license.,00:00:02.990,00:00:04.510
"Your support will help
MIT OpenCourseWare",00:00:04.510,00:00:06.850
"continue to offer high quality
educational resources for free.",00:00:06.850,00:00:11.220
"To make a donation or
view additional materials",00:00:11.220,00:00:13.830
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.830,00:00:17.707
at ocw.mit.edu.,00:00:17.707,00:00:18.332
"PROFESSOR: Who can tell
me what a proof is?",00:00:24.070,00:00:26.540
"Any ideas of, what
is a proof, anyway?",00:00:26.540,00:00:29.459
Any thoughts?,00:00:29.459,00:00:30.000
Yeah?,00:00:30.000,00:00:30.874
"AUDIENCE: It's a chain of
statements, each logically",00:00:30.874,00:00:34.262
"supported by the
previous ones, that",00:00:34.262,00:00:36.215
"get you from a
set of assumptions",00:00:36.215,00:00:39.161
to a set of conclusions.,00:00:39.161,00:00:40.730
PROFESSOR: Very good.,00:00:40.730,00:00:41.810
I like that.,00:00:41.810,00:00:42.640
"That's very close to what
we're going to do here, yeah.",00:00:42.640,00:00:47.090
"Now, that's a special
kind of proof, though.",00:00:47.090,00:00:50.110
That's a mathematical proof.,00:00:50.110,00:00:52.290
"And I'm going to write
a definition very",00:00:52.290,00:00:54.170
close to that in a few minutes.,00:00:54.170,00:00:56.610
"But proofs exist
beyond mathematics.",00:00:56.610,00:01:00.830
"Can anybody think
of a higher level",00:01:00.830,00:01:03.960
notion of what a proof is?,00:01:03.960,00:01:05.061
"That's correct, what
you said, but there's",00:01:05.061,00:01:06.810
"a higher meta level notion of
what a proof is beyond that.",00:01:06.810,00:01:12.500
"It may have no logical
deductions potentially.",00:01:12.500,00:01:16.220
It may have no assumptions.,00:01:16.220,00:01:18.490
Any thoughts about a proof?,00:01:18.490,00:01:22.710
"OK, well, I think
generally, a proof",00:01:22.710,00:01:26.970
"is considered, across
multiple fields,",00:01:26.970,00:01:29.400
"as a method for
ascertaining the truth.",00:01:29.400,00:01:31.150
And you described one method.,00:01:36.720,00:01:38.190
"Now, by ascertaining, I mean
establishing truth, verifying",00:01:51.370,00:01:54.720
truth.,00:01:54.720,00:01:56.340
"And there's lots of
ways to ascertain truth",00:01:56.340,00:01:58.930
"in society, and
even within science.",00:01:58.930,00:02:02.540
"What are some examples
of ways that we",00:02:02.540,00:02:05.050
ascertain truth in society?,00:02:05.050,00:02:07.395
Yeah?,00:02:10.210,00:02:10.897
"AUDIENCE: Observations, like
seeing that piece of chalk",00:02:10.897,00:02:13.768
will fall to the ground.,00:02:13.768,00:02:15.560
"PROFESSOR:
Observation, experiment",00:02:15.560,00:02:17.260
and observation-- excellent.,00:02:17.260,00:02:18.640
"And that's the
bedrock of physics.",00:02:18.640,00:02:23.540
"I mean, who really knows if
there's gravity out there?",00:02:23.540,00:02:27.580
"Well, we observe it.",00:02:27.580,00:02:29.720
"And so we then conclude
that's the truth.",00:02:29.720,00:02:31.730
"There's gravity, and
we have laws about it.",00:02:31.730,00:02:33.607
That's one good way.,00:02:33.607,00:02:34.440
"What's another way
of ascertaining truth",00:02:34.440,00:02:39.890
"across scientific disciplines,
or beyond science, just",00:02:39.890,00:02:43.830
in society?,00:02:43.830,00:02:45.150
How is truth established?,00:02:45.150,00:02:47.700
What are the ways?,00:02:47.700,00:02:48.450
Yeah?,00:02:48.450,00:02:48.950
"AUDIENCE: Well,
establishing what's false,",00:02:48.950,00:02:50.704
"you can know what
things aren't true.",00:02:50.704,00:02:53.620
"Then that helps you
narrow down what is true.",00:02:53.620,00:02:56.109
"PROFESSOR: Yes, truth--
yeah, that's great.",00:02:56.109,00:02:57.900
"Truth is the opposite
of falsehood.",00:02:57.900,00:02:59.980
How do we establish falsehood?,00:02:59.980,00:03:02.590
What are the ways in doing that?,00:03:02.590,00:03:04.460
"How you decide something is
not true in every day-- yeah?",00:03:04.460,00:03:08.455
AUDIENCE: Find counterexamples.,00:03:08.455,00:03:10.100
"PROFESSOR: Find counterexamples,
yeah, that's good.",00:03:10.100,00:03:13.460
"So in fact, even a step
more general, sampling.",00:03:13.460,00:03:16.890
Counterexamples are ways.,00:03:20.030,00:03:21.730
"If you do something, an
experiment, ten times,",00:03:26.320,00:03:28.400
"and every time, it comes out
one way, that's truth, maybe.",00:03:28.400,00:03:33.310
"But there's fields where
that becomes truth.",00:03:33.310,00:03:36.329
What about other ways?,00:03:36.329,00:03:37.245
"How are we going to
decide if Roger Clemens is",00:03:41.490,00:03:44.760
"guilty of perjury for lying
about steroids to Congress?",00:03:44.760,00:03:48.410
He did it or he didn't.,00:03:51.210,00:03:52.230
How are we going to decide that?,00:03:52.230,00:03:54.300
"How is that truth going
to be ascertained?",00:03:54.300,00:03:56.290
Yeah?,00:03:56.290,00:03:56.790
"AUDIENCE: Would it be by
examining the evidence",00:03:56.790,00:03:59.481
that we have?,00:03:59.481,00:04:00.100
PROFESSOR: Examining evidence.,00:04:00.100,00:04:01.350
"And who makes the
conclusion there?",00:04:01.350,00:04:03.512
AUDIENCE: Juries.,00:04:03.512,00:04:04.220
PROFESSOR: The jury.,00:04:04.220,00:04:05.540
"Truth is established
by juries or judges.",00:04:05.540,00:04:07.645
"You know, Blago-- I
can never pronounce",00:04:13.960,00:04:15.859
"his name, the Illinois governor,
Blagojevick-- he's guilty.",00:04:15.859,00:04:20.950
"That's the truth of--
not of conspiracy,",00:04:20.950,00:04:25.880
"trying to sell
Obama a senate seat,",00:04:25.880,00:04:27.910
"but of lying to the authorities
about campaign financing.",00:04:27.910,00:04:30.970
"OJ is guilty-- not
of killing his wife,",00:04:30.970,00:04:35.640
"but of breaking into an
apartment to steal back",00:04:35.640,00:04:38.650
some of his merchandise.,00:04:38.650,00:04:40.850
"So judges and juries
make decisions on truth.",00:04:40.850,00:04:43.840
"What are other truths-- bigger
truths, even, than judges",00:04:43.840,00:04:46.250
"and juries, in society?",00:04:46.250,00:04:48.085
"There's one really big one
that causes a lot of issues.",00:04:51.530,00:04:54.680
Yeah?,00:04:54.680,00:04:55.180
AUDIENCE: Religion.,00:04:55.180,00:04:55.870
PROFESSOR: What is it?,00:04:55.870,00:04:56.420
AUDIENCE: Religion.,00:04:56.420,00:04:57.211
"PROFESSOR: Religion, the word
of God-- broadly construed here,",00:04:57.211,00:05:01.824
for religion.,00:05:01.824,00:05:02.365
"Now, that one is really
hard to argue about",00:05:05.440,00:05:08.140
because you believe it.,00:05:08.140,00:05:10.750
"And especially if you're
not talking to God regularly",00:05:10.750,00:05:13.440
"and somebody is, well, it's
hard to argue about the truth.",00:05:13.440,00:05:17.904
"So you rely on others
to interpret it for you,",00:05:17.904,00:05:19.820
"often-- a priest, or
a minister, a rabbi.",00:05:19.820,00:05:23.560
"And it gets complicated,
because you can end up",00:05:23.560,00:05:25.640
"with conflicting truths based on
who you think you're talking to",00:05:25.640,00:05:29.890
"or who the translator
is for you.",00:05:29.890,00:05:33.220
"Another one is the
word of your boss.",00:05:33.220,00:05:37.080
Whatever the boss says is right.,00:05:37.080,00:05:39.850
"Often in business, the
customer is always right.",00:05:39.850,00:05:42.650
"That's the truth, whatever
the customer says.",00:05:42.650,00:05:46.680
"With Donald Trump as your
boss, you'd better agree",00:05:46.680,00:05:48.920
or you're fired.,00:05:48.920,00:05:49.586
"Often in classes, the
professor says it, it is true.",00:05:53.560,00:05:57.110
Because the authority said it.,00:05:57.110,00:05:58.910
That's not true here.,00:05:58.910,00:06:00.290
That will not hold.,00:06:00.290,00:06:01.600
"And one of the nicest things
about math that I like a lot",00:06:01.600,00:06:05.340
"is that the youngest
student can stand up",00:06:05.340,00:06:09.230
"against the most oldest,
most experienced professor,",00:06:09.230,00:06:12.020
"and win an argument
on mathematics.",00:06:12.020,00:06:15.015
"I do get pleasure when a student
comes up and proves me wrong.",00:06:17.267,00:06:19.850
"I loved it when that
student came in,",00:06:19.850,00:06:21.391
"and she showed me
what I said really",00:06:21.391,00:06:23.240
"wasn't right when you
looked at it carefully",00:06:23.240,00:06:25.090
or in a different light.,00:06:25.090,00:06:27.400
"Now, sometimes if I do it on the
board here and it's in class,",00:06:27.400,00:06:30.230
"well, that's fun.",00:06:30.230,00:06:31.990
"I feel a little
embarrassed afterwards.",00:06:31.990,00:06:34.740
"But it's a good thing
about mathematics,",00:06:34.740,00:06:36.640
"is you can have that
kind of dialogue.",00:06:36.640,00:06:41.550
"OK, another one, which is
related to the word of God",00:06:41.550,00:06:45.200
"sometimes, is inner
conviction-- very popular",00:06:45.200,00:06:50.370
"in computer science, believe
it or not, with the mantra,",00:06:50.370,00:06:54.020
there are no bugs in my program.,00:06:54.020,00:06:57.820
"I can't tell you how
many times you hear that.",00:06:57.820,00:07:00.850
"Closely related is, I don't
see why not something is true.",00:07:00.850,00:07:06.790
"And that's a good
one, because that",00:07:06.790,00:07:08.940
"transfers the burden of proof to
anybody who disagrees with you.",00:07:08.940,00:07:13.906
You don't have to prove.,00:07:13.906,00:07:14.910
"You just say, I don't
see why it's not true.",00:07:14.910,00:07:16.550
"All of a sudden, the other
person who's questioning you,",00:07:16.550,00:07:18.883
"it becomes their job to disprove
you, which is not so good.",00:07:18.883,00:07:24.000
"OK, now in mathematics,
there's this higher level.",00:07:24.000,00:07:26.710
"And someone stated it
very clearly up there.",00:07:26.710,00:07:28.980
Let me write it up here.,00:07:28.980,00:07:31.460
"In mathematics, we have
a mathematical proof",00:07:31.460,00:07:39.280
"is a verification
of a proposition",00:07:39.280,00:07:57.700
"by a chain of logical
deductions from a set of axioms.",00:07:57.700,00:08:16.410
"Now, that's a bit of a mouthful.",00:08:22.030,00:08:24.070
"There's three important
components here--",00:08:24.070,00:08:28.500
"propositions, logical
deductions, and axioms.",00:08:28.500,00:08:34.780
"And we're going to spend
the rest of the class",00:08:34.780,00:08:37.130
"today talking about
each of these,",00:08:37.130,00:08:38.770
"and then give an
example of a proof.",00:08:38.770,00:08:41.144
We'll start with propositions.,00:08:41.144,00:08:42.394
"A proposition is a statement
that is either true or false.",00:08:46.910,00:09:04.000
"You may not know which one,
but it's one or the other.",00:09:07.130,00:09:10.800
"A simple example--
2 plus 3 equals 5.",00:09:10.800,00:09:15.310
"Now, that's a true proposition.",00:09:15.310,00:09:18.292
"Here's one that's a
little more interesting.",00:09:18.292,00:09:20.125
"For all n in the set
of natural numbers,",00:09:27.450,00:09:32.900
"n squared plus n plus
41 is a prime number.",00:09:32.900,00:09:38.660
"I know I've used
some notation here.",00:09:43.930,00:09:46.520
"This is-- the upside down
A is the for all symbol.",00:09:46.520,00:09:50.465
"How many people have not
seen that symbol before?",00:09:53.200,00:09:56.620
A bunch of you.,00:09:56.620,00:09:57.310
"You're going to see a bunch
of symbols here first week.",00:09:57.310,00:10:00.110
"And that means for every
possible choice of n--",00:10:00.110,00:10:03.520
"and this is in the natural
numbers, which is the set 0, 1,",00:10:03.520,00:10:08.010
"2, 3, and so forth.",00:10:08.010,00:10:11.970
It's the natural numbers.,00:10:11.970,00:10:13.644
"It's basically the
integers, but not negative.",00:10:13.644,00:10:15.560
"So we're saying for every
natural number, i.e. for 0,",00:10:19.570,00:10:22.790
"for 1, for 2, and for 3, and
so forth, this expression",00:10:22.790,00:10:26.700
is a prime.,00:10:26.700,00:10:27.540
"Now, a prime number
is a number that",00:10:27.540,00:10:30.410
"is not divisible by any other
number besides itself and 1.",00:10:30.410,00:10:35.830
"So 1, 3, 5, 7 are prime.",00:10:35.830,00:10:38.850
9 is not because it's 3 times 3.,00:10:38.850,00:10:41.890
"Now, this part here is
called the predicate.",00:10:41.890,00:10:45.700
"And a predicate is a
proposition whose truth",00:10:49.390,00:11:00.420
"depends on the value of a
variable-- in this case, n.",00:11:00.420,00:11:11.090
"All right, this is referred to
as the universe of discourse.",00:11:16.780,00:11:21.480
"It's the space of all the
things we're talking about.",00:11:21.480,00:11:24.240
"We're only talking about
natural numbers here.",00:11:24.240,00:11:28.230
This is called a quantifier.,00:11:28.230,00:11:30.140
"We'll see more
quantifiers later.",00:11:30.140,00:11:31.900
"All right, now to see if
this proposition is true,",00:11:34.620,00:11:39.820
"we need to make sure
that this predicate is",00:11:39.820,00:11:43.120
true for every natural number n.,00:11:43.120,00:11:46.770
"So let's see if
we can check that.",00:11:46.770,00:11:51.160
Let's try some values.,00:11:51.160,00:11:53.140
"So we'll try n is 1,
2, 3, and so forth.",00:11:53.140,00:11:58.230
"And we'll compute n
squared plus n plus 41.",00:11:58.230,00:12:02.390
"And then we'll
check, is it prime?",00:12:02.390,00:12:05.890
"So for n equals 0, n squared
plus n plus 41 is 41.",00:12:05.890,00:12:12.202
Is 41 prime?,00:12:12.202,00:12:13.405
"Yeah, nothing divides
41 but itself and 1.",00:12:16.390,00:12:19.450
"All right, let's try 1.",00:12:21.980,00:12:23.120
1 squared plus 1 plus 41 is 43.,00:12:23.120,00:12:25.845
Is 43 prime?,00:12:25.845,00:12:28.120
Yes.,00:12:28.120,00:12:30.400
Let's try 2.,00:12:30.400,00:12:32.050
"We get 4 plus 2 is
6 plus 41 is 47.",00:12:32.050,00:12:36.440
Is 47 prime?,00:12:36.440,00:12:38.230
AUDIENCE: Yes.,00:12:38.230,00:12:39.030
PROFESSOR: Yes.,00:12:39.030,00:12:40.650
Looking good.,00:12:40.650,00:12:41.200
"3-- I got 9, 12, 53.",00:12:41.200,00:12:46.640
Is 53 prime?,00:12:46.640,00:12:48.600
Yeah.,00:12:48.600,00:12:50.000
And I could keep on going here.,00:12:50.000,00:12:51.810
I could go down to 20.,00:12:51.810,00:12:53.550
I get 420-- 461.,00:12:53.550,00:12:57.140
"In fact, that is a prime.",00:12:57.140,00:13:00.150
"And I could just
keep on going here.",00:13:00.150,00:13:02.410
Go down to 39.,00:13:02.410,00:13:03.460
"I get 1,601.",00:13:03.460,00:13:06.967
You can check.,00:13:06.967,00:13:07.550
That is a prime.,00:13:07.550,00:13:09.880
"The first 40 values of n,
the proposition is true.",00:13:09.880,00:13:13.120
The predicate is true.,00:13:13.120,00:13:14.700
It is prime.,00:13:14.700,00:13:16.640
"Now, this is a great example
because in a lot of fields--",00:13:16.640,00:13:20.520
"physics, for example;
statistics, often-- you",00:13:20.520,00:13:25.560
checked 40 examples.,00:13:25.560,00:13:26.720
"That's above and beyond
the call of duty.",00:13:26.720,00:13:29.040
It's always true.,00:13:29.040,00:13:30.820
"So yeah, this must
be true, right?",00:13:30.820,00:13:35.160
"No, wrong.",00:13:35.160,00:13:37.730
"Often, you'll see this in
a lot of scientific fields.",00:13:37.730,00:13:40.940
It is not true.,00:13:40.940,00:13:41.690
"Can anybody give
me an example of n",00:13:41.690,00:13:43.220
"for which n squared plus
n plus 41 is not prime?",00:13:43.220,00:13:46.750
Yeah?,00:13:46.750,00:13:47.390
AUDIENCE: 40.,00:13:47.390,00:13:48.270
