text,start,stop
"The following content is
provided under a Creative",00:00:00.000,00:00:02.330
Commons license.,00:00:02.330,00:00:03.620
"Your support will help MIT
OpenCourseWare continue to",00:00:03.620,00:00:06.580
"offer high quality educational
resources for free.",00:00:06.580,00:00:09.950
"To make a donation, or to view
additional materials from",00:00:09.950,00:00:13.040
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.040,00:00:16.540
ocw.mit.edu.,00:00:16.540,00:00:22.180
"PROFESSOR: To begin today I want
to remind you, I need to",00:00:22.180,00:00:24.520
"write it down on the board
at least twice, of the",00:00:24.520,00:00:27.720
"fundamental theorem
of calculus.",00:00:27.720,00:00:33.230
"We called it FTC 1 because it's
the first version of the",00:00:33.230,00:00:38.870
fundamental theorem.,00:00:38.870,00:00:39.620
"We'll be talking about another
version, called the second",00:00:39.620,00:00:43.150
"version, today.",00:00:43.150,00:00:44.940
"And what it says is this: If F'
= f, then the integral from",00:00:44.940,00:00:58.010
"a to b of f (x) dx =
F ( b) - F ( a).",00:00:58.010,00:01:06.410
"So that's the fundamental
theorem of calculus.",00:01:06.410,00:01:10.750
"And the way we used it last
time was, this was used to",00:01:10.750,00:01:17.820
evaluate integrals.,00:01:17.820,00:01:22.090
"Not surprisingly, that's
how we used it.",00:01:22.090,00:01:28.110
"But today, I want to reverse
that point of view.",00:01:28.110,00:01:35.670
"We're going to read the equation
backwards, and we're",00:01:35.670,00:01:39.190
going to write it this way.,00:01:39.190,00:01:49.240
"And we're going to use f to
understand capital F. Or in",00:01:49.240,00:02:01.110
"other words, the derivative.",00:02:01.110,00:02:04.370
To understand the function.,00:02:04.370,00:02:07.700
"So that's the reversal
of point of view",00:02:07.700,00:02:11.290
that I'd like to make.,00:02:11.290,00:02:13.380
"And we'll make this point
in various ways.",00:02:13.380,00:02:16.310
"So information about F, about
F', gives us information about",00:02:16.310,00:02:36.460
"F. Now, since there were
questions about the mean value",00:02:36.460,00:02:38.770
"theorem, I'm going to illustrate
this first by",00:02:38.770,00:02:42.040
"making a comparison between
the fundamental theorem of",00:02:42.040,00:02:45.630
"calculus and the mean
value theorem.",00:02:45.630,00:02:50.600
"So we're going to compare this
fundamental theorem of",00:02:50.600,00:02:55.540
"calculus with what we call
the mean value theorem.",00:02:55.540,00:03:01.550
"And in order to do that,
I'm going to",00:03:01.550,00:03:02.980
introduce a couple of notations.,00:03:02.980,00:03:05.070
"I'll write delta F as
F ( b ) - F ( a).",00:03:05.070,00:03:11.820
"And another highly imaginative
notation, delta x = b - a.",00:03:11.820,00:03:17.770
"So here's the change in f,
there's the change in x.",00:03:17.770,00:03:21.760
"And then, this fundamental
theorem can be written, of",00:03:21.760,00:03:27.420
"course, right up above
there is the formula.",00:03:27.420,00:03:30.800
"And it's the formula for delta
F. So this is what we call the",00:03:30.800,00:03:38.110
"fundamental theorem
of calculus.",00:03:38.110,00:03:44.090
"I'm going to divide
by delta x, now.",00:03:44.090,00:03:51.810
"And If I divide by delta x,
that's the same thing as 1 / b",00:03:51.810,00:03:56.690
"- a times the integral from
a to b of f ( x) dx.",00:03:56.690,00:04:02.880
"So I've just rewritten
the formula here.",00:04:02.880,00:04:05.110
"And this expression here, on
the right-hand side, is a",00:04:05.110,00:04:11.960
fairly important one.,00:04:11.960,00:04:13.650
This is the average of f.,00:04:13.650,00:04:23.370
That's the average value of f.,00:04:23.370,00:04:29.490
"Now, so this is going to
permit me to make the",00:04:29.490,00:04:33.610
"comparison between the mean
value theorem, which we don't",00:04:33.610,00:04:37.110
have stated yet here.,00:04:37.110,00:04:38.630
And the fundamental theorem.,00:04:38.630,00:04:41.010
"And I'll do it in the form
of inequalities.",00:04:41.010,00:04:49.130
"So right in the middle here,
I'm going to put the",00:04:49.130,00:04:51.550
fundamental theorem.,00:04:51.550,00:04:52.370
"It says that delta F in this
notation is equal to, well if",00:04:52.370,00:04:57.070
"I multiply by delta x again, I
can write it as the average of",00:04:57.070,00:05:00.650
"F. So I'm going to write it
as the average of F' here.",00:05:00.650,00:05:04.870
Times delta x.,00:05:04.870,00:05:07.100
"So we have this factor here,
which is the average of F', or",00:05:07.100,00:05:10.790
"the average of little f,
it's the same thing.",00:05:10.790,00:05:13.810
"And then I multiplied
through again.",00:05:13.810,00:05:15.430
"So I put the thing
in the red box.",00:05:15.430,00:05:20.810
Here.,00:05:20.810,00:05:29.970
"Isn't what the average
of big F.",00:05:29.970,00:05:37.190
"So the question is, why is this
the average of little f",00:05:37.190,00:05:41.370
"rather than the average of big
F. So the average of a",00:05:41.370,00:05:47.030
function is the typical value.,00:05:47.030,00:05:50.130
"If, for example, little f were
constant, little f were",00:05:50.130,00:05:56.520
"constant, then this integral
would be, so the question is",00:05:56.520,00:06:01.260
why is this the average.,00:06:01.260,00:06:03.920
"And I'll take a little second
to explain that.",00:06:03.920,00:06:08.970
"But I think I'll explain
it over here.",00:06:08.970,00:06:13.050
Because I'm going to erase it.,00:06:13.050,00:06:19.010
"So the idea of an average
is the following.",00:06:19.010,00:06:27.270
"For example, imagine that
a = 0 and b = n,",00:06:27.270,00:06:32.281
let's say for example.,00:06:32.281,00:06:33.600
"And so we might sum the
function from 1 to n.",00:06:33.600,00:06:46.850
"Now, that would be the sum of
the values from 1 to n.",00:06:46.850,00:06:49.520
"But the average is, we
divide by n here.",00:06:49.520,00:06:54.960
So this is the average.,00:06:54.960,00:06:56.140
"And this is a kind of Riemann
sum, representing the integral",00:06:56.140,00:07:01.760
"from 0 to n, of f (x) dx.",00:07:01.760,00:07:06.290
"Where the increment,
delta x, is 1.",00:07:06.290,00:07:10.700
"So this is the notion of
an average value here.",00:07:10.700,00:07:13.470
"But in the continuum setting
as opposed to",00:07:13.470,00:07:15.840
the discrete setting.,00:07:15.840,00:07:20.570
"Whereas what's on the
left-hand side is",00:07:20.570,00:07:24.870
the change in f.,00:07:24.870,00:07:26.840
"The capital F. And this is the
average of the little f.",00:07:26.840,00:07:31.790
So an average is a sum.,00:07:31.790,00:07:33.860
And it's like an integral.,00:07:33.860,00:07:39.520
"So, in other words what I have
here is that the change in f",00:07:39.520,00:07:42.720
"is the average of its
infinitesimal change times the",00:07:42.720,00:07:46.250
"amount of time elapsed,
if you like.",00:07:46.250,00:07:50.000
"So this is the statement of
the fundamental theorem.",00:07:50.000,00:07:56.100
Just rewritten.,00:07:56.100,00:07:56.960
Exactly what I wrote there.,00:07:56.960,00:07:58.450
"But I multiplied back
by delta x.",00:07:58.450,00:08:01.780
"Now, let me compare this with
the mean value theorem.",00:08:01.780,00:08:07.530
"The mean values theorem
also is an equation.",00:08:07.530,00:08:13.590
"The mean value theorem says
that this is equal to",00:08:13.590,00:08:16.420
F' (c) delta x.,00:08:16.420,00:08:21.560
"Now, I pulled a fast
one on you.",00:08:21.560,00:08:23.270
"I used capital F's here to
make the analogy clear.",00:08:23.270,00:08:26.560
"But the role of the letter
is important to make the",00:08:26.560,00:08:30.800
