text,start,stop
"OPERATOR: The following content
is provided under a",00:00:00.000,00:00:02.000
Creative Commons license.,00:00:02.000,00:00:03.840
"Your support will help MIT
OpenCourseWare continue to",00:00:03.840,00:00:06.840
"offer high quality educational
resources for free.",00:00:06.840,00:00:10.530
"To make a donation, or view
additional material from",00:00:10.530,00:00:13.390
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.390,00:00:17.600
ocw.mit.edu.,00:00:17.600,00:00:19.570
"PROFESSOR: All right, so today
we're returning to",00:00:19.570,00:00:23.360
simulations.,00:00:23.360,00:00:25.510
"And I'm going to do at first, a
little bit more abstractly,",00:00:25.510,00:00:29.910
"and then come back
to some details.",00:00:29.910,00:00:32.550
"So they're different ways to
classify simulation models.",00:00:32.550,00:00:38.310
"The first is whether it's
stochastic or deterministic.",00:00:38.310,00:00:53.570
"And the difference here is in
a deterministic simulation,",00:00:53.570,00:00:57.400
"you should get the same result
every time you run it.",00:00:57.400,00:01:04.170
"And there's a lot of uses we'll
see for deterministic",00:01:04.170,00:01:06.880
simulations.,00:01:06.880,00:01:08.880
"And then there's stochastic
simulations, where the answer",00:01:08.880,00:01:14.030
"will differ from run to run
because there's an element of",00:01:14.030,00:01:17.720
randomness in it.,00:01:17.720,00:01:20.500
"So here if you run it again
and again you get the same",00:01:20.500,00:01:23.030
"outcome every time,
here you may not.",00:01:23.030,00:01:29.310
"So, for example, the problem
set that's due today -- is",00:01:29.310,00:01:35.830
"that a stochastic or
deterministic simulation?",00:01:35.830,00:01:40.740
Somebody?,00:01:40.740,00:01:42.940
"Stochastic, exactly.",00:01:42.940,00:01:45.740
"And that's what we're going
to focus on in this class,",00:01:45.740,00:01:49.200
"because one of the interesting
questions we'll see about",00:01:49.200,00:01:51.990
"stochastic simulations is, how
often do have to run them",00:01:51.990,00:01:58.160
before you believe the answer?,00:01:58.160,00:02:00.990
"And that turns out to be
a very important issue.",00:02:00.990,00:02:03.940
"You run it once, you get
an answer, you can't",00:02:03.940,00:02:05.960
take it to the bank.,00:02:05.960,00:02:07.740
"Because the next time you run
it, you may get a completely",00:02:07.740,00:02:09.850
different answer.,00:02:09.850,00:02:11.250
"So that will get us a little
bit into the whole issue of",00:02:11.250,00:02:15.250
statistical analysis.,00:02:15.250,00:02:19.130
"Another interesting dichotomy
is static vs dynamic.",00:02:19.130,00:02:31.180
"We'll look at both, but
will spend more",00:02:31.180,00:02:33.810
time on dynamic models.,00:02:33.810,00:02:37.640
"So the issue -- it's
not my phone.",00:02:37.640,00:02:43.340
"If it's your mother, you could
feel free to take it,",00:02:43.340,00:02:45.340
otherwise --,00:02:45.340,00:02:48.150
"OK, no problem.",00:02:48.150,00:02:50.600
Inevitable.,00:02:50.600,00:02:54.090
"In a dynamic situation,
time plays a role.",00:02:54.090,00:02:57.640
"And you look at how things
evolve over time.",00:02:57.640,00:03:00.900
"In a static simulation, there
is no issue with time.",00:03:00.900,00:03:07.950
"We'll be looking at both, but
most of the time we'll be",00:03:07.950,00:03:11.700
focusing on dynamic ones.,00:03:11.700,00:03:15.990
"So an example of this kind of
thing would be a queuing",00:03:15.990,00:03:20.060
network model.,00:03:20.060,00:03:24.930
"This is one of the most popular
and important kinds of",00:03:24.930,00:03:27.630
dynamic simulations.,00:03:27.630,00:03:31.250
"Where you try and look at how
queues, a fancy word for",00:03:31.250,00:03:36.680
"lines, evolve over time.",00:03:36.680,00:03:40.580
"So for example, people who are
trying to decide how many",00:03:40.580,00:03:44.320
"lanes should be in a highway,
or how far apart the exits",00:03:44.320,00:03:47.970
"should be, or what should the
ratio of Fast Lane tolls to",00:03:47.970,00:03:52.390
"manually staffed tolls
should be.",00:03:52.390,00:03:54.650
"All use queuing networks to try
and answer that question.",00:03:54.650,00:04:00.240
"And we'll look at some examples
of these later",00:04:00.240,00:04:02.230
"because they are
very important.",00:04:02.230,00:04:04.450
"Particularly for things
related to",00:04:04.450,00:04:06.080
scheduling and planning.,00:04:06.080,00:04:10.440
"A third dichotomy is discrete
vs continuous.",00:04:10.440,00:04:26.790
"Imagine, for example, trying to
analyze the flow of traffic",00:04:26.790,00:04:32.590
along the highway.,00:04:32.590,00:04:35.590
"One way to do it, is to try and
have a simulation which",00:04:35.590,00:04:40.020
models each vehicle.,00:04:40.020,00:04:43.950
"That would be a discrete
simulation, because you've got",00:04:43.950,00:04:46.070
different parts.,00:04:46.070,00:04:47.800
"Alternatively, you might decide
to treat traffic as a",00:04:47.800,00:04:52.490
"flow, kind of like water flowing
through things, where",00:04:52.490,00:04:56.970
"changes in the flow can
be described by",00:04:56.970,00:04:59.410
differential equations.,00:04:59.410,00:05:01.910
