text,start,stop
"The following content is
provided under a Creative",00:00:00.499,00:00:02.830
Commons license.,00:00:02.830,00:00:04.340
"Your support will help
MIT OpenCourseWare",00:00:04.340,00:00:06.680
"continue to offer high quality
educational resources for free.",00:00:06.680,00:00:11.050
"To make a donation, or
view additional materials",00:00:11.050,00:00:13.660
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.660,00:00:17.556
at ocw.mit.edu.,00:00:17.556,00:00:18.181
"PROFESSOR: So far in our
discussion of probability,",00:00:24.160,00:00:26.400
"we've focused our attention
on the probability",00:00:26.400,00:00:29.210
"that some kind of event
occurs-- the probability you",00:00:29.210,00:00:33.220
"win the Monty Hall game,
the probability that you get",00:00:33.220,00:00:36.600
"a heads when you flip a
coin, the probability we all",00:00:36.600,00:00:40.870
"have different birthdays in
the room-- that kind of thing.",00:00:40.870,00:00:44.570
"In each case, the event
happens or it doesn't.",00:00:44.570,00:00:47.760
It's a zero-one kind of thing.,00:00:47.760,00:00:50.630
"For the rest of
the course, we're",00:00:50.630,00:00:52.710
"going to start talking about
more complicated situations.",00:00:52.710,00:00:56.460
"Instead of talking
about zero-one events,",00:00:56.460,00:00:58.840
"like winning or
losing, we're going",00:00:58.840,00:01:00.890
"to start talking about
how much you win.",00:01:00.890,00:01:04.610
"Instead of talking
about whether or not",00:01:04.610,00:01:06.926
"you get a heads in
a coin flip, we're",00:01:06.926,00:01:08.970
"going to talk about
flipping lots of coins",00:01:08.970,00:01:10.930
"and asking how many
heads did you get?",00:01:10.930,00:01:16.080
"Now, this involves the
notion of a random variable",00:01:16.080,00:01:21.420
"to count how much or how
many in a random situation.",00:01:21.420,00:01:24.990
"And actually, the
name is sort of weird.",00:01:24.990,00:01:27.250
It's not a variable at all.,00:01:27.250,00:01:29.650
"In fact, a random variable
is a function from the sample",00:01:29.650,00:01:33.080
space to the real numbers.,00:01:33.080,00:01:34.190
"See random variable R is a
function R from the sample",00:01:45.390,00:01:56.220
space to the reals.,00:01:56.220,00:02:00.512
"So this is the random
variable, and we'll often",00:02:00.512,00:02:02.470
denote that by rv.,00:02:02.470,00:02:05.040
"This is the sample space
of all possible outcomes.",00:02:05.040,00:02:07.980
And this is just the reals.,00:02:11.190,00:02:12.460
"All right, so in other
words, a random variable",00:02:17.460,00:02:19.600
"is just a way of
assigning a real number",00:02:19.600,00:02:22.150
to each possible outcome.,00:02:22.150,00:02:25.440
"For example, say that
we toss three coins.",00:02:25.440,00:02:28.085
"We could let R equal the number
of heads among the three coins.",00:02:36.560,00:02:45.080
And R is thus a random variable.,00:02:45.080,00:02:47.040
"For example, for the outcome
where the first coin is heads,",00:02:47.040,00:02:51.920
"the second is tails,
and the third is heads,",00:02:51.920,00:02:54.050
"R would be the real
number 2, indicating I",00:02:54.050,00:02:57.610
got two heads in that outcome.,00:02:57.610,00:02:59.310
"We could also define another
value called M, which we'll say",00:03:02.160,00:03:07.300
"is 1 if all three coins match,
if they're all the same,",00:03:07.300,00:03:16.680
"and 0 otherwise, if
they're not all the same.",00:03:16.680,00:03:19.987
"For example, M on the outcome
heads, heads, tails is 0.",00:03:23.400,00:03:32.780
"M on the outcome
tails, tails, tails",00:03:32.780,00:03:36.190
"would be 1, because
they all are the same.",00:03:36.190,00:03:38.120
Is M a random variable?,00:03:40.930,00:03:42.120
"Yeah, it assigns a value, a
real number, to every outcome.",00:03:45.480,00:03:49.370
"And that value is
either 0 or 1, depending",00:03:49.370,00:03:52.110
on if all the coins match.,00:03:52.110,00:03:53.980
"In fact, it's a very special
kind of random variable",00:03:53.980,00:03:56.870
"that's called an indicator
random variable, also",00:03:56.870,00:03:59.520
"known as Bernoulli or
characteristic random variable,",00:03:59.520,00:04:03.820
because it's zero-one.,00:04:03.820,00:04:05.270
"An indicator also
known as a Bernoulli",00:04:08.860,00:04:21.209
"or characteristic
random variable,",00:04:21.209,00:04:35.890
"is a random variable whose
range or possible values",00:04:35.890,00:04:44.130
is just 0 and 1.,00:04:44.130,00:04:47.910
"So it's a random variable
where the real numbers",00:04:47.910,00:04:50.030
"are 0, 1 that you assign
to every sample point.",00:04:50.030,00:04:53.140
"And it's called a characteristic
or indicator random variable",00:04:53.140,00:04:56.920
"because it indicates
which sample points have",00:04:56.920,00:05:00.660
a certain property.,00:05:00.660,00:05:02.430
"In this case, all the
coins were the same.",00:05:02.430,00:05:05.480
"Or it indicates
that a sample point",00:05:05.480,00:05:07.310
"has a certain
characteristic, which",00:05:07.310,00:05:09.110
"is why it's called a
characteristic random variable.",00:05:09.110,00:05:11.742
"And we're going to
be talking a lot",00:05:11.742,00:05:13.200
"about these kinds
of random variables",00:05:13.200,00:05:14.800
over the next couple of weeks.,00:05:14.800,00:05:17.760
"Now, in general, a random
variable is equivalent to,",00:05:17.760,00:05:21.440
"or it can define a partition
on the sample space.",00:05:21.440,00:05:26.470
"For an indicator
random variable,",00:05:26.470,00:05:29.710
"it defines a partition
with two blocks.",00:05:29.710,00:05:33.220
"For example, say we look at the
sample space with three coin",00:05:33.220,00:05:38.470
tosses there.,00:05:38.470,00:05:41.080
There's eight outcomes.,00:05:41.080,00:05:42.180
"There's heads, heads,
heads; heads, tails, heads;",00:05:42.180,00:05:50.400
"heads, heads, tails;
tail, heads, heads;",00:05:50.400,00:05:55.556
and the reverse of those.,00:05:55.556,00:05:56.835
"This is the sample space
when I toss three coins.",00:06:04.470,00:06:07.180
There's eight possible outcomes.,00:06:07.180,00:06:09.940
"The random variable M
defines this partition.",00:06:09.940,00:06:12.845
"Up top, you have M equals 1, and
down below you have M equals 0.",00:06:15.700,00:06:20.790
"Because these are the outcomes
where all the coins match.",00:06:20.790,00:06:23.450
These are the ones that don't.,00:06:23.450,00:06:24.700
"The random variable R defines
a different partition.",00:06:27.820,00:06:30.775
"In that case, the
partition has four blocks.",00:06:33.740,00:06:38.320
"Here is R equals 0, no heads.",00:06:38.320,00:06:44.860
"This is R equals 1, to one head.",00:06:44.860,00:06:48.660
"R equals 2, and R equals 3.",00:06:48.660,00:06:51.340
"So a random variable just sort
of organizes your sample space,",00:06:54.460,00:06:58.750
