text,start,stop
"The following content is
provided by MIT OpenCourseWare",00:00:00.000,00:00:03.360
"under a Creative Commons
license.",00:00:03.360,00:00:06.050
"Additional information about
our license and MIT",00:00:06.050,00:00:08.680
"OpenCourseWare in general is
available at ocw.mit.edu.",00:00:08.680,00:00:11.930
"PROFESSOR: So we started last
week on the big topic for the",00:00:15.520,00:00:24.080
"rest of the semester,
optimization.",00:00:24.080,00:00:26.630
"Maybe can you close that door
or just part way anyway.",00:00:26.630,00:00:30.780
Thanks.,00:00:30.780,00:00:32.900
Great.,00:00:32.900,00:00:33.320
"That's perfect, just
like that.",00:00:33.320,00:00:35.020
"So, since it was a few days ago,
I wanted to recap what I",00:00:35.020,00:00:44.640
"did in the first lecture about
optimization, which was to",00:00:44.640,00:00:48.970
"pick out the least squares
problem as a",00:00:48.970,00:00:53.110
beautiful model problem.,00:00:53.110,00:00:56.180
I followed that through --,00:00:56.180,00:01:00.140
"the input is a matrix a
rectangular, a right hand side",00:01:00.140,00:01:05.160
b probably measurements.,00:01:05.160,00:01:08.090
"We would like to get au
equal b but we can't.",00:01:08.090,00:01:12.730
We got too many measurements.,00:01:12.730,00:01:16.280
"We do the best possible, which
is the solution u hat of this",00:01:16.280,00:01:22.050
normal equation.,00:01:22.050,00:01:24.540
"Then I rewrote the normal
equations -- well, I also drew",00:01:24.540,00:01:29.470
"the picture that you see
over here on the left.",00:01:29.470,00:01:33.580
"The picture that shows
the two optimization",00:01:33.580,00:01:38.070
problems at the same time.,00:01:38.070,00:01:40.020
Here is the vector b.,00:01:40.020,00:01:42.530
Here are all possible au's --,00:01:42.530,00:01:46.180
"this is the column space,
this is all au's.",00:01:46.180,00:01:51.700
"The best au was the
projection.",00:01:51.700,00:01:55.570
"The error e was what we couldn't
get right, the part",00:01:55.570,00:02:01.390
"that's perpendicular to the
column space we can't help.",00:02:01.390,00:02:06.020
"It's the solution to another
projection problem that e is",00:02:06.020,00:02:11.010
"the same -- of course, it's
the same over here -- as",00:02:11.010,00:02:14.460
"projecting b onto this
perpendicular line, which is",00:02:14.460,00:02:20.150
"the line of all vectors,
a tranpose e says --",00:02:20.150,00:02:25.670
"what that says in words is
e is perpendicular to the",00:02:25.670,00:02:33.290
columns of a.,00:02:33.290,00:02:34.540
"I've drawn it the best
I could as a",00:02:40.140,00:02:43.150
perpendicular to the columns.,00:02:43.150,00:02:46.480
"So that we have a plane
of columns --",00:02:46.480,00:02:48.920
this is like a 3 x 2 matrix.,00:02:48.920,00:02:51.790
"We have a plane with the
two columns and the",00:02:51.790,00:02:57.230
perpendicular line.,00:02:57.230,00:02:59.830
"Then just near the end, I said
that it would be great to have",00:02:59.830,00:03:06.315
"-- this model would be almost
all we need except it should",00:03:06.315,00:03:10.240
"have one more matrix and
I call that matrix c.",00:03:10.240,00:03:18.160
"I want just to show you quickly
where that comes.",00:03:18.160,00:03:20.990
"So this is all section 7.1 of
the notes, except that these",00:03:20.990,00:03:30.080
words are not yet typed.,00:03:30.080,00:03:32.550
"So they'll, as soon as possible,
and an updated 7.1",00:03:32.550,00:03:37.660
"will include this, what
I want to do.",00:03:37.660,00:03:40.420
"Because I think it's the very
best introduction I could give",00:03:40.420,00:03:43.140
"to these pair of optimization
problems.",00:03:43.140,00:03:48.260
"You might think who needs
optimization.",00:03:48.260,00:03:51.040
"Your main activity
might be solving",00:03:54.750,00:03:57.470
differential equations.,00:03:57.470,00:04:00.000
"So, can I just take a time out
here because I happened to see",00:04:00.000,00:04:05.570
the homework upcoming.,00:04:05.570,00:04:09.020
"I think it's 16930, so it's a
course a little bit like this,",00:04:09.020,00:04:14.240
"only the first word in the
course title is ""Advanced,""",00:04:14.240,00:04:19.040
"and our first word is
""Introduction,"" but, of",00:04:19.040,00:04:21.930
"course, it's the same course
or same stuff.",00:04:21.930,00:04:27.110
"This is the homework that I
don't think has even been",00:04:27.110,00:04:29.680
"assigned, even been
handed out yet.",00:04:29.680,00:04:32.630
"But I just thought it's a great
example of a applied, so",00:04:32.630,00:04:40.970
"that you see where optimization
appears and",00:04:40.970,00:04:47.000
what's involved.,00:04:47.000,00:04:50.130
"So differential equations are
involved, but also you got",00:04:50.130,00:04:55.240
"something that you
want to optimize.",00:04:55.240,00:04:57.350
"So I just wrote it on this board
and I simplified it a",00:04:57.350,00:05:02.750
"little over the homework that
they'll actually get.",00:05:02.750,00:05:07.760
so here's the problem.,00:05:07.760,00:05:09.480
"We want a certain distribution
of heat.",00:05:09.480,00:05:12.670
So I could draw a picture.,00:05:12.670,00:05:16.410
"We want a heat distribution for
whatever reason that maybe",00:05:16.410,00:05:21.690
"goes like this over the
integral zero to 1.",00:05:21.690,00:05:26.020
"What do we have at our
disposal to get the",00:05:28.790,00:05:33.170
heat to be that way?,00:05:33.170,00:05:34.500
"Well, we've got sources
of heat.",00:05:34.500,00:05:36.950
"But we don't have a continuous
source, we only have n",00:05:36.950,00:05:50.540
parameters to play with.,00:05:50.540,00:05:52.640
"I mean right away
you recognize an",00:05:52.640,00:05:54.220
optimization problem.,00:05:54.220,00:05:55.770
"We're trying to get this
function here u knot of x.",00:05:55.770,00:05:59.430
"We're trying to match a
function, but we've only got n",00:06:02.660,00:06:05.260
parameters.,00:06:05.260,00:06:07.550
"Those will be the
right hand side.",00:06:07.550,00:06:12.180
"So what we're allowed to choose,
we can put in little",00:06:12.180,00:06:15.050
"space heaters, and we can turn
them to the temperatures we",00:06:15.050,00:06:19.330
"want to -- temperatures
s1, s2, s3.",00:06:19.330,00:06:23.900
"That was probably a stupid
choice to put an s for down",00:06:23.900,00:06:27.590
"there because I don't
even know if",00:06:27.590,00:06:30.230
negative heat is allowed.,00:06:30.230,00:06:32.940
"Anyway, we wouldn't want it
if we're aiming for that",00:06:32.940,00:06:37.110
distribution.,00:06:37.110,00:06:38.610
"Now you understand the s's
are not supposed to",00:06:38.610,00:06:41.370
match that u knot.,00:06:41.370,00:06:42.720
"The s's are the sources of
heat, and the u's are the",00:06:42.720,00:06:47.640
"outputs, the distribution, and
they are controlled by a",00:06:47.640,00:06:52.560
differential equation.,00:06:52.560,00:06:53.810
"What we control is the right
hand side of the equation, but",00:06:56.520,00:07:00.500
we only control n parameters.,00:07:00.500,00:07:03.490
"Then we have to solve the
equation and find out what",00:07:03.490,00:07:06.070
distribution that gives.,00:07:06.070,00:07:07.900
"So that's all like differential
equations, we",00:07:07.900,00:07:11.740
know how to do it.,00:07:11.740,00:07:13.950
"It's one dimensional in this
example, so straightforward.",00:07:13.950,00:07:18.680
"But now comes the optimization
part.",00:07:18.680,00:07:21.030
"We take this result
and we compare it",00:07:21.030,00:07:25.610
with the desired result.,00:07:25.610,00:07:28.340
"So the actual result from some
source of heat might be",00:07:28.340,00:07:33.390
something like that.,00:07:33.390,00:07:34.640
"We want this u of x, the heat
distribution that we're",00:07:38.380,00:07:49.250
"actually producing to be as
close as possible to u knot.",00:07:49.250,00:07:53.760
"Close could mean different
things, but if we measure",00:07:53.760,00:07:57.630
"closeness in this integral
square mean square sense, then",00:07:57.630,00:08:02.980
"we're going to have
nice problem.",00:08:02.980,00:08:05.460
"In fact, we're going
to have a linear --",00:08:05.460,00:08:06.950
everything's linear right now.,00:08:06.950,00:08:10.080
"Well, everything's quadratic
here, so when we minimize it's",00:08:10.080,00:08:13.930
"going to give us a linear
equation for the s's.",00:08:13.930,00:08:18.740
"I just think that's a
good model problem.",00:08:18.740,00:08:23.980
"A good model of what
we might do.",00:08:23.980,00:08:26.290
"I think actually in the problem
to be assigned --",00:08:26.290,00:08:32.330
"well, it's not a big
deal for us.",00:08:32.330,00:08:35.370
There is convection as well.,00:08:35.370,00:08:37.500
"So this is a pure diffusion
problem, just the second",00:08:37.500,00:08:41.910
derivative.,00:08:41.910,00:08:42.780
"We know very well that if there
was a first derivative",00:08:42.780,00:08:45.360
"in there, the stuff's
convecting, passing through",00:08:45.360,00:08:49.630
the region.,00:08:49.630,00:08:52.670
