text,start,stop
"OPERATOR: The following content
is provided under a",00:00:00.000,00:00:02.000
Creative Commons license.,00:00:02.000,00:00:03.840
"Your support will help MIT
OpenCourseWare continue to",00:00:03.840,00:00:06.840
"offer high quality educational
resources for free.",00:00:06.840,00:00:10.530
"To make a donation or view
additional materials from",00:00:10.530,00:00:13.390
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.390,00:00:17.600
ocw.mit.edu.,00:00:17.600,00:00:19.980
"PROFESSOR: So, if you remember,
just before the",00:00:19.980,00:00:25.420
"break, as long ago as it was,
we had looked at the problem",00:00:25.420,00:00:30.710
of fitting curves to data.,00:00:30.710,00:00:35.520
"And the example we had seen, is
that it's often possible,",00:00:35.520,00:00:42.690
"in fact, usually possible, to
find a good fit to old values.",00:00:42.690,00:00:49.060
"What we looked at was, we looked
at a small number of",00:00:49.060,00:00:51.460
"points, we took a high degree
polynomial, sure enough, we",00:00:51.460,00:00:54.800
got a great fit.,00:00:54.800,00:00:57.970
"The difficulty was, a great
fit to old values does not",00:00:57.970,00:01:03.210
"necessarily imply a good
fit to new values.",00:01:03.210,00:01:24.840
"And in general, that's
somewhat worrisome.",00:01:24.840,00:01:31.150
"So now I want to spend a little
bit of time I'm looking",00:01:31.150,00:01:34.560
"at some tools, that we can use
to better understand the",00:01:34.560,00:01:38.850
"notion of, when we have a
bunch of points, what",00:01:38.850,00:01:43.190
do they look like?,00:01:43.190,00:01:45.220
How does the variation work?,00:01:45.220,00:01:47.610
"This gets back to a concept that
we've used a number of",00:01:47.610,00:01:51.680
"times, which is a notion
of a distribution.",00:01:51.680,00:01:59.540
"Remember, the whole logic
behind our idea of using",00:01:59.540,00:02:04.860
"simulation, or polling, or any
kind of statistical technique,",00:02:04.860,00:02:11.340
"is the assumption that the
values we would draw were",00:02:11.340,00:02:16.160
"representative of the values
of the larger population.",00:02:16.160,00:02:21.650
"We're sampling some subset of
the population, and we're",00:02:21.650,00:02:25.540
"assuming that that sample is
representative of the greater",00:02:25.540,00:02:30.150
population.,00:02:30.150,00:02:31.700
"We talked about several
different",00:02:31.700,00:02:33.170
issues related to that.,00:02:33.170,00:02:36.130
"I now want to look at that a
little bit more formally.",00:02:36.130,00:02:40.400
"And we'll start with the very
old problem of rolling dice.",00:02:40.400,00:02:47.760
"I presume you've all
seen what a pair of",00:02:47.760,00:02:50.026
"dice look like, right?",00:02:50.026,00:02:51.570
"They've got the numbers 1
through 6 on them, you roll",00:02:51.570,00:02:54.590
them and something comes up.,00:02:54.590,00:02:57.730
"If you haven't seen it, if you
look at the very back, at the",00:02:57.730,00:03:01.700
"back page of the handout today,
you'll see a picture of",00:03:01.700,00:03:05.040
a very old die.,00:03:05.040,00:03:06.740
"Some time from the fourth to
the second century BC.",00:03:06.740,00:03:11.040
"Looks remarkably like a modern
dice, except it's not made out",00:03:11.040,00:03:15.260
"of plastic, it's made
out of bones.",00:03:15.260,00:03:18.610
"And in fact, if you were
interested in the history of",00:03:18.610,00:03:20.970
"gambling, or if you happen to
play with dice, people do call",00:03:20.970,00:03:23.790
them bones.,00:03:23.790,00:03:25.610
"And that just dates back to
the fact that the original",00:03:25.610,00:03:28.320
ones were made that way.,00:03:28.320,00:03:30.770
"And in fact, what we'll see
is, that in the history of",00:03:30.770,00:03:35.505
"probability and statistics, an
awful lot of the math that we",00:03:35.505,00:03:39.020
"take for granted today, came
from people's attempts to",00:03:39.020,00:03:42.240
"understand various
games of chance.",00:03:42.240,00:03:46.290
"So, let's look at it.",00:03:46.290,00:03:50.230
So we'll look at this program.,00:03:50.230,00:03:53.610
"You should have this in the
front of the handout.",00:03:53.610,00:04:05.660
"So I'm going to start
with a fair dice.",00:04:05.660,00:04:08.960
"That is to say, when you roll
it, it's equally probable that",00:04:08.960,00:04:11.660
"you get 1, 2, 3, 4, 5, or 6.",00:04:11.660,00:04:18.360
And I'm going to throw a pair.,00:04:18.360,00:04:20.830
You can see it's very simple.,00:04:20.830,00:04:23.930
"I'll take d 1, first die is
random dot choice from vals 1.",00:04:23.930,00:04:30.910
"d 2 will be random dot
choice from vals 2.",00:04:30.910,00:04:34.370
"So I'm going to pass it in two
sets of possible values, and",00:04:34.370,00:04:40.100
"randomly choose one or the
other, and then return them.",00:04:40.100,00:04:45.710
"And the way I'll conduct a
trial is, I'll take some",00:04:45.710,00:04:49.660
"number of throws, and two
different kinds of dice.",00:04:49.660,00:04:53.940
"Throws will be the empty
set, actually, yeah.",00:04:53.940,00:04:58.840
And then I'll just do it.,00:04:58.840,00:05:01.070
"For i in range number of throws,
d 1, d 2 is equal to",00:05:01.070,00:05:06.270
