text,start,stop
"The following content is
provided under a Creative",00:00:00.500,00:00:02.800
Commons license.,00:00:02.800,00:00:04.340
"Your support will help
MIT OpenCourseWare",00:00:04.340,00:00:06.660
"continue to offer high quality
educational resources for free.",00:00:06.660,00:00:11.020
"To make a donation or
view additional materials",00:00:11.020,00:00:13.640
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.640,00:00:17.365
at ocw.mit.edu.,00:00:17.365,00:00:17.990
"PROFESSOR: OK,
let's get started.",00:00:24.780,00:00:26.497
"Last week we talked
about random variables.",00:00:29.400,00:00:32.520
"And this week
we're going to talk",00:00:32.520,00:00:34.540
about their expected value.,00:00:34.540,00:00:37.550
"The expected value
of a random variable",00:00:37.550,00:00:41.000
"comes up in all sorts
of applications.",00:00:41.000,00:00:42.637
"We're going to spend a
whole week talking about it",00:00:42.637,00:00:44.720
"and some of next week
talking about variations",00:00:44.720,00:00:46.980
from the expected value.,00:00:46.980,00:00:48.496
"And it's probably
one of the best",00:00:48.496,00:00:49.870
"tools you have for
working with probability",00:00:49.870,00:00:52.190
problems in practice.,00:00:52.190,00:00:54.289
"So let's write down
the definition.",00:00:54.289,00:00:55.747
"The expected value
also has other names.",00:01:04.129,00:01:12.320
"It's also known as the
average or the mean",00:01:12.320,00:01:23.570
of a random variable.,00:01:23.570,00:01:24.683
"Random variable R over
a probability space S",00:01:29.390,00:01:41.950
is denoted by a lot of ways.,00:01:41.950,00:01:44.520
"We're going to use Ex
to denote it, Ex of R.",00:01:44.520,00:01:48.760
"And it's the sum over all
possible outcomes in the sample",00:01:48.760,00:01:52.070
"space of the value of
the random variable",00:01:52.070,00:01:55.670
"on that outcome times the
probability of that outcome.",00:01:55.670,00:02:01.190
"In other words, the expected
value of a random variable",00:02:01.190,00:02:04.310
"is just a weighted average
of all possible values",00:02:04.310,00:02:09.080
"of the random variable where
the weight is the probability",00:02:09.080,00:02:13.380
of that happening.,00:02:13.380,00:02:15.910
"For example, suppose we
roll a fair six sided die.",00:02:15.910,00:02:27.438
"So the numbers that
come up are 1 to 6.",00:02:30.860,00:02:33.810
"And we let R be the
random variable denoting",00:02:33.810,00:02:37.890
"the outcome, 1 through 6.",00:02:37.890,00:02:40.135
"So the expected
value of the role,",00:02:43.330,00:02:45.990
"we can easily compute
from the definition.",00:02:45.990,00:02:50.160
"Well, there's a 1/6 chance
that it comes out a 1.",00:02:50.160,00:02:54.890
The next outcome would be a 2.,00:02:54.890,00:02:56.200
That happens with 1/6 chance.,00:02:56.200,00:02:59.600
"3, 4, 5, and six all
happen with a 1/6 chance.",00:02:59.600,00:03:03.025
"If I sum up 1, 2, 3, 4 up to
6, I get 6 times 7 over 2 times",00:03:06.680,00:03:13.000
"the 1/6 is just 7
over 2 or 3 and 1/2.",00:03:13.000,00:03:16.910
"So expected value when I roll
a die, a fair six sided die,",00:03:19.590,00:03:23.320
is just 3 and 1/2.,00:03:23.320,00:03:25.320
"And as you can see
from this example,",00:03:25.320,00:03:27.880
"the expected value doesn't
have to be attainable by one",00:03:27.880,00:03:31.210
of the outcomes.,00:03:31.210,00:03:33.030
"You don't get a 3 and
1/2 when you roll a die.",00:03:33.030,00:03:36.730
But that's the average value.,00:03:36.730,00:03:39.840
"Now the expected value, the
expectation, the average,",00:03:39.840,00:03:44.080
"the mean, they're
all the same thing.",00:03:44.080,00:03:46.812
"They're all defined based
on a random variable.",00:03:46.812,00:03:48.770
They all mean the same thing.,00:03:48.770,00:03:50.890
"They are all different
than the median.",00:03:50.890,00:03:54.384
"That's something
that's different.",00:03:54.384,00:03:55.800
So let me define the median.,00:03:55.800,00:03:58.400
"Basically it is the
outcome which splits",00:03:58.400,00:04:02.090
the probabilities in half.,00:04:02.090,00:04:03.390
"In other words, you've
got a 50% chance",00:04:03.390,00:04:05.030
"of being bigger than the median
and a 50% chance of being",00:04:05.030,00:04:08.260
smaller.,00:04:08.260,00:04:09.760
"Now precisely you can
define it this way.",00:04:09.760,00:04:17.209
"The median of a
random variable R",00:04:17.209,00:04:24.950
"is the value in the range of
R such that the probability",00:04:24.950,00:04:35.300
"that the random variable is
less than this median point is",00:04:35.300,00:04:39.700
at most 1/2.,00:04:39.700,00:04:42.020
"And the probability
that random variable",00:04:42.020,00:04:44.330
"is bigger than the median
is strictly less than 1/2.",00:04:44.330,00:04:48.086
"Now, some texts
do it differently.",00:04:50.910,00:04:52.950
"They swap this less than
or equal to with this one.",00:04:52.950,00:04:56.944
"And it could give you
a different answer",00:04:56.944,00:04:58.610
if you do that.,00:04:58.610,00:05:01.170
"And I think in the text,
actually, we screwed it up.",00:05:01.170,00:05:04.506
"So we have to get
that corrected.",00:05:04.506,00:05:05.880
"I think we might have
put a less than or equal",00:05:05.880,00:05:07.796
"here, which is not
the right definition.",00:05:07.796,00:05:09.990
"So this is the right
definition that we'll use.",00:05:09.990,00:05:13.160
"So using this definition,
what is the median",00:05:13.160,00:05:16.730
"of the random variable that
corresponds to rolling a die?",00:05:16.730,00:05:20.950
"What's the median when I
roll a six sided fair die?",00:05:20.950,00:05:24.551
"Not 3 and 1/2, because it's
got to be one of the values.",00:05:27.810,00:05:32.820
"The median does have
to be in the realm",00:05:32.820,00:05:35.652
of the random variable.,00:05:35.652,00:05:36.610
"It has to one of the
attainable values.",00:05:36.610,00:05:39.340
"What's the median value
when I roll a die?",00:05:39.340,00:05:41.900
AUDIENCE: Four.,00:05:41.900,00:05:43.280
PROFESSOR: Four.,00:05:43.280,00:05:43.980
Let's try that out.,00:05:43.980,00:05:45.580
"If I plug in 4 here, the
probability I'm less than 4",00:05:45.580,00:05:49.620
is 1/2.,00:05:49.620,00:05:50.790
"Could be 1, 2, or 3.",00:05:50.790,00:05:52.540
"The probability of greater
than 4 is 5 or six is 1/3.",00:05:52.540,00:05:57.330
That's less than 1/2.,00:05:57.330,00:05:58.470
So 4 works.,00:05:58.470,00:06:00.280
"3 doesn't work, because the
probability I'm bigger than 3",00:06:00.280,00:06:05.290
is 1/2.,00:06:05.290,00:06:06.710
So it doesn't work.,00:06:06.710,00:06:08.296
"And the other definition
sometimes people use",00:06:08.296,00:06:10.170
"would turn out that
three is the median.",00:06:10.170,00:06:11.960
"Now, we're not going
to spend any more",00:06:14.560,00:06:16.160
time talking about the median.,00:06:16.160,00:06:18.330
"What's really important in
probability is the mean.",00:06:18.330,00:06:21.430
"And that's because
you can do a whole lot",00:06:21.430,00:06:23.170
more with it in applications.,00:06:23.170,00:06:25.970
"Any question about the
definitions so far?",00:06:25.970,00:06:31.770
"All right, so now we're going to
do a more interesting example.",00:06:31.770,00:06:36.890
"We're going to play
a gambling game",00:06:36.890,00:06:39.780
"and we're going to analyze the
expected winnings, the expected",00:06:39.780,00:06:43.110
return.,00:06:43.110,00:06:44.810
"And this is a simple
three person game",00:06:44.810,00:06:47.090
"that you can see played
in bars and informally.",00:06:47.090,00:06:52.480
"But to play it I
need a volunteer",00:06:52.480,00:06:55.590
"from the class, somebody
who wants to play.",00:06:55.590,00:06:57.625
You've done it.,00:06:57.625,00:06:58.250
Who hasn't done it?,00:06:58.250,00:06:59.041
Have you done it?,00:06:59.041,00:07:00.359
You haven't played.,00:07:00.359,00:07:01.150
"Do you have money
in your pocket?",00:07:01.150,00:07:03.012
You got to borrow some money.,00:07:03.012,00:07:04.220
"If you don't have any money,
you got to borrow some.",00:07:04.220,00:07:07.048
AUDIENCE: How much money?,00:07:07.048,00:07:08.770
"PROFESSOR: Oh, I
don't know, $5 or $10.",00:07:08.770,00:07:11.560
Got it?,00:07:11.560,00:07:12.120
"All right, come on down.",00:07:12.120,00:07:13.507
"you're going to play
against a couple of TAs.",00:07:15.746,00:07:17.620
"Maybe a couple of you
will want to play.",00:07:17.620,00:07:20.910
"I'll get Nick and
Martyna to play here.",00:07:20.910,00:07:23.630
"Now, this is a very simple game.",00:07:23.630,00:07:27.960
"In each round, each of the
players is going to wager $2.",00:07:27.960,00:07:33.060
"So I can loan you guys
some money here, I guess.",00:07:33.060,00:07:36.950
So you have $2?,00:07:36.950,00:07:39.741
"All right, I have
to loan you money.",00:07:39.741,00:07:41.240
I better count this out.,00:07:41.240,00:07:42.646
"AUDIENCE: I think I
can find the Zimbabwe",00:07:42.646,00:07:44.354
dollars I had here somewhere.,00:07:44.354,00:07:45.900
"PROFESSOR: I don't know
if I'm taking those.",00:07:45.900,00:07:47.260
"Here, you can split that up.",00:07:47.260,00:07:48.426
I loaned you guys $10 there.,00:07:48.426,00:07:49.850
You got $2.,00:07:49.850,00:07:50.880
Put it on the table.,00:07:50.880,00:07:53.780
Wager your $2.,00:07:53.780,00:07:55.760
"Now what we're going
to do is they're each",00:07:55.760,00:07:58.160
"going to guess the
results of a coin toss.",00:07:58.160,00:08:02.230
"We'll put the pot
together here, mix it up.",00:08:02.230,00:08:05.371
You only have to do two.,00:08:05.371,00:08:06.370
You can save those for now.,00:08:06.370,00:08:08.250
"Oh, that's your two.",00:08:08.250,00:08:09.420
"All right, so we
have $6 in the pot.",00:08:09.420,00:08:12.220
"Now, each of you is going to
guess the outcome of a coin.",00:08:12.220,00:08:15.670
So here's the guesses.,00:08:15.670,00:08:17.330
"Heads or tails, that's for you.",00:08:17.330,00:08:19.930
"Heads or tails,
the guess for you.",00:08:19.930,00:08:21.399
And you get a heads or a tails.,00:08:21.399,00:08:22.690
"So instead of writing
it down, you're",00:08:22.690,00:08:24.270
"going to sort of
hide those, maybe",00:08:24.270,00:08:26.070
"get some advice from
the class, and you're",00:08:26.070,00:08:27.820
"going to pick one and put it on
the table here as your guess.",00:08:27.820,00:08:32.409
"And then one of you out
there is going to flip a coin",00:08:32.409,00:08:35.650
"and announce the
result. And then we're",00:08:35.650,00:08:38.909
"going to reveal their
guesses and the winners",00:08:38.909,00:08:42.480
