text,start,stop
"-- and lift-off on
differential equations.",00:00:00.000,00:00:11.590
"So, this section is
about how to solve",00:00:11.590,00:00:16.660
"a system of first order,
first derivative, constant",00:00:16.660,00:00:22.760
coefficient linear equations.,00:00:22.760,00:00:26.500
"And if we do it right, it turns
directly into linear algebra.",00:00:26.500,00:00:32.740
"The key idea is the solutions
to constant coefficient",00:00:32.740,00:00:37.690
"linear equations
are exponentials.",00:00:37.690,00:00:41.730
"So if you look for
an exponential,",00:00:41.730,00:00:44.520
"then all you have to find is
what's up there in the exponent",00:00:44.520,00:00:48.230
"and what multiplies
the exponential",00:00:48.230,00:00:51.060
and that's the linear algebra.,00:00:51.060,00:00:53.130
"So -- and the result --
one thing we will fine --",00:00:53.130,00:00:56.950
"it's completely parallel
to powers of a matrix.",00:00:56.950,00:01:01.380
"So the last lecture was
about how would you compute",00:01:01.380,00:01:06.090
A to the K or A to the 100?,00:01:06.090,00:01:08.680
"How do you compute high
powers of a matrix?",00:01:08.680,00:01:12.120
"Now it's not powers anymore,
but it's exponentials.",00:01:12.120,00:01:18.590
"That's the natural thing
for differential equation.",00:01:18.590,00:01:22.310
Okay.,00:01:22.310,00:01:22.810
But can I begin with an example?,00:01:22.810,00:01:26.730
"And I'll just go
through the mechanics.",00:01:26.730,00:01:28.630
"How would I solve
the differential --",00:01:28.630,00:01:31.700
two differential equations?,00:01:31.700,00:01:33.707
So I'm going to make it --,00:01:33.707,00:01:34.790
"I'll have a two by two
matrix and the coefficients",00:01:34.790,00:01:38.160
"are minus one two, one minus
two and I'd better give you",00:01:38.160,00:01:42.530
some initial condition.,00:01:42.530,00:01:44.200
"So suppose it starts u at
times zero -- this is u1, u2 --",00:01:44.200,00:01:50.570
let it -- let it --,00:01:50.570,00:01:52.810
"suppose everything is
in u1 at times zero.",00:01:52.810,00:01:57.150
"So -- at -- at the
start, it's all in u1.",00:01:57.150,00:02:00.890
"But what happens as time
goes on, du2/dt will --",00:02:00.890,00:02:07.640
"will be positive,
because of that u1 term,",00:02:07.640,00:02:10.690
"so flow will move into the u2
component and it will go out",00:02:10.690,00:02:16.210
of the u1 component.,00:02:16.210,00:02:19.050
"So we'll just follow
that movement as time",00:02:19.050,00:02:22.330
"goes forward by looking at the
eigenvalues and eigenvectors",00:02:22.330,00:02:28.260
of that matrix.,00:02:28.260,00:02:30.220
That's a first job.,00:02:30.220,00:02:31.430
"Before you do anything
else, find the --",00:02:31.430,00:02:34.210
"find the matrix and its
eigenvalues and eigenvectors.",00:02:34.210,00:02:39.510
So let me do that.,00:02:39.510,00:02:42.400
Okay.,00:02:42.400,00:02:43.060
So here's our matrix.,00:02:43.060,00:02:45.440
"Maybe you can tell
me right away what --",00:02:45.440,00:02:47.500
"what are the eigenvalues
and -- eigenvalues anyway.",00:02:47.500,00:02:53.190
And then we can check.,00:02:53.190,00:02:54.640
"But can you spot any of the
eigenvalues of that matrix?",00:02:54.640,00:02:58.070
"We're looking for
two eigenvalues.",00:02:58.070,00:03:00.900
Do you see --,00:03:00.900,00:03:02.090
"I mean, if I just wrote
that matrix down, what --",00:03:02.090,00:03:04.530
what do you notice about it?,00:03:04.530,00:03:07.670
"It's singular, right.",00:03:07.670,00:03:09.490
"That -- that's a
singular matrix.",00:03:09.490,00:03:11.380
"That tells me right away
that one of the eigenvalues",00:03:11.380,00:03:14.190
is lambda equals zero.,00:03:14.190,00:03:18.860
"I can -- that's a
singular matrix,",00:03:18.860,00:03:20.900
"the second column is minus
two times the first column,",00:03:20.900,00:03:25.440
"the determinant is zero,
it's -- it's singular,",00:03:25.440,00:03:28.600
"so zero is an eigenvalue and
the other eigenvalue will be --",00:03:28.600,00:03:33.670
from the trace.,00:03:33.670,00:03:35.640
"I look at the
trace, the sum down",00:03:35.640,00:03:37.510
the diagonal is minus three.,00:03:37.510,00:03:39.620
"That has to agree with
the sum of the eigenvalue,",00:03:39.620,00:03:42.770
"so that second eigenvalue
better be minus three.",00:03:42.770,00:03:46.970
"I could, of course --",00:03:46.970,00:03:48.610
"I could compute -- why
don't I over here --",00:03:48.610,00:03:51.100
"compute the determinant
of A minus lambda I,",00:03:51.100,00:03:54.530
"the determinant of this minus
one minus lambda two one minus",00:03:54.530,00:04:01.220
two minus lambda matrix.,00:04:01.220,00:04:03.680
But we know what's coming.,00:04:03.680,00:04:05.930
"When I do that multiplication,
I get a lambda squared.",00:04:05.930,00:04:09.700
"I get a two lambda and a one
lambda, that's a three lambda.",00:04:09.700,00:04:14.200
"And then -- now I'm going
to get the determinant,",00:04:14.200,00:04:16.750
"which is two minus
two which is zero.",00:04:16.750,00:04:19.910
"So there's my characteristic
polynomial, this determinant.",00:04:19.910,00:04:26.490
"And of course I factor that into
lambda times lambda plus three",00:04:26.490,00:04:31.960
"and I get the two eigenvalues
that we saw coming.",00:04:31.960,00:04:37.590
What else do I need?,00:04:37.590,00:04:38.830
The eigenvectors.,00:04:38.830,00:04:40.320
"So before I even think about the
differential equation or what",00:04:40.320,00:04:44.020
"-- how to solve it, let me
find the eigenvectors for this",00:04:44.020,00:04:47.780
matrix.,00:04:47.780,00:04:48.910
Okay.,00:04:48.910,00:04:49.430
So take lambda equals zero --,00:04:49.430,00:04:52.970
"so that -- that's
the first eigenvalue.",00:04:52.970,00:04:55.370
"Lambda one equals zero
and the second eigenvalue",00:04:55.370,00:04:58.690
"will be lambda two
equals minus three.",00:04:58.690,00:05:03.130
"By the way, I --",00:05:03.130,00:05:05.210
"I already know something
important about this.",00:05:05.210,00:05:09.010
"The eigenvalues are
telling me something.",00:05:09.010,00:05:11.920
"You'll see how it comes
out, but let me point to --",00:05:11.920,00:05:15.820
"these numbers are
-- this eigenvalue,",00:05:15.820,00:05:19.640
"a negative eigenvalue,
is going to disappear.",00:05:19.640,00:05:23.700
"There's going to be an e to the
minus three t in the answer.",00:05:23.700,00:05:28.620
"That e to the minus
three t as times goes on",00:05:28.620,00:05:31.690
"is going to be very, very small.",00:05:31.690,00:05:34.070
"The other part of the
answer will involve an e",00:05:34.070,00:05:38.360
to the zero t.,00:05:38.360,00:05:40.390
"But e to the zero t is
one and that's a constant.",00:05:40.390,00:05:44.330
"So I'm expecting that this
solution'll have two parts,",00:05:44.330,00:05:49.190
"an e to the zero t part and an
e to the minus three t part,",00:05:49.190,00:05:53.570
"and that -- and as time goes
on, the second part'll disappear",00:05:53.570,00:05:57.900
"and the first part
will be a steady",00:05:57.900,00:06:00.360
It won't move. state.,00:06:00.360,00:06:02.030
"It will be -- at the end of
-- as t approaches infinity,",00:06:02.030,00:06:06.740
"this part disappears
and this is the --",00:06:06.740,00:06:09.800
"the e to the zero t
part is what I get.",00:06:09.800,00:06:13.330
"And I'm very interested in these
steady states, so that's --",00:06:13.330,00:06:17.120
"I get a steady state
when I have a zero",00:06:17.120,00:06:19.330
eigenvalue.,00:06:19.330,00:06:20.150
Okay.,00:06:20.150,00:06:20.650
What about those eigenvectors?,00:06:20.650,00:06:22.950
"So what's the eigenvector that
goes with eigenvalue zero?",00:06:22.950,00:06:26.170
Okay.,00:06:26.170,00:06:26.670
"The matrix is singular as
it is, the eigenvector is --",00:06:26.670,00:06:31.280
"is the guy in the null space,
so what vector is in the null",00:06:31.280,00:06:34.940
space of that matrix?,00:06:34.940,00:06:37.890
Let's see.,00:06:37.890,00:06:38.860
"I guess I probably give the
free variable the value one",00:06:38.860,00:06:42.900
"and I realize that if I want to
get zero I need a two up here.",00:06:42.900,00:06:48.630
Okay?,00:06:48.630,00:06:49.260
So Ax1 is zero x1.,00:06:49.260,00:06:52.560
A x1 is zero x1.,00:06:52.560,00:06:55.550
Fine.,00:06:55.550,00:06:56.370
Okay.,00:06:56.370,00:06:57.520
What about the other eigenvalue?,00:06:57.520,00:06:59.520
Lambda two is minus three.,00:06:59.520,00:07:01.801
Okay.,00:07:01.801,00:07:02.300
"How do I get the other
eigenvalue, then?",00:07:02.300,00:07:05.010
"For the moment --
can I mentally do it?",00:07:05.010,00:07:08.080
