text,start,stop
"The following
content is provided",00:00:00.000,00:00:01.950
"by MIT OpenCourseWare under
a Creative Commons license.",00:00:01.950,00:00:06.060
"Additional information
about our license",00:00:06.060,00:00:08.230
"and MIT OpenCourseWare
in general",00:00:08.230,00:00:10.380
is available at ocw.mit.edu.,00:00:10.380,00:00:11.930
PROFESSOR: Let's get started.,00:00:17.090,00:00:19.790
"Could I start first with
an announcement of a talk",00:00:19.790,00:00:25.510
this afternoon.,00:00:25.510,00:00:27.670
"I know your schedules
are full, but --",00:00:27.670,00:00:32.350
"the abstract for the talk I
think will go up on the top",00:00:32.350,00:00:37.020
of our web page.,00:00:37.020,00:00:38.730
"It's a whole range
of other applications",00:00:42.300,00:00:45.200
"that I would hope to
get to, by an expert.",00:00:45.200,00:00:49.550
"Professor Rannacher,
his applications",00:00:49.550,00:00:52.140
"include optimal control,
which is certainly",00:00:52.140,00:00:54.750
a big area of optimization.,00:00:54.750,00:00:58.610
"Actually, MathWorks, we think
of them as doing linear algebra,",00:00:58.610,00:01:04.160
"but their number one customer
is the control theory world,",00:01:04.160,00:01:08.910
"and it totally connects
with everything we're doing.",00:01:08.910,00:01:14.070
"He's also interested in adaptive
meshing for finite element",00:01:14.070,00:01:20.220
"or other methods -- how to
refine the mesh where it pays",00:01:20.220,00:01:25.700
"off in arrow problems,
all sorts of problems.",00:01:25.700,00:01:32.720
"The math behind it is this
same saddle point structure,",00:01:32.720,00:01:38.350
"same KK -- when he
says KKT equations,",00:01:38.350,00:01:42.270
that's our two equations.,00:01:42.270,00:01:44.390
"I've been calling them,
sometimes, Kuhn-Tucker,",00:01:44.390,00:01:47.670
"but after Kuhn
and Tucker, it was",00:01:47.670,00:01:49.830
"noticed that a graduate
student named Karush, also a K,",00:01:49.830,00:01:55.370
"had written a Masters thesis in
which these important equations",00:01:55.370,00:01:59.740
appeared.,00:01:59.740,00:02:00.740
"So now, they're often
called KKT equations.",00:02:00.740,00:02:03.590
I think Rannacher will do that.,00:02:03.590,00:02:05.920
"Anyway, I don't
know if you're free,",00:02:05.920,00:02:08.220
"but it'll be a full talk in this
program of computational design",00:02:08.220,00:02:17.300
and optimization.,00:02:17.300,00:02:18.360
"I don't know if you know
MIT's new masters degree",00:02:18.360,00:02:22.100
program in CDO.,00:02:22.100,00:02:24.590
"So it's mostly engineering,
a little optimization",00:02:24.590,00:02:29.800
"that's down in
Operations Research,",00:02:29.800,00:02:32.160
and a couple of guys in math.,00:02:32.160,00:02:35.140
"So that's a talk
this afternoon, which",00:02:35.140,00:02:38.490
"will be right on
target for this area",00:02:38.490,00:02:43.560
"and bring up applications
that are highly important.",00:02:43.560,00:02:48.690
"Well, so I thought
today, my job is going",00:02:48.690,00:02:54.652
to be pretty straightforward.,00:02:54.652,00:02:55.860
"I want to do now the
continuous problem.",00:02:59.420,00:03:02.300
So I have functions as unknowns.,00:03:02.300,00:03:05.020
"I have integrals
as inner products.",00:03:05.020,00:03:09.360
"But I still have a
minimization problem.",00:03:09.360,00:03:12.410
"So I have a minimization
problem and I'll call,",00:03:12.410,00:03:15.100
"it's often a
potential energy, so",00:03:15.100,00:03:17.300
"let me use P. Our
unknown function is u,",00:03:17.300,00:03:21.460
"so that's a function u of
x; u of x, y; u of x, y, z.",00:03:21.460,00:03:26.620
"And instead of inner
products we have integrals,",00:03:26.620,00:03:30.320
so there's a c of x.,00:03:30.320,00:03:31.810
"This is going to be
a pure quadratic,",00:03:35.010,00:03:36.960
"so it's going to lead
me to a linear equation.",00:03:36.960,00:03:39.770
"In between comes
something important --",00:03:43.540,00:03:47.250
"what people now call the
weak form of the equation.",00:03:47.250,00:03:53.250
"So, this is would
be the simplest",00:03:53.250,00:03:59.580
"example I could put forward
of the calculus of variations.",00:03:59.580,00:04:07.042
"So that's what
we're talking about.",00:04:07.042,00:04:08.500
Calculus of variations.,00:04:08.500,00:04:10.240
"What's the derivative
of P with respect to u?",00:04:14.320,00:04:17.360
"Somehow, that's what
we have to find,",00:04:17.360,00:04:19.120
"and we're going to set
it to zero to minimize.",00:04:19.120,00:04:22.810
"Then why do we know
it's a minimum?",00:04:22.810,00:04:24.800
"Well, that's always
the second --",00:04:24.800,00:04:26.860
"the quadratic terms here
are going to be positive.",00:04:26.860,00:04:32.060
"So we have a positive
definite problem.",00:04:32.060,00:04:34.980
"Positive definite means
things go this way, convex,",00:04:38.590,00:04:43.200
"and you locate the
bottom, the minimum",00:04:43.200,00:04:47.560
is where the derivative is zero.,00:04:47.560,00:04:50.130
But what's the derivative?,00:04:50.130,00:04:51.410
That's the question.,00:04:51.410,00:04:53.680
"It's not even called
derivative in this subject,",00:04:53.680,00:04:56.800
it's called the first variation.,00:04:56.800,00:04:59.110
"Instead of saying
first derivative,",00:04:59.110,00:05:01.630
I'll say first variation.,00:05:01.630,00:05:03.740
"And instead of writing
dP/du, I'll write --",00:05:03.740,00:05:09.700
where can I write it?,00:05:09.700,00:05:10.980
"So this is key word,
so this is going",00:05:10.980,00:05:14.455
"to be the first
variation, and I'm",00:05:14.455,00:05:18.660
"going to write it with a
different d, a Greek delta,",00:05:18.660,00:05:24.080
dP/du.,00:05:24.080,00:05:25.490
"It's just sort of a
reminder that we're",00:05:25.490,00:05:27.510
"dealing with functions
and integrals of functions",00:05:27.510,00:05:32.422
and so on.,00:05:32.422,00:05:33.300
"So it's just change the
notation in the name",00:05:33.300,00:05:36.210
"a little as a trigger
to the memory.",00:05:36.210,00:05:42.150
"But this board
really has a lot --",00:05:42.150,00:05:47.840
"not all the details
are here, of course.",00:05:47.840,00:05:50.230
"This is a summary of what the
calculus of variations does.",00:05:50.230,00:05:56.030
"So it takes a
minimization problem.",00:05:56.030,00:06:00.660
"So I'm looking for
a function u of x.",00:06:00.660,00:06:03.840
"And always since we're
in continuous problems,",00:06:03.840,00:06:08.720
we have boundary conditions.,00:06:08.720,00:06:10.490
"So as always, those could be --
let me imagine that those are",00:06:10.490,00:06:17.390
the boundary conditions.,00:06:17.390,00:06:19.800
"So I would call those
essential conditions.",00:06:19.800,00:06:23.950
"Every function that's
allowed into the minimum",00:06:23.950,00:06:27.600
"has to satisfy the
boundary condition.",00:06:27.600,00:06:30.050
"So it's a minimum over all u
with the boundary conditions,",00:06:30.050,00:06:35.039
with those boundary conditions.,00:06:35.039,00:06:36.330
"There are two kinds of
boundary conditions,",00:06:40.719,00:06:42.510
"and maybe I'll postpone thinking
about boundary conditions",00:06:42.510,00:06:45.940
"till I get the equations,
the differential",00:06:45.940,00:06:48.740
equation inside the interval.,00:06:48.740,00:06:51.970
"So all these intervals
go from zero to one.",00:06:51.970,00:06:54.360
I won't put that.,00:06:54.360,00:06:56.010
We're in 1D.,00:06:56.010,00:06:56.710
"So, how do you find
the function, u of x?",00:06:59.300,00:07:03.890
that stands for du/dx.,00:07:03.890,00:07:06.990
"So the given data
for the problem",00:07:06.990,00:07:10.340
"is some load, some
source term, f",00:07:10.340,00:07:12.985
"of x, which is going to show
up on the right-hand side,",00:07:12.985,00:07:16.820
"and some coefficient
c of x, which is going",00:07:16.820,00:07:19.740
to show up in the equation.,00:07:19.740,00:07:22.180
"They depend on x, in general.",00:07:22.180,00:07:25.570
"Many, many, many physical
problems look like this.",00:07:25.570,00:07:30.330
"Sort of steady-state
problems, I would say.",00:07:30.330,00:07:33.700
"I'm not talking about
Navier-Stokes fluid flow",00:07:33.700,00:07:36.330
"convection, I'm talking about
static problems, first of all.",00:07:36.330,00:07:45.340
"So here's the general idea of
the calculus of variations.",00:07:45.340,00:07:53.030
"It's the same as the
general idea of calculus.",00:07:53.030,00:07:56.050
"How do you identify a
minimum in calculus?",00:07:56.050,00:08:03.860
"If the minimum is at u,
you perturb it a little,",00:08:03.860,00:08:09.440
"by some delta u, that I'm going
to call v to have just one",00:08:09.440,00:08:15.720
letter instead of two here.,00:08:15.720,00:08:17.970
"You say OK, if I look at that
neighboring point, u plus delta",00:08:17.970,00:08:22.260
"u, my quantity is bigger.",00:08:22.260,00:08:29.490
The minimum is at u.,00:08:29.490,00:08:31.460
"So we're remembering calculus --
I guess I'm saying I've written",00:08:35.220,00:08:39.370
that here.,00:08:39.370,00:08:39.980
"Compare u with u plus
v, which you could",00:08:39.980,00:08:42.470
think of as u plus delta u.,00:08:42.470,00:08:44.920
