text,start,stop
"The following content is
provided under a Creative",00:00:00.000,00:00:02.330
Commons license.,00:00:02.330,00:00:03.610
"Your support will help
MIT OpenCourseWare",00:00:03.610,00:00:05.980
"continue to offer high quality
educational resources for free.",00:00:05.980,00:00:09.930
"To make a donation or to
view additional materials",00:00:09.930,00:00:12.550
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:12.550,00:00:16.180
at ocw.mit.edu.,00:00:16.180,00:00:21.970
"PROFESSOR: Today I
want to get started",00:00:21.970,00:00:25.330
"by correcting a mistake
that I made last time.",00:00:25.330,00:00:30.340
"And this was
mistaken terminology.",00:00:30.340,00:00:37.410
"I said that what
we were computing,",00:00:37.410,00:00:41.290
"when we computed in
this candy bar example,",00:00:41.290,00:00:44.480
was energy and not heat.,00:00:44.480,00:00:47.510
But it's both.,00:00:47.510,00:00:49.270
They're the same thing.,00:00:49.270,00:00:51.010
"And in fact, energy,
heat and work",00:00:51.010,00:00:55.320
"are all the same
thing in physics.",00:00:55.320,00:00:59.470
"I was foolishly
considering the much more",00:00:59.470,00:01:03.895
"- what am I trying to say -
the intuitive feeling of heat",00:01:03.895,00:01:08.350
"as just being the
same as temperature.",00:01:08.350,00:01:10.720
"But in physics, usually
heat is measured in calories",00:01:10.720,00:01:17.890
"and energy can be
in lots of things.",00:01:17.890,00:01:20.480
"Maybe kilowatt-hours or ergs,
these are various of the units.",00:01:20.480,00:01:26.610
"And work would be in
things like foot-pounds.",00:01:26.610,00:01:31.840
"That is, lifting some
weight some distance.",00:01:31.840,00:01:35.500
"And the amount of force
you have to apply.",00:01:35.500,00:01:39.240
"And these all have
conversions between them.",00:01:39.240,00:01:42.070
"They're all the same
quantity, in different units.",00:01:42.070,00:01:45.880
"OK, so these are
the same quantity.",00:01:45.880,00:01:54.030
Different units.,00:01:54.030,00:02:00.850
"So that's about as much
physics as we'll do for today.",00:02:00.850,00:02:08.850
And sorry about that.,00:02:08.850,00:02:11.290
"Now, the example that I was
starting to discuss last time",00:02:11.290,00:02:18.800
