text,start,stop
"For the rest of the term,
we are going to be studying not",00:00:08.000,00:00:11.677
"just one differential equation
at a time, but rather what are",00:00:11.677,00:00:15.617
"called systems of differential
equations.",00:00:15.617,00:00:18.244
"Those are like systems of
linear equations.",00:00:18.244,00:00:21.002
"They have to be solved
simultaneously,",00:00:21.002,00:00:23.432
"in other words,
not just one at a time.",00:00:23.432,00:00:25.928
"So, how does a system look when
you write it down?",00:00:25.928,00:00:30.000
"Well, since we are going to be
talking about systems of",00:00:30.000,00:00:34.196
"ordinary differential equations,
there still will be only one",00:00:34.196,00:00:38.860
"independent variable,
but there will be several",00:00:38.860,00:00:42.435
"dependent variables.
I am going to call,",00:00:42.435,00:00:45.466
"let's say two.
The dependent variables are",00:00:45.466,00:00:48.652
"going to be, I will call them x
and y, and then the first order",00:00:48.652,00:00:53.471
"system, something involving just
first derivatives,",00:00:53.471,00:00:57.357
"will look like this.
On the left-hand side ",00:00:57.357,00:01:02.242
"will be x prime,",00:01:02.242,00:01:04.702
"in other words.
On the right-hand side will be",00:01:04.702,00:01:07.958
"the dependent variables and then
also the independent variables.",00:01:07.958,00:01:12.516
"I will indicate that,
I will separate it all from the",00:01:12.516,00:01:16.279
"others by putting a semicolon
there.",00:01:16.279,00:01:18.811
"And the same way y prime,
the derivative of y with",00:01:18.811,00:01:22.863
"respect to t,
will be some other function of",00:01:22.863,00:01:25.974
"(x, y) and t.
Let's write down explicitly",00:01:25.974,00:01:30.076
"that x and y are dependent
variables.",00:01:30.076,00:01:33.000
"And what they depend upon is
the independent variable t,",00:01:37.000,00:01:41.247
"time.
A system like this is going to",00:01:41.247,00:01:43.951
"be called first order.
And we are going to consider",00:01:43.951,00:01:47.813
"basically only first-order
systems for a secret reason that",00:01:47.813,00:01:52.292
"I will explain at the end of the
period.",00:01:52.292,00:01:56.000
"This is a first-order system,
meaning that the only kind of",00:01:56.000,00:02:00.451
"derivatives that are up here are
first derivatives.",00:02:00.451,00:02:04.288
"So x prime is dx over dt 
and so on.",00:02:04.288,00:02:08.202
"Now, there is still more
terminology.",00:02:08.202,00:02:10.965
"Of course, practically all the
equations after the term",00:02:10.965,00:02:15.109
"started, virtually all the
equations we have been",00:02:15.109,00:02:18.793
"considering are linear
equations, so it must be true",00:02:18.793,00:02:22.706
"that linear systems are the best
kind.",00:02:22.706,00:02:25.546
"And, boy, they certainly are.
When are we going to call a",00:02:25.546,00:02:31.267
"system linear?
I think in the beginning you",00:02:31.267,00:02:34.795
"should learn a little
terminology before we launch in",00:02:34.795,00:02:39.162
"and actually try to start to
solve these things.",00:02:39.162,00:02:43.110
"Well, the x and y,
the dependent variables must",00:02:43.110,00:02:46.973
"occur linearly.
In other words,",00:02:46.973,00:02:49.493
"it must look like this,
ax plus by.",00:02:49.493,00:02:53.356
"Now, the t can be a mess.
And so I will throw in an extra",00:02:53.356,00:02:58.060
"function of t there.
And y prime will be some",00:02:58.060,00:03:03.511
"other linear combination of x
and y, plus some other messy",00:03:03.511,00:03:08.128
"function of t.
But even the a,",00:03:08.128,00:03:10.477
"b, c, and d are allowed to be
functions of t.",00:03:10.477,00:03:14.041
"They could be one over t cubed
or sine t",00:03:14.041,00:03:19.064
"or something like that.
So I have to distinguish those",00:03:19.064,00:03:23.357
"cases.
The case where a,",00:03:23.357,00:03:25.220
"b, c, and d are constants,
that I will call --",00:03:25.220,00:03:30.000
"Well, there are different
things you can call it.",00:03:30.000,00:03:34.864
"We will simply call it a
constant coefficient system.",00:03:34.864,00:03:40.135
"A system with coefficients
would probably be better",00:03:40.135,00:03:45.202
"English.
On the other hand,",00:03:45.202,00:03:47.837
"a, b, c, and d,
this system will still be",00:03:47.837,00:03:51.891
"called linear if these are
functions of t.",00:03:51.891,00:03:56.047
Can also be functions of t.,00:03:56.047,00:04:00.000
"So it would be a perfectly good
linear system to have x prime",00:04:05.000,00:04:08.989
"equals tx plus sine t times y
plus e to the minus t squared.",00:04:08.989,00:04:12.845
"You would never see something
like that but it is okay.",00:04:15.039,00:04:18.630
"What else do you need to know?
Well, what would a homogenous",00:04:18.630,00:04:22.553
"system be?
A homogenous system is one",00:04:22.553,00:04:24.946
"without these extra guys.
That doesn't mean there is no t",00:04:24.946,00:04:28.670
"in it.
There could be t in the a,",00:04:28.670,00:04:32.621
"b, c and d, but these terms
with no x and y in them must not",00:04:32.621,00:04:38.571
"occur.
So, a linear homogenous.",00:04:38.571,00:04:42.000
"And that is the kind we are
going to start studying first in",00:04:47.000,00:04:50.612
"the same way when we studied
higher order equations.",00:04:50.612,00:04:53.734
"We studied first homogenous.
You had to know how to solve",00:04:53.734,00:04:57.163
"those first, and then you could
learn how to solve the more",00:04:57.163,00:05:00.714
"general kind.
So linear homogenous means that",00:05:00.714,00:05:04.324
"r1 is zero and r2 is zero for
all time.",00:05:04.324,00:05:07.175
"They are identically zero.
They are not there.",00:05:07.175,00:05:10.550
"You don't see them.
Have I left anything out?",00:05:10.550,00:05:13.850
"Yes, the initial conditions.
Since that is quite general,",00:05:13.850,00:05:18.050
"let's talk about what would
initial conditions look like?",00:05:18.050,00:05:23.000
"Well, in a general way,
the reason you have to have",00:05:28.000,00:05:31.339
"initial conditions is to get
values for the arbitrary",00:05:31.339,00:05:34.813
"constants that appear in the
solution.",00:05:34.813,00:05:37.284
"The question is,
how many arbitrary constants",00:05:37.284,00:05:40.223
"are going to appear in the
solutions of these equations?",00:05:40.223,00:05:43.897
"Well, I will just give you the
answer.",00:05:43.897,00:05:46.369
"Two.
The number of arbitrary",00:05:46.369,00:05:48.172
"constants that appear is the
total order of the system.",00:05:48.172,00:05:51.779
"For example,
if this were a second",00:05:51.779,00:05:53.984
"derivative and this were a first
derivative, I would expect three",00:05:53.984,00:05:58.259
"arbitrary constants in the
system --",00:05:58.259,00:06:02.000
"-- because the total,
the sum of two and one makes",00:06:02.000,00:06:05.547
"three.
So you must have as many",00:06:05.547,00:06:07.719
"initial conditions as you have
arbitrary constants in the",00:06:07.719,00:06:11.773
"solution.
And that, of course,",00:06:11.773,00:06:13.873
"explains when we studied
second-order equations,",00:06:13.873,00:06:17.276
"we had to have two initial
conditions.",00:06:17.276,00:06:19.954
"I had to specify the initial
starting point and the initial",00:06:19.954,00:06:24.153
"velocity.
And the reason we had to have",00:06:24.153,00:06:26.904
"two conditions was because the
general solution had two",00:06:26.904,00:06:30.814
