text,start,stop
"OPERATOR: The following content
is provided under a",00:00:00.000,00:00:02.000
Creative Commons license.,00:00:02.000,00:00:03.840
"You're support will help MIT
OpenCourseWare continue to",00:00:03.840,00:00:06.850
"offer high quality educational
resources for free.",00:00:06.850,00:00:10.530
"To make a donation or view
additional materials from",00:00:10.530,00:00:13.390
"hundreds of MIT courses, visit
MIT OpenCourseWare course at",00:00:13.390,00:00:17.490
ocw.mit.edu.,00:00:17.490,00:00:19.920
PROFESSOR: All right.,00:00:19.920,00:00:21.710
"Today's lecture, mostly I want
to talk about what computer",00:00:21.710,00:00:25.390
scientists do.,00:00:25.390,00:00:27.160
"We've sort of been teaching you
computer science in the",00:00:27.160,00:00:30.200
"small, I want to pull back and
think in the large about, what",00:00:30.200,00:00:34.060
"do people do once they learn
about computer science?",00:00:34.060,00:00:36.960
"And then I'll wrap up with a
quick overview of what I think",00:00:36.960,00:00:40.320
we've accomplished this term.,00:00:40.320,00:00:42.920
"So what does a computer
scientist do?",00:00:42.920,00:00:45.350
"What they really do is,
almost everything.",00:00:45.350,00:00:48.700
"Graduates of our department,
other departments, have done",00:00:48.700,00:00:51.500
"things like animation for movies
you've all seen, they",00:00:51.500,00:00:55.310
"keep airplanes from falling
out of the sky, they help",00:00:55.310,00:00:59.050
"surgeons do a better job of
brain surgery, that's",00:00:59.050,00:01:01.620
"something Professor Grimson
has worked on.",00:01:01.620,00:01:04.410
All sorts of exciting things.,00:01:04.410,00:01:10.270
"Mostly what they have in common,
and it's incredibly",00:01:10.270,00:01:13.720
"varied, what you can do with
computer science, but it all",00:01:13.720,00:01:17.220
"involves thinking
computationally.",00:01:17.220,00:01:20.260
"And if I had to use a single
phrase to describe 6.00,",00:01:20.260,00:01:25.070
that's the phrase I would use.,00:01:25.070,00:01:27.080
"The semester is really about
computational thinking.",00:01:27.080,00:01:31.610
"I think this will be a
fundamental skill used by",00:01:31.610,00:01:34.390
"everyone in the world by the
middle of the current century.",00:01:34.390,00:01:39.850
"And it'll be like the, it will
become one of the three r's,",00:01:39.850,00:01:43.790
reading writing arithmetic.,00:01:43.790,00:01:47.020
"And I haven't quite figured I
how to put an r in the front",00:01:47.020,00:01:49.810
"of it, but sooner or later.",00:01:49.810,00:01:53.780
So what is it?,00:01:53.780,00:01:54.480
"Well, the process is the process
that we've sort of",00:01:54.480,00:01:57.550
"been advocating throughout
the semester.",00:01:57.550,00:02:01.010
"You identify or invent
useful abstractions.",00:02:01.010,00:02:04.880
"Sometimes they're out there,
and we can just pluck them.",00:02:04.880,00:02:08.820
"Sometimes you have to invent
them ourselves.",00:02:08.820,00:02:12.580
"We then formulate a solution to
a problem as some sort of a",00:02:12.580,00:02:15.790
computational experiment.,00:02:15.790,00:02:19.280
"Typically using those
abstractions.",00:02:19.280,00:02:22.700
"Then comes the part that many
you get bogged down in, but",00:02:22.700,00:02:26.980
"it'll get easier for
you as you go on.",00:02:26.980,00:02:29.440
"Is to design and construct
a sufficiently efficient",00:02:29.440,00:02:33.310
"implementation of
the experiment.",00:02:33.310,00:02:36.100
"And I want to emphasize the
word sufficiently here, in",00:02:36.100,00:02:39.590
"that it only has to be
fast enough to run",00:02:39.590,00:02:42.330
it and get an answer.,00:02:42.330,00:02:43.980
"And it doesn't have to be
the fastest possible.",00:02:43.980,00:02:48.130
"We then need to validate the
experimental setup, convince",00:02:48.130,00:02:52.070
"ourselves that the code is
right, and then run the",00:02:52.070,00:02:55.390
"experiment, and then evaluate
the results, and",00:02:55.390,00:02:58.680
then repeat as needed.,00:02:58.680,00:03:01.960
"And that's, of course,
the key.",00:03:01.960,00:03:03.120
"By now you've all learned that
these experiments rarely are",00:03:03.120,00:03:07.200
"done the first time
you run them.",00:03:07.200,00:03:10.040
"But of course, this is true of
experiments in biology and",00:03:10.040,00:03:12.950
"physics and chemistry
and everything else.",00:03:12.950,00:03:16.040
But this is the basic process.,00:03:16.040,00:03:18.430
"And I think, it's a view that's
not universally held,",00:03:18.430,00:03:23.940
"but I think is the correct view
of what computational",00:03:23.940,00:03:26.800
thinking is all about.,00:03:26.800,00:03:29.280
"It's an experimental
discipline.",00:03:29.280,00:03:33.520
"So the two a's are abstraction,
choosing the",00:03:33.520,00:03:37.830
"right abstraction, and operating
in terms of multiple",00:03:37.830,00:03:42.020
"layers of abstraction
simultaneously.",00:03:42.020,00:03:45.390
"And that's a little
bit tricky.",00:03:45.390,00:03:47.360
"Something that you've
worked on this term.",00:03:47.360,00:03:50.070
"You invent some beautiful, high
level of abstraction.",00:03:50.070,00:03:56.010
"But then you have to think about
it, and implement it",00:03:56.010,00:03:58.600
"using the rather low level
abstractions provided by the",00:03:58.600,00:04:01.620
