text,start,stop
"The following content is
provided under a Creative",00:00:00.060,00:00:02.330
Commons license.,00:00:02.330,00:00:03.610
"Your support will help
MIT OpenCourseWare",00:00:03.610,00:00:05.990
"continue to offer high quality
educational resources for free.",00:00:05.990,00:00:09.465
"To make a donation, or to
view additional materials",00:00:09.465,00:00:12.600
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:12.600,00:00:16.150
at ocw.mit.edu.,00:00:16.150,00:00:21.270
"PROFESSOR: Now, today I need
to get started by finishing up",00:00:21.270,00:00:26.900
what I did last time.,00:00:26.900,00:00:28.480
"Namely, talking about
numerical methods.",00:00:28.480,00:00:31.560
"And I want to just
carry out one example.",00:00:31.560,00:00:34.680
"And then I want to
fill in one loose end.",00:00:34.680,00:00:40.660
"And then we'll talk
about the unit overall.",00:00:40.660,00:00:48.870
"We were talking, last time,
about numerical integration.",00:00:48.870,00:01:01.720
"I'm going to illustrate this
just with the simplest example",00:01:01.720,00:01:05.580
that I can.,00:01:05.580,00:01:07.960
"We're going to look at the
integral from 1 to 2 of dx / x.",00:01:07.960,00:01:14.070
"Which we know
perfectly well already",00:01:14.070,00:01:16.720
"is the log of x evaluated
between 1 and 2, which is ln 2",00:01:16.720,00:01:21.310
- ln 1.,00:01:21.310,00:01:23.250
Which is just ln 2.,00:01:23.250,00:01:26.080
"Now, if you punch that
into your calculator,",00:01:26.080,00:01:29.750
"you're going to get
something like this.",00:01:29.750,00:01:32.610
I hope I saved it here.,00:01:32.610,00:01:41.030
Yeah.,00:01:41.030,00:01:41.530
It's about 0.693147.,00:01:41.530,00:01:53.250
"That's more digits than we're
going to get in our discussion",00:01:53.250,00:01:56.150
here.,00:01:56.150,00:01:56.650
"Anyway, that's about
how big this number is.",00:01:56.650,00:02:02.490
"And the numerical
integration methods",00:02:02.490,00:02:06.390
"will give you about as
much accuracy as you",00:02:06.390,00:02:10.760
can get on the function itself.,00:02:10.760,00:02:13.270
"And, of course,
some functions we",00:02:13.270,00:02:15.100
"may have more trouble
approximating.",00:02:15.100,00:02:17.040
"But the function 1 / x, we
know pretty well how to do,",00:02:17.040,00:02:19.400
because we know how to divide.,00:02:19.400,00:02:21.440
"So since the function that
we're integrating here is 1 / x,",00:02:21.440,00:02:26.410
"it's going to be not
too difficult to get",00:02:26.410,00:02:28.874
some arithmetic.,00:02:28.874,00:02:29.540
"Nevertheless, I'm
going to do this",00:02:29.540,00:02:31.740
in the simplest possible case.,00:02:31.740,00:02:34.210
"Namely, just with two intervals.",00:02:34.210,00:02:44.040
"Now, you really can't expect
things to work so well",00:02:44.040,00:02:47.020
with two intervals.,00:02:47.020,00:02:48.040
"That's a pretty ridiculous
approximation to your function.",00:02:48.040,00:02:52.560
"When you have two
intervals, that",00:02:52.560,00:02:54.830
"means you're looking at the
graph of this hyperbola.",00:02:54.830,00:02:58.490
"And you have 1 here, and you
have 2 here and you have 3/2.",00:02:58.490,00:03:04.510
"And you're really only
keeping track of the values",00:03:04.510,00:03:07.910
at these three spots.,00:03:07.910,00:03:10.880
"So the idea that you can
approximate the area just",00:03:10.880,00:03:14.630
"by knowing the values
of three places",00:03:14.630,00:03:16.940
"is a little bit of a
stretch of the imagination.",00:03:16.940,00:03:21.120
"But we're going
to try it anyway.",00:03:21.120,00:03:24.850
"Now, the trapezoidal rule
is the following formula.",00:03:24.850,00:03:33.320
"It's delta x (1/2 the first
value + the second value",00:03:33.320,00:03:38.980
+ 1/2 the third value).,00:03:38.980,00:03:42.290
"In this case, the pattern
is 1/2, 1, 1, 1, 1, 1, 1/2.",00:03:42.290,00:03:47.930
"And in this case, delta x =
1/2 because this interval's",00:03:47.930,00:03:53.540
of length 1.,00:03:53.540,00:03:55.120
"The b - a, right.",00:03:55.120,00:03:57.680
Let's just point that out here.,00:03:57.680,00:03:59.990
"Here, b = 2. a = 1. b - a = 1.",00:03:59.990,00:04:05.410
And the number n is 2.,00:04:05.410,00:04:08.500
"And so, delta x, which
is (b - a) / n, is 1/2.",00:04:08.500,00:04:16.160
So here's what we get.,00:04:16.160,00:04:17.580
"And let's just see
what this number is.",00:04:17.580,00:04:19.850
It's 1/2 of the value at here.,00:04:19.850,00:04:23.540
