text,start,stop
"The following content is
provided under a Creative",00:00:00.000,00:00:02.330
Commons license.,00:00:02.330,00:00:03.610
"Your support will help
MIT OpenCourseWare",00:00:03.610,00:00:05.750
"continue to offer high quality
educational resources for free.",00:00:05.750,00:00:09.460
"To make a donation, or to
view additional materials",00:00:09.460,00:00:12.550
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:12.550,00:00:16.150
at ocw.mit.edu.,00:00:16.150,00:00:21.840
"PROFESSOR: Well, because
our subject today",00:00:21.840,00:00:25.190
"is trig integrals
and substitutions,",00:00:25.190,00:00:28.280
"Professor Jerison called in his
substitute teacher for today.",00:00:28.280,00:00:33.640
That's me.,00:00:33.640,00:00:46.150
Professor Miller.,00:00:46.150,00:00:49.860
"And I'm going to try to tell
you about trig substitutions",00:00:49.860,00:00:52.790
and trig integrals.,00:00:52.790,00:00:54.610
"And I'll be here tomorrow to
do more of the same, as well.",00:00:54.610,00:00:59.650
"So, this is about trigonometry,
and maybe first thing I'll do",00:00:59.650,00:01:02.320
"is remind you of some basic
things about trigonometry.",00:01:02.320,00:01:24.180
"So, if I have a
circle, trigonometry",00:01:24.180,00:01:27.110
"is all based on the
circle of radius 1",00:01:27.110,00:01:29.730
and centered at the origin.,00:01:29.730,00:01:32.000
"And so if this is an angle
of theta, up from the x-axis,",00:01:32.000,00:01:34.870
"then the coordinates
of this point",00:01:34.870,00:01:36.350
are cosine theta and sine theta.,00:01:36.350,00:01:39.550
"And so that leads right away
to some trig identities,",00:01:39.550,00:01:42.090
which you know very well.,00:01:42.090,00:01:43.330
"But I'm going to put them up
here because we'll use them",00:01:43.330,00:01:46.820
over and over again today.,00:01:46.820,00:01:51.220
"Remember the convention sin^2
theta secretly means (sin",00:01:51.220,00:01:55.220
theta)^2.,00:01:55.220,00:01:57.530
"It would be more
sensible to write",00:01:57.530,00:01:59.040
"a parenthesis around
the sine of theta",00:01:59.040,00:02:01.600
and then say you square that.,00:02:01.600,00:02:03.350
