text,start,stop
"The following content is
provided under a Creative",00:00:00.110,00:00:02.490
Commons license.,00:00:02.490,00:00:03.156
"Your support will help
MIT OpenCourseWare",00:00:03.156,00:00:05.440
"continue to offer high quality
educational resources for free.",00:00:05.440,00:00:09.960
"To make a donation or to
view additional materials",00:00:09.960,00:00:12.630
"from hundreds of MIT courses
visit MIT OpenCourseWare",00:00:12.630,00:00:15.910
at ocw.mit.edu.,00:00:15.910,00:00:22.600
"Okay so I'd like to begin the
second lecture by reminding you",00:00:22.600,00:00:27.490
what we did last time.,00:00:27.490,00:00:30.770
"So last time, we
defined the derivative",00:00:30.770,00:00:50.520
as the slope of a tangent line.,00:00:50.520,00:01:04.260
"So that was our
geometric point of view",00:01:04.260,00:01:07.080
"and we also did a
couple of computations.",00:01:07.080,00:01:10.470
"We worked out that the
derivative of 1 / x was -1 /",00:01:10.470,00:01:18.290
x^2.,00:01:18.290,00:01:20.100
"And we also computed the
derivative of x to the nth",00:01:20.100,00:01:24.870
"power for n = 1, 2, etc.,
and that turned out to be x,",00:01:24.870,00:01:32.097
"I'm sorry, nx^(n-1).",00:01:32.097,00:01:32.930
"So that's what we did
last time, and today I",00:01:36.970,00:01:46.180
"want to finish up with
other points of view",00:01:46.180,00:01:51.580
on what a derivative is.,00:01:51.580,00:01:53.430
"So this is extremely
important, it's",00:01:53.430,00:01:56.250
"almost the most important thing
I'll be saying in the class.",00:01:56.250,00:01:58.750
"But you'll have to think about
it again when you start over",00:01:58.750,00:02:01.310
"and start using calculus
in the real world.",00:02:01.310,00:02:04.600
"So again we're talking
about what is a derivative",00:02:04.600,00:02:14.030
"and this is just a
continuation of last time.",00:02:14.030,00:02:19.660
"So, as I said last time,
we talked about geometric",00:02:19.660,00:02:23.260
"interpretations, and today
what we're gonna talk about",00:02:23.260,00:02:28.130
"is rate of change
as an interpretation",00:02:28.130,00:02:34.310
of the derivative.,00:02:34.310,00:02:40.000
"So remember we drew graphs
of functions, y = f(x)",00:02:40.000,00:02:46.260
"and we kept track of the change
in x and here the change in y,",00:02:46.260,00:02:53.190
let's say.,00:02:53.190,00:02:56.140
"And then from this new point
of view a rate of change,",00:02:56.140,00:03:01.872
"keeping track of the rate
of change of x and the rate",00:03:01.872,00:03:04.080
"of change of y, it's the
relative rate of change",00:03:04.080,00:03:07.030
"we're interested in, and that's
delta y / delta x and that",00:03:07.030,00:03:12.590
has another interpretation.,00:03:12.590,00:03:16.010
This is the average change.,00:03:16.010,00:03:21.650
"Usually we would think of that,
if x were measuring time and so",00:03:21.650,00:03:26.880
"the average and that's
when this becomes a rate,",00:03:26.880,00:03:31.350
"and the average is over
the time interval delta x.",00:03:31.350,00:03:35.830
"And then the limiting
value is denoted dy/dx",00:03:35.830,00:03:42.670
"and so this one is the
average rate of change",00:03:42.670,00:03:47.580
"and this one is the
instantaneous rate.",00:03:47.580,00:03:59.860
"Okay, so that's
the point of view",00:03:59.860,00:04:01.412
"that I'd like to
discuss now and give you",00:04:01.412,00:04:03.120
just a couple of examples.,00:04:03.120,00:04:06.200
"So, let's see.",00:04:06.200,00:04:12.980
"Well, first of all, maybe some
examples from physics here.",00:04:12.980,00:04:19.620
"So q is usually the
name for a charge,",00:04:19.620,00:04:26.450
"and then dq/dt is
what's known as current.",00:04:26.450,00:04:33.660
So that's one physical example.,00:04:33.660,00:04:38.600
"A second example, which is
probably the most tangible one,",00:04:38.600,00:04:45.200
"is we could denote the
letter s by distance",00:04:45.200,00:04:51.500
"and then the rate of change
is what we call speed.",00:04:51.500,00:04:58.520
"So those are the
two typical examples",00:04:58.520,00:05:02.110
"and I just want to
illustrate the second example",00:05:02.110,00:05:06.550
"in a little bit more
detail because I think",00:05:06.550,00:05:08.900
"it's important to have some
visceral sense of this notion",00:05:08.900,00:05:12.690
of instantaneous speed.,00:05:12.690,00:05:16.320
"And I get to use the example of
this very building to do that.",00:05:16.320,00:05:22.570
"Probably you know,
or maybe you don't,",00:05:22.570,00:05:25.860
"that on Halloween
there's an event that",00:05:25.860,00:05:29.690
"takes place in this
building or really",00:05:29.690,00:05:33.042
"from the top of
this building which",00:05:33.042,00:05:34.500
is called the pumpkin drop.,00:05:34.500,00:05:37.000
"So let's illustrates this
idea of rate of change",00:05:37.000,00:05:44.450
with the pumpkin drop.,00:05:44.450,00:05:49.040
"So what happens is,
this building-- well",00:05:49.040,00:05:53.800
"let's see here's the building,
and here's the dot, that's",00:05:53.800,00:06:01.070
"the beautiful grass out on
this side of the building,",00:06:01.070,00:06:04.890
"and then there's
some people up here",00:06:04.890,00:06:09.430
"and very small
objects, well they're",00:06:09.430,00:06:12.310
"not that small when
you're close to them, that",00:06:12.310,00:06:15.240
get dumped over the side there.,00:06:15.240,00:06:19.000
And they fall down.,00:06:19.000,00:06:21.510
"You know everything at MIT
or a lot of things at MIT",00:06:21.510,00:06:24.170
are physics experiments.,00:06:24.170,00:06:28.430
That's the pumpkin drop.,00:06:28.430,00:06:29.440
"So roughly speaking,
the building",00:06:29.440,00:06:32.555
"is about 300 feet
high, we're down here",00:06:32.555,00:06:36.360
on the first usable floor.,00:06:36.360,00:06:39.570
"And so we're going to
use instead of 300 feet,",00:06:39.570,00:06:44.130
"just for convenience
purposes we'll",00:06:44.130,00:06:46.330
"use 80 meters because that makes
the numbers come out simply.",00:06:46.330,00:06:55.410
"So we have the height
which starts out",00:06:55.410,00:07:04.380
"at 80 meters at time 0 and then
the acceleration due to gravity",00:07:04.380,00:07:09.590
"gives you this formula
for h, this is the height.",00:07:09.590,00:07:13.330
"So at time t = 0, we're up
at the top, h is 80 meters,",00:07:13.330,00:07:21.760
the units here are meters.,00:07:21.760,00:07:24.580
"And at time t = 4 you
notice, 5 * 4^2 is 80.",00:07:24.580,00:07:32.200
"I picked these numbers
conveniently so",00:07:32.200,00:07:34.030
that we're down at the bottom.,00:07:34.030,00:07:38.320
"Okay, so this notion
of average change here,",00:07:38.320,00:07:43.620
"so the average change, or
the average speed here,",00:07:43.620,00:07:51.380
"maybe we'll call it
the average speed,",00:07:51.380,00:07:55.636
"since that's-- over this time
that it takes for the pumpkin",00:07:55.636,00:08:02.910
"to drop is going to be
the change in h divided",00:08:02.910,00:08:07.385
by the change in t.,00:08:07.385,00:08:10.170
"Which starts out at, what
does it start out as?",00:08:10.170,00:08:18.350
"It starts out as 80, right?",00:08:18.350,00:08:21.870
And it ends at 0.,00:08:21.870,00:08:23.930
"So actually we have
to do it backwards.",00:08:23.930,00:08:26.520
"We have to take 0 - 80
because the first value is",00:08:26.520,00:08:32.110
"the final position
and the second value",00:08:32.110,00:08:35.500
is the initial position.,00:08:35.500,00:08:37.390
"And that's divided by
4 - 0; times 4 seconds",00:08:37.390,00:08:41.470
minus times 0 seconds.,00:08:41.470,00:08:43.680
"And so that of course is
-20 meters per second.",00:08:43.680,00:08:49.200
"So the average speed of this
guy is 20 meters a second.",00:08:49.200,00:08:56.860
"Now, so why did I
pick this example?",00:08:56.860,00:09:00.970
"Because, of course, the
average, although interesting,",00:09:00.970,00:09:04.480
"is not really what
anybody cares about who",00:09:04.480,00:09:06.540
actually goes to the event.,00:09:06.540,00:09:08.670
"All we really care about
is the instantaneous speed",00:09:08.670,00:09:11.460
"when it hits the pavement
and so that's can",00:09:11.460,00:09:19.005
be calculated at the bottom.,00:09:19.005,00:09:23.610
"So what's the
instantaneous speed?",00:09:23.610,00:09:25.330
