text,start,stop
"NARRATOR: The following
content provided",00:00:00.000,00:00:01.950
"by MIT OpenCourseWare under
a Creative Commons license.",00:00:01.950,00:00:06.400
"Additional information
about our license",00:00:06.400,00:00:08.330
"and MIT OpenCourseWare
in general",00:00:08.330,00:00:10.490
is available at ocw.mit.edu.,00:00:10.490,00:00:11.800
"PROFESSOR: So this is the
second 086 lecture and it'll be",00:00:14.350,00:00:21.340
"my second and last lecture on
solving ordinary differential",00:00:21.340,00:00:27.040
"equations -- u prime
equal f of u and t.",00:00:27.040,00:00:33.270
"So last time, we got Euler's
method, both ordinary,",00:00:33.270,00:00:40.290
"forward Euler, which is this
method for the particular",00:00:40.290,00:00:45.970
"equation -- so I'm using my
model problem, as always,",00:00:45.970,00:00:49.530
u prime equal a*u.,00:00:49.530,00:00:51.440
That's the model.,00:00:51.440,00:00:54.090
"And I'm using small u for
the true solution and capital",00:00:54.090,00:00:59.530
U for the approximation.,00:00:59.530,00:01:02.210
"By whatever method we use,
and right now, that method",00:01:02.210,00:01:05.380
is forward Euler.,00:01:05.380,00:01:09.050
"We looked at the
idea of stability,",00:01:09.050,00:01:11.720
"but now let me
follow up right away",00:01:11.720,00:01:15.760
with the point of stability.,00:01:15.760,00:01:18.160
Where does stability come in?,00:01:18.160,00:01:20.740
"So I want to do that for
this simplest of all methods,",00:01:20.740,00:01:24.740
"because you'll see how we
get to an error equation",00:01:24.740,00:01:32.820
"and we'll get to a similar
error equation for much",00:01:32.820,00:01:36.610
better methods.,00:01:36.610,00:01:38.710
"So the accuracy of
Euler is minimal,",00:01:38.710,00:01:42.630
"but the question of
how stability enters",00:01:42.630,00:01:46.010
"and how we show
that it converges",00:01:46.010,00:01:49.740
"will be the same, also in
partial differential equations,",00:01:49.740,00:01:52.880
so this is the place to see it.,00:01:52.880,00:01:55.670
"So I'll start with that, but
then after that topic will",00:01:55.670,00:02:02.410
"come better methods than
Euler and the first step",00:02:02.410,00:02:06.680
"will be, of course,
second-order methods,",00:02:06.680,00:02:09.240
"because Euler and backward
Euler are only first-order.",00:02:09.240,00:02:12.440
"And we'll see -- actually,
that'll be the point.",00:02:12.440,00:02:15.300
"Not only will show
when they converge,",00:02:15.300,00:02:18.460
"why they converge, but also
how fast they converge.",00:02:18.460,00:02:21.790
What's the error?,00:02:21.790,00:02:23.460
"This estimate of the
error is something",00:02:23.460,00:02:25.410
"that every code is going
to somehow use internally",00:02:25.410,00:02:29.700
"to control the
step size delta t.",00:02:29.700,00:02:33.530
"So I'm just going to go
with the model problem,",00:02:33.530,00:02:36.380
"u prime equal a*u,
the Euler method.",00:02:36.380,00:02:40.260
"So here is the evaluation
-- a*u is f there,",00:02:40.260,00:02:45.200
"so it's really delta
t multiplying f,",00:02:45.200,00:02:48.760
"which is just a*u
in this easy case.",00:02:48.760,00:02:51.600
"Here's the true
solution and then",00:02:51.600,00:02:53.460
"here is the new point, that
when I plug the true solution",00:02:53.460,00:02:58.460
"in to the difference
equation, it, of course,",00:02:58.460,00:03:03.320
