text,start,stop
"The following content is
provided under a Creative",00:00:00.000,00:00:02.400
Commons license.,00:00:02.400,00:00:03.830
"Your support will help MIT
OpenCourseware continue to",00:00:03.830,00:00:06.840
"offer high-quality educational
resources for free.",00:00:06.840,00:00:10.510
"To make a donation, or view
additional materials from",00:00:10.510,00:00:13.390
"hundreds of MIT courses, visit
MIT OpenCourseware, at",00:00:13.390,00:00:17.490
ocw.mit.edu.,00:00:17.490,00:00:19.930
"PROFESSOR JIM ERICSON:
OK, to work.",00:00:19.930,00:00:24.100
"A word of warning: fasten
your seat belts.",00:00:24.100,00:00:27.730
"Or, another way of saying it is,
I'm going to open up the",00:00:27.730,00:00:29.460
fire hose a little bit today.,00:00:29.460,00:00:31.610
"Last lecture, you might have
thought this was a SHASS",00:00:31.610,00:00:33.780
"class, it's not like a
philosophy class, and it was",00:00:33.780,00:00:35.860
"important to set the stage for
what we're going to talk",00:00:35.860,00:00:38.620
"about, but we talked about
very high level things.",00:00:38.620,00:00:41.180
"The notion of recipes, the
notion of computation, why you",00:00:41.180,00:00:43.960
"want to do this, what you're
going to learn.",00:00:43.960,00:00:45.700
"Today we're going to dive into
the nitty-gritty, the nuts and",00:00:45.700,00:00:48.000
"bolts of the basics of
computation, and in",00:00:48.000,00:00:51.040
"particular, what I'm going to do
today is, I'm going to talk",00:00:51.040,00:00:53.320
"about operators and operands,
which we did a little bit real",00:00:53.320,00:00:56.160
"last time, in particular how
to create expressions, I'm",00:00:56.160,00:00:58.960
"going to talk about statements
as the key building blocks for",00:00:58.960,00:01:02.360
"writing code, and I'm going to
introduce simple sets of",00:01:02.360,00:01:06.060
"programs, in particular I'm
going to talk about branching,",00:01:06.060,00:01:09.180
"conditionals, and iteration.",00:01:09.180,00:01:11.290
"So, a lot to do.",00:01:11.290,00:01:12.530
OK?,00:01:12.530,00:01:13.530
"So, let me jump straight
to it.",00:01:13.530,00:01:16.070
"At the end of last lecture, we
started introducing some of",00:01:16.070,00:01:18.350
the pieces you want to do.,00:01:18.350,00:01:19.120
"And I want to remind
you of our goal.",00:01:19.120,00:01:20.450
"We're trying to describe
processes.",00:01:20.450,00:01:22.980
"We want to have things that
deduce new kinds of",00:01:22.980,00:01:24.700
information.,00:01:24.700,00:01:25.770
"So we want to write programs
to do that.",00:01:25.770,00:01:28.120
"If we're going to write
programs, we need at least two",00:01:28.120,00:01:30.020
"things: we need some
representation",00:01:30.020,00:01:32.570
for fundamental data.,00:01:32.570,00:01:34.420
"And we saw last time two
examples of that.",00:01:34.420,00:01:37.080
"And the second thing we're going
to need, is we're going",00:01:37.080,00:01:39.000
"to need a way to give
instructions to the computer",00:01:39.000,00:01:43.230
to manipulate that data.,00:01:43.230,00:01:44.390
"We need to give it a description
of the recipe.",00:01:44.390,00:01:47.570
"In terms of primitive
data, what we saw",00:01:47.570,00:01:52.940
were two kinds: Right?,00:01:52.940,00:01:56.910
Numbers and strings.,00:01:56.910,00:02:00.570
"A little later on in the
lecture we're going to",00:02:00.570,00:02:04.940
"introduce a third kind of value,
but what we're going to",00:02:04.940,00:02:08.060
