text,start,stop
"The following content is
provided under a Creative",00:00:00.000,00:00:02.330
Commons license.,00:00:02.330,00:00:03.950
"Your support will help MIT
OpenCourseWare continue to",00:00:03.950,00:00:06.815
"offer high quality educational
resources for free.",00:00:06.815,00:00:09.410
"To make a donation, or to view
additional materials from",00:00:09.410,00:00:12.885
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:12.885,00:00:16.870
ocw.mit.edu.,00:00:16.870,00:00:23.080
"PROFESSOR: Now, to start out
today we're going to finish up",00:00:23.080,00:00:26.390
what we did last time.,00:00:26.390,00:00:27.850
"Which has to do with
partial fractions.",00:00:27.850,00:00:30.950
"I told you how to do partial
fractions in several special",00:00:30.950,00:00:34.160
"cases and everybody was trying
to figure out what the general",00:00:34.160,00:00:36.690
picture was.,00:00:36.690,00:00:37.920
But I'd like to lay that out.,00:00:37.920,00:00:39.180
"I'll still only do it
for an example.",00:00:39.180,00:00:41.730
"But it will be somehow a bigger
example so that you can",00:00:41.730,00:00:44.300
"see what the general
pattern is.",00:00:44.300,00:00:53.310
"Partial fractions, remember,
is a method for breaking up",00:00:53.310,00:01:04.280
so-called rational functions.,00:01:04.280,00:01:06.730
"Which are ratios
of polynomials.",00:01:06.730,00:01:09.510
"And it shows you that you can
always integrate them.",00:01:09.510,00:01:13.110
That's really the theme here.,00:01:13.110,00:01:14.920
"And this is what's reassuring
is that it always works.",00:01:14.920,00:01:21.190
That's really the bottom line.,00:01:21.190,00:01:23.670
"And that's good because there
are a lot of integrals that",00:01:23.670,00:01:28.150
"don't have formulas
and these do.",00:01:28.150,00:01:34.100
It always works.,00:01:34.100,00:01:35.560
"But, maybe with lots of help.",00:01:35.560,00:01:43.340
So maybe slowly.,00:01:43.340,00:01:46.570
"Now, there's a little bit of
bad news, and I have to be",00:01:46.570,00:01:48.830
"totally honest and tell you
what all the bad news is.",00:01:48.830,00:01:52.230
Along with the good news.,00:01:52.230,00:01:54.930
"The first step, which maybe I
should be calling Step 0, I",00:01:54.930,00:02:00.180
"had a Step 1, 2 and 3 last
time, is long division.",00:02:00.180,00:02:08.710
"That's the step where you take
your polynomial divided by",00:02:08.710,00:02:11.920
