text,start,stop
"The following content is
provided under a Creative",00:00:00.000,00:00:02.330
Commons license.,00:00:02.330,00:00:03.950
"Your support will help MIT
OpenCourseWare continue to",00:00:03.950,00:00:06.810
"offer high quality educational
resources for free.",00:00:06.810,00:00:09.930
"To make a donation or to view
additional materials from",00:00:09.930,00:00:12.750
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:12.750,00:00:16.540
ocw.mit.edu.,00:00:16.540,00:00:21.580
PROFESSOR: OK.,00:00:21.580,00:00:23.630
"Now, today we get to move on
from integral formulas and",00:00:23.630,00:00:29.220
"methods of integration back
to some geometry.",00:00:29.220,00:00:34.620
"And this is more or less going
to lead into the kinds of",00:00:34.620,00:00:38.290
"tools you'll be using in
multivariable calculus.",00:00:38.290,00:00:43.120
"The first thing that we're going
to do today is discuss",00:00:43.120,00:00:46.510
arc length.,00:00:46.510,00:00:58.220
"Like all of the cumulative sums
that we've worked on,",00:00:58.220,00:01:02.940
"this one has a storyline and the
picture associated to it,",00:01:02.940,00:01:06.710
"which involves dividing
things up.",00:01:06.710,00:01:09.360
"If you have a roadway, if you
like, and you have mileage",00:01:09.360,00:01:12.650
"markers along the road, like
this, all the way up to, say,",00:01:12.650,00:01:19.400
"sn here, then the length along
the road is described by this",00:01:19.400,00:01:28.060
"parameter, s.",00:01:28.060,00:01:30.560
Which is arc length.,00:01:30.560,00:01:32.930
"And if we look at a graph of
this sort of thing, if this is",00:01:32.930,00:01:38.080
"the last point b, and this is
the first point a, then you",00:01:38.080,00:01:42.390
"can think in terms of having
points above x1, x2, x3, etc.",00:01:42.390,00:01:50.460
"The same as we did with
Riemann sums.",00:01:50.460,00:01:53.940
"And then the way that we're
going to approximate this is",00:01:53.940,00:02:00.710
"by taking the straight lines
between each of these points.",00:02:00.710,00:02:09.470
"As things get smaller and
smaller, the straight line is",00:02:09.470,00:02:12.260
"going to be fairly close
to the curve.",00:02:12.260,00:02:15.210
And that's the main idea.,00:02:15.210,00:02:16.980
"So let me just depict one
little chunk of this.",00:02:16.980,00:02:20.050
Which is like this.,00:02:20.050,00:02:20.900
"One straight line, and here's
the curved surface there.",00:02:20.900,00:02:24.530
