text,start,stop
"First of all,
the way a nonlinear autonomous",00:00:08.000,00:00:11.638
"system looks,
you have had some practice with",00:00:11.638,00:00:15.361
"it by now.
This is nonlinear.",00:00:15.361,00:00:17.730
"The right-hand side are no
longer simple combinations ax",00:00:17.730,00:00:22.384
"plus by.
Nonlinear and autonomous,",00:00:22.384,00:00:26.192
"these are function just of x
and y.",00:00:26.192,00:00:30.000
"There is no t on the right-hand
side.",00:00:30.000,00:00:33.789
"Now, most of today will be
geometric.",00:00:33.789,00:00:37.578
"The way to get a geometric
picture of that is first by",00:00:37.578,00:00:43.157
"constructing the velocity field
whose components are the",00:00:43.157,00:00:48.947
"functions f and g.
This is a velocity field that",00:00:48.947,00:00:53.894
"gives a picture of the system
and has solutions.",00:00:53.894,00:01:00.000
"The solutions to the system,
from the point of view of",00:01:00.000,00:01:05.120
"functions, they would look like
pairs of functions,",00:01:05.120,00:01:09.950
"x of t, y of t.",00:01:09.950,00:01:12.751
"But, from the point of view of
geometry, when you plot them as",00:01:12.751,00:01:18.644
"parametric equations,
they are called trajectories of",00:01:18.644,00:01:23.668
"the field F, which simply means
that they are curves everywhere",00:01:23.668,00:01:29.657
"having the right velocity.
So a typical curve would look",00:01:29.657,00:01:34.971
"like --
There is a trajectory.",00:01:34.971,00:01:38.497
"And we know it is a trajectory
because at each point the vector",00:01:38.497,00:01:42.715
"on it has, of course,
the right direction,",00:01:42.715,00:01:45.505
"the tangent direction,
but more than that,",00:01:45.505,00:01:48.295
"it has the right velocity.
So here, for example,",00:01:48.295,00:01:51.494
"the point is traveling more
slowly.",00:01:51.494,00:01:53.807
"Here it is traveling more
rapidly because the velocity",00:01:53.807,00:01:57.414
"vector is bigger,
longer.",00:01:57.414,00:02:00.000
"So this is a picture of a
typical trajectory.",00:02:00.000,00:02:03.955
"The only other things that I
should mention are the critical",00:02:03.955,00:02:09.258
"points.
If you have worked the problems",00:02:09.258,00:02:12.674
"for this week,
the first couple of problems,",00:02:12.674,00:02:16.539
"you have already seen the
significance of the critical",00:02:16.539,00:02:21.303
"points.
Well, from Monday's lecture you",00:02:21.303,00:02:24.719
"know from the point of view of
solutions they are constant",00:02:24.719,00:02:29.842
solutions.,00:02:29.842,00:02:32.000
"From the point of view of the
field they are where the field",00:02:37.000,00:02:41.224
"is zero.
There is no velocity vector,",00:02:41.224,00:02:43.801
"in other words.
The velocity vector is zero.",00:02:43.801,00:02:46.880
"And, therefore,
a point being there has no",00:02:46.880,00:02:49.816
"reason to go anywhere else.
And, spelling it out,",00:02:49.816,00:02:53.252
"it's where the partial
derivatives, where the values of",00:02:53.252,00:02:57.119
"the functions on the right-hand
side, which give the two",00:02:57.119,00:03:01.057
"components, the i and j
components of the field,",00:03:01.057,00:03:04.422
where they are zero.,00:03:04.422,00:03:07.000
"That is all I will need by way
of a recall today.",00:03:11.000,00:03:14.645
"I don't think I will need
anything else.",00:03:14.645,00:03:17.607
"The topic for today is another
kind of behavior that you have",00:03:17.607,00:03:22.164
"not yet observed at the computer
screen, unless you have worked",00:03:22.164,00:03:26.873
"ahead, and that is there are
trajectories which go along to",00:03:26.873,00:03:31.278
"infinity or end up at a critical
point.",00:03:31.278,00:03:35.000
"They are the critical points
that just sit there all the",00:03:35.000,00:03:39.631
"time.
But there is a third type of",00:03:39.631,00:03:42.410
"behavior that a trajectory can
have where it neither sits for",00:03:42.410,00:03:47.463
"all time nor goes off for all
time.",00:03:47.463,00:03:50.326
"Instead, it repeats itself.
Such a thing is called a closed",00:03:50.326,00:03:55.210
"trajectory.
What does it look like?",00:03:55.210,00:03:59.000
"Well, it is a closed curve in
the plane that at every point,",00:03:59.000,00:04:05.051
"it is a trajectory,
i.e., the arrows at each point,",00:04:05.051,00:04:10.179
"let's say it is traced in the
clockwise direction.",00:04:10.179,00:04:15.205
"And so the arrows of the field
will go like this.",00:04:15.205,00:04:20.128
"Here it is going slowly,
here it is very slow and here",00:04:20.128,00:04:25.564
"it picks up a little speed again
and so on.",00:04:25.564,00:04:31.000
"Now, for such a trajectory what
is happening?",00:04:31.000,00:04:35.938
"Well, it goes around in finite
time and then repeats itself.",00:04:35.938,00:04:42.561
"It just goes round and round
forever if you land on that",00:04:42.561,00:04:48.734
"trajectory.
It represents a system that",00:04:48.734,00:04:53.000
"returns to its original state
periodically.",00:04:53.000,00:04:57.714
"It represents periodic behavior
of the system.",00:04:57.714,00:05:04.000
