text,start,stop
"OK, here we go with, quiz
review for the third quiz that's",00:00:07.930,00:00:13.530
coming on Friday.,00:00:13.530,00:00:15.910
"So, one key point
is that the quiz",00:00:15.910,00:00:19.040
covers through chapter six.,00:00:19.040,00:00:25.120
"Chapter seven on
linear transformations",00:00:25.120,00:00:27.580
"will appear on the final
exam, but not on the quiz.",00:00:27.580,00:00:31.930
"So I won't review linear
transformations today,",00:00:31.930,00:00:35.540
"but they'll come into the
full course review on the very",00:00:35.540,00:00:39.720
last lecture.,00:00:39.720,00:00:41.350
"So today, I'm
reviewing chapter six,",00:00:41.350,00:00:44.120
"and I'm going to
take some old exams,",00:00:44.120,00:00:46.330
"and I'm always ready
to answer questions.",00:00:46.330,00:00:48.990
"And I thought, kind of help
our memories if I write down",00:00:48.990,00:00:54.360
the main topics in chapter six.,00:00:54.360,00:01:00.350
"So, already, on
the previous quiz,",00:01:00.350,00:01:04.019
"we knew how to find
eigenvalues and eigenvectors.",00:01:04.019,00:01:07.520
"Well, we knew how to find them
by that determinant of A minus",00:01:07.520,00:01:13.480
lambda I equals zero.,00:01:13.480,00:01:15.390
"But, of course, there
could be shortcuts.",00:01:15.390,00:01:17.280
"There could be, like,
useful information",00:01:17.280,00:01:20.030
"about the eigenvalues that
we can speed things up with.",00:01:20.030,00:01:27.190
OK.,00:01:27.190,00:01:27.830
"Then, the new stuff starts out
with a differential equation,",00:01:27.830,00:01:32.300
so I'll do a problem.,00:01:32.300,00:01:34.680
"I'll do a differential
equation problem first.",00:01:34.680,00:01:36.810
"What's special about
symmetric matrices?",00:01:39.970,00:01:43.010
Can we just say that in words?,00:01:43.010,00:01:46.060
"I'd better write
it down, though.",00:01:46.060,00:01:48.170
"What's special about
symmetric matrices?",00:01:48.170,00:01:50.960
Their eigenvalues are real.,00:01:50.960,00:01:56.970
"The eigenvalues of a symmetric
matrix always come out real,",00:01:56.970,00:02:00.970
"and there always are
enough eigenvectors.",00:02:00.970,00:02:04.800
"Even if there are
repeated eigenvalues,",00:02:04.800,00:02:06.930
"there are enough
eigenvectors, and we",00:02:06.930,00:02:09.910
"can choose those eigenvectors
to be orthogonal.",00:02:09.910,00:02:13.180
"So if A equals A
transposed, the big fact",00:02:13.180,00:02:16.480
"will be that we
can diagonalize it,",00:02:16.480,00:02:22.620
"and those eigenvector
matrix, with the eigenvectors",00:02:22.620,00:02:28.550
"in the column, can be
an orthogonal matrix.",00:02:28.550,00:02:31.470
"So we get a Q
lambda Q transpose.",00:02:31.470,00:02:36.600
"That, in three symbols,
expresses a wonderful fact,",00:02:36.600,00:02:43.010
"a fundamental fact for
symmetric matrices.",00:02:43.010,00:02:46.250
OK.,00:02:46.250,00:02:46.960
"Then, we went beyond
that fact to ask",00:02:46.960,00:02:49.740
"about positive
definite matrices, when",00:02:49.740,00:02:52.570
the eigenvalues were positive.,00:02:52.570,00:02:54.370
I'll do an example of that.,00:02:54.370,00:02:55.970
Now we've left symmetry.,00:02:59.290,00:03:01.580
"Similar matrices are
any square matrices,",00:03:01.580,00:03:05.000
"but two matrices are similar
if they're related that way.",00:03:05.000,00:03:10.730
"And what's the key point
about similar matrices?",00:03:10.730,00:03:14.590
"Somehow, those matrices
are representing",00:03:14.590,00:03:16.770
"the same thing in
different basis,",00:03:16.770,00:03:19.410
in chapter seven language.,00:03:19.410,00:03:21.980
"In chapter six language, what's
up with these similar matrices?",00:03:21.980,00:03:29.220
"What's the key fact,
the key positive fact",00:03:29.220,00:03:31.860
about similar matrices?,00:03:31.860,00:03:33.570
They have the same eigenvalues.,00:03:33.570,00:03:37.130
Same eigenvalues.,00:03:37.130,00:03:39.070
"So if one of them grows,
the other one grows.",00:03:39.070,00:03:42.460
"If one of them decays to zero,
the other one decays to zero.",00:03:42.460,00:03:50.380
"Powers of A will look
like powers of B,",00:03:50.380,00:03:53.050
"because powers of
A and powers of B",00:03:53.050,00:03:55.440
"only differ by an M
inverse and an M way on the",00:03:55.440,00:03:59.160
outside.,00:03:59.160,00:04:00.040
"So if these are similar,
then B to the k-th power",00:04:00.040,00:04:05.250
"is M inverse A to
the k-th power M.",00:04:05.250,00:04:09.160
"And that's why I
say, eh, this M, it",00:04:09.160,00:04:12.410
"does change the
eigenvectors, but it",00:04:12.410,00:04:14.480
doesn't change the eigenvalues.,00:04:14.480,00:04:16.089
So same lambdas.,00:04:16.089,00:04:21.209
"And then, finally, I've
got to review the point",00:04:21.209,00:04:24.510
"about the SVD, the Singular
Value Decomposition.",00:04:24.510,00:04:30.000
OK.,00:04:30.000,00:04:30.500
"So that's what this
quiz has got to cover,",00:04:30.500,00:04:33.900
"and now I'll just take
problems from earlier exams,",00:04:33.900,00:04:37.720
"starting with a
differential equation.",00:04:37.720,00:04:40.460
OK.,00:04:40.460,00:04:41.250
And always ready for questions.,00:04:41.250,00:04:43.360
"So here is an exam
from about the year",00:04:43.360,00:04:46.640
"zero, and it has
a three by three.",00:04:46.640,00:04:53.290
So that was --,00:04:53.290,00:04:54.502
"but it's a pretty
special-looking matrix,",00:04:57.280,00:04:59.720
"it's got zeroes on the diagonal,
it's got minus ones above,",00:04:59.720,00:05:04.190
"and it's got plus
ones like that.",00:05:04.190,00:05:08.360
So that's the matrix A.,00:05:08.360,00:05:12.160
OK.,00:05:12.160,00:05:12.880
"Step one is, well,
I want to solve that",00:05:12.880,00:05:16.750
equation.,00:05:16.750,00:05:17.700
"I want to find the
general solution.",00:05:17.700,00:05:19.970
"I haven't given you
a u(0) here, so I'm",00:05:19.970,00:05:22.790
"looking for the
general solution,",00:05:22.790,00:05:24.900
"so now what's the form
of the general solution?",00:05:24.900,00:05:28.280
"With three arbitrary
constants going",00:05:28.280,00:05:30.520
"to be inside it, because
those will be used",00:05:30.520,00:05:33.940
to match the initial condition.,00:05:33.940,00:05:35.780
"So the general
form is u at time t",00:05:35.780,00:05:39.580
"is some multiple of the
first special solution.",00:05:39.580,00:05:45.500
"The first special solution will
be growing like the eigenvalue,",00:05:45.500,00:05:50.080
and it's the eigenvector.,00:05:50.080,00:05:51.920
"So that's a pure exponential
solution, just staying",00:05:51.920,00:05:56.400
with that eigenvector.,00:05:56.400,00:05:58.580
"Of course, I haven't
found, yet, the eigenvalues",00:05:58.580,00:06:01.770
and eigenvectors.,00:06:01.770,00:06:02.580
"That's, normally, the first job.",00:06:02.580,00:06:04.900
"Now, there will be second
one, growing like e",00:06:04.900,00:06:08.880
"to the lambda two, and a
third one growing like e",00:06:08.880,00:06:13.160
to the lambda three.,00:06:13.160,00:06:16.450
So we're all done --,00:06:16.450,00:06:18.880
"well, we haven't
done anything yet,",00:06:18.880,00:06:20.860
actually.,00:06:20.860,00:06:22.100
"I've got to find the
eigenvalues and eigenvectors,",00:06:22.100,00:06:25.930
"and then I would match u(0)
by choosing the right three",00:06:25.930,00:06:30.720
constants.,00:06:30.720,00:06:31.420
OK.,00:06:31.420,00:06:31.950
"So now I ask -- ask you
about the eigenvalues",00:06:31.950,00:06:35.030
"and eigenvectors, and you look
at this matrix and what do you",00:06:35.030,00:06:38.790
see in that matrix?,00:06:38.790,00:06:41.390
"Um, well, I guess we might
ask ourselves right away,",00:06:41.390,00:06:47.740
is it singular?,00:06:47.740,00:06:50.760
Is it singular?,00:06:50.760,00:06:51.810
"Because, if so, then we
really have a head start,",00:06:51.810,00:06:54.040
"we know one of the
eigenvalues is zero.",00:06:54.040,00:06:56.810
Is that matrix singular?,00:06:56.810,00:06:57.990
"Eh, I don't know, do you
take the determinant to",00:07:01.660,00:07:04.280
find out?,00:07:04.280,00:07:05.110
"Or maybe you look at the
first row and third row",00:07:05.110,00:07:08.530
"and say, hey, the
first row and third row",00:07:08.530,00:07:10.270
"are just opposite signs,
they're linear-dependent?",00:07:10.270,00:07:15.180
"The first column and third
column are dependent -- it's",00:07:15.180,00:07:17.930
