text,start,stop
"The following content is
provided under a Creative",00:00:00.000,00:00:02.330
Commons license.,00:00:02.330,00:00:03.950
"Your support will help
MIT OpenCourseWare",00:00:03.950,00:00:06.110
"continue to offer high quality
educational resources for free.",00:00:06.110,00:00:09.950
"To make a donation, or to
view additional materials",00:00:09.950,00:00:12.640
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:12.640,00:00:17.690
at ocw.mit.edu.,00:00:17.690,00:00:21.760
"PROFESSOR: So
again, welcome back.",00:00:21.760,00:00:24.020
"And today's topic
is a continuation",00:00:24.020,00:00:28.190
of what we did last time.,00:00:28.190,00:00:29.420
"We still have a little
bit of work and thinking",00:00:29.420,00:00:31.850
"to do concerning
polar coordinates.",00:00:31.850,00:00:38.600
"So we're going to talk
about polar coordinates.",00:00:38.600,00:00:50.210
"And my first job today is to
talk a little bit about area.",00:00:50.210,00:00:58.320
"That's something we
didn't mention last time.",00:00:58.320,00:01:01.760
"And since we're all
back from Thanksgiving,",00:01:01.760,00:01:05.320
"we can certainly talk
about it in terms of a pie.",00:01:05.320,00:01:10.130
"Which is the basic idea for
area in polar coordinates.",00:01:10.130,00:01:14.650
"Here's our pie, and
here's a slice of the pie.",00:01:14.650,00:01:21.840
"The slice has a piece of
arc length on it, which",00:01:21.840,00:01:25.700
I'm going to call delta theta.,00:01:25.700,00:01:28.150
"And the area of that
shaded-in slice,",00:01:28.150,00:01:31.540
I'm going to call delta A.,00:01:31.540,00:01:35.070
"And let's suppose
that the radius is a.",00:01:35.070,00:01:38.210
Little a.,00:01:38.210,00:01:39.350
So this is a pie of radius a.,00:01:39.350,00:01:45.950
That's our picture.,00:01:45.950,00:01:48.130
"Now, it's pretty easy
to figure out what",00:01:48.130,00:01:50.510
the area that slice of pie is.,00:01:50.510,00:01:54.390
"The total area is,
of course, pi a^2.",00:01:54.390,00:01:58.650
We know that.,00:01:58.650,00:02:00.030
"And to get this fraction,
delta A, all we have to do",00:02:00.030,00:02:05.190
"is take the percentage of the
arc of the total circumference.",00:02:05.190,00:02:10.270
"That's (delta theta) / This is
the fraction of area-- sorry,",00:02:10.270,00:02:16.720
