text,start,stop
"Yes, OK, four, three,
two, one, OK, I",00:00:03.890,00:00:09.130
"see you guys are
in a happy mood.",00:00:09.130,00:00:10.880
"I don't know if that
means 18.06 is ending,",00:00:10.880,00:00:13.980
"or, the quiz was good.",00:00:13.980,00:00:16.680
"Uh, my birthday
conference was going",00:00:16.680,00:00:21.030
"on at the time of the quiz, and
in the conference, of course,",00:00:21.030,00:00:24.880
"everybody had to
say nice things,",00:00:24.880,00:00:27.190
"but I was wondering,
what would my 18.06",00:00:27.190,00:00:30.390
"class be saying, because it was
at the exactly the same time.",00:00:30.390,00:00:36.200
"But, what I know from
the grades so far,",00:00:36.200,00:00:39.300
"they're basically close to, and
maybe slightly above the grades",00:00:39.300,00:00:45.440
that you got on quiz two.,00:00:45.440,00:00:48.590
"So, very satisfactory.",00:00:48.590,00:00:52.790
"And, then we have a
final exam coming up,",00:00:52.790,00:00:56.550
"and today's lecture,
as I told you by email,",00:00:56.550,00:01:00.780
"will be a first
step in the review,",00:01:00.780,00:01:05.019
"and then on Wednesday
I'll do all I can",00:01:05.019,00:01:07.890
in reviewing the whole course.,00:01:07.890,00:01:13.560
"So my topic today
is -- actually,",00:01:13.560,00:01:16.300
"this is a lecture I have never
given before in this way,",00:01:16.300,00:01:24.740
"and it will -- well,
four subspaces,",00:01:24.740,00:01:28.310
"that's certainly fundamental,
and you know that,",00:01:28.310,00:01:32.190
"so I want to speak
about left-inverses",00:01:32.190,00:01:34.810
"and right-inverses and
then something called",00:01:34.810,00:01:37.150
pseudo-inverses.,00:01:37.150,00:01:39.190
"And pseudo-inverses,
let me say right away,",00:01:39.190,00:01:43.110
"that comes in near the
end of chapter seven,",00:01:43.110,00:01:47.240
"and that would not be
expected on the final.",00:01:47.240,00:01:52.170
"But you'll see that
what I'm talking about",00:01:52.170,00:01:54.840
"is really the basic stuff that,
for an m-by-n matrix of rank r,",00:01:54.840,00:02:01.600
"we're going back to the most
fundamental picture in linear",00:02:01.600,00:02:06.080
algebra.,00:02:06.080,00:02:07.130
"Nobody could forget
that picture, right?",00:02:07.130,00:02:12.020
"When you're my age, even,
you'll remember the row space,",00:02:12.020,00:02:15.890
and the null space.,00:02:15.890,00:02:17.560
"Orthogonal complements over
there, the column space",00:02:17.560,00:02:21.130
"and the null space of
A transpose column,",00:02:21.130,00:02:23.530
"orthogonal
complements over here.",00:02:23.530,00:02:26.190
"And I want to speak
about inverses.",00:02:26.190,00:02:29.220
OK.,00:02:29.220,00:02:30.320
"And I want to identify the
different possibilities.",00:02:30.320,00:02:33.960
"So first of all,
when does a matrix",00:02:33.960,00:02:37.980
"have a just a perfect
inverse, two-sided, you know,",00:02:37.980,00:02:42.440
"so the two-sided inverse is what
we just call inverse, right?",00:02:42.440,00:02:51.600
"And, so that means that
there's a matrix that",00:02:51.600,00:02:57.720
"produces the identity, whether
we write it on the left",00:02:57.720,00:03:02.010
or on the right.,00:03:02.010,00:03:03.670
"And just tell me, how
are the numbers r,",00:03:03.670,00:03:10.170
"the rank, n the number of
columns, m the number of rows,",00:03:10.170,00:03:16.580
"how are those
numbers related when",00:03:16.580,00:03:19.070
we have an invertible matrix?,00:03:19.070,00:03:21.320
"So this is the
matrix which was --",00:03:21.320,00:03:23.690
"chapter two was all
about matrices like this,",00:03:23.690,00:03:26.540
"the beginning of the course,
what was the relation of th-",00:03:26.540,00:03:30.420
"of r, m, and n,
for the nice case?",00:03:30.420,00:03:36.110
"They're all the same, all equal.",00:03:36.110,00:03:39.360
So this is the case when r=m=n.,00:03:39.360,00:03:43.260
"Square matrix, full
rank, period, just --",00:03:43.260,00:03:46.910
so I'll use the words full rank.,00:03:46.910,00:03:50.480
"OK, good.",00:03:50.480,00:03:51.840
Everybody knows that.,00:03:51.840,00:03:53.800
OK.,00:03:53.800,00:03:55.860
Then chapter three.,00:03:55.860,00:03:56.875
"We began to deal with matrices
that were not of full rank,",00:03:59.660,00:04:03.240
"and they could have any rank,
and we learned what the rank",00:04:03.240,00:04:07.050
was.,00:04:07.050,00:04:08.480
"And then we focused,
if you remember",00:04:08.480,00:04:12.140
"on some cases like
full column rank.",00:04:12.140,00:04:17.110
"Now, can you remember what was
the deal with full column rank?",00:04:17.110,00:04:20.810
"So, now, I think this
is the case in which we",00:04:20.810,00:04:25.020
"have a left-inverse,
and I'll try to find it.",00:04:25.020,00:04:28.650
So we have a --,00:04:32.930,00:04:35.130
what was the situation there?,00:04:35.130,00:04:37.800
"It's the case of full column
rank, and that means --",00:04:37.800,00:04:43.780
what does that mean about r?,00:04:43.780,00:04:47.160
"It equals, what's
the deal with r, now,",00:04:47.160,00:04:51.770
"if we have full
column rank, I mean",00:04:51.770,00:04:54.460
"the columns are independent,
but maybe not the rows.",00:04:54.460,00:04:59.730
"So what is r equal
to in this case?",00:04:59.730,00:05:03.780
n.,00:05:03.780,00:05:04.450
Thanks.,00:05:04.450,00:05:05.780
n.,00:05:05.780,00:05:06.480
r=n.,00:05:06.480,00:05:06.979
"The n columns are
independent, but probably, we",00:05:06.979,00:05:10.270
have more rows.,00:05:10.270,00:05:12.920
"What's the picture, and then
what's the null space for this?",00:05:12.920,00:05:17.060
"So the n columns
are independent,",00:05:17.060,00:05:19.990
"what's the null
space in this case?",00:05:19.990,00:05:22.155
"So of course, you
know what I'm asking.",00:05:25.420,00:05:27.450
"You're saying, why is this guy
asking something, I know that--",00:05:27.450,00:05:30.690
"I think about it in my sleep,",00:05:30.690,00:05:32.680
right?,00:05:32.680,00:05:33.260
"So the null space of this
matrix if the rank is",00:05:33.260,00:05:36.900
"n, the null space is what
vectors are in the null space?",00:05:36.900,00:05:47.280
Just the zero vector.,00:05:47.280,00:05:48.410
Right?,00:05:51.320,00:05:51.820
The columns are independent.,00:05:51.820,00:05:53.360
Independent columns.,00:05:53.360,00:05:54.300
"No combination of the columns
gives zero except that one.",00:05:59.020,00:06:03.320
"And what's my picture over, --",00:06:03.320,00:06:06.270
let me redraw my picture --,00:06:06.270,00:06:10.050
the row space is everything.,00:06:10.050,00:06:14.330
No.,00:06:18.450,00:06:20.860
Is that right?,00:06:20.860,00:06:23.030
"Let's see, I often get
these turned around, right?",00:06:23.030,00:06:26.580
So what's the deal?,00:06:26.580,00:06:31.640
"The columns are
independent, right?",00:06:31.640,00:06:34.810
"So the rank should be the full
number of columns, so what",00:06:34.810,00:06:39.330
does that tell us?,00:06:39.330,00:06:41.250
"There's no null space, right.",00:06:41.250,00:06:43.051
OK.,00:06:43.051,00:06:43.550
"The row space is
the whole thing.",00:06:43.550,00:06:45.400
"Yes, I won't even
draw the picture.",00:06:45.400,00:06:48.510
And what was the deal with --,00:06:48.510,00:06:51.640
"and these were very important
in least squares problems",00:06:51.640,00:06:56.960
because --,00:06:56.960,00:06:58.750
"So, what more is true here?",00:06:58.750,00:07:06.230
"If we have full column rank,
the null space is zero,",00:07:06.230,00:07:09.460
"we have independent
columns, the unique --",00:07:09.460,00:07:14.640
"so we have zero or
one solutions to Ax=b.",00:07:14.640,00:07:22.990
"There may not be any solutions,
but if there's a solution,",00:07:25.790,00:07:28.660
"there's only one solution
because other solutions are",00:07:28.660,00:07:32.910
"found by adding on stuff
from the null space,",00:07:32.910,00:07:35.470
"and there's nobody
there to add on.",00:07:35.470,00:07:39.490
"So the particular
solution is the solution,",00:07:39.490,00:07:43.250
"if there is a
particular solution.",00:07:43.250,00:07:45.860
"But of course, the
rows might not be -",00:07:45.860,00:07:49.030
"are probably not independent
-- and therefore,",00:07:49.030,00:07:51.990
"so right-hand sides won't end
up with a zero equal zero after",00:07:51.990,00:07:56.880
"elimination, so sometimes
we may have no solution,",00:07:56.880,00:08:00.990
or one solution.,00:08:00.990,00:08:02.710
OK.,00:08:02.710,00:08:03.380
"And what I want to say is
that for this matrix A --",00:08:03.380,00:08:10.350
"oh, yes, tell me something about
A transpose A in this case.",00:08:10.350,00:08:13.910
"So this whole part of the board,
now, is devoted to this case.",00:08:13.910,00:08:20.240
"What's the deal
with A transpose A?",00:08:20.240,00:08:23.690
"I've emphasized over and over
how important that combination",00:08:23.690,00:08:27.280
"is, for a rectangular
matrix, A transpose A",00:08:27.280,00:08:32.120
"is the good thing to look
at, and if the rank is n,",00:08:32.120,00:08:37.120
"if the null space
has only zero in it,",00:08:37.120,00:08:39.750
"then the same is true
of A transpose A.",00:08:39.750,00:08:43.340
"That's the beautiful fact, that
if the rank of A is n, well,",00:08:43.340,00:08:49.250
"we know this will be an
n by n symmetric matrix,",00:08:49.250,00:08:52.300
and it will be full rank.,00:08:52.300,00:08:53.820
So this is invertible.,00:08:53.820,00:08:55.230
This matrix is invertible.,00:08:55.230,00:08:58.450
That matrix is invertible.,00:08:58.450,00:08:59.960
"And now I want to show
you that A itself has",00:08:59.960,00:09:04.070
a one-sided inverse.,00:09:04.070,00:09:06.880
Here it is.,00:09:06.880,00:09:08.450
"The inverse of that, which
exists, times A transpose,",00:09:08.450,00:09:17.190
"there is a one-sided --
shall I call it A inverse?",00:09:17.190,00:09:20.390
-- left of the matrix A.,00:09:20.390,00:09:24.160
Why do I say that?,00:09:24.160,00:09:28.680
"Because if I multiply this
guy by A, what do I get?",00:09:28.680,00:09:35.740
"What does that
multiplication give?",00:09:35.740,00:09:37.630
"Of course, you
know it instantly,",00:09:37.630,00:09:40.360
"because I just put
the parentheses there,",00:09:40.360,00:09:44.110
"I have A transpose A
inverse times A transpose A",00:09:44.110,00:09:47.000
"so, of course,
it's the identity.",00:09:47.000,00:09:49.090
So it's a left inverse.,00:09:49.090,00:09:52.120
"And this was the totally
crucial case for least squares,",00:09:52.120,00:09:58.830
"because you remember that least
squares, the central equation",00:09:58.830,00:10:02.920
"of least squares had this
matrix, A transpose A,",00:10:02.920,00:10:06.230
as its coefficient matrix.,00:10:06.230,00:10:08.920
"And in the case of
full column rank,",00:10:08.920,00:10:11.770
"that matrix is
invertible, and we're go.",00:10:11.770,00:10:15.910
"So that's the case where
there is a left-inverse.",00:10:15.910,00:10:19.830
"So A does whatever it does,
we can find a matrix that",00:10:19.830,00:10:26.140
brings it back to the identity.,00:10:26.140,00:10:30.530
"Now, is it true that,
in the other order --",00:10:30.530,00:10:33.710
"so A inverse left times
A is the identity.",00:10:33.710,00:10:36.830
Right?,00:10:42.131,00:10:42.630
This matrix is m by n.,00:10:42.630,00:10:46.100
This matrix is n by m.,00:10:46.100,00:10:49.580
The identity matrix is n by n.,00:10:49.580,00:10:52.060
All good.,00:10:52.060,00:10:53.560
All good if you're n.,00:10:53.560,00:10:56.300
"But if you try to put that
matrix on the other side,",00:10:56.300,00:11:02.850
it would fail.,00:11:02.850,00:11:05.280
"If the full column rank --
if this is smaller than m,",00:11:05.280,00:11:12.240
"the case where they're
equals is the beautiful case,",00:11:12.240,00:11:14.480
