text,start,stop
"The following content is
provided under a Creative",00:00:00.000,00:00:02.230
Commons license.,00:00:02.230,00:00:02.650
"Your support will help MIT
OpenCourseWare continue to",00:00:02.650,00:00:06.520
"offer high quality educational
resources for free.",00:00:06.520,00:00:09.576
"To make a donation or to view
additional materials from",00:00:09.576,00:00:13.795
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.795,00:00:19.180
ocw.mit.edu.,00:00:19.180,00:00:21.660
"PROFESSOR: So we're through
with techniques of",00:00:21.660,00:00:24.430
"integration, which is really the
most technical thing that",00:00:24.430,00:00:26.730
we're going to be doing.,00:00:26.730,00:00:28.040
"And now we're just
clearing up a few",00:00:28.040,00:00:33.200
loose ends about calculus.,00:00:33.200,00:00:37.080
"And the one we're going to talk
about today will allow us",00:00:37.080,00:00:40.810
to deal with infinity.,00:00:40.810,00:00:45.530
"And it's what's known
as L'Hopital's Rule.",00:00:45.530,00:00:50.940
Here's L'Hopital's Rule.,00:00:50.940,00:00:55.990
"And that's what we're
going to do today.",00:00:55.990,00:01:01.360
"L'Hopital's Rule it's also known
as L'Hospital's Rule.",00:01:01.360,00:01:14.990
"That's the same name, since the
circumflex is what you put",00:01:14.990,00:01:19.840
in French to omit the s.,00:01:19.840,00:01:25.610
"So it's the same thing, and
it's still pronounced",00:01:25.610,00:01:27.290
"L'Hopital, even if it's
got an s in it.",00:01:27.290,00:01:29.840
"Alright, so that's the
first thing you need",00:01:29.840,00:01:32.160
to know about it.,00:01:32.160,00:01:33.650
"And what this method does is,
it's a convenient way to",00:01:33.650,00:01:42.040
"calculate limits including
some new ones.",00:01:42.040,00:01:55.410
"So it'll be convenient
for the old ones.",00:01:55.410,00:02:02.670
"There are going to be some new
ones and, as an example, you",00:02:02.670,00:02:09.310
"can calculate x ln x as
x goes to infinity.",00:02:09.310,00:02:14.910
"You could, whoops, that's not a
very interesting one, let's",00:02:14.910,00:02:17.100
"try x goes to 0 from
the positive side.",00:02:17.100,00:02:20.470
"And you can calculate, for
example, x e^ - x, as x goes",00:02:20.470,00:02:26.590
to infinity.,00:02:26.590,00:02:30.190
"And, well, maybe I should
include a few others.",00:02:30.190,00:02:37.340
"Maybe something like ln x /
x as x goes to infinity.",00:02:37.340,00:02:46.550
"So these are some examples of
things which, in fact, if you",00:02:46.550,00:02:50.580
"plug into your calculator,
you can see what's",00:02:50.580,00:02:52.380
happening with these.,00:02:52.380,00:02:53.220
"But if you want to understand
them systematically, it's much",00:02:53.220,00:02:56.430
"better to have this tool
of L'Hopital's Rule.",00:02:56.430,00:03:00.140
"And certainly there isn't
a proof just based on a",00:03:00.140,00:03:02.970
calculation in a calculator.,00:03:02.970,00:03:05.310
So now here's the idea.,00:03:05.310,00:03:07.760
"I'll illustrate the idea
first with an example.",00:03:07.760,00:03:11.750
"And then we'll make
it systematic.",00:03:11.750,00:03:13.380
"And then we're going
to generalize it.",00:03:13.380,00:03:15.020
"We'll make it much more, so
when it includes these new",00:03:15.020,00:03:18.840
"limits, there are some little
pieces of trickiness that you",00:03:18.840,00:03:21.330
have to understand.,00:03:21.330,00:03:23.050
"So, let's just take an example
that you could have done in",00:03:23.050,00:03:28.850
"the very first unit
of this class.",00:03:28.850,00:03:31.070
"The limit as x goes to 1 of
x ^ 10 - 1 / x ^2 - 1.",00:03:31.070,00:03:41.230
"So that's a limit that
we could've handled.",00:03:41.230,00:03:45.370
"And the thing that's
interesting, I mean, if you",00:03:45.370,00:03:48.110
"like this is in this category
that we mentioned at the",00:03:48.110,00:03:50.070
"beginning of the course
of interesting limits.",00:03:50.070,00:03:52.480
"What's interesting about it is
that if you do this silly",00:03:52.480,00:03:55.750
"thing, which is just plug in
x = 1, at x = 1 you're",00:03:55.750,00:04:00.700
going to get 0 / 0.,00:04:00.700,00:04:02.480
"And that's what we call
an indeterminate form.",00:04:02.480,00:04:12.720
It's just unclear what it is.,00:04:12.720,00:04:15.340
"From that plugging, in you
just can't get it.",00:04:15.340,00:04:18.150
"Now, on the other
hand, there's a",00:04:18.150,00:04:19.490
trick for doing this.,00:04:19.490,00:04:21.360
"And this is the trick
that we did at the",00:04:21.360,00:04:23.960
beginning of the class.,00:04:23.960,00:04:25.350
"And the idea is I can divide
in the numerator and",00:04:25.350,00:04:32.040
denominator by x - 1.,00:04:32.040,00:04:36.230
"So this limit is unchanged, if
I try to cancel the hidden",00:04:36.230,00:04:43.060
"factor x - 1 in the numerator
and denominator.",00:04:43.060,00:04:46.400
"Now, we can actually carry out
these ratios of polynomials",00:04:46.400,00:04:51.630
"and calculate them by long
division in algebra.",00:04:51.630,00:04:54.580
"That's very, very long.",00:04:54.580,00:04:55.660
"We want to do this
with calculus.",00:04:55.660,00:04:57.110
"And we already have. We already
know that this ratio",00:04:57.110,00:05:01.170
"is what's called a difference
quotient.",00:05:01.170,00:05:03.420
"And then in the limit, it tends
to the derivative of",00:05:03.420,00:05:06.380
this function.,00:05:06.380,00:05:08.340
"So the idea is that this is
actually equal to, in the",00:05:08.340,00:05:12.390
"limit, now let's just study
one piece of it.",00:05:12.390,00:05:15.400
"So if I have a function f ( x),
which is x ^ 10 - 1, and",00:05:15.400,00:05:21.150
"the value at 1 happens to
be equal to 0, then this",00:05:21.150,00:05:26.710
"expression that we have, which
is in disguise, this is in",00:05:26.710,00:05:32.350
"disguise the difference
quotient, tends to, as x goes",00:05:32.350,00:05:38.300
"to 1, the derivative,
which is f' ( 1).",00:05:38.300,00:05:43.030
That's what it is.,00:05:43.030,00:05:43.620
"So we know what the numerator
goes to, and similarly we'll",00:05:43.620,00:05:46.090
"know what the denominator
goes to.",00:05:46.090,00:05:47.650
But what is that?,00:05:47.650,00:05:51.580
"Well, f ' (x) = 10x ^ 9.",00:05:51.580,00:05:58.460
So we know what the answer is.,00:05:58.460,00:06:00.610
In the numerator it's 10x ^ 9.,00:06:00.610,00:06:03.550
"In the denominator, it's going
to be 2x, that's the",00:06:03.550,00:06:06.470
derivative of x ^2 - 1.,00:06:06.470,00:06:08.340
"And then were going to have
to evaluate that at x = 1.",00:06:08.340,00:06:13.930
"And so it's going to be
10/2, which is 5.",00:06:13.930,00:06:18.160
So the answer is 5.,00:06:18.160,00:06:19.350
"And it's pretty easy to get
from our techniques and",00:06:19.350,00:06:23.050
"knowledge of derivatives,
using this rather clever",00:06:23.050,00:06:26.580
algebraic trick.,00:06:26.580,00:06:27.510
"This business of dividing
by x - 1.",00:06:27.510,00:06:33.540
"What I want to do now is just
carry this method out",00:06:33.540,00:06:38.030
systematically.,00:06:38.030,00:06:39.420
"And that's going to give us the
approach to what's known",00:06:39.420,00:06:44.290
as L'Hopital's Rule.,00:06:44.290,00:06:45.260
"What my main subject
for today.",00:06:45.260,00:06:48.860
So here's the idea.,00:06:48.860,00:06:50.040
"Suppose we're considering, in
general, a limit as x goes to",00:06:50.040,00:06:53.530
"some number a of f
( x) / g ( x).",00:06:53.530,00:06:58.860
"And suppose it's the bad case
where we can't decide.",00:06:58.860,00:07:02.330
"So it's in determinate.
f ( a) = g ( a) = 0.",00:07:02.330,00:07:09.200
So it would be 0 / 0.,00:07:09.200,00:07:11.730
"Now we're just going to
do exactly the same",00:07:11.730,00:07:13.580
thing we did over here.,00:07:13.580,00:07:15.520
"Namely, we're going to divide
a numerator and denominator,",00:07:15.520,00:07:19.170
"and we're going to repeat
that argument.",00:07:19.170,00:07:21.010
"So we have here f
( x) / x - a.",00:07:21.010,00:07:25.390
And g (x) / x - a also.,00:07:25.390,00:07:30.240
"I haven't changed
anything yet.",00:07:30.240,00:07:33.200
"And now I'm going to write it
in this suggestive form.",00:07:33.200,00:07:38.120
"Namely, I'm going to take
separately the limit in the",00:07:38.120,00:07:41.050
numerator and the denominator.,00:07:41.050,00:07:42.330
"And I'm going to make
one more shift.",00:07:42.330,00:07:44.460
"So I'm going to take the limit,
as x goes to a in the",00:07:44.460,00:07:47.250
"numerator, but I'm going
to write it as f ( x) -",00:07:47.250,00:07:49.960
f ( a) / x - a.,00:07:49.960,00:07:53.270
"So that's the way I'm going to
write the numerator, and I've",00:07:53.270,00:07:54.870
"got to draw a much
longer line here.",00:07:54.870,00:07:57.580
"So why am I allowed
to do that?",00:07:57.580,00:07:59.720
That's because f (a) = 0.,00:07:59.720,00:08:02.690
"So I didn't change this
numerator of the numerator any",00:08:02.690,00:08:07.000
by subtracting. f ( a) = 0.,00:08:07.000,00:08:12.210
"And I'll do the same thing
to the denominator.",00:08:12.210,00:08:19.260
"Again, g ( a) = 0,
so this is OK.",00:08:19.260,00:08:22.650
"And lo and behold, I know
what these limits are.",00:08:22.650,00:08:25.760
This is f ' (a) / g '(a).,00:08:25.760,00:08:34.110
So that's it.,00:08:34.110,00:08:34.660
"That's the technique and this
evaluates the limit.",00:08:34.660,00:08:36.880
And it's not so difficult.,00:08:36.880,00:08:38.070
"The formula's pretty
straightforward here.",00:08:38.070,00:08:40.310
"And it works, provided that
g ' (a) is not 0.",00:08:40.310,00:08:51.410
"Yeah, question.",00:08:51.410,00:08:52.590
STUDENT: [INAUDIBLE],00:08:52.590,00:09:05.040
"PROFESSOR: The question is, is
there a more intuitive way of",00:09:05.040,00:09:10.900
understanding this procedure.,00:09:10.900,00:09:14.210
"And I think the short answer
is that there are other,",00:09:14.210,00:09:21.650
"similar, ways.",00:09:21.650,00:09:22.600
"I don't consider them to
be more intuitive.",00:09:22.600,00:09:25.520
"I will be mentioning one of
them, which is the idea of",00:09:25.520,00:09:28.180
"linearization, which goes back
to what we did in Unit 2.",00:09:28.180,00:09:33.280
"I think it's very important to
understand all of these, more",00:09:33.280,00:09:35.480
"or less, at once.",00:09:35.480,00:09:36.810
"But I wouldn't claim that any
of these methods is a more",00:09:36.810,00:09:39.530
intuitive one than the other.,00:09:39.530,00:09:41.890
"But basically what's happening
is, we're looking at the",00:09:41.890,00:09:43.830
