text,start,stop
"The following content is
provided under a Creative",00:00:00.000,00:00:02.330
Commons license.,00:00:02.330,00:00:04.076
"Your support will help MIT
OpenCourseWare continue to",00:00:04.076,00:00:06.815
"offer high quality educational
resources for free.",00:00:06.815,00:00:09.930
"To make a donation, or to view
additional materials from",00:00:09.930,00:00:12.850
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:12.850,00:00:16.150
ocw.mit.edu.,00:00:16.150,00:00:21.770
"PROFESSOR: Now, today
we are continuing",00:00:21.770,00:00:27.000
with this last unit.,00:00:27.000,00:00:30.090
"Unit 5, continued.",00:00:30.090,00:00:36.650
"The informal title of this unit
is Dealing With Infinity.",00:00:36.650,00:00:48.490
"That's really the extra little
piece that we're putting in to",00:00:48.490,00:00:53.280
"our discussions of things like
limits and integrals.",00:00:53.280,00:01:01.080
"To start out with today, I'd
like to recall for you,",00:01:01.080,00:01:09.680
L'Hopital's Rule.,00:01:09.680,00:01:20.290
"And in keeping with the spirit
here, we're just going to do",00:01:20.290,00:01:23.180
the infinity / infinity case.,00:01:23.180,00:01:32.670
"I stated this a little
differently last time, and I",00:01:32.670,00:01:35.140
want to state it again today.,00:01:35.140,00:01:37.750
"Just to make clear what the
hypotheses are and what the",00:01:37.750,00:01:40.220
conclusion is.,00:01:40.220,00:01:43.880
"We start out with, really,
three hypotheses.",00:01:43.880,00:01:47.350
"Two of them are kind
of obvious.",00:01:47.350,00:01:50.160
"The three hypotheses are that
f (x) tends to infinity, g (",00:01:50.160,00:01:56.020
"x) tends to infinity, that's
what it means to be in this",00:01:56.020,00:02:00.000
infinity / infinity case.,00:02:00.000,00:02:02.380
"And then the last assumption
is that f ' ( x) / g ' (x),",00:02:02.380,00:02:08.160
"tends to a limit, L. And this
is all as x tends to some a.",00:02:08.160,00:02:15.660
Some limit a.,00:02:15.660,00:02:18.180
"And then the conclusion is that
f( x) / g ( x) also tends",00:02:18.180,00:02:27.470
"to L, as x goes to a.",00:02:27.470,00:02:37.260
"Now, so that's the way it is.",00:02:37.260,00:02:38.900
So it's three limits.,00:02:38.900,00:02:40.750
"But presumably these are
obvious, and this one is",00:02:40.750,00:02:43.660
"exactly what we were going
to check anyway.",00:02:43.660,00:02:49.180
Gives us this one limit.,00:02:49.180,00:02:52.790
So that's the statement.,00:02:52.790,00:02:54.390
"And then the other little
interesting point here, which",00:02:54.390,00:02:59.620
"is consistent with this idea of
dealing with infinity, is",00:02:59.620,00:03:03.610
"that a equals plus or minus
infinity and L equals plus or",00:03:03.610,00:03:08.570
minus infinity are OK.,00:03:08.570,00:03:11.590
"That is, the numbers capital L,
the limit capital L and the",00:03:11.590,00:03:15.990
number a can also be infinite.,00:03:15.990,00:03:21.090
"Now in recitation yesterday,
you should have discussed",00:03:21.090,00:03:26.240
"something about rates of growth,
which follow from what",00:03:26.240,00:03:31.830
"I said in lecture last time and
also maybe from some more",00:03:31.830,00:03:35.970
"detailed discussions that
you had in recitation.",00:03:35.970,00:03:40.440
"And I'm going to introduce a
notation to compare functions.",00:03:40.440,00:03:44.130
"Namely, we say that f ( x) is
a lot less than g ( x).",00:03:44.130,00:03:51.270
"So this means that the limit,
as it goes to infinity, this",00:03:51.270,00:03:58.330
tends to 0.,00:03:58.330,00:03:59.280
"As x goes to infinity,
this would be.",00:03:59.280,00:04:04.700
"So this is a notation, a new
notation for us. f is a lot",00:04:04.700,00:04:08.310
less than g.,00:04:08.310,00:04:10.160
"And it's meant to be read
only asymptotically.",00:04:10.160,00:04:13.150
"It's only in the limit
as x goes to",00:04:13.150,00:04:14.890
infinity that this happens.,00:04:14.890,00:04:17.890
"And implicitly here, I'm always
assuming that these are",00:04:17.890,00:04:20.510
"positive quantities. f
and g are positive.",00:04:20.510,00:04:28.130
"What you saw in recitation was
that you can make a systematic",00:04:28.130,00:04:32.230
"comparison of all the standard
functions that we know about.",00:04:32.230,00:04:34.950
"For example, the ln function
goes to infinity.",00:04:34.950,00:04:38.050
"But a lot more slowly
than x to a power.",00:04:38.050,00:04:41.500
A lot more slowly then e^ x.,00:04:41.500,00:04:44.920
"A lot more slowly than,
say, e ^ x ^2.",00:04:44.920,00:04:48.220
So this one is slow.,00:04:48.220,00:04:50.850
This one is moderate.,00:04:50.850,00:04:54.580
"And this one is fast.
And this one is very",00:04:54.580,00:04:57.830
fast. Going to infinity.,00:04:57.830,00:05:02.900
"Tends to infinity, and
this is of course",00:05:02.900,00:05:04.650
as x goes to infinity.,00:05:04.650,00:05:07.570
"All of them go to infinity, but
at quite different rates.",00:05:07.570,00:05:12.270
"And, analogous to this, and
today we're going to be doing",00:05:12.270,00:05:15.630
"this, needing to do this quite
a bit, is rates of decay,",00:05:15.630,00:05:23.530
"which are more or less the
opposite of rates of growth.",00:05:23.530,00:05:26.460
"So rates of decay are rates
at which things tend to 0.",00:05:26.460,00:05:30.270
"So the rate of decay, and for
that I'm just going to take",00:05:30.270,00:05:39.820
reciprocals of these numbers.,00:05:39.820,00:05:41.890
So 1 / ln x tends to 0.,00:05:41.890,00:05:45.820
But rather slowly.,00:05:45.820,00:05:47.260
"It's much bigger
than 1 / x ^ p.",00:05:47.260,00:05:51.220
"Oh, I didn't mention that
this exponent p",00:05:51.220,00:05:53.910
is meant to be positive.,00:05:53.910,00:05:55.750
"That's a convention that I'm
using without saying.",00:05:55.750,00:05:58.360
I should've told you that.,00:05:58.360,00:06:00.310
"So think x ^ 1/2, x ^ 1, x ^2,
they're all in this sort of",00:06:00.310,00:06:06.790
moderate intermediate range.,00:06:06.790,00:06:09.000
"And then that, in turn, goes to
0 but much more slowly then",00:06:09.000,00:06:14.860
"1 / e ^ x, also known
as e^ - x.",00:06:14.860,00:06:19.220
"And that, in turn, this guy
here goes to 0 incredibly",00:06:19.220,00:06:24.220
"fast. e ^ - x ^2 vanishes
really, really fast. So this",00:06:24.220,00:06:33.270
"is a review of the
L'Hopital's Rule.",00:06:33.270,00:06:37.130
"What we said last time, and the
application of it, which",00:06:37.130,00:06:40.140
"is to rates of growth and tells
us what these rates of",00:06:40.140,00:06:43.870
growth are.,00:06:43.870,00:06:50.860
"Today, I want to talk about
improper integrals.",00:06:50.860,00:07:01.830
"And improper integrals, we've
already really seen one or two",00:07:01.830,00:07:07.430
of them on your exercises.,00:07:07.430,00:07:09.050
"And we mention them a
little bit, briefly.",00:07:09.050,00:07:11.950
"I'm just going to go through
them more carefully and more",00:07:11.950,00:07:14.120
systematically now.,00:07:14.120,00:07:15.110
"And we want to get just exactly
what's going on with",00:07:15.110,00:07:18.180
"these rates of decay and
their relationship",00:07:18.180,00:07:20.910
with improper integrals.,00:07:20.910,00:07:21.940
"So I need for you to understand
on the spectrum of",00:07:21.940,00:07:26.490
"the range of functions like
this, which ones are suitable",00:07:26.490,00:07:30.380
"for integration as x
goes to infinity.",00:07:30.380,00:07:38.320
"Well, let's start out
with the definition.",00:07:38.320,00:07:43.130
"The integral from a to infinity
of f(x) dx is, by",00:07:43.130,00:07:47.780
"definition the limit as n goes
to infinity of the ordinary",00:07:47.780,00:07:55.780
"definite integral up to some
fixed, finite level.",00:07:55.780,00:08:00.430
That's the definition.,00:08:00.430,00:08:01.760
"And there's a word that we use
here, which is that we say the",00:08:01.760,00:08:07.550
"integral, so this is terminology
for it, converges",00:08:07.550,00:08:15.150
if the limit exists.,00:08:15.150,00:08:20.560
And diverges if not.,00:08:20.560,00:08:28.630
"Well, these are the key
words for today.",00:08:28.630,00:08:34.340
"So here's the issue that we're
going to be addressing.",00:08:34.340,00:08:39.870
"Which is whether the limit
exists or not.",00:08:39.870,00:08:42.430
"In other words, whether
the integral",00:08:42.430,00:08:44.260
converges or diverges.,00:08:44.260,00:08:50.820
"These notions have a geometric
analog, which you should",00:08:50.820,00:08:54.270
"always be thinking of at
the same time in the",00:08:54.270,00:08:56.320
back of your head.,00:08:56.320,00:08:57.730
