text,start,stop
"The following content is
provided under a Creative",00:00:00.000,00:00:02.330
Commons license.,00:00:02.330,00:00:03.144
"Your support will help
MIT OpenCourseWare",00:00:03.144,00:00:05.460
"continue to offer high quality
educational resources for free.",00:00:05.460,00:00:09.646
"To make a donation or to
view additional materials",00:00:09.646,00:00:12.260
"from hundreds of MIT courses
visit MIT OpenCourseWare",00:00:12.260,00:00:16.150
at ocw.mit.edu.,00:00:16.150,00:00:17.090
"PROFESSOR: Today
we are continuing",00:00:21.344,00:00:22.760
with improper integrals.,00:00:22.760,00:00:24.730
"I still have a little bit
more to tell you about them.",00:00:24.730,00:00:27.371
"What we were discussing at
the very end of last time",00:00:30.080,00:00:33.510
was improper integrals.,00:00:33.510,00:00:36.195
"Now and these are going
to be improper integrals",00:00:41.560,00:00:44.570
of the second kind.,00:00:44.570,00:00:48.220
"By second kind I mean that
they have a singularity",00:00:48.220,00:00:50.990
at a finite place.,00:00:50.990,00:00:52.095
"That would be
something like this.",00:00:54.800,00:00:57.260
"So here's the
definition if you like.",00:00:57.260,00:01:00.140
"Same sort of thing as we
did when the singularity",00:01:00.140,00:01:03.380
was at infinity.,00:01:03.380,00:01:04.120
"So if you have the integral
from 0 to 1 of f(x).",00:01:04.120,00:01:09.440
"This is going to be the
same thing as the limit,",00:01:09.440,00:01:12.600
"as a goes to 0 from above,
the integral from a to 1",00:01:12.600,00:01:17.780
of f(x) dx.,00:01:17.780,00:01:21.150
"And the idea here is the same
one that we had at infinity.",00:01:21.150,00:01:25.920
Let me draw a picture of it.,00:01:25.920,00:01:27.320
"You have, imagine a function
which is coming down like this",00:01:27.320,00:01:30.030
and here's the point 1.,00:01:30.030,00:01:32.020
"And we don't know whether
the area enclosed is",00:01:32.020,00:01:35.180
"going to be infinite or
finite and so we cut it off",00:01:35.180,00:01:39.040
at some place a.,00:01:39.040,00:01:40.680
And we let a go to 0 from above.,00:01:40.680,00:01:44.220
So really it's 0+.,00:01:44.220,00:01:46.800
"So we're coming in
from the right here.",00:01:46.800,00:01:49.820
"And we're counting up
the area in this chunk.",00:01:49.820,00:01:52.810
"And we're seeing as it expands
whether it goes to infinity",00:01:52.810,00:01:56.520
"or whether it tends
to some finite limit.",00:01:56.520,00:01:59.290
"Right, so this is the example
and this is the definition.",00:01:59.290,00:02:02.990
"And just as we did for the
other kind of improper integral,",00:02:02.990,00:02:07.000
"we say that this converges --
so that's the key word here --",00:02:07.000,00:02:13.747
"if the limit is finite,
exists maybe I should just say",00:02:13.747,00:02:24.220
and diverges if not.,00:02:24.220,00:02:30.773
"Let's just take care
of the basic examples.",00:02:35.650,00:02:38.945
"First of all I wrote
this one down last time.",00:02:42.110,00:02:44.740
"We're going to
evaluate this one.",00:02:44.740,00:02:47.390
"The integral from 0 to 1 of
1 over the square root of x.",00:02:47.390,00:02:51.565
"And this just, you almost
don't notice the fact",00:02:55.402,00:02:57.360
that it goes to infinity.,00:02:57.360,00:02:59.920
"This goes to infinity
as x goes to 0.",00:02:59.920,00:03:02.570
"But if you evaluate it -- first
of all we always write this",00:03:02.570,00:03:05.860
as a power.,00:03:05.860,00:03:06.860
Right?,00:03:06.860,00:03:08.010
To get the evaluation.,00:03:08.010,00:03:09.870
"And then I'm not even going
to replace the 0 by an a.",00:03:09.870,00:03:13.060
I'm just going to leave it as 0.,00:03:13.060,00:03:14.490
"The antiderivative here
is x^(1/2) times 2.",00:03:14.490,00:03:18.660
"And then I evaluate
that at 0 and 1.",00:03:21.540,00:03:23.750
And I get 2.,00:03:23.750,00:03:25.080
"2 minus 0, which is 2.",00:03:25.080,00:03:29.090
"All right so this
one is convergent.",00:03:29.090,00:03:31.330
"And not only is it convergent
but we can evaluate it.",00:03:31.330,00:03:34.180
"The second example,
being not systematic",00:03:38.310,00:03:42.140
"but really giving you
the principal examples",00:03:42.140,00:03:44.300
"that we'll be thinking about,
is this one here, dx / x.",00:03:44.300,00:03:51.650
"And this one gives
you the antiderivative",00:03:51.650,00:03:54.200
as the logarithm.,00:03:54.200,00:03:56.070
Evaluated at 0 and 1.,00:03:56.070,00:03:58.180
"And now again you have
to have this thought",00:03:58.180,00:04:00.190
"process in your mind that
you're really taking the limit.",00:04:00.190,00:04:02.770
"But this is going to be the
log of 1 minus the log of 0.",00:04:02.770,00:04:06.440
Really the log of 0 from above.,00:04:06.440,00:04:07.830
"There is no such thing as
the log of 0 from below.",00:04:07.830,00:04:10.970
And this is minus infinity.,00:04:10.970,00:04:12.820
"So it's 0 minus minus infinity,
which is plus infinity.",00:04:12.820,00:04:19.020
And so this one diverges.,00:04:19.020,00:04:20.213
"All right so what's
the general--",00:04:29.710,00:04:32.750
"So more or less in general,
let's just, for powers anyway,",00:04:32.750,00:04:39.070
"if you work out this thing
for dx / x^p from 0 to 1.",00:04:39.070,00:04:45.220
"What you're going to find is
that it's 1/(1-p) when p is",00:04:45.220,00:04:51.820
less than 1.,00:04:51.820,00:04:53.020
And it diverges for p &gt;= 1.,00:04:53.020,00:05:00.240
"Now that's the final result. If
you carry out this integration",00:05:02.750,00:05:07.880
it's not difficult.,00:05:07.880,00:05:10.920
"All right so now
I just want to try",00:05:10.920,00:05:14.850
to help you to remember this.,00:05:14.850,00:05:17.270
"And to think about how
you should think about it.",00:05:17.270,00:05:20.500
"So I'm going to say
it in a few more ways.",00:05:20.500,00:05:23.890
"All right just repeat
what I've said already",00:05:23.890,00:05:26.850
"but try to get it to
percolate and absorb itself.",00:05:26.850,00:05:32.020
"And in order to do
that I have to make",00:05:32.020,00:05:34.270
"the contrast between the
kind of improper integral",00:05:34.270,00:05:37.750
that I was dealing with before.,00:05:37.750,00:05:39.410
"Which was not as x goes to 0
here but as x goes to infinity,",00:05:39.410,00:05:43.720
the other side.,00:05:43.720,00:05:45.920
Let's make this contrast.,00:05:45.920,00:05:47.023
"First of all, if I
look at the angle",00:05:52.470,00:05:55.610
"that we have been paying
attention to right now.",00:05:55.610,00:05:57.610
"We've just considered
things like this.",00:05:57.610,00:06:00.580
1 over x to the 1/2.,00:06:00.580,00:06:02.520
Which is a lot smaller than 1/x.,00:06:02.520,00:06:06.600
"Which is a lot smaller
than say 1/x^2.",00:06:06.600,00:06:10.740
Which would be another example.,00:06:10.740,00:06:12.050
This is as x goes to 0.,00:06:12.050,00:06:14.560
So this one's the smallest one.,00:06:19.990,00:06:21.935
"This one's the
next smallest one.",00:06:21.935,00:06:23.310
And this one is very large.,00:06:23.310,00:06:26.820
"On the other hand it goes
the other way at infinity.",00:06:26.820,00:06:30.985
As x tends to infinity.,00:06:36.670,00:06:39.936
"All right so try to
keep that in mind.",00:06:39.936,00:06:43.140
"And now I'm going to put a
little box around the bad guys",00:06:43.140,00:06:48.760
here.,00:06:48.760,00:06:50.100
This one is divergent.,00:06:50.100,00:06:54.710
And this one is divergent.,00:06:54.710,00:06:57.870
And this one is divergent.,00:06:57.870,00:06:59.950
And this one is divergent.,00:06:59.950,00:07:01.610
The crossover point is 1/x.,00:07:01.610,00:07:03.510
"When we get smaller
than that, we",00:07:03.510,00:07:05.680
"get to things which
are convergent.",00:07:05.680,00:07:07.390
"When we get smaller than
it on this other scale,",00:07:07.390,00:07:10.590
it's convergent.,00:07:10.590,00:07:12.412
"All right so these
guys are divergent.",00:07:12.412,00:07:13.995
"So they're associated
with divergent integrals.",00:07:20.300,00:07:23.430
"The functions
themselves are just",00:07:23.430,00:07:25.390
"tending towards-- well
these tend to infinity,",00:07:25.390,00:07:27.585
and these tend toward 0.,00:07:27.585,00:07:29.310
"So I'm not talking about
the functions themselves",00:07:29.310,00:07:33.830
but the integrals.,00:07:33.830,00:07:35.190
"Now I want to draw this
again here, not small enough.",00:07:35.190,00:07:40.040
I want to draw this again.,00:07:43.757,00:07:44.840
"And, so I'm just going
to draw a picture",00:07:48.484,00:07:50.150
of what it is that I have here.,00:07:50.150,00:07:51.760
"But I'm going to combine
these two pictures.",00:07:51.760,00:07:54.850
"So here's the picture
for example of y = 1/x.",00:07:54.850,00:08:01.330
All right.,00:08:04.714,00:08:06.700
That's y y = 1/x.,00:08:06.700,00:08:08.770
"And that picture
is very balanced.",00:08:08.770,00:08:10.470
It's symmetric on the two ends.,00:08:10.470,00:08:12.600
"If I cut it in half then what
I get here is two halves.",00:08:12.600,00:08:17.660
And this one has infinite area.,00:08:17.660,00:08:23.700
"That corresponds to the
integral from 1 to infinity,",00:08:23.700,00:08:27.730
dx / x being infinite.,00:08:27.730,00:08:30.530
"And the other piece, which --
this one we calculated last",00:08:30.530,00:08:34.810
"time, this is the one that
we just calculated over here",00:08:34.810,00:08:37.230
"at Example 2 -- has
the same property.",00:08:37.230,00:08:42.719
It's infinite.,00:08:42.719,00:08:45.720
"And that's the fact that the
integral from 0 to 1 of dx",00:08:45.720,00:08:48.102
/ x is infinite.,00:08:48.102,00:08:52.100
"Right, so both, we
lose on both ends.",00:08:52.100,00:08:56.570
"On the other hand if I
take something like --",00:08:56.570,00:09:02.390
"I'm drawing it the same way
but it's really not the same --",00:09:02.390,00:09:05.480
y = 1 over the square root of x.,00:09:05.480,00:09:08.490
y = 1 / x^(1/2).,00:09:08.490,00:09:11.010
"And if I cut that in half here
then the x^(1/2) is actually",00:09:11.010,00:09:17.980
bigger than this guy.,00:09:17.980,00:09:19.890
So this piece is infinite.,00:09:19.890,00:09:21.740
"And this part over
here actually is going",00:09:26.830,00:09:29.555
to give us an honest number.,00:09:29.555,00:09:31.310
In fact this one is finite.,00:09:31.310,00:09:34.810
"And we just checked
what the number is.",00:09:34.810,00:09:36.550
"It actually happens
to have area 2.",00:09:36.550,00:09:38.340
"And what's happening here
is if you would superimpose",00:09:46.250,00:09:49.210
"this graph on the
other graph what you",00:09:49.210,00:09:51.710
would see is that they cross.,00:09:51.710,00:09:54.580
And this one sits on top.,00:09:54.580,00:09:58.970
"So if I drew this one in
let's have another color here,",00:09:58.970,00:10:04.660
orange let's say.,00:10:04.660,00:10:05.840
"If this were orange if
I set it on top here",00:10:05.840,00:10:08.630
it would go this way.,00:10:08.630,00:10:11.130
"OK and underneath the
orange is still infinite.",00:10:11.130,00:10:14.790
So both of these are infinite.,00:10:14.790,00:10:16.070
"On here on the other hand
underneath the orange",00:10:16.070,00:10:18.028
"is infinite but underneath
where the green is is finite.",00:10:18.028,00:10:21.700
That's a smaller quantity.,00:10:21.700,00:10:23.770
Infinity is a lot bigger than 2.,00:10:23.770,00:10:25.290
2 is a lot less than infinity.,00:10:25.290,00:10:27.826
"All right so that's reflected
in these comparisons here.",00:10:27.826,00:10:30.835
"Now if you like if I want
to do these in green.",00:10:30.835,00:10:33.610
"This guy is good and
this guy is good.",00:10:33.610,00:10:39.900
"Well let me just repeat that
idea over here in this sort",00:10:39.900,00:10:42.960
"of reversed picture
with y = 1/x^2.",00:10:42.960,00:10:47.930
"If I chop that in half then
the good part is this end here.",00:10:47.930,00:10:53.640
This is finite.,00:10:53.640,00:10:54.440
"And the bad part is
this part of here",00:10:56.990,00:10:59.570
which is way more singular.,00:10:59.570,00:11:01.310
And it's infinite.,00:11:01.310,00:11:02.060
"All right so again what
I've just tried to do",00:11:07.070,00:11:10.080
"is to give you some
geometric sense and also",00:11:10.080,00:11:16.710
some visceral sense.,00:11:16.710,00:11:18.580
"This guy, its tail as it goes
out to infinity is much lower.",00:11:18.580,00:11:23.040
It's much smaller than 1/x.,00:11:23.040,00:11:25.470
"And these guys trapped an
infinite amount of area.",00:11:25.470,00:11:28.080
"This one traps only a
finite amount of area.",00:11:28.080,00:11:30.110
"All right so now I'm
just going to give one",00:11:36.676,00:11:38.860
"last example which combines
these two types of pictures.",00:11:38.860,00:11:43.090
"It's really practically
the same as what",00:11:43.090,00:11:45.420
"I've said before but I-- oh
have to erase this one too.",00:11:45.420,00:11:53.320
"So here's another example:
if you're in-- So let's",00:12:01.340,00:12:05.770
take the following example.,00:12:05.770,00:12:08.132
"This is somewhat
related to the first one",00:12:08.132,00:12:09.840
that I gave last time.,00:12:09.840,00:12:11.600
