text,start,stop
"The following content is
provided under a Creative",00:00:00.110,00:00:02.320
Commons license.,00:00:02.320,00:00:03.150
"Your support will help
MIT OpenCourseWare",00:00:03.150,00:00:05.930
"continue to offer high quality
educational resources for free.",00:00:05.930,00:00:09.960
"To make a donation, or to
view additional materials",00:00:09.960,00:00:12.630
"from hundreds of MIT courses
visit MIT OpenCourseWare",00:00:12.630,00:00:15.910
at ocw.mit.edu.,00:00:15.910,00:00:22.240
"Professor: I am Haynes
Miller, I am substituting",00:00:22.240,00:00:25.050
for David Jerison today.,00:00:25.050,00:00:26.510
"So you have a substitute
teacher today.",00:00:26.510,00:00:41.880
"So I haven't been here
in this class with you",00:00:41.880,00:00:44.400
"so I'm not completely
sure where you are.",00:00:44.400,00:00:47.580
"I think you've just been
talking about differentiation",00:00:47.580,00:00:52.170
"and you've got some examples
of differentiation like these",00:00:52.170,00:00:56.840
"basic examples: the
derivative of x^n is nx^(n-1).",00:00:56.840,00:00:59.860
"But I think maybe you've
spent some time computing",00:01:03.197,00:01:05.280
"the derivative of the sine
function as well, recently.",00:01:05.280,00:01:11.230
"And I think you have
some rules for extending",00:01:11.230,00:01:16.290
these calculations as well.,00:01:16.290,00:01:18.950
"For instance, I think you
know that if you differentiate",00:01:18.950,00:01:24.080
"a constant times a
function, what do you get?",00:01:24.080,00:01:27.770
Student: [INAUDIBLE].,00:01:27.770,00:01:32.590
"Professor: The constant
comes outside like this.",00:01:32.590,00:01:36.670
Or I could write (cu)' = cu'.,00:01:36.670,00:01:40.030
"That's this rule,
multiplying by a constant,",00:01:42.550,00:01:45.350
"and I think you also know
about differentiating a sum.",00:01:45.350,00:01:58.870
"Or I could write this
as (u + v)' = u' + v'.",00:01:58.870,00:02:03.650
"So I'm going to be using
those but today I'll",00:02:06.870,00:02:09.850
"talk about a collection
of other rules",00:02:09.850,00:02:12.290
"about how to deal with
a product of functions,",00:02:12.290,00:02:15.080
"a quotient of functions,
and, best of all,",00:02:15.080,00:02:18.180
composition of functions.,00:02:18.180,00:02:20.024
"And then at the end,
I'll have something",00:02:20.024,00:02:21.690
to say about higher derivatives.,00:02:21.690,00:02:23.480
So that's the story for today.,00:02:23.480,00:02:26.670
That's the program.,00:02:26.670,00:02:29.120
"So let's begin by talking
about the product rule.",00:02:29.120,00:02:43.360
"So the product
rule tells you how",00:02:43.360,00:02:44.750
"to differentiate a
product of functions,",00:02:44.750,00:02:46.760
"and I'll just give you
the rule, first of all.",00:02:46.760,00:02:49.270
The rule is it's u'v + uv'.,00:02:49.270,00:02:51.600
It's a little bit funny.,00:02:57.280,00:02:58.500
"Differentiating a
product gives you a sum.",00:02:58.500,00:03:02.320
"But let's see how that works
out in a particular example.",00:03:02.320,00:03:06.730
"For example, suppose
that I wanted",00:03:06.730,00:03:08.270
to differentiate the product.,00:03:08.270,00:03:11.280
"Well, the product
of these two basic",00:03:11.280,00:03:13.890
"examples that we
just talked about.",00:03:13.890,00:03:15.584
"I'm going to use
the same variable",00:03:15.584,00:03:17.000
"in both cases instead of
different ones like I did here.",00:03:17.000,00:03:20.790
"So the derivative
of x^n times sin x.",00:03:20.790,00:03:23.230
So this is a new thing.,00:03:28.430,00:03:30.300
"We couldn't do this without
using the product rule.",00:03:30.300,00:03:36.120
"So the first function is x^n
and the second one is sin x.",00:03:36.120,00:03:39.670
"And we're going to
apply this rule.",00:03:39.670,00:03:41.740
"So u is x^n. u' is, according
to the rule, nx^(n-1).",00:03:41.740,00:03:49.450
"And then I take v and write it
down the way it is, sine of x.",00:03:49.450,00:03:56.029
And then I do it the other way.,00:03:56.029,00:03:57.320
"I take u the way
it is, that's x^n,",00:03:57.320,00:04:00.690
"and multiply it by the
derivative of v, v'.",00:04:00.690,00:04:05.260
We just saw v' is cosine of x.,00:04:05.260,00:04:09.234
So that's it.,00:04:09.234,00:04:11.520
"Obviously, you can
differentiate longer products,",00:04:11.520,00:04:14.980
"products of more things
by doing it one at a time.",00:04:14.980,00:04:20.560
Let's see why this is true.,00:04:20.560,00:04:22.700
"I want to try to show you
why the product rule holds.",00:04:22.700,00:04:25.730
