text,start,stop
"The following content is
provided under a Creative",00:00:00.540,00:00:02.990
Commons license.,00:00:02.990,00:00:04.500
"Your support will help
MIT OpenCourseWare",00:00:04.500,00:00:06.840
"continue to offer high quality
educational resources for free.",00:00:06.840,00:00:11.210
"To make a donation, or
view additional materials",00:00:11.210,00:00:13.820
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.820,00:00:17.716
at ocw.mit.edu.,00:00:17.716,00:00:18.341
"PROFESSOR: So
welcome to this week.",00:00:23.310,00:00:26.490
"We are going to talk
about number theory.",00:00:26.490,00:00:28.980
"Actually, before I
forget, there are",00:00:28.980,00:00:30.560
some handouts at the very back.,00:00:30.560,00:00:32.450
"Please raise you hand if you
don't have any, then one of us",00:00:32.450,00:00:35.670
"can actually come
over and hand you",00:00:35.670,00:00:37.802
"out this sheet, which
contain some facts",00:00:37.802,00:00:41.070
about the visibility.,00:00:41.070,00:00:43.900
Thanks a lot.,00:00:43.900,00:00:45.824
"And we will be using these
throughout the lecture.",00:00:45.824,00:00:50.780
"So today we're going to
talk about number theory.",00:00:50.780,00:00:53.330
"And this is a really different
way of thinking, actually.",00:00:53.330,00:00:56.420
"But we will use
the same concepts",00:00:56.420,00:00:58.170
"as you have learned before,
like induction, and invariance,",00:00:58.170,00:01:01.280
"stuff like that, to
prove whole theorems.",00:01:01.280,00:01:04.179
So what is number theory?,00:01:04.179,00:01:05.220
"Well, first of all,
it's a very old science.",00:01:09.070,00:01:12.050
"One of the oldest
mathematical disciplines.",00:01:12.050,00:01:14.940
"And only recently
it actually got",00:01:14.940,00:01:19.340
"to have some more
practical applications.",00:01:19.340,00:01:21.480
So what this number theory--,00:01:21.480,00:01:23.450
"it's actually the
study of the integers.",00:01:23.450,00:01:28.200
And what are the integers?,00:01:31.580,00:01:33.160
"Well, these are the numbers
0, 1, 2 3, and so on.",00:01:33.160,00:01:38.950
So number theory got--,00:01:38.950,00:01:41.260
"Oh, there's some more over here.",00:01:41.260,00:01:44.430
Another handout over there.,00:01:44.430,00:01:45.555
"So number theory got used
actually in cryptography",00:01:48.530,00:01:53.870
only about 40 years ago.,00:01:53.870,00:01:56.890
"And at the end of
the second lecture,",00:01:56.890,00:01:59.880
"we will be talking about this
application into cryptography.",00:01:59.880,00:02:03.150
"There are many application
in cryptography.",00:02:03.150,00:02:05.970
"But we'll be talking
about one of them",00:02:05.970,00:02:07.700
"to show you how useful
this actually is.",00:02:07.700,00:02:10.500
"Now cryptography is the study
and practice of hiding numbers.",00:02:10.500,00:02:16.110
"So you can imagine
how important that is.",00:02:16.110,00:02:19.230
"We have like medical
data that we need",00:02:19.230,00:02:23.090
to store outside in the cloud.,00:02:23.090,00:02:25.360
Right?,00:02:25.360,00:02:25.860
"So, gee.",00:02:25.860,00:02:27.500
Do we really want that?,00:02:27.500,00:02:29.490
"We actually want to
hide our information.",00:02:29.490,00:02:33.200
"We do not want
others who are not",00:02:33.200,00:02:35.680
"allowed to see my private
information to see it.",00:02:35.680,00:02:39.030
"So this art of
hiding information",00:02:39.030,00:02:40.850
"is extremely important,
especially nowadays.",00:02:40.850,00:02:44.080
"And number theory actually
will help us with this.",00:02:44.080,00:02:47.020
"So number theory is something,
you'll be very surprised,",00:02:47.020,00:02:52.530
that can be used to save--,00:02:52.530,00:02:56.680
oops.,00:02:56.680,00:02:57.520
I have to put this on.,00:02:57.520,00:03:00.110
"To save New York City in the
Die Hard number 3, I believe.",00:03:00.110,00:03:04.550
So let me start up again.,00:03:04.550,00:03:05.960
So let's see where it plays.,00:03:16.339,00:03:17.505
Maybe not.,00:03:20.780,00:03:22.265
[VIDEO PLAYBACK],00:03:22.265,00:03:25.240
"-Yeah, go ahead and grab it.",00:03:25.240,00:03:27.193
-You're the cop.,00:03:27.193,00:03:28.140
"-Simon said you're supposed
to be helping with this.",00:03:28.140,00:03:30.306
-I'm helping.,00:03:30.306,00:03:30.930
"-Well, when you going
to start helping?",00:03:30.930,00:03:32.350
-After you get the bomb.,00:03:32.350,00:03:33.349
Careful.,00:03:51.740,00:03:53.220
-You be careful.,00:03:53.220,00:03:54.000
-Don't open it.,00:03:54.000,00:03:55.040
-What?,00:03:55.040,00:03:56.100
I got to open it.,00:03:56.100,00:03:57.539
And it's going to be all right.,00:03:57.539,00:03:58.830
[BEEPING],00:04:08.790,00:04:10.284
[ELECTRONIC CHIRPING],00:04:10.284,00:04:11.778
Shit.,00:04:11.778,00:04:13.190
-Shit!,00:04:13.190,00:04:13.690
I told you not to open it.,00:04:13.690,00:04:15.421
[PHONE RINGING],00:04:15.421,00:04:16.834
[PHONE RINGING],00:04:16.834,00:04:18.718
"-I thought you'd
see the message.",00:04:19.660,00:04:22.215
"It has a proximity circuit,
so please don't run.",00:04:22.215,00:04:25.380
"-Yeah, I got it.",00:04:25.380,00:04:26.142
We're not going to run.,00:04:26.142,00:04:27.100
How do we turn this thing off?,00:04:27.100,00:04:28.908
"-On the front there
should be two jugs.",00:04:28.908,00:04:30.830
Do you see them?,00:04:30.830,00:04:32.270
"A give gallon, and
a three gallon.",00:04:32.270,00:04:34.850
"Fill on of the jugs with
exactly four gallons of water",00:04:34.850,00:04:38.510
"and place it on the scale,
and the timer will stop.",00:04:38.510,00:04:41.880
You must be precise.,00:04:41.880,00:04:43.970
"One ounce or lower less
will result in demolition.",00:04:43.970,00:04:46.920
"If you're still alive in five
minutes, we'll speak again.",00:04:46.920,00:04:49.405
-Wait!,00:04:49.405,00:04:49.905
Wait a sec.,00:04:49.905,00:04:50.730
I don't get it.,00:04:54.410,00:04:55.390
You get it?,00:04:55.390,00:04:55.930
-No.,00:04:55.930,00:04:56.429
-Get the jugs.,00:04:59.067,00:04:59.650
"Obviously, we can't fill
the three gallon jug will",00:05:02.407,00:05:04.490
"four gallons of water, right?",00:05:04.490,00:05:06.096
-Obviously.,00:05:06.096,00:05:06.690
-I know.,00:05:06.690,00:05:07.190
There we go.,00:05:07.190,00:05:08.610
"We fill the three gallon jug
exactly to the top, right?",00:05:08.610,00:05:11.210
-Uh-huh.,00:05:11.210,00:05:11.710
-OK.,00:05:11.710,00:05:12.210
"Now we pour that three gallons
into the five gallon jugs,",00:05:12.210,00:05:14.760
"giving us exactly 3 gallons
in the five gallon jug, right?",00:05:14.760,00:05:17.180
-Right.,00:05:17.180,00:05:17.680
Then what?,00:05:17.680,00:05:18.640
"-Now, we take the
three gallon jug,",00:05:18.640,00:05:20.799
fill it a third of the way up--,00:05:20.799,00:05:22.090
"-No, no.",00:05:22.090,00:05:22.190
He said be precise.,00:05:22.190,00:05:23.190
Exactly four gallons.,00:05:23.190,00:05:23.830
"-Every cop in 50 miles
is running his ass off,",00:05:23.830,00:05:25.746
"and I'm out here playing
kids games in a park.",00:05:25.746,00:05:27.970
-Hey.,00:05:27.970,00:05:29.950
"You want to focus on
the problem at hand?",00:05:29.950,00:05:31.820
[END PLAYBACK],00:05:31.820,00:05:32.740
[LAUGHING],00:05:32.740,00:05:35.040
PROFESSOR: All right.,00:05:35.040,00:05:36.370
"You can imagine what we are
going to do right here, right?",00:05:36.370,00:05:39.690
So.,00:05:39.690,00:05:42.510
"You can imagine what's
below this table is a bomb.",00:05:42.510,00:05:45.594
[LAUGHING],00:05:45.594,00:05:47.910
You guys have to save 6042.,00:05:47.910,00:05:49.610
[LAUGHING],00:05:49.610,00:05:50.940
So we have the fountain here.,00:05:50.940,00:05:52.890
"Each tennis ball is
one gallon of water.",00:05:52.890,00:05:55.030
"We have a big jug, five
gallons and three gallons.",00:05:55.030,00:05:58.050
"So you all got to
help me out here.",00:05:58.050,00:06:00.040
"So who has an idea
of what we can do?",00:06:00.040,00:06:02.380
So.,00:06:02.380,00:06:02.880
AUDIENCE: [INAUDIBLE],00:06:05.720,00:06:07.196
PROFESSOR: All right.,00:06:07.196,00:06:08.680
Let's first do that.,00:06:08.680,00:06:09.690
Fill up the three gallons.,00:06:09.690,00:06:11.180
"AUDIENCE: And pout
it into the five.",00:06:11.180,00:06:12.680
"PROFESSOR: Let's
pour it into five.",00:06:12.680,00:06:16.170
Maybe someone else can--,00:06:16.170,00:06:17.880
can continue.,00:06:17.880,00:06:19.010
Over there.,00:06:19.010,00:06:20.700
"AUDIENCE: If we
do the same again,",00:06:20.700,00:06:22.450
"we'll end up with just one
gallon in the three gallon.",00:06:22.450,00:06:26.000
PROFESSOR: Uh-huh.,00:06:26.000,00:06:26.750
"So, let's do that.",00:06:26.750,00:06:28.405
"Because that's true, right.",00:06:28.405,00:06:29.530
"You can only fill it
up to five gallons.",00:06:29.530,00:06:32.010
"So only, at more,
two gallons can add",00:06:32.010,00:06:34.030
"to this, exactly two gallons.",00:06:34.030,00:06:36.190
And one gallon is left.,00:06:36.190,00:06:37.780
"All right, next one.",00:06:37.780,00:06:38.877
You?,00:06:38.877,00:06:39.377
Would you like to--,00:06:39.377,00:06:40.168
AUDIENCE: Take out the five.,00:06:40.168,00:06:41.335
PROFESSOR: Take out the five.,00:06:41.335,00:06:42.542
All right.,00:06:42.542,00:06:43.120
And then what?,00:06:47.300,00:06:48.424
"AUDIENCE: Pour the
one over there.",00:06:48.424,00:06:49.840
"PROFESSOR: Pour
the one over here?",00:06:49.840,00:06:51.256
AUDIENCE: [INAUDIBLE],00:06:55.142,00:06:56.769
"AUDIENCE: Then fill
the three gallon,",00:06:56.769,00:06:58.310
and put it into the five.,00:06:58.310,00:07:00.042
PROFESSOR: All right.,00:07:00.042,00:07:01.399
That's great.,00:07:01.399,00:07:01.940
And I fill it up right here.,00:07:01.940,00:07:03.380
Fantastic.,00:07:03.380,00:07:04.720
"So we actually have
four gallons here.",00:07:04.720,00:07:07.690
"And luckily, they are safe.",00:07:07.690,00:07:08.870
Right?,00:07:08.870,00:07:09.370
"So you say, thank god.",00:07:09.370,00:07:10.730
6042,00:07:10.730,00:07:13.354
So we can continue.,00:07:13.354,00:07:14.145
