text,start,stop
"So -- So, yesterday we learned
about the questions of planes",00:00:23.250,00:00:28.947
"and how to think of 3x3 linear
systems in terms of",00:00:28.947,00:00:33.679
"intersections of planes and how
to think about them",00:00:33.679,00:00:38.508
"geometrically.
And, that in particular led us",00:00:38.508,00:00:42.619
"to see which cases actually we
don't have a unique solution to",00:00:42.619,00:00:47.050
"the system,
but maybe we have no solutions",00:00:47.050,00:00:49.964
"or infinitely many solutions
because maybe the line at",00:00:49.964,00:00:53.186
"intersection of two of the
planes happens to be parallel to",00:00:53.186,00:00:56.713
"the other plane.
So, today, we'll start by",00:00:56.713,00:01:02.544
"looking at the equations of
lines.",00:01:02.544,00:01:08.920
"And, so in a way it seems like
something which we've already",00:01:08.920,00:01:18.471
"seen last time because we have
seen that we can think of a line",00:01:18.471,00:01:28.508
"as the intersection of two
planes.",00:01:28.508,00:01:34.660
"And, we know what equations of
planes look like.",00:01:34.660,00:01:37.989
"So, we could describe a line by
two equations telling us about",00:01:37.989,00:01:42.724
"the two planes that intersect on
the line.",00:01:42.724,00:01:46.140
"But that's not the most
convenient way to think about",00:01:46.140,00:01:48.976
"the line usually,
though, because when you have",00:01:48.976,00:01:51.485
"these two questions,
have you solve them?",00:01:51.485,00:01:53.940
"Well, OK, you can,
but it takes a bit of effort.",00:01:53.940,00:01:57.590
"So, instead,
there is another representation",00:01:57.590,00:02:03.789
"of a line.
So, if you have a line in",00:02:03.789,00:02:07.500
"space, well, you can imagine may
be that you have a point on it.",00:02:07.500,00:02:12.650
"And, that point is moving in
time.",00:02:12.650,00:02:14.810
"And, the line is the trajectory
of a point as time varies.",00:02:14.810,00:02:19.889
"So, think of a line as the
trajectory of a moving point.",00:02:19.889,00:02:33.910
"And, so when we think of the
trajectory of the moving point,",00:02:33.910,00:02:44.797
"that's called a parametric
equation.",00:02:44.797,00:02:51.810
"OK, so we are going to learn
about parametric equations of",00:02:51.810,00:03:01.087
"lines.
So, let's say for example that",00:03:01.087,00:03:07.138
"we are looking at the line.
So, to specify a line in space,",00:03:07.138,00:03:13.964
"I can do that by giving you two
points on the line or by giving",00:03:13.964,00:03:18.754
"you a point and a vector
parallel to the line.",00:03:18.754,00:03:22.539
"For example,
so let's say I give you two",00:03:22.539,00:03:28.227
"points on the line:
(-1,2,2), and the other point",00:03:28.227,00:03:35.227
"will be (1,3,-1).
So, OK, it's pretty good",00:03:35.227,00:03:40.368
"because we have two points in
that line.",00:03:40.368,00:03:43.919
"Now, how do we find all the
other points?",00:03:43.919,00:03:46.620
"Well, the other points in
between these guys and also on",00:03:46.620,00:03:50.270
"either side.
Let's imagine that we have a",00:03:50.270,00:03:54.434
"point that's moving on the line,
and at time zero,",00:03:54.434,00:04:00.095
"it's here at Q0.
And, in a unit time,",00:04:00.095,00:04:03.321
"I'm not telling you what the
unit is.",00:04:03.321,00:04:05.280
"It could be a second.
It could be an hour.",00:04:05.280,00:04:08.116
"It could be a year.
At t=1, it's going to be at Q1.",00:04:08.116,00:04:12.650
"And, it moves at a constant
speed.",00:04:12.650,00:04:14.539
"So, maybe at time one half,
it's going to be here.",00:04:14.539,00:04:17.329
"Times two, it would be over
there.",00:04:17.329,00:04:19.329
"And, in fact,
that point didn't start here.",00:04:19.329,00:04:21.480
"Maybe it's always been moving
on that line.",00:04:21.480,00:04:24.120
"At time minus two,
it was down there.",00:04:24.120,00:04:29.060
"So, let's say Q(t) is a moving
point, and at t=0 it's at Q0.",00:04:29.060,00:04:51.550
"And, let's say that it moves.
Well, we couldn't make it move",00:04:51.550,00:04:55.483
"in any way we want.
But, probably the easiest to",00:04:55.483,00:04:58.183
"find, so our role is going to
find formulas for a position of",00:04:58.183,00:05:02.135
"this moving point in terms of t.
And, we'll use that to say,",00:05:02.135,00:05:06.036
"well,
any point on the line is of",00:05:06.036,00:05:08.422
"this form where you have to plug
in the current value of t",00:05:08.422,00:05:12.587
"depending on when it's hit by
the moving point.",00:05:12.587,00:05:16.240
"So, perhaps it's easiest to do
it if we make it move at a",00:05:16.240,00:05:24.115
"constant speed on the line,
and that speed is chosen so",00:05:24.115,00:05:31.709
"that at time one,
it's at Q1.",00:05:31.709,00:05:36.350
"So, the question we want to
answer is, what is the position",00:05:45.319,00:05:56.894
"at time t, so,
the point Q(t)?",00:05:56.894,00:06:03.279
"Well, to answer that we have an
easy observation,",00:06:03.279,00:06:08.871
"which is that the vector from
Q0 to Q of t is proportional to",00:06:08.871,00:06:15.861
"the vector from Q0 to Q1.
And, what's the proportionality",00:06:15.861,00:06:23.953
"factor here?
Yeah, it's exactly t.",00:06:23.953,00:06:27.970
"At time one,
Q0 Q is exactly the same.",00:06:27.970,00:06:34.310
"Maybe I should draw another
picture again.",00:06:34.310,00:06:36.650
"I have Q0.
I have Q1, and after time t,",00:06:36.650,00:06:43.863
"I'm here at Q of t where this
vector from Q0 Q(t) is actually",00:06:43.863,00:06:56.299
"going to be t times the vector
Q0 Q1.",00:06:56.299,00:07:04.589
"So, when t increases,
it gets longer and longer.",00:07:04.589,00:07:09.930
"So, does everybody see this now?
Is that OK?",00:07:09.930,00:07:15.769
"Any questions about that?
Yes?",00:07:15.769,00:07:24.149
"OK, so I will try to avoid
using blue.",00:07:24.149,00:07:26.200
"Thanks for, that's fine.
So, OK, I will not use blue",00:07:26.200,00:07:37.295
"anymore.
OK, well, first let me just",00:07:37.295,00:07:42.655
"make everything white just for
now.",00:07:42.655,00:07:46.250
"This is the vector from Q0 to
Q(t).",00:07:46.250,00:07:49.490
"This is the point Q(t).
OK, is it kind of visible now?",00:07:49.490,00:07:56.430
"OK, thanks for pointing it out.
I will switch to brighter",00:07:56.430,00:08:03.261
"colors.
So, OK, so apart from that, ",00:08:03.261,00:08:09.389
"I claim now we can find the
position of its moving point",00:08:09.389,00:08:13.389
"because,
well, this vector,",00:08:13.389,00:08:15.663
"Q0Q1 we can find from the
coordinates of Q0 and Q1.",00:08:15.663,00:08:19.920
"So, we just subtract the
coordinates of Q0 from those of",00:08:19.920,00:08:26.535
"Q1 will get that vector Q0 Q1 is
&amp;lt;2,1, -3&amp;gt;",00:08:26.535,00:08:32.187
"OK,
so, if I look at it,",00:08:32.187,00:08:36.132
"well, so let's call x(t),
y(t), and z(t) the coordinates",00:08:36.132,00:08:44.335
"of the point that's moving on
the line.",00:08:44.335,00:08:50.600
"Then we get x of t minus,
well, actually plus one equals",00:08:50.600,00:09:00.308
"t times two.
I'm writing the components of",00:09:00.308,00:09:07.388
"Q0Q(t).
And here, I'm writing t times",00:09:07.388,00:09:13.217
"Q0Q1.
y(t) minus two equals t,",00:09:13.217,00:09:19.597
"and z(t) minus two equals -3t.
So, in other terms,",00:09:19.597,00:09:28.573
"the more familiar way that we
used to write these equations,",00:09:28.573,00:09:34.950
"let me do it that way instead, 
minus one plus 2t,",00:09:34.950,00:09:42.686
"y(t) = 2 t, z(t) = 2 - 3t.
And, if you prefer,",00:09:42.686,00:09:53.732
"I can just say Q(t) is Q0 plus
t times vector Q0Q1.",00:09:53.732,00:10:02.470
"OK, so that's our first
parametric equation of a line in",00:10:02.470,00:10:07.428
"this class.
And, I hope you see it's not",00:10:07.428,00:10:10.152
"extremely hard.
In fact, parametric equations",00:10:10.152,00:10:13.103
"of lines always look like that.
x, y, and z are functions of t",00:10:13.103,00:10:17.766
"but are of the form a constant
plus a constant times t.",00:10:17.766,00:10:22.220
"The coefficients of t tell us
about a vector along the line.",00:10:22.220,00:10:26.809
"Here, we have a vector,
Q0Q1, which is &amp;lt;2,1,-3&amp;gt;.",00:10:26.809,00:10:33.590
"And, the constant terms tell us
about where we are at t=0.",00:10:33.590,00:10:37.230
"If I plug t=0 these guys go
away, I get minus 1,2,",00:10:37.230,00:10:41.011
"2.
That's my starting point.",00:10:41.011,00:10:46.610
"OK, so, any questions about
that?",00:10:46.610,00:10:59.730
"No?
OK, so let's see,",00:10:59.730,00:11:05.125
"now, what we can do with these
parametric equations.",00:11:05.125,00:11:12.000
"So, one application is to think
about the relative position of a",00:11:12.000,00:11:26.409
"line and a plane with respect to
each other.",00:11:26.409,00:11:36.929
"So, let's say that we take
still the same line up there,",00:11:36.929,00:11:44.734
"and let's consider the plane
with the equation x 2y 4z = 7.",00:11:44.734,00:11:53.389
"OK, so I'm giving you this
plane.",00:11:53.389,00:11:55.279
"And, the questions that we are
going to ask ourselves are,",00:11:55.279,00:11:58.394
"well, does the line intersect
the plane?",00:11:58.394,00:12:00.690
"And, where does it intersect
the plane?",00:12:00.690,00:12:02.480
"So, let's start with the first
primary question that maybe we",00:12:22.340,00:12:28.202
"should try to understand.
We have these points.",00:12:28.202,00:12:32.779
"We have this plane,
and we have these points,",00:12:32.779,00:12:35.883
"Q0 and Q1.
I'm going to draw them in",00:12:35.883,00:12:38.367
"completely random places.
Well, are Q0 and Q1 on the same",00:12:38.367,00:12:42.396
"side of a plane or on different
sides, on opposite sides of the",00:12:42.396,00:12:47.049
"planes?
Could it be that maybe one of",00:12:47.049,00:12:50.028
"the points is in the plane?
So, I think I'm going to let",00:12:50.028,00:12:59.015
"you vote on that.
So, is that readable?",00:12:59.015,00:13:05.366
"Is it too small?
OK, so anyway,",00:13:05.366,00:13:08.274
"the question says,
relative to the plane,",00:13:08.274,00:13:12.060
"x 2y 4z = 7.
This point, Q0 and Q1,",00:13:12.060,00:13:16.497
"are they on the same side,
on opposite sides,",00:13:16.497,00:13:22.533
"is one of them on the plane,
or we can't decide?",00:13:22.533,00:13:29.530
"OK, that should be better.
So, I see relatively few",00:13:29.530,00:13:41.681
"answers.
OK, it looks like also a lot of",00:13:41.681,00:13:46.619
"you have forgotten the cards
and, so I see people raising two",00:13:46.619,00:13:51.515
"fingers, I see people raising
three fingers.",00:13:51.515,00:13:55.350
"And, I see people raising four
fingers.",00:13:55.350,00:13:57.539
"I don't see anyone answering
number one.",00:13:57.539,00:14:01.730
"So, the general idea seems to
be that either they are on",00:14:01.730,00:14:03.899
"opposite sides.
Maybe one of them is on the",00:14:03.899,00:14:07.071
"plane.
Well, let's try to see.",00:14:07.071,00:14:10.010
"Is one of them on the plane?
Well, let's check.",00:14:10.010,00:14:14.649
"OK, so let's look at the point,
sorry.",00:14:14.649,00:14:20.108
"I have one blackboard to use
here.",00:14:20.108,00:14:25.419
"So, I take the point Q0,
which is at (-1,2,2).",00:14:25.419,00:14:31.409
"Well, if I plug that into the
plane equation,",00:14:31.409,00:14:37.141
"so, x 2y 4z will equal minus
one plus two times two plus four",00:14:37.141,00:14:44.956
"times two.
That's, well,",00:14:44.956,00:14:48.551
"four plus eight,
12 minus one,",00:14:48.551,00:14:52.502
"11.
That, I think,",00:14:52.502,00:14:54.307
"is bigger than seven.
OK, so Q0 is not in the plane.",00:14:54.307,00:15:01.750
"Let's try again with Q1.
(1,3, - 1) well,",00:15:01.750,00:15:07.711
"if we plug that into x 2y 4z,
we'll have one plus two times",00:15:07.711,00:15:15.037
"three makes seven.
But, we add four times negative",00:15:15.037,00:15:20.781
"one.
We add up with three less than",00:15:20.781,00:15:23.461
"seven.
Well, that one is not in the",00:15:23.461,00:15:25.272
"plane, either.
So, I don't think,",00:15:25.272,00:15:27.793
"actually, that the answer
should be number three.",00:15:27.793,00:15:32.860
"So, let's get rid of answer
number three.",00:15:32.860,00:15:37.399
"OK, let's see,
in light of this,",00:15:37.399,00:15:42.657
"are you willing to reconsider
your answer?",00:15:42.657,00:15:50.120
"OK, so I think now everyone
seems to be interested in",00:15:50.120,00:15:53.649
"answering number two.
And, I would agree with that",00:15:53.649,00:15:57.652
"answer.
So, let's think about it.",00:15:57.652,00:16:00.399
"These points are not in the
plane, but they are not in the",00:16:00.399,00:16:02.728
"plane in different ways.
One of them somehow overshoots;",00:16:02.728,00:16:05.480
"we get 11.
The other one we only get 3.",00:16:05.480,00:16:08.093
"That's less than seven.
If you think about how a plan",00:16:08.093,00:16:12.045
"splits space into two half
spaces on either side,",00:16:12.045,00:16:15.960
"well, one of them is going to
be the point where x 2y 4z is",00:16:15.960,00:16:22.240
"less than seven.
And, the other one will be,",00:16:22.240,00:16:27.259
"so, that's somehow this side.
And, that's where Q1 is.",00:16:27.259,00:16:32.919
"And, the other side is where x
2y 4z is actually bigger than",00:16:32.919,00:16:43.733
"seven.
And, to go from one to the",00:16:43.733,00:16:47.735
"other, well, x 2y 4z needs to go
through the value seven.",00:16:47.735,00:16:53.389
"If you're moving along any path
from Q0 to Q1,",00:16:53.389,00:16:57.491
"this thing will change
continuously from 11 to 3.",00:16:57.491,00:17:02.139
"At some time,
it has to go through 7.",00:17:02.139,00:17:05.180
"Does that make sense?
So, to go from Q0 to Q1 we need",00:17:05.180,00:17:09.505
"to cross P at some place.
So, they're on opposite sides.",00:17:09.505,00:17:12.890
"OK, now that doesn't quite
finish answering the question",00:17:31.890,00:17:37.826
"that we had, which was,
where does the line intersect",00:17:37.826,00:17:43.438
"the plane?
But, why can't we do the same",00:17:43.438,00:17:46.464
"thing?
Now, we know not only the",00:17:46.464,00:17:48.568
"points Q0 and Q1,
we know actually any point on",00:17:48.568,00:17:51.706
"the line because we have a
parametric equation up there",00:17:51.706,00:17:55.090
"telling us,
where is the point that's",00:17:55.090,00:17:57.930
"moving on the line at time t?
So, what about the moving",00:17:57.930,00:18:04.808
"point, Q(t)?
Well, let's plug its",00:18:04.808,00:18:08.442
"coordinates into the plane
equation.",00:18:08.442,00:18:10.740
"So, we'll take x(t) 2y(t) 4z(t).
OK, that's equal to,",00:18:10.740,00:18:24.191
"well, (-1 2t) 2( 2 t) 4( 2 -
3t).",00:18:24.191,00:18:34.240
"So, if you simplify this a bit,
you get 2t 2t -12t.",00:18:34.240,00:18:41.140
"That should be -8t.
And, the constant term is minus",00:18:41.140,00:18:46.756
"one plus four plus eight is 11.
OK, and we have to compare that",00:18:46.756,00:18:54.123
"with seven.
OK, the question is,",00:18:54.123,00:18:57.414
"is this ever equal to seven?
Well, so, Q(t) is in the plane",00:18:57.414,00:19:07.478
"exactly when -8t 11 equals
seven.",00:19:07.478,00:19:16.180
"And, that' the same.
If you manipulate this,",00:19:16.180,00:19:20.880
"you will get t equals one half.
In fact, that's not very",00:19:20.880,00:19:27.453
"surprising.
If you look at these values,",00:19:27.453,00:19:30.030
"11 and three,
you see that seven is actually",00:19:30.030,00:19:32.842
"right in between.
It's the average of these two",00:19:32.842,00:19:35.973
"numbers.
So, it would make sense that",00:19:35.973,00:19:39.073
"it's halfway in between Q0 and
Q1, but we will get seven.",00:19:39.073,00:19:44.319
"OK, and that at that time,
Q at time one half,",00:19:44.319,00:19:50.332
"well, let's plug the values.
So, minus one plus 2t will be",00:19:50.332,00:19:59.957
"zero.
Two plus t will be two and a",00:19:59.957,00:20:04.765
"half of five halves,
and two minus three halves will",00:20:04.765,00:20:11.406
"be one half, OK?
So, this is where the line",00:20:11.406,00:20:15.450
intersects the plane.,00:20:15.450,00:20:16.780
"So, you see that's actually a
pretty easy way of finding where",00:20:43.970,00:20:47.066
"a line on the plane intersects
each other.",00:20:47.066,00:20:49.299
"If we can find a parametric
equation of a line and an",00:20:49.299,00:20:52.787
"equation of a plane,
but we basically just plug one",00:20:52.787,00:20:55.727
"into the other,
and see at what time the moving",00:20:55.727,00:20:59.674
"point hits the plane so that we
know where this.",00:20:59.674,00:21:04.660
"OK, other questions about this?
Yes?",00:21:04.660,00:21:23.410
"Sorry, can you say that?
Yes, so what if we don't get a",00:21:23.410,00:21:30.599
"solution?
What happens?",00:21:30.599,00:21:32.440
"So, indeed our line could have
been parallel to the plane or",00:21:32.440,00:21:36.377
"maybe even contained in the
plane.",00:21:36.377,00:21:38.779
"Well, if the line is parallel
to the plane then maybe what",00:21:38.779,00:21:42.408
"happens is that what we plug in
the positions of the moving",00:21:42.408,00:21:46.099
"point,
we actually get something that",00:21:46.099,00:21:48.164
"never equals seven because maybe
we get actually a constant.",00:21:48.164,00:21:50.940
"Say that we had gotten,
I don't know,",00:21:50.940,00:21:53.533
"13 all the time.
Well, when is 13 equal to seven?",00:21:53.533,00:21:56.720
"The answer is never.
OK, so that's what would tell",00:21:56.720,00:21:59.983
"you that the line is actually
parallel to the plane.",00:21:59.983,00:22:02.109
"You would not find a solution
to the equation that you get at",00:22:02.109,00:22:06.258
"the end.
Yes?",00:22:06.258,00:22:13.450
"So, if there's no solution at
all to the equation that you",00:22:13.450,00:22:16.295
"get, it means that at no time is
the traveling point going to be",00:22:16.295,00:22:19.441
"in the plane.
That means the line really does",00:22:19.441,00:22:22.055
"not have the plane ever.
So, it has to be parallel",00:22:22.055,00:22:25.136
"outside of it.
On the other hand,",00:22:25.136,00:22:27.186
"if a line is inside the plane,
then that means that no matter",00:22:27.186,00:22:30.709
"what time you choose,
you always get seven.",00:22:30.709,00:22:33.410
"OK, that's what would happen if
a line is in the plane.",00:22:33.410,00:22:37.225
"You always get seven.
So, maybe I should write this",00:22:37.225,00:22:44.094
"down.
So, if a line is in the plane",00:22:44.094,00:22:54.460
"then plugging x(t),
y(t), z(t) into the equation,",00:22:54.460,00:23:10.780
"we always get, 
well, here in this case seven",00:23:10.780,00:23:18.852
"or whatever the value should be
for the plane,",00:23:18.852,00:23:22.400
"If the line is parallel to the
plane -- -- in fact,",00:23:22.400,00:23:34.521
"we, well, get,
let's see, another constant.",00:23:34.521,00:23:45.430
"So, in fact,
you know, when you plug in",00:23:45.430,00:23:49.152
"these things,
normally you get a quantity",00:23:49.152,00:23:51.952
"that's of a form,
something times t plus a",00:23:51.952,00:23:54.262
"constant because that's what you
plug into the equation of a",00:23:54.262,00:23:57.809
"plane.
And so, in general,",00:23:57.809,00:23:59.261
"you have an equation of the
form, something times t plus",00:23:59.261,00:24:01.900
"something equals something.
And, that usually has a single",00:24:01.900,00:24:05.694
"solution.
And, the special case is if",00:24:05.694,00:24:08.249
"this coefficient of t turns out
to be zero in the end,",00:24:08.249,00:24:11.920
"and that's actually going to
happen,",00:24:11.920,00:24:14.119
"exactly when the line is either
parallel or in the plane.",00:24:14.119,00:24:20.450
"In fact, if you think this
through carefully,",00:24:20.450,00:24:24.039
"the coefficient of t that you
get here,",00:24:24.039,00:24:26.289
"see, it's one times two plus
two times one plus four times",00:24:26.289,00:24:30.536
"minus three.
It's the dot product between",00:24:30.536,00:24:33.578
"the normal vector of a plane and
the vector along the line.",00:24:33.578,00:24:37.859
"So, see, this coefficient
becomes zero exactly when the",00:24:37.859,00:24:41.558
"line is perpendicular to the
normal vector.",00:24:41.558,00:24:44.640
"That means it's parallel to the
plane.",00:24:44.640,00:24:46.440
"So, everything makes sense.
OK, if you're confused about",00:24:46.440,00:24:51.461
"what I just said,
you can ignore it.",00:24:51.461,00:24:55.070
"OK, more questions? No?
OK, so if not,",00:24:55.070,00:25:03.125
"let's move on to linear
parametric equations.",00:25:03.125,00:25:09.089
"So, I hope you've seen here
that parametric equations are a",00:25:09.089,00:25:13.921
"great way to think about lines.
There are also a great way to",00:25:13.921,00:25:18.646
"think about actually any curve,
any trajectory that can be",00:25:18.646,00:25:22.531
"traced by a moving point.
So -- -- more generally,",00:25:22.531,00:25:34.650
"we can use parametric equations
-- -- for arbitrary motions --",00:25:34.650,00:26:00.601
"-- in the plane or in space.
So, let's look at an example.",00:26:00.601,00:26:15.930
"Let's take, so,
it's a famous curve called a",00:26:15.930,00:26:20.221
"cycloid.
A cycloid is something that you",00:26:20.221,00:26:23.485
