text,start,stop
Okay.,00:00:09.860,00:00:10.620
"This is lecture five
in linear algebra.",00:00:10.620,00:00:14.290
"And, it will complete
this chapter of the book.",00:00:14.290,00:00:19.015
"So the last section
of this chapter",00:00:21.620,00:00:24.030
"is two point seven that talks
about permutations, which",00:00:24.030,00:00:30.060
"finished the previous
lecture, and transposes,",00:00:30.060,00:00:34.240
"which also came in
the previous lecture.",00:00:34.240,00:00:36.650
"There's a little more to do
with those guys, permutations",00:00:36.650,00:00:40.750
and transposes.,00:00:40.750,00:00:42.860
"But then the heart of the
lecture will be the beginning",00:00:42.860,00:00:48.180
"of what you could say is the
beginning of linear algebra,",00:00:48.180,00:00:51.910
"the beginning of real linear
algebra which is seeing",00:00:51.910,00:00:57.470
"a bigger picture with vector
spaces -- not just vectors,",00:00:57.470,00:01:01.590
"but spaces of vectors and
sub-spaces of those spaces.",00:01:01.590,00:01:06.650
"So we're a little ahead
of the syllabus, which",00:01:06.650,00:01:11.110
"is good, because we're
coming to the place",00:01:11.110,00:01:13.150
"where, there's a lot to",00:01:13.150,00:01:15.780
do.,00:01:15.780,00:01:16.620
Okay.,00:01:16.620,00:01:17.800
"So, to begin with permutations.",00:01:17.800,00:01:22.400
Can I just --,00:01:22.400,00:01:26.790
"so these permutations, those
are matrices P and they execute",00:01:26.790,00:01:36.850
row exchanges.,00:01:36.850,00:01:38.400
And we may need them.,00:01:42.160,00:01:44.910
"We may have a
perfectly good matrix,",00:01:44.910,00:01:47.120
"a perfect matrix A that's
invertible that we can solve A",00:01:47.120,00:01:52.310
"x=b, but to do it --",00:01:52.310,00:01:55.580
"I've got to allow myself
that extra freedom",00:01:55.580,00:02:00.050
"that if a zero shows up in the
pivot position I move it away.",00:02:00.050,00:02:05.070
I get a non-zero.,00:02:05.070,00:02:06.630
"I get a proper pivot there by
exchanging from a row below.",00:02:06.630,00:02:12.460
"And you've seen that
already, and I just",00:02:12.460,00:02:15.000
"want to collect
the ideas together.",00:02:15.000,00:02:18.200
"And principle, I
could even have to do",00:02:18.200,00:02:21.310
"that two times, or more times.",00:02:21.310,00:02:24.750
So I have to allow --,00:02:24.750,00:02:27.290
to complete the --,00:02:27.290,00:02:29.330
"the theory, the possibility
that I take my matrix A,",00:02:29.330,00:02:34.370
"I start elimination, I find
out that I need row exchanges",00:02:34.370,00:02:38.540
"and I do it and
continue and I finish.",00:02:38.540,00:02:41.620
Okay.,00:02:41.620,00:02:42.750
"Then all I want to do is say --
and I won't make a big project",00:02:42.750,00:02:49.150
out of this --,00:02:49.150,00:02:51.160
what happens to A equal L U?,00:02:51.160,00:02:54.300
So A equal L U --,00:02:54.300,00:02:59.570
"this was a matrix L with ones
on the diagonal and zeroes",00:02:59.570,00:03:05.130
"above and multipliers
below, and this U",00:03:05.130,00:03:09.450
"we know, with zeroes down here.",00:03:09.450,00:03:13.425
That's only possible.,00:03:16.940,00:03:19.080
"That description of
elimination assumes",00:03:19.080,00:03:21.770
"that we don't have a P, that we
don't have any row exchanges.",00:03:21.770,00:03:26.480
"And now I just want
to say, okay, how",00:03:26.480,00:03:29.570
do I account for row exchanges?,00:03:29.570,00:03:31.220
Because that doesn't.,00:03:31.220,00:03:33.990
"The P in this factorization
is the identity matrix.",00:03:33.990,00:03:40.030
"The rows were in a good
order, we left them there.",00:03:40.030,00:03:44.140
"Maybe I'll just add a
little moment of reality,",00:03:44.140,00:03:47.830
"too, about how Matlab
actually does elimination.",00:03:47.830,00:03:55.190
"Matlab not only checks whether
that pivot is not zero,",00:03:55.190,00:03:59.520
as every human would do.,00:03:59.520,00:04:02.770
"It checks for is that
pivot big enough,",00:04:02.770,00:04:05.480
"because it doesn't like
very, very small pivots.",00:04:05.480,00:04:09.380
"Pivots close to zero
are numerically bad.",00:04:09.380,00:04:13.550
"So actually if we ask
Matlab to solve a system,",00:04:13.550,00:04:16.660
"it will do some elimination
some row exchanges, which",00:04:16.660,00:04:21.420
we don't think are necessary.,00:04:21.420,00:04:23.180
"Algebra doesn't say they're
necessary, but accuracy --",00:04:23.180,00:04:27.930
"numerical accuracy
says they are.",00:04:27.930,00:04:31.680
"Well, we're doing
algebra, so here we",00:04:31.680,00:04:35.930
"will say, well, what
do row exchanges do,",00:04:35.930,00:04:39.380
"but we won't do them
unless we have to.",00:04:39.380,00:04:42.230
But we may have to.,00:04:42.230,00:04:45.340
"And then, the result is --",00:04:45.340,00:04:50.380
it's hiding here.,00:04:50.380,00:04:51.850
It's the main fact.,00:04:51.850,00:04:56.040
"This is the description of
elimination with row exchanges.",00:04:56.040,00:05:00.100
"So A equal L U
becomes P A equal L U.",00:05:00.100,00:05:12.280
"So this P is the matrix
that does the row exchanges,",00:05:12.280,00:05:15.210
and actually it does them --,00:05:15.210,00:05:18.080
"it gets the rows
into the right order,",00:05:18.080,00:05:20.780
"into the good order
where pivots will not --",00:05:20.780,00:05:23.810
"where zeroes won't appear
in the pivot position,",00:05:23.810,00:05:27.120
"where L and U will come
out right as up here.",00:05:27.120,00:05:32.700
"So, that's the point.",00:05:32.700,00:05:36.430
"Actually, I don't want
to labor that point,",00:05:36.430,00:05:39.650
that a permutation matrix --,00:05:39.650,00:05:43.110
"and you remember
what those were.",00:05:43.110,00:05:47.260
"I'll remind you from last time
of what the main points about",00:05:47.260,00:05:51.280
permutation matrices were --,00:05:51.280,00:05:57.820
"and then just leave
this factorization",00:05:57.820,00:06:00.340
as the general case.,00:06:00.340,00:06:03.820
"This is -- any
invertible A we get this.",00:06:03.820,00:06:17.220
"For almost every one,
we don't need a P.",00:06:17.220,00:06:20.090
"But there's that handful
that do need row exchanges,",00:06:20.090,00:06:24.220
"and if we do need
them, there they are.",00:06:24.220,00:06:26.480
"Okay, finally, just to
remember what P was.",00:06:26.480,00:06:30.410
"So permutations, P is
the identity matrix",00:06:30.410,00:06:46.440
with reordered rows.,00:06:46.440,00:06:51.480
"I include in reordering the
possibility that you just",00:06:56.710,00:06:59.707
leave them the same.,00:06:59.707,00:07:00.540
"So the identity
matrix is -- okay.",00:07:00.540,00:07:02.880
"That's, like, your basic
permutation matrix --",00:07:02.880,00:07:08.490
"your do-nothing permutation
matrix is the identity.",00:07:08.490,00:07:12.840
"And then there are the ones
that exchange two rows and then",00:07:12.840,00:07:15.730
"the ones that exchange three
rows and then then ones that",00:07:15.730,00:07:18.940
exchange four --,00:07:18.940,00:07:21.040
"well, it gets a little --",00:07:21.040,00:07:24.640
"it gets more interesting
algebraically",00:07:24.640,00:07:27.310
"if you've got four rows,
you might exchange them",00:07:27.310,00:07:30.630
all in one big cycle.,00:07:30.630,00:07:32.190
"One to two, two to three,
three to four, four to one.",00:07:32.190,00:07:35.550
"Or you might have -- exchange
one and two and three and four.",00:07:35.550,00:07:41.070
Lots of possibilities there.,00:07:41.070,00:07:42.467
"In fact, how many possibilities?",00:07:42.467,00:07:43.800
The answer was (n)factorial.,00:07:46.570,00:07:49.310
This is n(n-1)(n-2)...,00:07:49.310,00:07:50.984
(3)(2)(1).,00:07:56.920,00:07:58.230
"That's the number of --
this counts the reorderings,",00:07:58.230,00:08:05.100
the possible reorderings.,00:08:05.100,00:08:07.990
"So it counts all the
n by n permutations.",00:08:07.990,00:08:15.730
"And all those
matrices have these --",00:08:23.170,00:08:26.200
"have this nice property
that they're all invertible,",00:08:26.200,00:08:32.380
"because we can bring those rows
back into the normal order.",00:08:32.380,00:08:39.140
"And the matrix that
does that is just P --",00:08:39.140,00:08:42.679
"is just the same
as the transpose.",00:08:42.679,00:08:46.590
"You might take a
permutation matrix,",00:08:46.590,00:08:49.180
"multiply by its transpose
and you will see how --",00:08:49.180,00:08:51.820
"that the ones hit the ones and
give the ones in the identity",00:08:51.820,00:08:57.220
matrix.,00:08:57.220,00:08:58.010
So this is a --,00:08:58.010,00:08:59.980
"we'll be highly
interested in matrices",00:08:59.980,00:09:02.590
that have nice properties.,00:09:02.590,00:09:04.980
"And one property that -- maybe
I could rewrite that as P",00:09:04.980,00:09:09.580
transpose P is the identity.,00:09:09.580,00:09:13.880
"That tells me in
other words that this",00:09:13.880,00:09:16.950
is the inverse of that.,00:09:16.950,00:09:19.300
Okay.,00:09:19.300,00:09:20.210
"We'll be interested in
matrices that have P transpose",00:09:20.210,00:09:25.940
P equal the identity.,00:09:25.940,00:09:27.940
"There are more of them
than just permutations,",00:09:27.940,00:09:30.470
"but my point right now is that
permutations are like a little",00:09:30.470,00:09:35.000
group in the middle --,00:09:35.000,00:09:36.870
"in the center of these
special matrices.",00:09:36.870,00:09:42.180
Okay.,00:09:42.180,00:09:43.270
"So now we know how
many there are.",00:09:43.270,00:09:47.590
"Twenty four in the case of
-- there are twenty four four",00:09:47.590,00:09:50.750
"by four permutations, there
are five factorial which is",00:09:50.750,00:09:55.960
