text,start,stop
"ANNOUNCER: Open content is
provided under a creative",00:00:00.000,00:00:02.400
commons license.,00:00:02.400,00:00:03.820
"Your support will help MIT
OpenCourseWare continue to",00:00:03.820,00:00:06.840
"offer high-quality educational
resources for free.",00:00:06.840,00:00:10.530
"To make a donation, or view
additional materials from",00:00:10.530,00:00:13.390
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.390,00:00:17.190
ocw.mit.edu .,00:00:17.190,00:00:17.600
"PROFESSOR JOHN GUTTAG:
Good morning.",00:00:17.600,00:00:24.030
"We should start with the
confession, for those of you",00:00:24.030,00:00:26.860
"looking at this on
OpenCourseWare, that I'm",00:00:26.860,00:00:29.990
"currently lecturing to
an empty auditorium.",00:00:29.990,00:00:34.760
"The fifth lecture for 600 this
term, we ran into some",00:00:34.760,00:00:38.750
"technical difficulties, which
left us with a recording we",00:00:38.750,00:00:43.810
weren't very satisfied with.,00:00:43.810,00:00:45.950
"So, I'm-- this is a redo, and if
you will hear no questions",00:00:45.950,00:00:51.220
"from the audience and that's
because there is no audience.",00:00:51.220,00:00:54.450
"Nevertheless I will do
my best to pretend.",00:00:54.450,00:00:57.860
"I've been told this is a little
bit like giving a",00:00:57.860,00:01:00.840
"speech before the US Congress
when C-SPAN is",00:01:00.840,00:01:04.570
the only thing watching.,00:01:04.570,00:01:07.280
OK.,00:01:07.280,00:01:09.840
"Computers are supposed to be
good for crunching numbers.",00:01:09.840,00:01:14.400
"And we've looked a little bit
at numbers this term, but I",00:01:14.400,00:01:18.600
"now want to get into looking
at them in more depth than",00:01:18.600,00:01:21.660
we've been doing.,00:01:21.660,00:01:23.050
"Python has two different
kinds of numbers.",00:01:23.050,00:01:32.090
"So far, the only kind we've
really paid any attention to",00:01:32.090,00:01:36.300
is type int.,00:01:36.300,00:01:40.450
"And those were intended to
mirror the integers, as we all",00:01:40.450,00:01:45.430
"learned about starting
in elementary school.",00:01:45.430,00:01:48.930
"And they're good for things
that you can count.",00:01:48.930,00:01:52.500
"Any place you'd use
whole numbers.",00:01:52.500,00:01:55.620
"Interestingly, Python, unlike
some languages, has what are",00:01:55.620,00:02:00.540
"called arbitrary precision
integers.",00:02:00.540,00:02:09.520
"By that, we mean, you can
make numbers as big as",00:02:09.520,00:02:12.730
you want them to.,00:02:12.730,00:02:14.380
Let's look at an example.,00:02:14.380,00:02:17.620
"We'll just take a for a variable
name, and we'll set a",00:02:17.620,00:02:21.260
"to be two raised to the
one-thousandth power.",00:02:21.260,00:02:27.050
"That, by the way, is a
really big number.",00:02:27.050,00:02:31.400
"And now what happens if
we try and display it?",00:02:31.400,00:02:34.820
We get a lot of digits.,00:02:34.820,00:02:37.340
"You can see why I'm doing this
on the screen instead of",00:02:37.340,00:02:39.770
writing it on the blackboard.,00:02:39.770,00:02:43.700
"I'm not going to ask you whether
you believe this is",00:02:43.700,00:02:45.640
"the right answer, trust
me, trust Python.",00:02:45.640,00:02:48.900
"I would like you to notice, at
the very end of this is the",00:02:48.900,00:02:52.080
letter L.,00:02:52.080,00:02:55.840
What does that mean?,00:02:55.840,00:02:58.280
It means long.,00:02:58.280,00:03:05.480
"That's telling us that it's
representing these-- this",00:03:05.480,00:03:10.030
"particular integer in
what it calls it's",00:03:10.030,00:03:13.900
internal long format.,00:03:13.900,00:03:18.290
You needn't worry about that.,00:03:18.290,00:03:20.440
"The only thing to say about it
is, when you're dealing with",00:03:20.440,00:03:22.760
"long integers, it's a lot less
efficient than when you're",00:03:22.760,00:03:26.190
dealing with smaller numbers.,00:03:26.190,00:03:28.870
"And that's all it's kind of
warning you, by printing this",00:03:28.870,00:03:31.370
L.,00:03:31.370,00:03:35.640
"About two billion is
the magic number.",00:03:35.640,00:03:38.260
"When you get over two billion,
it's now going to deal with",00:03:38.260,00:03:41.120
"long integers, so if, for
example, you're trying to deal",00:03:41.120,00:03:44.480
"with the US budget deficit, you
will need integers of type",00:03:44.480,00:03:48.030
L.,00:03:48.030,00:03:50.390
OK.,00:03:50.390,00:03:52.200
"Let's look at another
interesting example.",00:03:52.200,00:03:54.680
"Suppose I said, b equal to two
raised to the nine hundred",00:03:54.680,00:04:00.340
ninety-ninth power.,00:04:00.340,00:04:04.010
"I can display b, and it's a
different number, considerably",00:04:04.010,00:04:10.600
"smaller, but again,
ending in an L.",00:04:10.600,00:04:14.420
"And now, what you think I'll get
if we try a divided by b?",00:04:14.420,00:04:21.590
"And remember, we're now doing
integer division.",00:04:21.590,00:04:25.470
"Well, let's see.",00:04:25.470,00:04:27.800
We get 2L.,00:04:27.800,00:04:31.070
"Well, you'd expect it to be
two, because if you think",00:04:31.070,00:04:34.080
"about the meaning of
exponentiation, indeed, the",00:04:34.080,00:04:37.580
"difference between raising
something to the nine hundred",00:04:37.580,00:04:40.940
"ninety-ninth power and to the
one-thousandth power should",00:04:40.940,00:04:43.930
"be, in this case, two, since
that's what we're",00:04:43.930,00:04:46.990
raising to a power.,00:04:46.990,00:04:49.230
"Why does it say 2L, right?",00:04:49.230,00:04:52.370
