text,start,stop
"The following content is
provided under a Creative",00:00:00.500,00:00:02.660
Commons license.,00:00:02.660,00:00:04.180
"Your support will help
MIT OpenCourseWare",00:00:04.180,00:00:06.520
"continue to offer high quality
educational resources for free.",00:00:06.520,00:00:10.880
"To make a donation or
view additional materials",00:00:10.880,00:00:13.500
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.500,00:00:17.396
at ocw.mit.edu.,00:00:17.396,00:00:18.021
PROFESSOR: So let's get ready.,00:00:23.120,00:00:26.280
"If good, you should
receive some handouts.",00:00:26.280,00:00:29.000
"So the TAs are walking around,
so you should slowly get those.",00:00:29.000,00:00:36.767
"This is the second
lecture on number theory,",00:00:36.767,00:00:38.600
"and we're going to cover
for a lot of stuff.",00:00:38.600,00:00:40.990
"And actually, we're
going to start",00:00:40.990,00:00:42.510
"with encryption, which is an
application of number theory.",00:00:42.510,00:00:48.540
"And we'll take that as a theme
throughout the whole lecture.",00:00:48.540,00:00:51.914
"And so, in this way, you can
see how useful number theory is.",00:00:51.914,00:00:54.455
"Now, encryption--
yeah, what is it?",00:00:58.410,00:01:02.040
"So let's first talk
about it a little bit.",00:01:02.040,00:01:04.680
"Maybe some of you
have heard about it.",00:01:04.680,00:01:06.820
"Cryptology in general is the
art of hiding information.",00:01:06.820,00:01:11.100
"And encryption is
a very useful tool.",00:01:11.100,00:01:13.660
"I'll only give a very
high level overview.",00:01:13.660,00:01:15.420
"I mean, if you really want
to know more about this,",00:01:15.420,00:01:17.544
"you should do a class in
crypto, or practical security.",00:01:17.544,00:01:22.401
So what's encryption?,00:01:22.401,00:01:23.275
"The idea is usually
that, beforehand, we're",00:01:29.520,00:01:32.970
"going to share a
whole bunch of keys.",00:01:32.970,00:01:39.490
"So keys are exchanged between
a receiver and a sender.",00:01:39.490,00:01:47.370
"And the whole idea is that
if I want to transmit, like,",00:01:47.370,00:01:51.140
"a message to one
of you, well, there",00:01:51.140,00:01:54.380
"could be someone
in the middle who",00:01:54.380,00:01:56.820
"wants to intercept
my message, and wants",00:01:56.820,00:01:59.560
to find out what I'm saying.,00:01:59.560,00:02:01.060
So I do not like this.,00:02:01.060,00:02:02.690
"And in order to avoid it,
I will use encryption,",00:02:02.690,00:02:07.560
"which is some kind of algorithm
that actually transforms",00:02:07.560,00:02:13.600
"my message m-- my plain
message-- by using",00:02:13.600,00:02:17.790
