text,start,stop
"The following content is
provided under a Creative",00:00:00.040,00:00:02.320
Commons License.,00:00:02.320,00:00:03.600
"Your support will help
MIT OpenCourseWare",00:00:03.600,00:00:05.950
"continue to offer high quality
educational resources for free.",00:00:05.950,00:00:09.940
"To make a donation, or to
view additional materials",00:00:09.940,00:00:12.520
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:12.520,00:00:16.120
at ocw.mit.edu.,00:00:16.120,00:00:21.900
"PROFESSOR: All right, so
let's begin lecture six.",00:00:21.900,00:00:27.060
"We're talking today about
exponentials and logarithms.",00:00:27.060,00:00:44.630
"And these are the last functions
that I need to introduce,",00:00:44.630,00:00:49.390
"the last standard
functions that we",00:00:49.390,00:00:50.950
"need to connect with calculus,
that you've learned about.",00:00:50.950,00:00:55.110
"And they're certainly as
fundamental, if not more so,",00:00:55.110,00:00:58.230
than trigonometric functions.,00:00:58.230,00:01:00.830
"So first of all, we'll
start out with a number,",00:01:00.830,00:01:04.960
"a, which is positive, which
is usually called a base.",00:01:04.960,00:01:09.030
"And then we have
these properties that",00:01:09.030,00:01:12.790
a to the power 0 is always 1.,00:01:12.790,00:01:14.870
That's how we get started.,00:01:14.870,00:01:17.180
And a^1 is a.,00:01:17.180,00:01:21.270
"And of course a^2,
not surprisingly,",00:01:21.270,00:01:24.030
"is a times a, etc.",00:01:24.030,00:01:26.200
"And the general rule is that
a^(x_1 + x_2) is a^(x_1) times",00:01:26.200,00:01:35.400
a^(x_2).,00:01:35.400,00:01:36.970
"So this is the basic rule of
exponents, and with these two",00:01:36.970,00:01:41.440
"initial properties, that defines
the exponential function.",00:01:41.440,00:01:49.070
"And then there's an
additional property,",00:01:49.070,00:01:52.220
"which is deduced
from these, which",00:01:52.220,00:01:54.360
"is the composition of
exponential functions, which",00:01:54.360,00:01:59.020
"is that you take a to the
x_1 power, to the x_2 power.",00:01:59.020,00:02:03.330
"Then that turns out to be
a to the x_1 times x_2.",00:02:03.330,00:02:08.390
"So that's an additional property
that we'll take for granted,",00:02:08.390,00:02:11.540
"which you learned
in high school.",00:02:11.540,00:02:14.140
"Now, in order to understand
what all the values of a^x are,",00:02:14.140,00:02:22.650
"we need to first remember that
if you're taking a rational",00:02:22.650,00:02:28.620
"power that it's the ratio
of two integers power of a.",00:02:28.620,00:02:34.350
"That's going to be a^m, and
then we're going to have to take",00:02:34.350,00:02:37.190
the nth root of that.,00:02:37.190,00:02:39.440
So that's the definition.,00:02:39.440,00:02:40.840
"And then, when
you're defining a^x,",00:02:40.840,00:02:45.050
"so a^x is defined for
all x by filling in.",00:02:45.050,00:03:00.370
"So I'm gonna use that
expression in quotation marks,",00:03:00.370,00:03:03.480
"""filling in"" by continuity.",00:03:03.480,00:03:09.930
"This is really what
your calculator",00:03:09.930,00:03:11.540
"does when it gives
you a to the power x,",00:03:11.540,00:03:13.960
"because you can't even punch
in the square root of x.",00:03:13.960,00:03:17.540
"It doesn't really exist
on your calculator.",00:03:17.540,00:03:19.590
There's some decimal expansion.,00:03:19.590,00:03:21.230
"So it takes the decimal
expansion to a certain length",00:03:21.230,00:03:24.400
"and spits out a
number which is pretty",00:03:24.400,00:03:26.080
close to the correct answer.,00:03:26.080,00:03:28.120
"But indeed, in theory,
there is an a to the power",00:03:28.120,00:03:31.550
"square root of 2, even
though the square root of 2",00:03:31.550,00:03:33.710
is irrational.,00:03:33.710,00:03:34.740
"And there's a to
the pi and so forth.",00:03:34.740,00:03:37.540
"All right, so that's the
exponential function,",00:03:37.540,00:03:41.000
and let's draw a picture of one.,00:03:41.000,00:03:46.830
"So we'll try, say y = 2^x here.",00:03:46.830,00:03:52.230
