text,start,stop
Okay.,00:00:09.070,00:00:09.660
"This is lecture six
in linear algebra,",00:00:09.660,00:00:13.950
"and we're at the start of this
new chapter, chapter three",00:00:13.950,00:00:19.790
"in the text, which
is really getting",00:00:19.790,00:00:22.500
to the center of linear algebra.,00:00:22.500,00:00:24.930
"And I had time to make
a first start on it",00:00:24.930,00:00:31.460
at the end of lecture five.,00:00:31.460,00:00:33.690
"But now is lecture
six is officially",00:00:33.690,00:00:38.430
"the lecture on vector
spaces and subspaces.",00:00:38.430,00:00:42.610
"And then especially --
there are two subspaces that",00:00:42.610,00:00:47.070
we're specially interested in.,00:00:47.070,00:00:49.840
"One is the column
space of a matrix,",00:00:49.840,00:00:52.680
"the other is the null
space of the matrix.",00:00:52.680,00:00:55.630
"So, I got to tell
you what those are.",00:00:55.630,00:00:59.050
Okay.,00:00:59.050,00:01:00.140
"So, first to remember
from lecture five,",00:01:00.140,00:01:05.140
what is a vector space?,00:01:05.140,00:01:08.350
"It's a bunch of vectors
that -- where I'm allowed --",00:01:08.350,00:01:14.410
where I can add --,00:01:14.410,00:01:15.970
"I can add any two
vectors in the space",00:01:15.970,00:01:19.690
"and the answer
stays in the space.",00:01:19.690,00:01:23.300
"Or I can multiply any vector
in the space by any constant",00:01:23.300,00:01:27.610
"and the result
stays in the space.",00:01:27.610,00:01:30.870
"So that's -- in fact if I
combine those two into one,",00:01:30.870,00:01:34.950
"you can see that -- if I can add
and I can multiply by numbers,",00:01:34.950,00:01:40.710
"that really means that I can
take linear combinations.",00:01:40.710,00:01:44.750
"So the quick way to say it is
that all linear combinations,",00:01:44.750,00:01:50.220
"C -- any multiple of V
plus any multiple of W stay",00:01:50.220,00:01:54.250
in the space.,00:01:54.250,00:01:56.220
"So, can I give you examples
that are vector spaces and also",00:01:56.220,00:02:01.070
"some examples that are not,
to make that point clear?",00:02:01.070,00:02:04.850
"So, suppose I'm in
three dimensions.",00:02:04.850,00:02:10.220
"Then one way to get us one space
is the whole three dimensional",00:02:10.220,00:02:16.950
space.,00:02:16.950,00:02:18.200
"So the whole space R^3,
three dimensional space,",00:02:18.200,00:02:22.770
"would be a vector space, because
if I have a couple of vectors I",00:02:22.770,00:02:27.100
"can add them and I'm certainly
okay and they follow all",00:02:27.100,00:02:30.040
the rules.,00:02:30.040,00:02:32.240
So R^3 is easy.,00:02:32.240,00:02:34.600
"Now I'm interested
also in subspaces.",00:02:34.600,00:02:39.320
"So there's this key
word, subspaces.",00:02:39.320,00:02:42.370
"That's a space -- that's some
vectors inside the given space,",00:02:42.370,00:02:48.530
"inside R three that still make
up a vector space of their own.",00:02:48.530,00:02:53.940
"It's a vector space
inside a vector space.",00:02:53.940,00:02:56.990
"And the simplest
example was a plane.",00:02:56.990,00:03:00.030
"So, like, can I just sketch
it -- there is a plane.",00:03:00.030,00:03:05.070
"It's got to go
through the origin,",00:03:05.070,00:03:07.280
"and of course it
goes infinitely far.",00:03:07.280,00:03:10.390
That's of that's a subspace now.,00:03:10.390,00:03:12.620
"Do you see that if I have
two vectors on the plane",00:03:12.620,00:03:18.190
"and I add them, the
result stays in the plane.",00:03:18.190,00:03:22.920
"If I take a vector in the plane
and I multiply by minus two,",00:03:22.920,00:03:26.770
I'm still in the plane.,00:03:26.770,00:03:28.520
So that plane is a subspace.,00:03:28.520,00:03:31.240
So let me just make that point.,00:03:31.240,00:03:33.120
"Plane through zero, through that
zero zero zero is a subspace.",00:03:33.120,00:03:44.120
Okay.,00:03:44.120,00:03:45.060
"And also, another
subspace would be a line.",00:03:45.060,00:03:51.710
"A line through zero
zero zero -- yeah,",00:03:51.710,00:03:54.230
"the line has to go
through the origin.",00:03:54.230,00:03:56.240
"All subspaces have got
to contain the origin,",00:03:56.240,00:03:59.390
contain zero -- the zero vector.,00:03:59.390,00:04:01.910
So this line is a subspace.,00:04:01.910,00:04:07.015
"Really, if I want to
say it really correctly,",00:04:09.900,00:04:13.910
I should say a subspace of R^3.,00:04:13.910,00:04:18.899
"That of R^3 was, like,
understood there.",00:04:18.899,00:04:23.710
"Now -- so let me call this plane
P. And let me call this line L.",00:04:23.710,00:04:30.730
"And let me ask you about
other sets of vectors.",00:04:30.730,00:04:40.540
Suppose I took --,00:04:40.540,00:04:43.210
"yeah -- so here's
a first question.",00:04:43.210,00:04:45.310
"Suppose I take two
subspaces, like P and L.",00:04:45.310,00:04:50.030
"And I just put them
together, take their union,",00:04:50.030,00:04:54.610
take all the vectors --,00:04:54.610,00:04:56.890
"so now you've got P
and L in mind, here.",00:04:56.890,00:05:00.880
So I have two subspaces.,00:05:00.880,00:05:03.870
"I have two subspaces
and, for example, P --",00:05:03.870,00:05:09.960
a plane and L a line.,00:05:09.960,00:05:12.070
Okay.,00:05:12.070,00:05:13.410
"Now I want to ask you
about the union of those.",00:05:13.410,00:05:17.970
So P union L.,00:05:17.970,00:05:20.190
"This is all vectors
in P or L or both.",00:05:20.190,00:05:29.990
Is that a subspace?,00:05:33.120,00:05:36.240
Is this a subspace?,00:05:36.240,00:05:38.040
This is or is not a subspace?,00:05:38.040,00:05:48.380
"Because we're -- I just want
to be sure that I've got",00:05:48.380,00:05:51.690
the central idea.,00:05:51.690,00:05:54.340
"Suppose I take the
vectors in the plane",00:05:54.340,00:05:57.200
"and also the vectors
on that line,",00:05:57.200,00:06:03.230
"put them together, so I've
got a bunch of vectors,",00:06:03.230,00:06:05.930
is it a subspace?,00:06:05.930,00:06:07.030
"Can you give me,
like, so the camera",00:06:07.030,00:06:09.210
can hear it or maybe the tape.,00:06:09.210,00:06:11.700
Can you say yes or no?,00:06:11.700,00:06:14.650
"Do I have a subspace if I put
-- if I take all the vectors",00:06:14.650,00:06:20.770
"on the plane plus all -- and all
the ones on the line and just",00:06:20.770,00:06:25.660
"join them together -- but I'm
not taking this guy that's --",00:06:25.660,00:06:30.520
"actually, I'm not
taking most of them,",00:06:30.520,00:06:32.240
"because most vectors are not
on the line or the plane,",00:06:32.240,00:06:35.680
