text,start,stop
"The following content is
provided under a Creative",00:00:00.040,00:00:02.320
Commons license.,00:00:02.320,00:00:03.590
"Your support will help
MIT OpenCourseWare",00:00:03.590,00:00:05.930
"continue to offer high quality
educational resources for free.",00:00:05.930,00:00:09.990
"To make a donation, or to
view additional material",00:00:09.990,00:00:12.500
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:12.500,00:00:16.120
at ocw.mit.edu.,00:00:16.120,00:00:21.700
"PROFESSOR: Right now,
we're finishing up",00:00:21.700,00:00:25.000
"with the first
unit, and I'd like",00:00:25.000,00:00:27.740
"to continue in this
lecture, lecture seven,",00:00:27.740,00:00:31.890
"with some final remarks
about exponents.",00:00:31.890,00:00:45.510
"So what I'd like to do
is just review something",00:00:45.510,00:00:49.560
"that I did quickly
last time, and make",00:00:49.560,00:00:51.910
"a few philosophical
remarks about it.",00:00:51.910,00:00:53.920
"I think that the steps involved
were maybe a little tricky,",00:00:53.920,00:00:57.660
"and so I'd like to go
through it one more time.",00:00:57.660,00:01:00.680
"Remember, that we were
talking about this number a_k,",00:01:00.680,00:01:03.900
which is (1 + 1/k)^k.,00:01:03.900,00:01:05.510
"And what we showed was
that the limit as k",00:01:08.270,00:01:11.400
goes to infinity of a_k was e.,00:01:11.400,00:01:16.920
"So the first thing
that I'd like to do",00:01:16.920,00:01:19.590
"is just explain the proof
a little bit more clearly",00:01:19.590,00:01:22.890
"than I did last time
with fewer symbols,",00:01:22.890,00:01:28.440
"or at least with this
abbreviation of the symbol",00:01:28.440,00:01:31.830
"here, to show you
what we actually did.",00:01:31.830,00:01:35.050
"So I'll just remind you
of what we did last time,",00:01:35.050,00:01:41.580
"and the first
observation was to check,",00:01:41.580,00:01:45.726
"rather than the limit
of this function,",00:01:45.726,00:01:47.350
but to take the log first.,00:01:47.350,00:01:49.550
"And this is
typically what's done",00:01:49.550,00:01:51.640
"when you have an exponential,
when you have an exponent.",00:01:51.640,00:01:54.810
"And what we found was
that the limit here",00:01:54.810,00:01:57.750
