text,start,stop
"NARRATOR: The
following content is",00:00:00.000,00:00:01.655
"provided by MIT OpenCourseWare
under a Creative Commons",00:00:01.655,00:00:04.966
license.,00:00:04.966,00:00:06.060
"Additional information
about our license",00:00:06.060,00:00:08.230
"and MIT OpenCourseWare
in general",00:00:08.230,00:00:10.550
is available at ocw.mit.edu.,00:00:10.550,00:00:11.770
"PROFESSOR: So, you see that --
I thought maybe we've got enough",00:00:15.460,00:00:21.760
"good examples in theory
where we need some practice.",00:00:21.760,00:00:27.740
"We need some experiments with
some of the finite difference",00:00:27.740,00:00:34.680
methods that we've spoken about.,00:00:34.680,00:00:37.320
"So I created this homework in
which you would like choose",00:00:37.320,00:00:42.160
one of these that we've done.,00:00:42.160,00:00:45.610
"Well, actually, number two,
the Schrodinger equation,",00:00:45.610,00:00:50.690
"which has that
imaginary i in there,",00:00:50.690,00:00:54.860
"we haven't spoken
about yet, but you",00:00:54.860,00:00:57.800
"could do the kind
of Fourier analysis",00:00:57.800,00:01:02.160
"that we've done for
the heat equation.",00:01:02.160,00:01:04.240
"But, of course, it's going to
be different because of that i.",00:01:04.240,00:01:09.790
"You'll get an e to the minus
i k squared t, I guess.",00:01:09.790,00:01:14.390
"And that means that's a
number of absolute value",00:01:14.390,00:01:18.610
"1 instead of a rapidly
decaying coefficient.",00:01:18.610,00:01:23.550
"OK, so my idea is to
choose one of those groups,",00:01:23.550,00:01:26.990
"or a number five, if you want.",00:01:26.990,00:01:30.300
"And say, by next
Friday, just give me",00:01:30.300,00:01:36.320
some experiment with a code.,00:01:36.320,00:01:41.300
"In this case, you
could use -- well,",00:01:43.850,00:01:47.150
"we have four methods and three
of them are already in code,",00:01:47.150,00:01:52.150
"and you're welcome to
use those or your own.",00:01:52.150,00:01:54.590
"And I raised
questions last time --",00:01:54.590,00:01:57.050
"and I'll put this on the website
with a little more detail.",00:01:57.050,00:02:01.740
"So just to give you an
idea of what's coming.",00:02:01.740,00:02:04.880
"So this is the
problem that we're",00:02:04.880,00:02:07.550
"in the middle of speaking
about, near the end,",00:02:07.550,00:02:10.890
"the mixture of
convection and diffusion.",00:02:10.890,00:02:15.560
"And this is Schrodinger,
which is new.",00:02:15.560,00:02:19.140
"This is the advection equation,
or the one-way wave equation,",00:02:19.140,00:02:23.430
"which we've started with,
and this is what's --",00:02:23.430,00:02:27.750
"this'll be the subject of
today's lecture and next time.",00:02:27.750,00:02:32.320
"And the best reference I can
give, as well as the textbook,",00:02:32.320,00:02:39.100
"the applied math book has
significant discussion",00:02:39.100,00:02:45.440
of this conservation law.,00:02:45.440,00:02:48.660
"But also it's very well
presented in the 16.920 lecture",00:02:48.660,00:02:54.320
"notes that are on
OpenCourseWare,",00:02:54.320,00:02:57.630
lectures 11 and 12.,00:02:57.630,00:02:59.070
"So I'm going to use those
as a guide in this lecture.",00:02:59.070,00:03:04.770
"Anyway, I thought I'd
just put that up as, you",00:03:04.770,00:03:14.730
"know, time to see what various
difference methods will do,",00:03:14.730,00:03:21.290
"And again, it'll
be on the website.",00:03:21.290,00:03:24.410
OK.,00:03:24.410,00:03:25.760
"Now to say another
word about this one,",00:03:25.760,00:03:30.640
"this convection-diffusion
equation.",00:03:30.640,00:03:36.120
"So, last time I wrote down a
difference equation very much",00:03:36.120,00:03:42.970
"like that except what
I wrote down last time",00:03:42.970,00:03:47.260
was upwinded so that was just j.,00:03:47.260,00:03:51.170
Now it's j minus 1.,00:03:51.170,00:03:53.970
"And the choice
there is not clear.",00:03:53.970,00:03:59.920
"This gives us higher
accuracy, of course,",00:03:59.920,00:04:04.140
"for that x difference,
because it's centered at j.",00:04:04.140,00:04:09.270
"And we still have this
centered, of course.",00:04:11.880,00:04:15.090
"The second difference
is centered.",00:04:15.090,00:04:17.740
"So I wrote down here
what the coefficients",00:04:17.740,00:04:20.890
"are of the three old values at j
plus 1, at j, and at j minus 1.",00:04:20.890,00:04:28.170
"But there is one
important point here.",00:04:28.170,00:04:32.230
"The price for that
extra accuracy",00:04:32.230,00:04:36.530
"may possibly be a
negative coefficient.",00:04:36.530,00:04:41.650
"This could be negative,
or it could be positive.",00:04:41.650,00:04:45.310
"It depends which
is more important:",00:04:45.310,00:04:47.840
"the small r, the convection
part, or the big R.",00:04:47.840,00:04:54.280
And let me follow up.,00:04:54.280,00:04:58.100
So you remember the price.,00:04:58.100,00:05:00.730
"If we see a negative
coefficient,",00:05:00.730,00:05:04.410
"then we expect some
oscillations to appear.",00:05:04.410,00:05:10.610
"And actually, they were supposed
to appear in Figure 5.12,",00:05:10.610,00:05:13.870
but it hasn't been done yet.,00:05:13.870,00:05:15.710
"And if you would choose
this one and do Figure 5.12,",00:05:15.710,00:05:19.470
I'll be incredibly grateful.,00:05:19.470,00:05:22.320
"So Figure 5.12 was to show
the evolution from a u naught",00:05:22.320,00:05:29.060
for the convection-diffusion.,00:05:29.060,00:05:32.220
"OK, so can I just -- do you see
that in comparing R with r over",00:05:32.220,00:05:38.670
"2, those are dimensionless
quantities, right?",00:05:38.670,00:05:43.970
"Can I take another
minute to try?",00:05:43.970,00:05:46.760
"I'm a total amateur at
dimensional analysis.",00:05:46.760,00:05:53.140
"I did always think, however,
that Einstein could have proved",00:05:53.140,00:05:59.043
"-- well, not maybe proved, but
could have conjectured that E",00:05:59.043,00:06:04.320
"was m c squared, the
most important equation",00:06:04.320,00:06:08.210
"in relativity, just by
checking the dimensions.",00:06:08.210,00:06:13.030
"I don't know if that
would -- I mean, right?",00:06:13.030,00:06:15.360
"That would like -- might have
occurred to him to realize that",00:06:15.360,00:06:19.410
"m c squared has the dimensions,
if we wrote those out,",00:06:19.410,00:06:22.940
of energy.,00:06:22.940,00:06:24.810
"I don't know if that put an idea
into the system which produced,",00:06:24.810,00:06:34.410
"of course, the fact
that -- and, of course,",00:06:34.410,00:06:37.910
"there would be a
dimensionless constant,",00:06:37.910,00:06:39.690
which amazingly happens to be 1.,00:06:39.690,00:06:43.000
"OK, so dimensional analysis
could, like, change the world.",00:06:43.000,00:06:47.080
"This won't quite
change the world,",00:06:47.080,00:06:48.820
but a little touch of something.,00:06:48.820,00:06:54.040
"OK, so can I just -- you
remember that this Peclet",00:06:54.040,00:06:59.750
"number, and I'll write
his name down again.",00:06:59.750,00:07:03.370
P-E-C-L-E-T. The Peclet number.,00:07:03.370,00:07:07.240
"In the differential
equation, the Peclet number",00:07:07.240,00:07:11.890
"was a ratio, essentially
a ratio, of c to d.",00:07:11.890,00:07:20.000
"But to get the -- I
think we needed --",00:07:20.000,00:07:24.650
was that what we needed?,00:07:24.650,00:07:27.440
"We needed a length to
make it dimensionless.",00:07:27.440,00:07:32.810
"c is the coefficient for -- c
over d sort of tells us roughly",00:07:32.810,00:07:37.670
"the importance of
convection and diffusion,",00:07:37.670,00:07:40.070
"but there's a length
scale to be included.",00:07:40.070,00:07:43.470
"Now the cell Peclet number,
which I'll just call P,",00:07:43.470,00:07:52.080
"I'm just going to
take to be r over R",00:07:52.080,00:07:55.427
because those are dimensionless.,00:07:55.427,00:07:56.760
"And you see that it's
going to play a part here.",00:07:59.370,00:08:04.410
"Let me see, I forgot.",00:08:04.410,00:08:06.460
"I think I want r over R. Maybe
I want a 2 just because I would",00:08:06.460,00:08:13.420
"like that to -- I'd like it
to come out simply there.",00:08:13.420,00:08:19.270
"OK, so I may put in a 2.",00:08:19.270,00:08:23.380
So that r would be 2R*p.,00:08:23.380,00:08:26.100
"Where did that 2 come
from, by the way?",00:08:26.100,00:08:28.760
"Oh, I guess it came
from there, right?",00:08:28.760,00:08:32.350
It came from that minus 1/2.,00:08:32.350,00:08:35.940
