text,start,stop
"The following content is
provided under a Creative",00:00:00.500,00:00:02.830
Commons license.,00:00:02.830,00:00:04.340
"Your support will help
MIT OpenCourseWare",00:00:04.340,00:00:06.680
"continue to offer high quality
educational resources for free.",00:00:06.680,00:00:11.050
"To make a donation or
view additional materials",00:00:11.050,00:00:13.670
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.670,00:00:17.558
at ocw.mit.edu.,00:00:17.558,00:00:18.183
"PROFESSOR: So
welcome to this week.",00:00:23.780,00:00:26.300
"We're going to talk
about trees mainly.",00:00:26.300,00:00:29.190
"We're going to talk about
some very special ones,",00:00:29.190,00:00:31.640
spanning trees.,00:00:31.640,00:00:33.770
"But before we do
this, you will go",00:00:33.770,00:00:35.770
"through a whole
bunch of definitions",00:00:35.770,00:00:37.690
"and look at examples to
explain how it works.",00:00:37.690,00:00:41.070
"So let's talk about
walks and paths.",00:00:45.910,00:00:48.365
"So you've already seen
a bit of graph theory.",00:00:54.290,00:00:58.450
"We've talked about graph
colorings and so on.",00:00:58.450,00:01:03.000
"But now we're going to talk
about special types of graphs,",00:01:03.000,00:01:06.560
"and special structures
within such graphs.",00:01:06.560,00:01:08.960
"Well, let's start with
the first definition.",00:01:12.438,00:01:15.510
How do we define a walk?,00:01:15.510,00:01:16.797
"Well, a walk is
something very simple.",00:01:16.797,00:01:18.380
"You walk from one vertex
in the graph over an edge",00:01:18.380,00:01:23.250
"to a next vertex, to a
next vertex, and so on.",00:01:23.250,00:01:26.740
So how do we define this?,00:01:26.740,00:01:29.370
"A walk is a sequence of vertices
that are connected by edges.",00:01:29.370,00:01:47.920
"So for example, we
may have something",00:01:47.920,00:01:50.910
that looks like a first vertex.,00:01:50.910,00:01:53.470
That we call the start.,00:01:53.470,00:01:55.520
"And an edge that goes
to a second vertex.",00:01:55.520,00:02:00.760
"We continue like
this until the end,",00:02:00.760,00:02:02.860
"say, at vk, which we
call the end of the walk.",00:02:02.860,00:02:07.520
"And if you look at
this, we say this",00:02:07.520,00:02:11.370
"is a walk from v0
all the way to vk.",00:02:11.370,00:02:13.900
It has exactly k edges.,00:02:13.900,00:02:16.250
"And we say that the length
is actually equal to k.",00:02:16.250,00:02:23.130
So this is a very basic notion.,00:02:23.130,00:02:26.570
"And what we are
really interested in",00:02:26.570,00:02:28.660
is actually paths.,00:02:28.660,00:02:31.770
"And paths are special
types of walks",00:02:31.770,00:02:35.620
"in which all those
vertices are actually",00:02:35.620,00:02:38.700
different from one another.,00:02:38.700,00:02:40.700
"But let's first give
an example of a graph",00:02:40.700,00:02:44.530
"that you will study throughout
the whole lecture, especially",00:02:44.530,00:02:47.030
when we come to spanning trees.,00:02:47.030,00:02:48.390
"So let's have a look
at the following graph.",00:02:50.860,00:02:55.070
So let this be a graph.,00:03:14.290,00:03:15.840
"And for example, we
can have a walk that",00:03:15.840,00:03:18.400
goes from this particular edge.,00:03:18.400,00:03:23.890
Say we call this v0.,00:03:23.890,00:03:27.060
"It goes over this
edge over here.",00:03:27.060,00:03:29.640
Suppose I want to end over here.,00:03:29.640,00:03:32.610
"Well, I can go many ways
in this particular one.",00:03:32.610,00:03:35.030
I can go for this edge.,00:03:35.030,00:03:36.435
I may go over here.,00:03:36.435,00:03:38.670
"I may go all the way
to this part over here.",00:03:38.670,00:03:41.040
I may return if I want to.,00:03:41.040,00:03:42.760
"And I finally, I take this
edge for example back to--",00:03:42.760,00:03:47.010
"over this edge, I will
end in the last vertex vk.",00:03:47.010,00:03:51.490
"So what we notice
here is that we",00:03:51.490,00:03:53.566
"have a walk that actually gets
to this particular vertex,",00:03:53.566,00:03:58.690
and then returns to this vertex.,00:03:58.690,00:04:01.370
"So for a few other edges, and
then goes all the way to vk.",00:04:01.370,00:04:05.470
"So if you talk about
the path, then we really",00:04:05.470,00:04:08.370
"want all the difference
vertices not to occur twice.",00:04:08.370,00:04:12.920
"So let's define this
so the destination is",00:04:12.920,00:04:17.610
that a path is actually a walk.,00:04:17.610,00:04:20.500
"Is a walk where all
edges, where all vertices,",00:04:24.580,00:04:33.380
"vi's, are different.",00:04:33.380,00:04:35.505
"In this particular
case-- well for example,",00:04:40.790,00:04:43.490
"if you strip off
this part over here,",00:04:43.490,00:04:45.810
"you will get a path from v0
to here, to here, to here.",00:04:45.810,00:04:49.950
"And all these vertices
on the path on this walk",00:04:49.950,00:04:54.450
are different.,00:04:54.450,00:04:55.220
And therefore it is a path.,00:04:55.220,00:04:58.130
This also shows us something.,00:04:58.130,00:05:00.830
"It is possible to construct
from a walk a path.",00:05:00.830,00:05:05.140
"As you can see, we started
off with this particular walk.",00:05:05.140,00:05:08.560
"And we just deleted,
essentially,",00:05:08.560,00:05:12.560
"a part where we sort of came
back to the same vertex again.",00:05:12.560,00:05:17.630
"And when we delete all
those kinds of parts,",00:05:17.630,00:05:21.230
you will end up with a path.,00:05:21.230,00:05:22.530
"So can we formalize this
a little bit better?",00:05:22.530,00:05:25.660
Then we get the next lemma.,00:05:25.660,00:05:27.350
I call this lemma one.,00:05:31.060,00:05:34.630
"And let's see whether
we can prove this.",00:05:34.630,00:05:36.700
"So we want to show that if
there exists a walk from, say,",00:05:36.700,00:05:42.970
"a vertex u to-- well, maybe
I should not use arrows.",00:05:42.970,00:05:49.900
"That's confusing--
from u to v. Then there",00:05:49.900,00:05:57.210
also exists a path from u to v.,00:05:57.210,00:06:06.140
So how can we prove this?,00:06:06.140,00:06:07.410
Do you have any ideas?,00:06:07.410,00:06:09.590
"So what kind of proof
techniques can we use here?",00:06:09.590,00:06:15.190
"And maybe one of the
principles that we have seen?",00:06:15.190,00:06:21.396
"AUDIENCE: [INAUDIBLE]
but I have an idea",00:06:21.396,00:06:26.808
about how you could show this.,00:06:26.808,00:06:28.284
"It's basically if you
visit one vertex-- let's",00:06:28.284,00:06:32.600
"you go 1, 2, 3, 4, 5, 3, 6.",00:06:32.600,00:06:38.650
You can walk from 1 to 6.,00:06:38.650,00:06:42.132
"Then we just take out the
4, you just go 1, 2, 3, 6.",00:06:42.132,00:06:46.732
PROFESSOR: Right.,00:06:46.732,00:06:47.440
So what did we do there?,00:06:47.440,00:06:48.520
We essentially had a walk.,00:06:48.520,00:06:49.760
"And then we cut out
a smaller parts here",00:06:49.760,00:06:52.250
that recurs in a sense.,00:06:52.250,00:06:54.480
