text,start,stop
"OK, this is linear
algebra lecture nine.",00:00:09.840,00:00:14.610
"And this is a key lecture, this
is where we get these ideas",00:00:14.610,00:00:21.130
"of linear independence,
when a bunch of vectors are",00:00:21.130,00:00:27.480
independent --,00:00:27.480,00:00:29.600
"or dependent,
that's the opposite.",00:00:29.600,00:00:33.890
The space they span.,00:00:33.890,00:00:36.680
"A basis for a subspace
or a basis for a vector",00:00:36.680,00:00:40.550
"space, that's a central idea.",00:00:40.550,00:00:42.730
"And then the dimension
of that subspace.",00:00:42.730,00:00:47.060
"So this is the day
that those words",00:00:47.060,00:00:50.240
get assigned clear meanings.,00:00:50.240,00:00:52.960
"And emphasize that we talk
about a bunch of vectors",00:00:52.960,00:00:58.380
being independent.,00:00:58.380,00:00:59.550
"Wouldn't talk about a
matrix being independent.",00:00:59.550,00:01:02.780
"A bunch of vectors
being independent.",00:01:02.780,00:01:05.150
"A bunch of vectors
spanning a space.",00:01:05.150,00:01:07.840
"A bunch of vectors
being a basis.",00:01:07.840,00:01:11.480
"And the dimension
is some number.",00:01:11.480,00:01:15.070
"OK, so what are the definitions?",00:01:15.070,00:01:17.480
"Can I begin with a fact,
a highly important fact,",00:01:17.480,00:01:21.840
"that, I didn't call directly
attention to earlier.",00:01:21.840,00:01:28.240
"Suppose I have a matrix and
I look at Ax equals zero.",00:01:28.240,00:01:35.900
"Suppose the matrix
has a lot of columns,",00:01:35.900,00:01:39.530
so that n is bigger than m.,00:01:39.530,00:01:43.340
So I'm looking at n equations --,00:01:43.340,00:01:46.320
"I mean, sorry, m
equations, a small number",00:01:46.320,00:01:48.920
"of equations m,
and more unknowns.",00:01:48.920,00:01:52.650
"I have more unknowns
than equations.",00:01:52.650,00:01:55.960
Let me write that down.,00:01:55.960,00:01:57.040
More unknowns than equations.,00:01:57.040,00:01:59.850
More unknown x-s than equations.,00:01:59.850,00:02:03.170
"Then the conclusion
is that there's",00:02:03.170,00:02:15.440
"something in the null
space of A, other",00:02:15.440,00:02:19.330
than just the zero vector.,00:02:19.330,00:02:21.350
"The conclusion is there
are some non-zero x-s",00:02:21.350,00:02:26.320
such that Ax is zero.,00:02:26.320,00:02:28.220
"There are some
special solutions.",00:02:28.220,00:02:30.030
And why?,00:02:30.030,00:02:31.060
We know why.,00:02:31.060,00:02:33.590
"I mean, it sort of like seems
like a reasonable thing, more",00:02:33.590,00:02:38.120
"unknowns than equations,
then it seems reasonable",00:02:38.120,00:02:42.150
that we can solve them.,00:02:42.150,00:02:43.540
"But we have a, a clear algorithm
which starts with a system",00:02:43.540,00:02:49.210
"and does elimination, gets
the thing into an echelon",00:02:49.210,00:02:55.440
"form with some pivots
and pivot columns,",00:02:55.440,00:03:01.630
"and possibly some free columns
that don't have pivots.",00:03:01.630,00:03:06.050
"And the point is here there
will be some free columns.",00:03:06.050,00:03:09.290
"The reason, so the
reason is there must --",00:03:09.290,00:03:14.940
"there will be free
variables, at least one.",00:03:14.940,00:03:20.080
That's the reason.,00:03:25.010,00:03:27.580
That we now have this --,00:03:27.580,00:03:30.130
"a complete, algorithm, a
complete systematic way to say,",00:03:30.130,00:03:36.200
"OK, we take the
system Ax equals zero,",00:03:36.200,00:03:38.860
"we row reduce, we identify
the free variables,",00:03:38.860,00:03:42.370
"and, since there are n
variables and at most m pivots,",00:03:42.370,00:03:48.690
"there will be some free
variables, at least one,",00:03:48.690,00:03:51.840
"at least n-m in fact, left over.",00:03:51.840,00:03:55.090
"And those variables I can
assign non-zero values to.",00:03:55.090,00:04:00.480
"I don't have to
set those to zero.",00:04:00.480,00:04:02.110
"I can take them to be
one or whatever I like,",00:04:02.110,00:04:04.580
"and then I can solve
for the pivot variables.",00:04:04.580,00:04:07.970
"So then it gives me a
solution to Ax equals zero.",00:04:07.970,00:04:11.870
"And it's a solution
that isn't all zeros.",00:04:11.870,00:04:15.820
"So, that's an important
point that we'll",00:04:15.820,00:04:21.769
use now in this lecture.,00:04:21.769,00:04:26.350
"So now I want to say what does
it mean for a bunch of vectors",00:04:26.350,00:04:30.110
to be independent.,00:04:30.110,00:04:31.470
OK.,00:04:31.470,00:04:32.370
"So this is like the
background that we know.",00:04:32.370,00:04:36.276
"Now I want to speak
about independence.",00:04:36.276,00:04:37.900
OK.,00:04:41.500,00:04:42.000
Let's see.,00:04:46.110,00:04:48.740
"I can give you the abstract
definition, and I will,",00:04:48.740,00:04:55.430
"but I would also like to
give you the direct meaning.",00:04:55.430,00:05:00.325
"So the question is, when
vectors x1, x2 up to --",00:05:03.700,00:05:12.700
"Suppose I have n vectors
are independent if.",00:05:12.700,00:05:19.860
Now I have to give you --,00:05:19.860,00:05:22.350
or linearly independent --,00:05:22.350,00:05:25.560
"I'll often just say and
write independent for short.",00:05:25.560,00:05:30.470
OK.,00:05:30.470,00:05:31.300
"I'll give you the
full definition.",00:05:31.300,00:05:33.580
"These are just vectors
in some vector space.",00:05:33.580,00:05:36.920
I can take combinations of them.,00:05:36.920,00:05:39.360
"The question is, do any
combinations give zero?",00:05:39.360,00:05:45.070
"If some combination
of those vectors",00:05:45.070,00:05:47.210
"gives the zero vector,
other than the combination",00:05:47.210,00:05:51.030
"of all zeros, then
they're dependent.",00:05:51.030,00:05:55.520
"They're independent if no
combination gives the zero",00:05:55.520,00:06:06.100
vector --,00:06:06.100,00:06:08.550
"and then I have, I'll have
to put in an except the zero",00:06:08.550,00:06:17.070
combination.,00:06:17.070,00:06:18.840
So what do I mean by that?,00:06:18.840,00:06:21.160
"No combination gives
the zero vector.",00:06:21.160,00:06:23.720
"Any combination
c1 x1+c2 x2 plus,",00:06:23.720,00:06:29.950
"plus cn xn is not zero except
for the zero combination.",00:06:29.950,00:06:39.260
"This is when all the c-s,
all the c-s are zero.",00:06:39.260,00:06:45.610
Then of course.,00:06:45.610,00:06:46.315
"That combination --
I know I'll get zero.",00:06:49.290,00:06:52.100
"But the question is, does any
other combination give zero?",00:06:52.100,00:06:55.950
"If not, then the
vectors are independent.",00:06:55.950,00:06:59.970
"If some other combination
does give zero,",00:06:59.970,00:07:02.630
the vectors are dependent.,00:07:02.630,00:07:04.880
OK.,00:07:04.880,00:07:05.510
Let's just take examples.,00:07:05.510,00:07:08.420
"Suppose I'm in, say, in
two dimensional space.",00:07:08.420,00:07:14.510
OK.,00:07:14.510,00:07:15.590
I give you --,00:07:15.590,00:07:16.940
"I'd like to first
take an example --",00:07:16.940,00:07:19.900
"let me take an example where
I have a vector and twice that",00:07:19.900,00:07:24.480
vector.,00:07:24.480,00:07:26.290
"So that's two vectors, V and 2V.",00:07:26.290,00:07:29.720
"Are those dependent
or independent?",00:07:29.720,00:07:33.830
"Those are dependent
for sure, right,",00:07:33.830,00:07:35.820
"because there's one
vector is twice the other.",00:07:35.820,00:07:40.380
"One vector is twice
as long as the other,",00:07:40.380,00:07:42.250
"so if the word dependent
means anything,",00:07:42.250,00:07:44.780
these should be dependent.,00:07:44.780,00:07:46.670
And they are.,00:07:46.670,00:07:47.910
"And in fact, I would
take two of the first --",00:07:47.910,00:07:51.860
"so here's, here is a vector V
and the other guy is a vector",00:07:51.860,00:07:56.750
"2V, that's my --",00:07:56.750,00:07:59.350
"so there's a vector V1 and
my next vector V2 is 2V1.",00:07:59.350,00:08:04.730
"Of course those are
dependent, because two",00:08:04.730,00:08:08.630
"of these first vectors minus
the second vector is zero.",00:08:08.630,00:08:14.120
"That's a combination of these
two vectors that gives the zero",00:08:14.120,00:08:17.620
vector.,00:08:17.620,00:08:18.120
"OK, that was clear.",00:08:18.120,00:08:20.060
"Suppose, suppose
I have a vector --",00:08:20.060,00:08:24.430
here's another,00:08:24.430,00:08:25.060
example.,00:08:25.060,00:08:25.800
It's easy example.,00:08:25.800,00:08:26.950
"Suppose I have a vector and the
other guy is the zero vector.",00:08:26.950,00:08:31.010
"Suppose I have a vector V1
and V2 is the zero vector.",00:08:31.010,00:08:36.820
"Then are those vectors
dependent or independent?",00:08:36.820,00:08:43.309
They're dependent again.,00:08:43.309,00:08:46.230
"You could say, well, this
guy is zero times that one.",00:08:46.230,00:08:50.480
"This one is some
combination of those.",00:08:50.480,00:08:52.970
"But let me write
it the other way.",00:08:52.970,00:08:54.900
"Let me say -- what combination,
how many V1s and how many V2s",00:08:54.900,00:09:01.110
shall I take to get the zero,00:09:01.110,00:09:02.671
vector?,00:09:02.671,00:09:03.170
"If, if V1 is like the vector two
one and V2 is the zero vector,",00:09:05.810,00:09:11.490
"zero zero, then I
would like to show",00:09:11.490,00:09:15.740
"that some combination of
those gives the zero vector.",00:09:15.740,00:09:18.640
What shall I take?,00:09:18.640,00:09:19.820
How many V1s shall I take?,00:09:19.820,00:09:22.660
Zero of them.,00:09:22.660,00:09:23.540
"Yeah, no, take no V1s.",00:09:23.540,00:09:25.310
But how many V2s?,00:09:25.310,00:09:28.290
Six.,00:09:28.290,00:09:28.970
OK.,00:09:28.970,00:09:31.700
Or five.,00:09:31.700,00:09:34.790
"Then -- in other words,
the point is if the zero",00:09:34.790,00:09:38.590
"vector's in there,
if the zero --",00:09:38.590,00:09:41.340
"if one of these vectors
is the zero vector,",00:09:41.340,00:09:44.760
"independence is dead, right?",00:09:44.760,00:09:47.490
"If one of those vectors is the
zero vector then I could always",00:09:47.490,00:09:50.440
take --,00:09:50.440,00:09:51.970
"include that one and
none of the others,",00:09:51.970,00:09:54.120
"and I would get the zero answer,
and I would show dependence.",00:09:54.120,00:09:59.370
OK.,00:09:59.370,00:10:00.230
"Now, let me, let me
finally draw an example",00:10:00.230,00:10:04.890
where they will be independent.,00:10:04.890,00:10:06.860
Suppose that's V1 and that's V2.,00:10:06.860,00:10:10.900
"Those are surely
independent, right?",00:10:10.900,00:10:14.820
"Any combination of
V1 and V2, will not",00:10:14.820,00:10:19.400
"be zero except, the
zero combination.",00:10:19.400,00:10:22.780
So those would be independent.,00:10:22.780,00:10:24.390
"But now let me, let me
stick in a third vector, V3.",00:10:24.390,00:10:28.040
"Independent or dependent
now, those three vectors?",00:10:31.100,00:10:34.200
So now n is three here.,00:10:34.200,00:10:37.390
"I'm in two dimensional space,
whatever, I'm in the plane.",00:10:37.390,00:10:42.150
"I have three vectors that
I didn't draw so carefully.",00:10:42.150,00:10:47.390
"I didn't even tell you
what exactly they were.",00:10:47.390,00:10:50.520
"But what's this answer on
dependent or independent?",00:10:50.520,00:10:55.820
Dependent.,00:10:55.820,00:10:57.200
"How do I know those
are dependent?",00:10:57.200,00:11:00.570
"How do I know that some
combination of V1, V2, and V3",00:11:00.570,00:11:05.570
gives me the zero vector?,00:11:05.570,00:11:09.010
I know because of that.,00:11:09.010,00:11:12.130
"That's the key
fact that tells me",00:11:12.130,00:11:20.160
"that three vectors in the
plane have to be dependent.",00:11:20.160,00:11:23.990
Why's that?,00:11:23.990,00:11:25.120
"What's the connection between
the dependence of these three",00:11:25.120,00:11:28.650
vectors and that fact?,00:11:28.650,00:11:30.620
OK.,00:11:30.620,00:11:31.140
So here's the connection.,00:11:31.140,00:11:33.350
"I take the matrix A that has
V1 in its first column, V2",00:11:33.350,00:11:42.260
"in its second column,
V3 in its third column.",00:11:42.260,00:11:46.560
So it's got three columns.,00:11:46.560,00:11:48.560
And V1 --,00:11:48.560,00:11:49.600
"I don't know, that
looks like about two one",00:11:49.600,00:11:51.950
to me.,00:11:51.950,00:11:52.880
"V2 looks like it
might be one two.",00:11:52.880,00:11:56.430
"V3 looks like it might be maybe
two, maybe two and a half,",00:11:56.430,00:12:01.990
minus one.,00:12:01.990,00:12:03.570
OK.,00:12:07.520,00:12:08.230
"Those are my three vectors, and
I put them in the columns of A.",00:12:08.230,00:12:13.900
"Now that matrix A
is two by three.",00:12:13.900,00:12:18.530
"It fits this pattern, that
where we know we've got extra",00:12:18.530,00:12:22.960
"variables, we know we
have some free variables,",00:12:22.960,00:12:25.900
"we know that there's
some combination --",00:12:25.900,00:12:28.640
"and let me instead of x-s, let
me call them c1, c2, and c3 --",00:12:28.640,00:12:34.650
that gives the zero vector.,00:12:34.650,00:12:39.380
"Sorry that my little bit
of art got in the way.",00:12:39.380,00:12:41.830
Do you see the point?,00:12:41.830,00:12:44.470
"When I have a matrix,
I'm interested",00:12:44.470,00:12:48.600
"in whether its columns are
dependent or independent.",00:12:48.600,00:12:53.710
"The columns are
dependent if there",00:12:53.710,00:12:56.470
is something in the null space.,00:12:56.470,00:12:58.480
"The columns are
dependent because this,",00:12:58.480,00:13:00.860
"this thing in the
null space says",00:13:00.860,00:13:03.090
"that c1 of that plus c2 of
that plus c3 of this is zero.",00:13:03.090,00:13:09.190
"So in other words, I can go
out some V1, out some more V2,",00:13:09.190,00:13:13.670
"back on V3, and end up zero.",00:13:13.670,00:13:16.260
OK.,00:13:19.010,00:13:19.850
"So let -- here I've give the
general, abstract definition,",00:13:19.850,00:13:25.290
"but let me repeat
that definition --",00:13:25.290,00:13:28.360
this is like repeat --,00:13:28.360,00:13:31.840
let me call them Vs now.,00:13:31.840,00:13:39.270
"V1 up to Vn are the
columns of a matrix A.",00:13:39.270,00:13:47.450
"In other words,
this is telling me",00:13:47.450,00:13:50.120
"that if I'm in m
dimensional space,",00:13:50.120,00:13:57.510
"like two dimensional
space in the example,",00:13:57.510,00:14:00.630
"I can answer the
dependence-independence",00:14:00.630,00:14:03.940
"question directly by
putting those vectors",00:14:03.940,00:14:10.180
in the columns of a matrix.,00:14:10.180,00:14:11.580
"They are independent if the
null space of A, of A, is what?",00:14:14.330,00:14:30.380
"If I have a bunch of
columns in a matrix,",00:14:33.230,00:14:36.370
"I'm looking at
their combinations,",00:14:36.370,00:14:38.870
"but that's just A times
the vector of c-s.",00:14:38.870,00:14:44.850
"And these columns
will be independent",00:14:44.850,00:14:48.020
"if the null space of
A is the zero vector.",00:14:48.020,00:14:56.390
"They are dependent if there's
something else in there.",00:15:01.270,00:15:11.960
"If there's something else in
the null space, if A times c",00:15:11.960,00:15:17.380
"gives the zero vector
for some non-zero vector",00:15:17.380,00:15:25.240
c in the null space.,00:15:25.240,00:15:26.575
"Then they're dependent,
because that's",00:15:29.160,00:15:30.770
"telling me a combination of the
columns gives the zero column.",00:15:30.770,00:15:34.380
"I think you're with
be, because we've seen,",00:15:34.380,00:15:38.040
"like, lecture after
lecture, we're",00:15:38.040,00:15:40.340
"looking at the combinations
of the columns and asking,",00:15:40.340,00:15:43.500
do we get zero or don't we?,00:15:43.500,00:15:45.550
"And now we're giving
the official name,",00:15:45.550,00:15:49.030
"dependent if we do,
independent if we don't.",00:15:49.030,00:15:54.010
