text,start,stop
"The following
content is provided",00:00:00.000,00:00:01.960
"by MIT OpenCourseWare under
a Creative Commons license.",00:00:01.960,00:00:06.310
"Additional information
about our license",00:00:06.310,00:00:08.690
"and MIT OpenCourseWare
in general",00:00:08.690,00:00:10.490
is available at ocw.mit.edu.,00:00:10.490,00:00:11.800
"PROFESSOR: All
right, so I'll start",00:00:15.122,00:00:16.580
"with this review board, which
shows the conservation law.",00:00:16.580,00:00:23.270
"Scalar, one unknown,
one dimension,",00:00:23.270,00:00:27.140
"x, one space variable, and
the flux function is f of u.",00:00:27.140,00:00:34.310
That's the differential form.,00:00:34.310,00:00:37.100
"We have seen that at some
points that differential form",00:00:37.100,00:00:42.900
"produces a discontinuous
solution, a discontinuity.",00:00:42.900,00:00:48.400
"In that case we
are better off with",00:00:48.400,00:00:51.650
the integrated integral form.,00:00:51.650,00:00:54.720
"So I just integrate that one
from a point x_left to a point",00:00:54.720,00:01:00.610
"x_right, from an a to
b, and that gives me-- I",00:01:00.610,00:01:04.900
have then the integral.,00:01:04.900,00:01:07.620
"So if u was density,
for example,",00:01:07.620,00:01:11.070
"the integral of density
will be the mass.",00:01:11.070,00:01:13.630
"That's the quantity
that I'm seeing here,",00:01:13.630,00:01:17.530
"so this is the rate
of change of mass",00:01:17.530,00:01:20.210
"in the interval comes from flux
going out minus flux coming in.",00:01:20.210,00:01:29.310
"So that's the conservation
law in its pure statement.",00:01:29.310,00:01:34.530
"And we learned that
solution for this--",00:01:34.530,00:01:40.880
"while we're looking at
the differential problem,",00:01:40.880,00:01:43.570
"we can follow these
characteristics",00:01:43.570,00:01:46.170
from the initial time zero.,00:01:46.170,00:01:49.490
"So at time zero we look
at a point x and the value",00:01:49.490,00:01:55.960
"at that point just
travels-- is sort of safely",00:01:55.960,00:02:01.090
"carried up the characteristic
line, which is that equals x_0.",00:02:01.090,00:02:07.510
"And the problem arose when
characteristics either collided",00:02:07.510,00:02:14.970
into each other or separated.,00:02:14.970,00:02:17.690
"Those are the two
difficulties and they",00:02:21.340,00:02:23.480
have different resolutions.,00:02:23.480,00:02:28.480
"So this is what we met
in the traffic example",00:02:28.480,00:02:32.370
when a light goes red.,00:02:32.370,00:02:35.580
"When a light goes red cars
are coming up to the light,",00:02:35.580,00:02:41.160
