text,start,stop
"ANNOUNCER: The following program
is brought to you by Caltech.",00:00:00.580,00:00:03.270
"YASER ABU-MOSTAFA: Welcome to machine
learning, and welcome to our online",00:00:16.250,00:00:19.950
audience as well.,00:00:19.950,00:00:21.650
"Let me start with an outline of the
course, and then go into the material",00:00:21.650,00:00:25.830
of today's lecture.,00:00:25.830,00:00:28.070
"As you see from the outline, the topics
are given colors, and that",00:00:28.070,00:00:34.540
"designates their main content, whether
it's mathematical or practical.",00:00:34.540,00:00:38.860
"Machine learning is
a very broad subject.",00:00:38.860,00:00:41.960
"It goes from very abstract theory to
extreme practice as in rules of thumb.",00:00:41.960,00:00:47.300
"And the inclusion of a topic in the
course depends on the relevance to",00:00:47.300,00:00:52.350
machine learning.,00:00:52.350,00:00:53.370
"So some mathematics is useful because it
gives you the conceptual framework,",00:00:53.370,00:00:57.720
"and then some practical aspects are
useful because they give you the way",00:00:57.720,00:01:02.320
to deal with real learning systems.,00:01:02.320,00:01:05.080
"Now if you look at the topics, these
are not meant to be separate topics",00:01:05.080,00:01:09.370
for each lecture.,00:01:09.370,00:01:10.560
"They just highlight the main
content of those lectures.",00:01:10.560,00:01:13.630
"But there is a story line that goes
through it, and let me tell you what",00:01:13.630,00:01:17.740
the story line is like.,00:01:17.740,00:01:20.380
It starts here with: what is learning?,00:01:20.380,00:01:23.530
Can we learn?,00:01:26.500,00:01:27.750
How to do it?,00:01:29.940,00:01:31.190
How to do it well?,00:01:33.660,00:01:37.250
And then the take-home lessons.,00:01:37.250,00:01:40.410
"There is a logical dependency that goes
through the course, and there's",00:01:40.410,00:01:44.420
"one exception to that
logical dependency.",00:01:44.420,00:01:48.390
"One lecture, which is the third one,
doesn't really belong here.",00:01:48.390,00:01:53.240
"It's a practical topic, and the reason
I included it early on is because I",00:01:53.240,00:01:57.750
"needed to give you some tools to play
around with, to test the",00:01:57.750,00:02:01.740
theoretical and conceptual aspects.,00:02:01.740,00:02:03.990
"If I waited until it belonged normally,
which is to the second aspect of the",00:02:03.990,00:02:09.430
"linear models which is down there, the
beginning of the course would be",00:02:09.430,00:02:15.620
"just too theoretical
for people's taste.",00:02:15.620,00:02:18.730
"And as you see, if you look at the
colors, it is mostly red in the",00:02:18.730,00:02:22.320
beginning and mostly blue in the end.,00:02:22.320,00:02:25.080
"So it starts building the
concepts and the theory.",00:02:25.080,00:02:28.430
"And then it goes on to the
practical aspects.",00:02:28.430,00:02:32.100
"Now, let me start today's lecture.",00:02:32.100,00:02:35.970
"And the subject of the lecture
is the learning problem.",00:02:35.970,00:02:39.790
"It's an introduction to
what learning is.",00:02:39.790,00:02:41.890
"And I will draw your attention
to one aspect of this slide,",00:02:41.890,00:02:45.230
which is this part.,00:02:45.230,00:02:48.450
That's the logo of the course.,00:02:48.450,00:02:50.590
"And believe it or not,
this is not artwork.",00:02:50.590,00:02:53.850
"This is actually a technical
figure that will come up",00:02:53.850,00:02:56.720
in one of the lectures.,00:02:56.720,00:02:57.670
I'm not going to tell you which one.,00:02:57.670,00:02:59.200
"So you can wait in anticipation until it
comes up, but this will actually be",00:02:59.200,00:03:03.100
"a scientific figure that
we will talk about.",00:03:03.100,00:03:06.420
"Now when we move to today's
lecture, I'm going to talk",00:03:06.420,00:03:11.930
today about the following.,00:03:11.930,00:03:14.660
"Machine learning is a very broad
subject, and I'm going to start with",00:03:14.660,00:03:18.590
"one example that captures the
essence of machine learning.",00:03:18.590,00:03:22.100
"It's a fun example about movies
that everybody watches.",00:03:22.100,00:03:26.480
"And then after that, I'm going to
abstract from the learning problem,",00:03:26.480,00:03:30.870
"the practical learning problem,
aspects that are common to all",00:03:30.870,00:03:35.690
"learning situations that
you're going to face.",00:03:35.690,00:03:38.540
"And in abstracting them, we'll have the
mathematical formalization of the",00:03:38.540,00:03:42.030
learning problem.,00:03:42.030,00:03:43.310
"And then we will get our first algorithm
for machine learning today.",00:03:43.310,00:03:47.530
"It's a very simple algorithm, but it
will fix the idea about what is the",00:03:47.530,00:03:51.210
role of an algorithm in this case.,00:03:51.210,00:03:53.060
"And we will survey the types of learning,
so that we know which part we",00:03:53.060,00:03:56.420
"are emphasizing in this course,
and which parts are nearby.",00:03:56.420,00:04:01.400
"And I will end up with a puzzle, a very
interesting puzzle, and it's",00:04:01.400,00:04:04.775
"a puzzle in more ways than
one, as you will see.",00:04:04.775,00:04:08.390
"OK, so let me start with an example.",00:04:08.390,00:04:11.040
"The example of machine learning that
I'm going to start with is how",00:04:14.040,00:04:18.410
a viewer would rate a movie.,00:04:18.410,00:04:22.290
"Now that is an interesting problem, and
it's interesting for us because we",00:04:22.290,00:04:26.195
"watch movies, and very interesting for
a company that rents out movies.",00:04:26.195,00:04:30.020
"And indeed, a company which is Netflix
wanted to improve the in-house system",00:04:30.020,00:04:37.070
by a mere 10%.,00:04:37.070,00:04:40.040
"So they make recommendations when you
log in, they recommend movies that",00:04:40.040,00:04:43.450
"they think you will like, so they think
that you'll rate them highly.",00:04:43.450,00:04:46.650
"And they had a system, and they
wanted to improve the system.",00:04:46.650,00:04:50.230
"So how much is a 10% improvement in
performance worth to the company?",00:04:50.230,00:04:56.610
"It was actually $1 million that was
paid out to the first group that",00:04:56.610,00:05:03.480
"actually managed to get
the 10% improvement.",00:05:03.480,00:05:06.780
"So you ask yourself, 10% improvement
in something like that, why should",00:05:06.780,00:05:10.780
that be worth a million dollars?,00:05:10.780,00:05:13.670
"It's because, if the recommendations
that the movie company makes are spot",00:05:13.670,00:05:19.890
"on, you will pay more attention to the
recommendation, you are likely to rent",00:05:19.890,00:05:25.150
"the movies that they recommend, and they
will make lots of money-- much",00:05:25.150,00:05:27.830
"more than the million dollars
they promised.",00:05:27.830,00:05:30.130
"And this is very typical
in machine learning.",00:05:30.130,00:05:31.910
"For example, machine learning has
applications in financial forecasting.",00:05:31.910,00:05:35.290
"You can imagine that the minutest
improvement in financial forecasting",00:05:35.290,00:05:38.970
can make a lot of money.,00:05:38.970,00:05:40.810
"So the fact that you can actually push
the system to be better using machine",00:05:40.810,00:05:45.410
"learning is a very attractive aspect of
the technique in a wide spectrum of",00:05:45.410,00:05:50.800
applications.,00:05:50.800,00:05:52.480
So what did these guys do?,00:05:52.480,00:05:53.985
"They gave the data, and people started
working on the problem using different",00:05:57.320,00:06:04.260
"algorithms, until someone managed
to get the prize.",00:06:04.260,00:06:08.810
"Now if you look at the problem of
rating a movie, it captures the",00:06:08.810,00:06:12.530
"essence of machine learning, and the
essence has three components.",00:06:12.530,00:06:16.460
"If you find these three components in
a problem you have in your field, then",00:06:16.460,00:06:20.320
"you know that machine learning is
ready as an application tool.",00:06:20.320,00:06:24.300
What are the three?,00:06:24.300,00:06:25.850
"The first one is that
a pattern exists.",00:06:25.850,00:06:29.860
"If a pattern didn't exist, there
would be nothing to look for.",00:06:29.860,00:06:33.810
So what is the pattern here?,00:06:33.810,00:06:35.900
"There is no question that the way
a person rates a movie is related to how",00:06:35.900,00:06:41.990
"they rated other movies, and is
also related to how other",00:06:41.990,00:06:46.200
people rated that movie.,00:06:46.200,00:06:48.870
We know that much.,00:06:48.870,00:06:50.250
"So there is a pattern
to be discovered.",00:06:50.250,00:06:52.670
"However, we cannot really pin
it down mathematically.",00:06:52.670,00:06:57.710
"I cannot ask you to write a 17th-order
polynomial that captures how people",00:06:57.710,00:07:01.740
rate movies.,00:07:01.740,00:07:03.790
"So the fact that there is a pattern,
and that we cannot pin it down",00:07:03.790,00:07:06.880
"mathematically, is the reason why we
are going for machine learning.",00:07:06.880,00:07:10.800
"For ""learning from data"".",00:07:10.800,00:07:12.520
"We couldn't write down the system on our
own, so we're going to depend on",00:07:12.520,00:07:15.930
"data in order to be able
to find the system.",00:07:15.930,00:07:18.930
"There is a missing component
which is very important.",00:07:18.930,00:07:21.080
"If you don't have that,
you are out of luck.",00:07:21.080,00:07:24.970
"We have to have data. We
are learning from data.",00:07:24.970,00:07:28.310
"So if someone knocks on my door with
an interesting machine learning",00:07:28.310,00:07:31.030
"application, and they tell me how
exciting it is, and how great the",00:07:31.030,00:07:33.670
"application would be, and how much
money they would make, the first",00:07:33.670,00:07:37.200
"question I ask, what data do you have?",00:07:37.200,00:07:41.150
"If you data, we are in business.",00:07:41.150,00:07:43.120
"If you don't, you are out of luck.",00:07:43.120,00:07:45.880
"If you have these three components,
you are ready to",00:07:45.880,00:07:48.510
apply machine learning.,00:07:48.510,00:07:50.970
"Now let me give you a solution to the
movie rating, in order to start",00:07:51.750,00:07:56.030
getting a feel for it.,00:07:56.030,00:07:57.220
So here is a system.,00:07:57.220,00:07:59.160
Let me start to focus on part of it.,00:07:59.160,00:08:01.630
"We are going to describe a viewer
as a vector of factors, a profile if",00:08:01.630,00:08:07.230
you will.,00:08:07.230,00:08:08.630
"So if you look here for example, the
first one would be comedy content.",00:08:08.630,00:08:16.320
Does the movie have a lot of comedy?,00:08:17.360,00:08:18.660
"From a viewer point of view,
do they like comedies?",00:08:21.600,00:08:25.020
"Here, do they like action?",00:08:25.020,00:08:27.800
"Do they prefer blockbusters, or
do they like fringe movies?",00:08:27.800,00:08:31.580
"And you can go on all the way, even to
asking yourself whether you like the",00:08:31.580,00:08:36.210
